选项,指标,20260331,20251231,20250930,20250630,20250331,20241231,20240930,20240630,20240331,20231231,20230930,20230630,20230331,20221231,20220930,20220630,20220331,20211231,20210930,20210630,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180331,20171231,20161231
常用指标,毛利率,22.004668,19.151106,19.470058,20.09169,19.269135,21.282086,21.590959,21.527756,22.152509,24.450814,24.818857,24.540153,23.361477,21.324865,21.168255,22.179791,21.425194,21.297291,21.85884,22.447199,23.443239,25.739625,25.933918,26.875479,26.420211,27.357222,28.628353,29.158556,,24.448213,23.820865,,20.97439,20.589764
常用指标,销售净利率,4.578979,3.971925,4.472427,4.270572,3.823495,8.14568,7.687632,8.288692,9.37376,8.968738,9.09566,8.407457,5.650739,5.294113,6.258968,7.159288,7.183982,7.916245,8.031294,7.559367,7.086157,7.086484,7.901293,7.899755,6.272222,7.088321,7.750068,7.777403,7.622397,2.887069,0.975908,2.040667,3.378924,0.741447
常用指标,期间费用率,16.070099,15.192605,14.749656,15.564541,15.83235,13.066542,13.555946,12.545784,12.603159,13.612239,13.739549,14.594048,18.579596,14.681508,13.214199,13.059203,12.578003,12.468538,12.175499,13.124301,13.206735,17.368918,16.169134,17.202416,18.464462,18.523846,18.467032,18.541117,,16.974768,17.718485,,16.899303,19.046143
常用指标,资产负债率,55.149147,53.475377,57.715159,54.640684,51.983534,54.850305,56.218754,57.064391,58.270749,60.588747,59.605,57.159455,50.722381,48.569022,51.948905,55.052298,53.494765,55.305072,56.008456,57.508115,58.645205,59.564814,57.939593,53.716645,51.328241,53.421858,48.995865,57.181071,55.428997,62.117824,,,63.303437,71.103264
每股指标,基本每股收益,0.61,2.26,1.88,1.06,0.43,4.9,3.46,2.53,1.44,4.91,4.83,2.61,0.65,3.09,2.81,2.06,0.99,4.88,3.6,2.17,1.0,3.36,2.44,1.36,0.44,2.42,1.81,1.14,0.52,0.91,0.22,,0.94,
每股指标,稀释每股收益,0.61,2.25,1.87,1.06,0.43,4.85,3.42,2.51,1.43,4.87,4.78,2.59,0.65,3.08,2.81,2.06,0.99,4.86,3.59,2.16,1.0,3.35,2.44,1.36,0.44,2.42,1.81,1.14,0.52,0.91,0.22,,0.94,
每股指标,摊薄每股收益_最新股数,0.60838,2.241723,1.86587,1.053529,0.425723,4.820209,3.390825,2.47746,1.412865,4.809867,3.374097,1.825622,0.455325,2.157602,1.961536,1.436383,0.691141,3.395832,2.503386,1.504544,0.696013,2.333618,1.697342,0.947954,0.308067,1.557789,1.1298,0.710485,0.324389,0.571044,0.135787,0.080488,0.583272,0.054549
每股指标,摊薄每股净资产_期末股数,18.45239,17.829355,17.489515,17.383483,18.213414,17.740472,17.790972,16.553551,24.628469,22.385302,23.06173,20.771861,20.337934,19.676058,19.319925,18.329126,18.540788,17.491339,15.995123,14.449346,14.309261,13.115132,12.156188,11.046153,10.825,10.317487,9.679,6.291143,,5.439307,,,4.435953,27.107848
每股指标,调整每股净资产_期末股数,16.888459,16.334012,15.921367,15.8491,17.1545,16.680519,16.473616,15.33511,22.847654,20.76331,21.410085,19.090207,18.908337,18.31102,17.946753,16.969711,17.173851,16.151265,14.635363,13.10923,13.08641,11.956462,10.980174,9.889209,9.698695,9.217537,8.569721,5.117732,,4.224401,,,3.868197,25.920469
每股指标,每股净资产_最新股数,18.45239,17.829355,17.489515,17.219884,18.042005,17.573514,17.623538,16.237297,17.255675,15.684024,16.157956,14.506401,14.203361,13.741128,13.492416,12.764499,12.911902,12.18106,11.139087,10.041376,9.944026,9.114182,8.447777,7.676373,7.522686,7.169997,6.726289,3.934749,3.562724,3.401975,,,2.774434,1.68393
每股指标,每股经营现金流,-3.556293,1.233694,2.853505,0.009077,-0.649382,2.497287,1.088431,-1.232626,-0.134237,14.741599,14.119064,8.656054,2.479715,2.462071,1.119505,-0.826207,0.153015,5.037579,1.84786,-0.3121,-0.031205,5.384918,3.536536,-0.572209,-1.186036,5.050648,2.91569,1.169511,,2.879614,,,2.09284,8.695234
每股指标,每股现金流量净额,0.051213,-0.162904,3.000633,3.631381,2.093411,0.246398,0.881495,-1.534199,-2.672899,2.954162,7.9962,4.26713,1.609325,-0.91232,-2.350361,-2.316378,2.427533,-3.731703,-5.871237,-5.342547,-4.119528,6.395162,3.512205,-0.770073,-2.218646,4.707043,5.136823,-0.055346,,1.461825,,,0.670631,18.03793
每股指标,每股企业自由现金流量,,1.937547,,1.455173,,5.955844,,1.948413,,3.578051,,1.407227,,0.463152,,1.220288,,0.51041,,0.720122,,0.439428,,0.700352,,-3.405025,,0.275254,,-0.760146,,,-0.788078,-27.156467
每股指标,每股股东自由现金流量,,1.472774,,1.235166,,6.556436,,2.337187,,4.233919,,2.215735,,1.02821,,2.631977,,0.285399,,1.275451,,1.81735,,1.550154,,-3.313703,,0.273041,,-1.059853,,,-2.089821,-10.962445
每股指标,每股未分配利润,10.486634,9.878254,9.507106,9.577371,10.443601,10.013832,10.180789,9.350247,14.570884,12.554346,13.505118,11.331767,11.169624,10.517133,10.236338,9.511142,9.941015,8.948573,7.894307,6.484099,6.400639,5.399089,4.601075,3.52272,3.281935,2.838632,2.278219,1.860925,,1.024953,,,0.148519,4.761614
每股指标,每股资本公积金,6.396061,6.344986,6.353947,6.19433,6.154949,6.117446,6.13379,5.73437,8.375648,8.162226,7.864474,7.742965,7.628319,7.495546,7.41856,7.202714,7.071175,7.037628,6.860515,6.688925,6.558964,6.384137,6.266365,6.117277,6.15342,6.15342,6.112274,3.187727,,3.149555,,,3.154637,20.598187
每股指标,每股盈余公积金,0.5,0.5,0.495294,0.5,0.5,0.5,0.390079,0.393934,0.551508,0.551508,0.551508,0.553302,0.553302,0.553302,0.553302,0.554861,0.554861,0.554861,0.317226,0.317896,0.317896,0.317896,0.200321,0.200321,0.200321,0.200321,0.144866,0.160963,,0.160963,,,0.124371,
每股指标,每股留存收益,10.986634,10.378254,10.002401,10.077371,10.943601,10.513832,10.570869,9.744181,15.122392,13.105854,14.056626,11.885069,11.722926,11.070435,10.78964,10.066004,10.495877,9.503435,8.211533,6.801996,6.718536,5.716986,4.801396,3.723041,3.482256,3.038953,2.423086,2.021888,,1.185916,,,0.272891,4.761614
每股指标,每股营业收入,14.072556,56.977168,43.036641,25.498666,11.40336,60.258029,44.943904,30.604616,21.626623,77.234768,53.340118,31.133015,11.534874,57.958681,44.818843,28.824892,13.789947,61.6346,44.62231,28.566789,14.065333,47.239861,31.213725,17.307068,7.055918,31.682412,21.069137,14.589123,,31.452612,,,27.838369,162.726338
