常用指标,每股净资产,6.846288,6.497191,6.279909,6.246197,5.8898,5.953996,5.661397,5.644733,5.530475,5.4761,5.337849,5.230271,5.11835,4.687867,,4.440365,,4.264135,3.996364,3.877986,3.857966,3.817699,3.724603,3.56936,3.591503,3.595681,3.590994,3.665261,3.481856,3.504562,3.634688,3.481633,3.478637,3.441131,3.447643,3.338395,3.478267,3.245592,2.627552,2.352851,2.245289,2.200266,2.117652,2.112989,2.094582,2.164679,1.893166,1.477776,1.282364
常用指标,每股现金流,0.687015,0.599657,-0.572164,0.359306,-2.192673,3.171465,1.147131,0.499988,-0.711435,0.745716,0.472042,-0.187339,0.887641,2.62111,,2.54599,,-1.285257,-0.295759,-0.460379,0.001985,0.787786,0.15943,1.598103,2.86513,1.903268,1.839189,4.714013,3.503918,0.209475,-3.556852,-1.707438,-1.952825,-0.464547,-0.719396,,1.669248,,2.286348,0.488023,-0.433743,0.56152,-1.267505,-2.684121,,-0.504111,4.748623,-1.63559,5.903223
常用指标,净资产收益率(ROE),1.81,8.61,6.44,4.94,0.86,7.23,4.85,3.41,0.99,8.73,6.57,4.49,1.39,9.39,,3.96,,9.89,,,7.85,,3.92,2.26,,,,0.75,,,2.24,,,,,,,,,,,3.07,4.01,,,,,,
常用指标,总资产报酬率(ROA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,毛利率,49.715329,53.507073,46.967332,55.85151,20.843636,46.779865,39.351002,39.005963,17.327734,49.795372,45.258784,42.898446,23.235624,44.464659,,31.040976,28.012215,38.391293,35.366896,21.693445,30.265071,28.106798,27.758485,14.442307,11.695366,21.151735,48.070268,3.528894,4.176352,14.711448,9.442578,22.043503,24.080198,21.246419,31.495224,18.51857,52.937512,33.281429,40.640468,30.560953,24.90351,28.488473,19.58128,20.564576,24.812493,33.836357,47.613221,38.971139,165.03425
常用指标,销售净利率,41.834662,48.254274,45.745332,50.637147,21.582294,42.979332,38.327017,39.211237,23.37387,44.282978,41.40558,40.468149,21.657404,38.346902,28.15036,28.734914,21.995807,31.857492,30.066402,20.328326,27.063073,25.310225,25.531596,8.377399,9.958402,17.020861,37.443287,5.431193,3.717461,11.156537,11.827238,19.865563,20.900074,19.448408,26.319596,15.893734,39.689747,24.969921,31.041786,23.327179,19.42901,21.683255,15.928886,16.477217,18.832477,26.032681,35.566299,27.792019,99.178259
常用指标,期间费用率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,资产负债率,68.46397,71.577311,73.117986,73.994561,70.24695,70.617441,66.842122,68.190927,68.372767,69.765696,66.237617,66.235354,67.928216,69.254612,78.428265,69.951426,,72.579152,71.871376,63.581134,61.989072,66.773094,62.952441,69.263878,69.481348,66.239824,67.601116,64.586866,67.99314,71.368506,77.138573,77.58901,79.438415,77.158393,75.838055,77.446005,74.095343,76.923299,69.524454,48.566332,44.74847,45.843399,28.056342,39.399326,33.984904,43.602836,28.464918,17.692488,24.79739
每股指标,基本每股收益,0.12,0.54,0.4,0.3,0.06,0.41,0.27,0.19,0.06,0.46,0.34,0.23,0.07,0.42,,0.17,,0.4,,,0.29,,0.14,0.08,,,,0.03,,,0.08,,,,,,,,,,,,,,,,,,
每股指标,稀释每股收益,0.12,0.54,0.4,0.3,0.06,0.41,0.27,0.19,0.06,0.46,0.34,0.23,0.07,0.42,,0.17,,0.4,,,0.29,,0.14,0.08,,,,0.03,,,0.08,,,,,,,,,,,,,,,,,,
每股指标,摊薄每股收益_最新股数,0.139481,0.583935,0.417445,0.315825,0.063149,0.420872,0.273044,0.189364,0.056983,0.452323,0.334999,0.224865,0.066573,0.378458,0.2232,0.155059,0.051137,0.361307,0.132269,0.02746,0.252756,0.186395,0.118281,0.064775,0.047592,0.05803,0.079665,0.021571,0.012038,0.027484,0.064261,0.048686,0.02865,0.134236,0.140452,0.086531,0.642011,0.269711,0.278992,0.070269,0.10011,0.053059,0.066667,0.062373,0.035709,0.124813,0.195523,0.096833,0.13156
每股指标,摊薄每股净资产_期末股数,6.846288,6.497191,6.279909,6.246197,5.8898,5.953996,5.661397,5.644733,5.530475,5.4761,5.337849,5.230271,5.11835,4.687867,,4.440365,,4.264135,3.996364,3.877986,3.857966,3.817699,3.724603,3.56936,3.591503,3.595681,3.590994,3.665261,3.481856,3.504562,3.634688,3.481633,3.478637,3.441131,3.447643,3.338395,3.478267,3.245592,2.627552,2.352851,2.245289,2.200266,2.117652,2.112989,2.094582,2.164679,1.893166,1.477776,1.282364
每股指标,调整每股净资产_期末股数,6.811944,6.461478,6.244681,6.207261,5.850419,5.91243,5.567914,5.543337,5.411307,5.372556,5.196478,5.089956,4.969355,4.518242,,4.235153,,4.073699,3.800216,3.676337,3.656076,3.593846,3.521994,3.335958,3.315998,3.334966,3.383308,3.429849,3.271546,3.276169,3.429147,3.342115,3.341176,3.302213,3.386195,3.25736,3.387273,3.19165,2.566025,2.298636,2.191119,2.161515,2.080969,2.07456,2.052669,2.09224,1.831974,1.455334,1.252053
每股指标,每股净资产_最新股数,6.846288,6.497191,6.279909,6.246197,5.8898,5.953996,5.661397,5.644733,5.530475,5.4761,5.337849,5.230271,5.11835,4.21908,4.069672,3.996328,,3.837721,3.596728,3.490187,3.472169,3.435929,3.352143,2.827202,2.844741,2.84805,2.844337,2.903163,2.757892,2.775876,2.878946,2.757715,2.755342,2.725635,2.730793,2.64426,2.755049,2.570753,2.081219,1.863635,1.778437,1.742776,1.67734,1.673646,1.659066,1.008581,0.882076,0.688535,0.597487
每股指标,每股经营现金流,0.687015,0.599657,-0.572164,0.359306,-2.192673,3.171465,1.147131,0.499988,-0.711435,0.745716,0.472042,-0.187339,0.887641,2.62111,,2.54599,,-1.285257,-0.295759,-0.460379,0.001985,0.787786,0.15943,1.598103,2.86513,1.903268,1.839189,4.714013,3.503918,0.209475,-3.556852,-1.707438,-1.952825,-0.464547,-0.719396,,1.669248,,2.286348,0.488023,-0.433743,0.56152,-1.267505,-2.684121,,-0.504111,4.748623,-1.63559,5.903223
每股指标,每股现金流量净额,1.656415,0.65633,0.641674,-0.229492,-1.048794,2.225075,1.247707,0.205691,0.232509,-0.769287,-0.270721,0.232842,-0.344177,0.781712,,1.108219,,0.338224,0.10315,-0.438549,0.815811,0.897273,1.156816,1.291842,2.152486,1.773269,2.17759,-0.782234,-0.582542,-1.216618,-1.91731,0.527758,0.782094,-1.794008,-2.614928,,3.687616,,2.191642,-0.178627,0.717988,0.586524,-0.989198,-1.90494,,-0.638406,4.679329,-1.784461,6.746816
每股指标,每股企业自由现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每股指标,每股股东自由现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每股指标,每股未分配利润,2.757156,2.608528,2.518138,2.480777,2.367774,2.304624,2.223622,2.181733,2.149938,2.100199,2.05259,1.942457,1.890494,2.026578,,1.851201,,1.762143,1.573544,1.512644,1.482132,1.451563,1.370269,1.4646,1.496837,1.512662,1.467387,1.402131,1.383091,1.459533,1.409213,1.423394,1.413698,1.377903,1.431135,1.360599,1.389992,1.155391,0.837641,0.70188,0.612399,0.593402,0.524805,0.540684,0.527476,0.822402,0.624114,0.331952,0.197654
