每股指标,摊薄每股收益_最新股数,0.823564,2.568527,2.145404,1.46293,0.769262,2.902085,2.454431,1.677489,0.835662,2.605577,2.054388,1.34149,0.675637,2.981277,2.288409,1.512456,0.721671,1.479488,1.111656,0.701219,0.311508,0.525074,1.284356,1.108256
每股指标,摊薄每股净资产_期末股数,17.612093,16.889349,16.527703,16.546786,16.491158,15.727934,15.123789,15.119758,14.85245,14.013692,13.526566,13.381969,13.154983,12.554606,11.927708,11.518058,,,,,,,,
每股指标,调整每股净资产_期末股数,16.732564,15.989032,15.597301,15.606937,15.548279,14.775293,14.141019,14.110419,13.844246,13.002061,12.467255,12.311201,12.139043,11.524307,10.880235,10.533245,,,,,,,,
每股指标,每股净资产_最新股数,17.612093,16.889349,16.527703,16.546786,16.491158,15.727934,15.123789,15.131468,14.863952,14.024545,13.537042,13.392333,13.165171,12.564329,11.943436,11.544109,10.840174,10.118082,,9.610977,,9.124972,9.429578,8.834451
每股指标,每股经营现金流,1.160278,4.39811,3.613489,2.297119,1.205008,4.647406,3.845322,2.49237,1.260922,4.409444,3.343616,2.094277,1.092527,4.321799,3.506677,2.145937,,,,,,,,
每股指标,每股现金流量净额,0.66396,-0.054807,0.357269,0.270418,0.42329,-1.097308,-0.001556,0.20016,0.524904,1.005029,1.040915,0.597728,0.146467,0.929241,1.316989,1.850224,,,,,,,,
每股指标,每股企业自由现金流量,,0.620513,,0.329329,,1.499244,,1.193585,,2.043695,,1.720844,,1.463648,,0.754805,,,,,,,,
每股指标,每股股东自由现金流量,,0.137176,,-0.105891,,0.817379,,0.606515,,1.602358,,1.317894,,1.165624,,0.514175,,,,,,,,
每股指标,每股未分配利润,14.538473,13.714909,13.291765,13.274492,13.184085,12.414802,12.005965,11.909197,11.669156,10.83414,10.283377,10.110673,10.114162,9.439048,8.746732,8.585471,,,,,,,,
每股指标,每股资本公积金,0.060088,0.059983,0.060088,0.060046,0.060025,0.059983,0.059835,0.059768,0.060147,0.060147,0.060126,0.060083,0.059999,0.059999,0.059967,0.05991,,,,,,,,
