常用指标,每股净资产,5.175403,5.032533,5.026019,5.022534,4.874531,4.839951,4.754659,4.639669,4.623708,4.517126,4.422262,4.358687,4.49797,4.425622,,4.042697,3.977824,3.9491,3.839304,3.706002,3.648036,3.631209,3.619419,7.247299,6.891765,6.617047,6.295409,6.053087,6.012565,5.850423,5.677382,5.579905,5.279484,5.207427,4.946676,4.39361,3.924458,3.46034,3.280366,3.103037,2.954324,2.414135,2.80113,2.200466,2.415136,1.974128,1.913867,1.579985,1.893695,1.409605,1.159395,1.032224,0.960811,0.986955,1.015353,0.969441,0.941335
常用指标,每股现金流,-0.758541,0.270037,-0.380933,-0.140092,-0.243903,0.151364,-0.58736,-0.840425,-1.079306,-0.243363,-2.037313,-1.453371,-0.836755,0.26855,,-0.874174,-1.037811,0.219253,-1.867858,-0.402538,-0.461191,0.995646,-0.942369,0.582043,0.635671,0.149595,-2.765528,1.291733,-1.285378,2.037814,-3.238431,-2.060564,-4.042884,0.36516,,1.34728,3.530214,1.054242,-0.599145,2.02075,-2.738842,,-0.525834,,3.557449,,-0.487306,,2.267231,,1.518257,,0.148771,,,,
常用指标,净资产收益率(ROE),1.41,7.78,5.94,3.6,1.14,7.69,5.91,3.78,1.76,5.74,3.76,2.24,1.44,5.56,4.53,2.47,0.86,9.21,6.57,,0.57,10.59,,,10.19,,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,总资产报酬率(ROA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,毛利率,42.074872,50.405295,48.683515,45.822288,40.667391,47.287474,47.366012,43.954919,46.39037,41.561145,40.50639,37.204597,48.925499,42.499586,46.06862,38.777152,33.787697,51.611351,51.704331,45.730589,20.259214,47.934337,47.33172,40.299662,43.598054,46.216564,26.10092,21.262375,40.271462,49.059563,45.27197,59.322207,56.488229,56.796617,67.943316,67.882042,46.681732,37.234035,38.266757,32.40316,36.86073,24.317663,48.723731,53.514882,53.452353,74.020721,34.41521,,67.3313,69.557106,60.281896,55.56912,-63.237003,-134.794151,33.141275,-35.919096,-39.124809
常用指标,销售净利率,34.762236,41.774125,39.867251,38.176851,34.942298,40.749381,40.453991,38.005602,39.056529,36.39084,35.438794,32.351475,40.498891,34.859283,37.621318,31.865059,27.373332,40.626114,40.993321,37.026514,18.737414,36.877445,36.220056,32.539049,32.386651,36.208724,21.461654,19.34817,33.894494,39.333055,38.844957,48.736469,45.398157,43.870199,53.358755,51.94265,35.072717,30.885534,33.320599,28.532411,28.853411,17.265969,37.049154,47.950363,38.755552,63.13418,34.062864,,43.773742,46.610743,47.87901,39.89741,-64.372015,-134.962924,18.835012,-36.12569,-43.699071
常用指标,期间费用率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,资产负债率,66.640193,68.691135,69.205096,70.539556,69.749272,66.191802,68.263181,68.071642,67.767962,67.181889,67.475132,66.761279,66.297061,64.572814,72.387923,67.049363,68.751659,64.000085,66.758571,64.476753,62.471157,56.757592,48.559815,71.408344,72.227756,72.549147,73.724955,77.466559,74.394052,74.007273,74.296812,74.60997,78.060133,77.607006,78.301463,77.964459,77.798032,72.619908,66.740104,65.846368,40.189076,49.545746,18.173728,26.311521,22.161126,15.654674,27.822678,4.528722,22.53018,3.403604,6.860692,7.457097,2.183616,2.115163,5.049222,1.992118,36.057162
每股指标,基本每股收益,0.07,0.39,0.29,0.18,0.06,0.36,0.27,0.17,0.08,0.26,0.17,0.1,0.06,0.23,0.18,0.1,0.03,0.35,0.25,,0.02,0.38,,,0.33,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每股指标,稀释每股收益,0.07,0.39,0.29,0.18,0.06,0.36,0.27,0.17,0.08,0.26,0.17,0.1,0.06,0.23,0.18,0.1,0.03,0.35,0.25,,0.02,0.38,,,0.33,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
