常用指标,每股净资产,26.558029,25.721285,24.273519,22.823915,29.457913,28.50002,27.738334,26.730629,26.444473,25.705435,24.730817,23.884753,24.360511,23.883689,22.985353,22.140537,22.293239,17.409633,16.475232,15.512688,15.797753,15.206831,14.471389,11.262316,14.986227,14.141805,12.999785,11.802426,13.86538,13.29443,12.493104,11.804808,11.73099,11.313499,8.528275,8.714637,,7.51575,,7.00108,6.454388,6.186663,8.285597,7.334309,6.951868,6.680569,6.605423,6.448772,,5.955877,5.156956,4.266925
常用指标,每股现金流,0.363214,5.756874,3.470847,2.24304,1.194746,5.814685,3.244477,2.727295,1.097406,5.04854,3.02203,2.378414,1.344521,6.199985,4.739987,3.182559,1.189456,4.786942,2.313495,1.6699,0.857493,3.678536,2.746969,1.684709,1.0721,3.721317,2.488377,1.386977,0.216256,3.139762,1.32192,1.319239,-0.165525,3.200017,2.116434,2.734864,,3.820186,,1.31462,2.727722,2.235572,3.917895,1.445252,1.130916,-0.077566,0.628358,0.313875,,1.66881,1.285022,1.220813
常用指标,净资产收益率(ROE),4.83,20.79,15.14,9.04,3.31,13.58,10.88,7.3,2.84,11.07,7.3,3.84,1.67,14.71,10.9,7.19,3.64,18.7,13.25,7.35,3.21,23.86,19.74,13.81,5.38,29.11,21.38,12.08,4.88,20.38,14.16,8.54,3.63,25.61,19.7,14.78,6.24,18.48,12.37,8.06,12.15,15.74,12.05,,,,,,,,,
常用指标,总资产报酬率(ROA),2.964248,13.246477,9.675971,5.936718,2.108471,8.780594,6.996786,4.795401,1.848848,6.757019,4.430426,2.345333,1.114061,9.661682,7.364838,4.851442,2.252172,11.037635,7.792603,4.500064,2.120008,13.106628,10.585225,6.977372,2.926817,14.22198,11.284218,6.430016,2.681175,10.595492,7.64985,4.696964,2.260017,9.299597,8.515305,6.306221,,8.271801,,3.484002,5.900417,7.648927,7.464441,7.76194,4.508899,1.280254,8.20209,7.027001,5.059044,10.40969,10.567207,9.101478
常用指标,毛利率,29.169011,28.316343,28.204539,26.284382,24.74028,24.834022,25.907047,26.197991,25.190494,23.433547,23.113327,22.931299,23.049757,25.518794,26.105858,26.486438,26.791591,23.708278,24.21309,23.98802,23.441406,26.47115,26.697681,26.209659,25.590105,26.532474,25.659068,23.797604,23.539405,23.129592,22.708169,23.165756,24.830055,22.400972,22.208412,23.09878,23.873172,20.530392,19.789555,18.920139,20.64968,21.683654,25.006975,28.440228,27.764547,27.509155,20.328277,19.225826,,24.763867,23.534623,25.835763
常用指标,销售净利率,12.906989,13.864414,13.897198,13.02077,10.287832,10.49129,11.402558,11.863555,9.575124,10.332555,9.597916,7.849236,7.395366,11.720431,11.277161,10.791429,10.492423,10.621117,10.532424,9.544112,8.945488,12.337835,12.230262,12.236448,11.074489,11.72096,11.33107,9.83678,8.625198,9.185782,8.877041,8.689286,7.943789,7.892043,8.054282,9.242958,7.89119,5.968492,6.187824,5.31949,4.477264,5.093484,6.316496,7.151094,6.510906,2.426769,6.406748,7.080649,,9.18852,9.616519,9.04168
常用指标,期间费用率,13.230362,13.051713,13.031842,12.545537,13.214181,13.118378,13.043543,12.956087,13.577984,14.597994,13.317462,13.309735,13.401598,12.429624,12.141203,12.459784,13.018152,11.945517,11.820082,12.786666,12.38995,12.442825,12.163432,11.649591,12.599197,12.622858,11.908358,11.917177,12.851362,11.660908,16.381604,12.70043,14.69594,13.579982,12.924419,12.908809,13.752668,13.394822,12.9073,13.077617,16.902823,16.147632,17.692133,20.333137,20.623189,26.222325,16.685932,13.108024,,14.104573,13.239236,14.088565
常用指标,资产负债率,47.24247,43.823147,43.6474,42.490099,42.138683,42.116204,42.465712,42.340497,41.876309,41.668569,40.958373,39.809648,36.559705,40.883173,41.541463,41.090927,40.965505,49.262027,50.362862,49.505539,43.865585,46.855865,48.832696,59.719599,57.70982,59.057464,56.700107,57.331528,55.747046,56.32115,56.729567,57.077397,54.98902,57.437801,69.84662,66.848819,,69.30213,,71.90594,71.566947,61.437926,63.280487,62.505578,65.713638,63.097135,64.570155,63.734215,65.496651,61.591893,56.50723,57.953686
每股指标,基本每股收益,1.28,4.91,3.49,2.04,0.96,3.66,2.9,1.93,0.74,2.73,1.77,0.92,0.4,3.22,2.33,1.49,0.7,3.02,2.09,1.14,0.5,3.0,2.3,1.52,0.82,2.62,2.58,0.99,0.55,2.08,1.69,1.0,0.42,2.13,1.61,1.2,0.48,1.31,0.98,0.54,0.77,0.91,0.8,,,,,,,,,
每股指标,稀释每股收益,1.27,4.91,3.49,2.04,0.96,3.66,2.9,1.93,0.74,2.73,1.77,0.92,0.4,3.22,2.32,1.49,0.7,3.01,2.09,1.14,0.5,2.98,2.29,1.52,0.82,2.61,2.57,0.99,0.55,2.08,1.69,1.0,0.42,2.13,1.61,1.2,0.48,1.31,0.98,0.54,0.77,0.91,0.8,,,,,,,,,
每股指标,摊薄每股收益_最新股数,1.248198,4.809011,3.414473,1.9966,0.72148,2.756396,2.184568,1.449425,0.557237,2.052529,1.333211,0.695765,0.303037,2.407238,1.734936,1.104136,0.510661,2.173678,1.507063,0.823367,0.357536,2.099503,1.612077,1.063349,0.406332,1.8098,1.273362,0.691523,0.274188,1.023615,0.694292,0.411579,0.171859,0.657815,0.497394,0.369758,0.14927,0.402492,0.30332,0.16718,0.237376,0.279997,0.247219,0.180381,0.10189,0.015425,0.205142,0.172126,0.133594,0.222646,0.169861,0.128898
每股指标,摊薄每股净资产_期末股数,26.558029,25.721285,24.273519,22.823915,29.457913,28.50002,27.738334,26.730629,26.444473,25.705435,24.730817,23.884753,24.360511,23.883689,22.985353,22.140537,22.293239,17.409633,16.475232,15.512688,15.797753,15.206831,14.471389,11.262316,14.986227,14.141805,12.999785,11.802426,13.86538,13.29443,12.493104,11.804808,11.73099,11.313499,8.528275,8.714637,,7.51575,,7.00108,6.454388,6.186663,8.285597,7.334309,6.951868,6.680569,6.605423,6.448772,,5.955877,5.156956,4.266925
每股指标,调整每股净资产_期末股数,24.981227,24.095752,22.882392,21.43656,27.699145,26.771235,26.072366,25.04228,24.672435,23.909679,22.906219,22.042833,22.565735,22.097359,21.277832,20.804146,20.992177,16.01793,15.294106,14.33227,14.640926,14.047618,13.459931,10.216153,13.570641,12.704071,11.828718,10.642738,12.491026,11.897326,11.098438,10.425113,10.363062,9.961485,6.732027,6.918703,,5.714188,,5.202197,5.193294,5.400091,7.069276,6.344922,6.373251,5.641115,5.581094,5.696416,,5.358229,4.758788,4.045774
