常用指标,每股净资产,7.221327,6.986952,7.101822,6.446974,6.316615,6.076632,6.052392,5.721327,5.558588,5.480169,5.436866,5.466579,5.499864,5.008818,4.998439,5.009497,4.839024,4.955047,4.840742,4.788033,4.697856,4.572042,4.472458,4.347051,4.247241,4.141032,4.054246,3.887278,3.788689,3.44763,3.42483,3.406043,3.346831,3.227394,,3.118612,2.959079,2.850721,2.721195,2.175396,1.687134,1.540967,0.908758,0.717439,0.696959,0.956278,1.418499,1.039242,1.024612,0.991225,1.122077,1.208532,9.920064,2.122051
常用指标,每股现金流,0.347096,2.683814,2.166154,1.692406,0.826451,1.989643,1.831833,1.583845,0.749683,1.595265,1.442406,1.354943,0.931914,1.620183,1.186482,1.123937,0.534053,1.644604,1.061324,1.09341,0.524556,0.720581,0.375067,0.443899,0.044432,0.832308,0.370138,0.254296,-0.262775,-0.379952,-0.722586,-0.584551,-0.714784,-0.047732,,-0.082877,0.561733,0.506717,0.481826,-0.009405,1.269352,1.238025,2.167434,,,,,0.459138,0.120633,,,,,
常用指标,净资产收益率(ROE),2.8,16.1,16.0,9.49,4.7,16.7,14.2,9.03,3.7,9.6,8.7,8.3,5.0,11.61,11.2,8.3,1.7,10.26,9.9,8.05,4.9,10.39,9.8,6.71,3.8,13.4,13.0,9.55,3.7,9.44,8.6,6.9,3.8,12.7,10.99,7.29,11.89,,18.46,15.65,11.9,18.2,19.0,,,,,,,,,,,
常用指标,总资产报酬率(ROA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,毛利率,8.533284,11.200608,14.932916,13.114556,13.170146,11.358067,12.57134,11.966528,9.976365,6.200178,7.210316,10.872709,13.438436,6.558816,8.242587,8.864381,8.237149,5.994401,7.420202,8.816638,9.30986,5.387222,6.816902,6.908665,7.177243,5.363671,6.750063,6.664734,5.716957,5.451578,6.448144,6.942098,6.365907,6.482962,6.898985,6.27267,5.784488,4.443522,8.221514,6.472783,4.167186,4.953973,3.970527,3.341251,1.038621,-1.303689,5.602061,-1.863585,2.356128,-19.662815,5.058021,5.84312,5.614654,
常用指标,销售净利率,8.09568,9.421353,12.169331,11.076064,11.146376,9.296238,10.347845,10.41884,8.692299,5.689056,6.590726,9.533395,11.649935,5.52863,6.86993,7.364077,6.497932,5.120036,6.34733,7.42083,7.967219,4.843959,5.738028,5.70329,5.847904,5.705516,7.063212,7.480183,4.980566,3.870392,4.366887,5.13398,4.835081,4.869289,5.52968,5.156882,4.678279,4.499346,6.736919,5.243683,3.955857,3.941728,3.342065,2.645527,1.087767,0.246017,2.629214,0.475461,1.971933,2.328549,1.987823,3.908341,2.283727,
常用指标,期间费用率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,资产负债率,78.54135,79.277382,77.980954,79.267658,78.799993,79.210296,78.535296,79.053945,78.598501,78.700376,78.383608,78.087388,77.223332,80.077908,80.01894,79.975119,79.848909,78.443434,78.744446,78.670397,79.012247,78.244166,78.852257,79.568411,78.945419,78.209276,79.081813,79.32744,79.198996,80.088398,81.028558,81.159805,80.800876,81.177724,,81.826047,81.746912,81.887027,81.47781,83.998271,87.448879,87.897771,91.808111,92.040989,89.004878,89.551916,79.250933,77.466201,74.909745,73.184475,82.350778,65.971521,84.092368,93.963379
每股指标,基本每股收益,0.2,1.05,1.06,0.6,0.29,0.97,0.82,0.51,0.2,0.51,0.46,0.45,0.27,0.57,0.55,0.41,0.08,0.49,0.47,0.38,0.23,0.45,0.42,0.28,0.16,0.51,0.48,0.35,0.13,0.32,0.29,0.23,0.12,0.39,0.34,0.22,0.34,,0.45,0.3,0.19,0.2,0.16,,,,,,,,,,,
每股指标,稀释每股收益,0.19,1.04,1.05,0.59,0.29,0.96,0.82,0.51,0.2,0.51,0.45,0.44,0.26,0.57,0.54,0.41,0.08,0.49,0.47,0.38,0.23,0.45,0.42,0.28,0.16,0.51,0.48,0.35,0.13,0.32,0.29,0.23,0.12,0.39,,0.22,0.34,,0.45,0.3,0.19,0.2,0.16,,,,,,,,,,,
每股指标,摊薄每股收益_最新股数,0.199303,1.054766,1.058746,0.5999,0.290543,0.96936,0.821522,0.513002,0.202672,0.514946,0.463617,0.449552,0.265037,0.551872,0.531272,0.403627,0.19772,0.489281,0.469767,0.381783,0.22689,0.453803,0.423661,0.284958,0.159664,0.506535,0.483176,0.350872,0.133117,0.304133,0.274014,0.220852,0.118713,0.376402,0.327537,0.213797,0.324122,0.174678,0.43361,0.289842,0.183633,0.154486,0.117244,0.128369,0.037786,0.011682,0.035969,0.006553,0.019295,0.024488,0.017275,0.032358,0.01931,
