选项,指标,20260331,20251231,20250930,20250630,20250331,20241231,20240930,20240630,20240331,20231231,20230930,20230630,20230331,20221231,20220930,20220630,20220331,20211231,20210930,20210630,20210331,20201231,20200930,20200630,20200331,20191231,20190331,20181231,20171231
每股指标,基本每股收益,0.22,3.1,2.87,1.58,0.56,2.64,1.74,1.02,0.18,2.09,1.55,1.01,0.3,1.54,1.02,0.55,0.01,0.68,0.38,0.23,,0.5,0.31,,,0.36,,,
每股指标,稀释每股收益,0.21,3.07,2.84,1.57,0.56,2.61,1.71,1.0,0.18,2.05,1.52,1.01,0.3,1.53,1.01,0.54,0.01,0.67,0.38,0.23,,0.5,0.31,,,0.36,,,
每股指标,摊薄每股收益_最新股数,0.216099,2.892538,2.623446,1.441727,0.510434,2.389548,1.571051,0.918329,0.166149,1.886714,1.393758,0.910582,0.271318,1.385187,0.913494,0.49024,0.008933,0.551699,0.308178,0.185819,0.078113,0.407731,0.253797,0.077807,0.022883,0.279503,-0.008265,0.191734,0.022504
每股指标,摊薄每股净资产_期末股数,28.412449,28.052015,27.671344,18.672792,18.30869,17.471901,16.465689,15.602255,15.203525,14.822483,14.120106,13.436645,13.062687,12.741189,12.186676,11.688503,11.128341,11.105713,3.104015,2.940612,,2.687518,,,,2.126924,,0.680574,0.226902
每股指标,调整每股净资产_期末股数,26.857535,26.66556,26.429485,17.564403,17.278127,16.579746,15.595162,14.808343,14.416849,14.194644,13.596276,12.964916,12.678175,12.382311,11.834799,11.388347,10.84524,10.91532,2.906809,2.741054,,2.484123,,,,2.047948,,0.578952,0.159932
每股指标,每股净资产_最新股数,28.269273,27.910656,27.516291,17.074586,16.741647,15.884143,14.881099,14.100758,13.726345,13.382324,12.748191,12.131135,11.735308,11.446479,10.948314,10.500763,9.997523,9.977194,2.509737,2.377619,2.259613,2.17298,,,1.748065,1.719715,,0.300556,0.100204
每股指标,每股经营现金流,-0.299849,0.497418,-0.122878,-0.299017,0.21109,2.771894,1.300855,1.024223,-0.355799,-0.979932,-0.591589,-0.436525,-0.568935,-0.619793,-0.783463,-0.755633,-0.289515,-0.43635,0.113366,0.1049,,-0.226152,,,,0.18633,,0.182101,-0.042192
每股指标,每股现金流量净额,0.233672,4.500363,8.994722,0.287265,0.538909,2.532813,1.109871,1.462123,-0.214395,-0.089607,-0.69414,0.409353,0.220036,-4.244298,-2.748846,-3.244582,-2.689002,7.222261,-0.12401,-0.044697,,-0.432497,,,,0.882109,,0.237773,0.118979
每股指标,每股企业自由现金流量,,-9.66026,,-0.311913,,-1.307701,,-0.323691,,-0.487423,,0.914689,,1.551643,,1.162549,,-8.040757,,0.077161,,-2.488843,,,,-1.320919,,0.182358,-0.386349
每股指标,每股股东自由现金流量,,-8.391199,,0.767445,,0.200149,,0.548704,,-0.451045,,0.896266,,2.267325,,1.073986,,-8.212175,,0.018813,,-1.957567,,,,-1.241118,,0.330326,-0.385019
每股指标,每股未分配利润,7.925804,7.70861,7.485535,6.847992,6.482732,5.95896,5.103513,4.381286,4.179647,3.995617,3.668411,3.133238,2.809206,2.507199,2.131035,1.659907,1.124159,1.114216,0.999319,0.847986,,0.618167,,,,0.168104,,-0.35655,-0.79071
每股指标,每股资本公积金,19.04903,18.901007,18.822496,10.427223,10.317622,10.000988,9.870949,9.72219,9.524991,9.326309,9.165487,9.014614,8.97706,8.95429,8.926027,8.902702,8.881342,8.868282,1.029974,1.017229,,0.993729,,,,0.939376,,0.036357,0.0176
每股指标,每股盈余公积金,0.5,0.5,0.457123,0.49711,0.49711,0.5,0.488107,0.488107,0.488607,0.488607,0.269807,0.269807,0.271145,0.271145,0.122263,0.122263,0.122263,0.122263,0.073363,0.073363,,0.073363,,,,0.019148,,,
每股指标,每股留存收益,8.425804,8.20861,7.942659,7.345102,6.979842,6.45896,5.59162,4.869393,4.668255,4.484225,3.938218,3.403045,3.080352,2.778345,2.253298,1.78217,1.246422,1.236479,1.072683,0.92135,,0.69153,,,,0.187252,,-0.35655,-0.79071
每股指标,每股营业收入,3.074864,14.133002,10.724109,7.399404,2.959193,12.804236,9.117572,5.511583,2.114695,8.924206,6.311106,3.694694,1.420308,6.626683,4.562507,2.526846,0.815864,3.738536,2.787493,1.602456,,2.581928,,,,1.939339,,2.581908,1.189852
每股指标,每股营业总收入,3.074864,14.133002,10.724109,7.399404,2.959193,12.804236,9.117572,5.511583,2.114695,8.924206,6.311106,3.694694,1.420308,6.626683,4.562507,2.526846,0.815864,3.738536,2.787493,1.602456,,2.581928,,,,1.939339,,2.581908,1.189852
每股指标,每股息税前利润,0.320322,3.119674,2.830809,1.903472,0.680518,3.025833,1.884115,1.097996,0.173056,2.258145,1.72987,1.146002,0.36947,1.680754,1.075688,0.552858,0.000458,0.633933,0.417517,0.246769,,0.587694,,,,0.411518,,0.506179,0.072366
盈利能力,净资产收益率(ROE),0.77,14.82,15.25,8.62,3.16,16.65,11.09,6.63,1.23,15.19,11.45,7.64,2.34,12.98,8.76,4.8,0.09,18.09,13.24,8.2,,21.2,13.74,,,34.22,,137.72,26.36
盈利能力,摊薄净资产收益率,0.764431,10.363562,9.534157,8.443701,3.04889,15.043607,10.557364,6.512622,1.210445,14.098552,10.932986,7.506162,2.31198,12.101428,8.343698,4.668617,0.089353,5.529601,12.27933,7.815369,3.456939,18.763702,,,1.309063,16.252877,,63.793183,22.458462
盈利能力,净资产收益率_平均,0.769311,13.209506,12.089494,8.748681,3.129024,16.329597,11.117208,6.682868,1.225806,15.197784,11.521198,7.724129,2.340785,12.931372,8.730915,4.787982,0.089444,9.081335,13.162396,8.166823,3.524503,20.948546,,,1.319765,27.669866,,95.68511,22.458462
盈利能力,净资产收益率_平均_扣除非经常损益,0.782426,11.543837,10.574587,8.478427,3.150662,15.701706,10.862763,6.552531,1.289139,14.482691,10.953947,7.143636,1.94167,13.345453,9.524429,5.209648,0.489599,6.642101,8.451038,4.449387,2.940777,9.841124,,,1.092749,26.764749,,73.834923,-4.752827
盈利能力,摊薄净资产收益率_扣除非经常损益,0.777463,9.056756,8.339453,8.182868,3.069974,14.465164,10.315732,6.385606,1.272984,13.43518,10.394696,6.94205,1.917775,12.488933,9.102018,5.079771,0.489102,4.044358,,,,,,,1.083888,15.721228,,49.225699,-4.752896
盈利能力,息税前利润率,10.417458,22.073686,26.396684,25.724673,22.996757,23.631503,20.664659,19.921622,8.183534,25.3036,27.409946,31.017501,26.013411,25.363442,23.576688,21.87937,0.056217,16.956722,14.97824,15.399448,,22.761858,23.815069,,,21.219527,,19.604867,6.081971
盈利能力,总资产报酬率,0.80642,9.656972,8.954639,6.60964,2.425148,12.133637,7.781967,4.614946,0.758491,10.975189,8.731616,5.813533,1.910668,10.042091,6.716679,3.677758,0.003098,6.719188,7.354712,4.654538,,14.552909,,,,16.519874,,22.546714,4.805906
盈利能力,总资本回报率,0.969424,12.297493,11.277916,8.848972,3.265721,16.626813,10.698516,6.459303,1.045338,14.985915,11.729865,7.983253,2.599444,13.078497,8.574688,4.634068,0.003924,8.570813,11.414905,6.864642,,20.03869,,,,27.415818,,64.024568,14.524315
盈利能力,投入资本回报率,0.792024,11.798769,10.764408,7.536599,2.826184,14.779707,10.114939,6.123798,1.178482,14.174197,10.703743,7.187941,2.206117,12.213254,8.238839,4.655171,0.122952,8.492988,10.742796,6.60968,3.091655,17.744516,,,1.237903,24.303023,,57.910942,12.188853
盈利能力,息前税后总资产报酬率_平均,0.608728,9.262191,8.544177,5.629051,2.098619,10.785693,7.35748,4.37524,0.855099,10.380714,7.96778,5.234374,1.621561,9.37773,6.453603,3.694506,0.097073,6.658176,6.921667,4.481662,1.921059,12.886787,,,0.848501,14.644206,,20.393756,4.033132
盈利能力,毛利率,45.637953,48.317988,49.54044,50.728506,50.872316,48.86433,48.46577,50.677544,46.315292,51.989846,53.157922,51.600143,54.605382,48.900243,46.978869,46.9764,47.156943,42.534509,41.151638,42.358061,45.67364,43.777845,44.41409,45.201813,46.100218,45.138058,38.810053,44.191641,44.623678
盈利能力,销售净利率,7.058795,20.563027,24.592847,21.306858,18.862454,20.527625,19.065852,18.436008,8.702454,23.41671,24.460837,27.297963,21.263459,23.267537,22.286416,21.595754,1.218782,16.426258,13.673658,14.341714,13.696987,19.531061,20.14486,10.56084,7.955233,17.824959,-4.161767,16.815481,4.282783
盈利能力,成本费用利润率,11.044523,27.222352,33.926462,34.081605,29.418252,30.271478,25.576414,24.50135,8.520141,32.296143,36.354699,42.375092,31.935441,33.61058,31.336372,28.233266,-0.523999,18.647061,16.077508,16.200172,26.111231,24.903772,25.922905,21.93077,15.020454,24.463793,-11.048231,22.140646,5.284574
盈利能力,营业利润率,9.582023,21.438803,25.760491,25.067205,21.908092,23.139664,20.189881,19.474588,7.658373,24.789593,26.886368,30.445547,25.322442,24.947615,23.194467,21.467465,-0.557212,16.531661,14.488808,14.815701,14.052371,22.105854,23.117014,,8.126535,20.498208,-6.742565,18.880309,5.456168
盈利能力,总资产净利率_平均,0.54679,8.999218,8.345456,5.474864,1.989286,10.53994,7.179883,4.270796,0.806587,10.156769,7.792158,5.116389,1.561787,9.212264,6.349098,3.630085,0.067167,6.508989,6.714128,4.334834,1.921059,12.487283,,,0.848501,13.877127,,19.338761,3.384208
盈利能力,总资产净利率_平均(含少数股东损益),0.546424,8.996076,8.342717,5.474537,1.98916,10.539946,7.179883,4.270796,0.806587,10.156769,7.792158,5.116389,1.561787,9.212264,6.349098,3.630085,0.067167,6.508989,6.714128,4.334834,1.921059,12.487283,,,0.848501,13.877127,,19.338761,3.384208
成长能力,归母净利润,104288813.23,1395929467.13,1266066635.61,695772727.73,246333965.84,1153188090.0,758184480.97,443182595.18,80183413.97,910521979.19,672623050.06,439444219.54,130937182.52,668486949.72,440849319.33,236588451.67,4311124.71,266248156.63,148726148.4,89675980.48,37697336.27,196769941.64,122481990.11,37549500.0,11043400.0,134887342.44,-3988900.0,92530390.16,10860594.11
成长能力,营业总收入,1476441483.04,6786170247.76,5146419780.07,3265291841.84,1305866199.58,5617740375.66,3976661775.9,2403896730.5,921388511.56,3888342742.05,2749795700.9,1609805866.85,615784940.35,2873045516.26,1978107649.68,1095532237.0,353723933.82,1620869141.67,1087683648.69,625280772.35,275223279.06,1007471809.8,608006156.56,,,756732956.8,,550269055.81,253587250.17
