常用指标,每股净资产,11.12304,10.694843,10.550148,10.294356,10.09447,9.880871,9.572562,9.438149,9.497708,9.355984,9.222257,9.108501,9.13471,8.810172,8.771257,8.503008,8.518019,8.36451,7.978587,7.624027,7.646974,7.448233,6.770438,6.42454,6.360675,6.094542,5.926537,5.723352,5.791017,5.568284,5.68653,5.58233,5.502795,5.348056,5.2918,5.118313,,5.025179,4.777866,4.523324,4.115764,3.434331,2.931991,2.732617,2.272347,,2.146077,2.047806,1.956584,1.800337,1.72126,3.604736,3.491009,3.060144,2.707511,2.145888,1.931045,1.986974,1.018253,0.927819
常用指标,每股现金流,3.999018,10.707095,7.471161,7.751466,2.698235,3.803215,2.34245,-0.26115,0.074468,-2.585792,-0.561313,0.643752,-1.213444,5.15555,3.327972,3.855402,1.847901,1.433525,2.573313,1.654544,3.219748,-2.675934,-2.354408,-1.265342,-2.332912,4.798453,1.991147,2.336102,2.671442,0.588934,1.242167,1.06537,2.02924,-6.318911,-4.302339,-2.139699,,0.673041,-0.586523,0.596201,2.702274,9.982382,3.273616,3.124359,-0.126263,,-1.211671,-0.4009,0.844012,0.156424,-4.256124,,-1.179189,,11.306396,,-8.667148,14.823708,3.496752,
常用指标,净资产收益率(ROE),4.02,10.51,7.99,5.1,2.04,8.22,4.71,3.12,1.31,8.59,7.05,5.41,3.15,10.01,8.71,5.99,2.1,15.8,11.38,7.17,2.77,18.18,14.6,9.06,3.98,11.51,8.65,5.31,3.43,6.79,5.36,4.27,2.52,9.9,8.07,4.96,,18.1,,,40.0,,,22.9,,,14.24,7.355,11.97,,12.16,,25.82,,41.79,,,,,
常用指标,总资产报酬率(ROA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,毛利率,60.636339,50.711387,49.308917,49.676211,42.754115,41.57164,34.035488,33.606913,30.816634,40.865758,42.267846,45.659741,45.095043,34.467457,36.252679,38.0823,31.65883,43.653174,44.538336,45.893606,42.647016,52.097191,60.45469,59.567991,57.085395,52.32537,52.162965,51.761132,63.902849,37.044452,37.364438,42.419522,47.363444,47.441022,48.971597,48.586457,51.223478,52.69674,56.35483,56.861212,60.095126,61.955609,53.214733,52.449091,39.059886,,42.220162,46.714271,40.421254,32.882164,40.173546,31.202075,50.625667,53.042206,57.798683,60.015417,53.017587,58.33295,35.54315,-413.620859
常用指标,销售净利率,47.688981,40.537428,41.061274,42.049508,37.536575,34.244947,30.078797,30.048566,28.66155,30.319902,31.017891,32.047038,36.349377,27.271553,28.389256,30.386026,24.406574,34.263046,35.05116,36.448071,35.083926,40.840793,47.358491,46.346712,44.688429,40.382477,39.679481,39.656291,48.198343,28.453105,28.142916,32.423569,36.213548,35.933436,37.204245,36.799506,39.147752,40.073266,42.652145,43.016886,45.509219,46.617245,40.025796,39.571483,29.005999,,31.468639,34.48968,30.295431,24.949167,30.286516,23.445729,38.029482,39.50061,43.033155,45.249646,42.097379,31.649874,15.341642,-545.469998
常用指标,期间费用率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,资产负债率,77.149809,76.216351,76.970968,76.257309,76.978671,75.556505,76.560892,76.022538,75.930406,76.880081,76.632538,78.003224,77.238082,76.716326,74.942575,74.66442,75.372715,77.758029,77.518254,76.362759,77.627931,77.043037,78.280687,75.337537,73.773291,75.374923,71.90101,74.879912,71.695197,70.09355,70.079177,72.373445,73.646541,73.247637,72.374638,70.309152,,66.979027,70.299039,70.640055,72.843208,75.978657,73.645457,79.068949,71.998742,-44.152523,72.457121,66.878678,55.277081,57.124943,55.397619,46.993213,50.871988,51.405575,47.615332,42.807597,49.843355,44.12633,54.442756,23.184664
每股指标,基本每股收益,0.44,1.09,0.82,0.52,0.2,0.79,0.45,0.3,0.12,0.78,0.64,0.49,0.28,0.86,0.75,0.52,0.18,1.25,0.89,0.55,0.21,1.2,0.94,0.58,0.25,0.67,0.5,0.3,0.19,0.38,0.3,0.23,0.14,0.51,0.42,0.26,0.14,0.81,,,1.37,,,0.56,,,,0.145,0.25,,0.18,,0.35,,,,,,,
每股指标,稀释每股收益,0.44,1.09,0.82,0.52,0.2,0.79,0.45,0.3,0.12,0.78,0.64,0.49,0.28,0.86,0.75,0.52,0.18,1.25,0.89,0.55,0.21,1.2,0.94,0.58,0.25,0.67,0.5,0.3,0.19,0.38,0.3,0.23,0.14,0.51,0.42,0.26,0.14,0.81,,,1.37,,,0.56,,,,0.145,0.25,,0.18,,0.35,,,,,,,
每股指标,摊薄每股收益_最新股数,0.472805,1.216938,0.913873,0.581244,0.237555,0.931224,0.554018,0.368414,0.158295,0.906892,0.733708,0.555323,0.313606,0.967848,0.829803,0.564074,0.198759,1.319982,0.935689,0.583898,0.221982,1.225964,0.96575,0.590258,0.251499,0.709282,0.492448,0.300323,0.191823,0.398038,0.281753,0.218245,0.127608,0.517672,0.391055,0.239166,0.129615,0.678027,0.533553,0.356231,1.113725,0.530762,0.147313,0.439249,0.103682,0.017275,0.230376,0.115848,0.173035,0.06163,0.156195,0.051292,0.278556,0.132377,0.337428,0.151853,0.22416,0.315844,0.031388,-0.025186
每股指标,摊薄每股净资产_期末股数,11.12304,10.694843,10.550148,10.294356,10.09447,9.880871,9.572562,9.438149,9.497708,9.355984,9.222257,9.108501,9.13471,8.810172,8.771257,8.503008,8.518019,8.36451,7.978587,7.624027,7.646974,7.448233,6.770438,6.42454,6.360675,6.094542,5.926537,5.723352,5.791017,5.568284,5.68653,5.58233,5.502795,5.348056,5.2918,5.118313,,5.025179,4.777866,4.523324,4.115764,3.434331,2.931991,2.732617,2.272347,,2.146077,2.047806,1.956584,1.800337,1.72126,3.604736,3.491009,3.060144,2.707511,2.145888,1.931045,1.986974,1.018253,0.927819
每股指标,调整每股净资产_期末股数,10.968005,10.511214,10.378117,10.16846,9.944835,9.759186,9.461097,9.326085,9.385497,9.194115,9.017491,8.892076,8.786692,8.479707,8.456055,8.150073,8.197848,8.043887,7.711921,7.321387,7.367911,7.179304,6.573337,6.221001,6.183149,5.937634,5.774712,5.557062,5.647439,5.416392,5.535511,5.414327,5.367942,5.214754,5.157861,4.997789,,4.892025,4.664229,4.383938,3.973313,3.371194,2.859008,2.650393,2.233928,,2.098916,2.029021,1.937177,1.78888,1.699582,3.568764,3.45131,2.978343,2.61866,2.122002,1.905033,1.960627,1.008985,0.862581
每股指标,每股净资产_最新股数,11.12304,10.694843,10.550148,10.294356,10.09447,9.880871,9.572562,9.438149,9.497708,9.355984,9.222257,9.108501,9.13471,8.810172,8.771257,8.503008,8.518019,8.36451,7.978587,7.624027,7.646974,7.448233,6.674154,6.333175,6.270218,6.00787,5.842254,5.641959,5.708661,5.489096,5.605661,5.502942,5.140768,4.99621,4.943655,4.781581,,4.64928,3.757397,3.557221,3.236709,2.700818,2.305769,2.148977,1.787013,1.728958,1.687712,1.61043,1.538692,1.415816,1.353628,1.254759,1.215172,1.065194,0.942447,0.746954,0.67217,0.691638,0.35444,0.322961
每股指标,每股经营现金流,3.999018,10.707095,7.471161,7.751466,2.698235,3.803215,2.34245,-0.26115,0.074468,-2.585792,-0.561313,0.643752,-1.213444,5.15555,3.327972,3.855402,1.847901,1.433525,2.573313,1.654544,3.219748,-2.675934,-2.354408,-1.265342,-2.332912,4.798453,1.991147,2.336102,2.671442,0.588934,1.242167,1.06537,2.02924,-6.318911,-4.302339,-2.139699,,0.673041,-0.586523,0.596201,2.702274,9.982382,3.273616,3.124359,-0.126263,,-1.211671,-0.4009,0.844012,0.156424,-4.256124,,-1.179189,,11.306396,,-8.667148,14.823708,3.496752,
每股指标,每股现金流量净额,7.018938,6.274452,4.317925,2.35625,0.000914,4.91427,2.124026,-0.009855,0.374976,-1.601586,-0.600565,0.890131,-0.729253,2.454168,1.259195,1.703654,0.911735,3.254494,4.624312,2.262733,2.462795,-0.208672,-0.439242,-1.465134,-1.398384,6.420413,2.709286,3.254942,2.573712,-0.052186,0.229571,1.013191,1.52887,-2.978838,-1.827074,-0.960374,,-1.96759,-3.00476,-1.73889,5.314932,13.083801,3.386922,4.888652,0.583142,,-0.544026,-0.336041,-0.040155,-0.113989,-4.133458,,-1.701411,,10.649302,,-9.501907,14.74997,3.447028,
每股指标,每股企业自由现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每股指标,每股股东自由现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每股指标,每股未分配利润,4.763184,4.328009,4.54963,4.248046,4.100322,3.898437,3.949701,3.800857,3.879173,3.757918,3.868159,3.723635,3.785013,3.504685,3.677013,3.444041,3.501961,3.326284,3.351013,3.021343,3.05333,2.846073,2.998762,2.63321,2.540792,2.294257,2.342066,2.1487,2.221321,2.027781,2.249738,2.185559,2.209457,2.072505,2.140377,1.978187,,1.921213,2.383539,2.15817,1.70563,1.449014,0.960993,0.775088,0.522831,,0.420506,0.368136,0.28476,0.208251,0.146275,1.603897,1.471321,1.286691,0.912021,0.667057,0.452176,0.66089,0.014253,-0.072358
每股指标,每股资本公积金,1.589369,1.589369,1.591161,1.592391,1.592391,1.594865,1.5961,1.598588,1.600777,1.60081,1.60081,1.60081,1.60081,1.60081,1.60081,1.60081,1.60081,1.604759,1.604759,1.604759,1.610307,1.610307,1.144751,1.144751,1.144751,1.144751,1.144751,1.144751,1.144751,1.144751,1.144751,1.144751,0.977662,0.977662,0.977662,0.977662,,0.93912,0.235402,0.235402,0.235402,0.235402,0.235402,0.235402,0.235733,,0.235402,0.259604,0.251539,0.236825,0.219724,0.001864,0.015542,0.010258,0.032295,0.005172,0.00521,0.045117,0.000437,0.000177
每股指标,每股盈余公积金,1.130233,1.130233,1.015097,1.015097,1.015097,1.015097,0.910683,0.910683,0.910683,0.910683,0.823119,0.823119,0.823224,0.823224,0.724117,0.724117,0.724117,0.724117,0.583321,0.583321,0.583321,0.583321,0.467322,0.467322,0.467322,0.467322,0.39405,0.39405,0.39405,0.39405,0.352889,0.352889,0.372368,0.372929,0.316633,0.316633,,0.319717,0.287228,0.287228,0.287228,0.136364,0.136364,0.136364,0.075871,,0.075871,0.043256,0.043256,0.021234,0.021234,0.334551,0.337654,0.255958,0.255958,0.159446,0.159446,0.095215,0.001781,
每股指标,每股留存收益,5.893418,5.458242,5.564727,5.263144,5.11542,4.913534,4.860384,4.711541,4.789856,4.668601,4.691278,4.546754,4.608237,4.32791,4.401131,4.168159,4.226079,4.050402,3.934334,3.604664,3.636652,3.429395,3.466085,3.100532,3.008114,2.761579,2.736117,2.542751,2.615372,2.421832,2.602628,2.538448,2.581825,2.445435,2.45701,2.29482,,2.24093,2.670767,2.445398,1.992859,1.585379,1.097358,0.911453,0.598702,,0.496378,0.411393,0.328016,0.229486,0.16751,1.938449,1.808975,1.542649,1.167979,0.826504,0.611622,0.756105,0.016034,-0.072358
每股指标,每股营业收入,0.992119,3.006656,2.22895,1.384596,0.634148,2.723936,1.845481,1.228393,0.553629,2.996546,2.370052,1.735882,0.863818,3.553729,2.926911,1.859362,0.81638,3.851127,2.657149,1.589072,0.619284,3.010416,2.074067,1.294678,0.573044,1.790805,1.268179,0.772333,0.406422,1.426447,1.021541,0.688273,0.379384,1.559846,1.140535,0.707208,,1.847533,1.608617,1.063658,3.116591,1.449236,0.468005,1.407783,0.450448,,0.926175,0.427116,0.726279,0.314115,0.655793,0.628493,2.104289,0.962773,2.252637,0.964101,1.529735,2.866911,0.587776,0.013306
每股指标,每股营业总收入,0.992119,3.006656,2.22895,1.384596,0.634148,2.723936,1.845481,1.228393,0.553629,2.996546,2.370052,1.735882,0.863818,3.553729,2.926911,1.859362,0.81638,3.851127,2.657149,1.589072,0.619284,3.010416,2.074067,1.294678,0.573044,1.790805,1.268179,0.772333,0.406422,1.426447,1.021541,0.688273,0.379384,1.559846,1.140535,0.707208,,1.847533,1.608617,1.063658,3.116591,1.449236,0.468005,1.407783,0.450448,,0.926175,0.427116,0.726279,0.314115,0.655793,0.628493,2.104289,0.962773,2.252637,0.964101,1.529735,2.866911,0.587776,0.013306
每股指标,每股息税前利润,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盈利能力,净资产收益率(ROE),4.02,10.51,7.99,5.1,2.04,8.22,4.71,3.12,1.31,8.59,7.05,5.41,3.15,10.01,8.71,5.99,2.1,15.8,11.38,7.17,2.77,18.18,14.6,9.06,3.98,11.51,8.65,5.31,3.43,6.79,5.36,4.27,2.52,9.9,8.07,4.96,,18.1,,,40.0,,,22.9,,,14.24,7.355,11.97,,12.16,,25.82,,41.79,,,,,
