常用指标,每股净资产,19.946167,19.093033,17.431247,12.69923,11.510052,10.348963,9.623925,9.209619,9.014529,8.839492,8.596345,8.290603,8.164918,8.04098,7.659897,7.67093,7.470093,7.259487,5.428253,5.131671,5.032922,4.798599,4.632883,4.602154,4.401753,4.268443,4.11076,3.933701,3.992569,3.866188,3.753555,3.597974,3.452709,6.30823,6.099802,4.172053,3.986175,3.863844,3.666793,3.452582,8.61208,8.344836,8.270892,8.0543,,5.325095,,,4.837312,4.032476,3.328129
常用指标,每股现金流,2.42581,5.288282,2.738439,1.379554,0.491321,1.574502,1.422047,0.758578,0.209429,1.483474,0.823595,0.540173,0.122454,1.437685,0.406105,0.568365,0.413045,0.91766,0.699657,0.320008,0.157332,1.239612,0.914685,0.625227,0.45038,0.947071,0.982877,0.366044,0.195895,0.645354,0.450939,0.428462,0.091778,0.836747,0.2653,0.237382,0.287732,0.568863,0.349365,0.545718,0.631006,0.125773,-0.080856,0.103206,,1.853179,,,1.644456,1.615268,0.563347
常用指标,净资产收益率(ROE),7.62,35.56,29.06,21.48,9.74,13.95,9.55,5.84,2.85,9.35,8.12,4.92,1.79,12.14,9.84,7.01,2.42,16.16,15.12,9.9,4.77,14.81,11.88,7.55,3.09,14.03,11.46,7.14,3.2,13.59,11.55,7.32,3.21,14.67,11.63,7.62,3.11,17.4,12.26,7.4,3.15,13.81,14.55,10.1,4.57,18.46,,10.07,18.15,19.14,19.61
常用指标,总资产报酬率(ROA),4.14326,18.961824,15.42458,11.749849,5.644148,7.78061,5.223966,3.341475,1.626435,5.267166,4.703665,2.718592,1.193407,7.118953,5.954754,4.221938,1.926494,7.157563,7.121317,4.837813,2.399017,7.797193,6.887182,4.366933,1.983746,8.735642,7.565887,4.907374,2.235896,8.953924,8.235582,5.198484,3.144438,10.109926,8.189179,5.405356,2.509798,12.539825,7.632166,5.236639,2.522379,9.257237,5.926877,4.701162,,10.528452,,,10.615666,10.832509,9.303853
常用指标,毛利率,34.458493,35.223479,35.851932,36.222452,33.374705,22.724406,21.552732,20.60529,19.488409,20.697341,22.036064,20.960963,20.105925,18.14758,17.204785,18.363995,21.609059,20.372172,23.3549,23.959198,22.494422,23.656111,26.649195,25.898328,25.698705,25.753114,27.412024,28.703363,28.497853,27.561488,27.843136,27.832495,29.030259,25.968122,25.583765,25.393137,25.356611,27.320651,26.7098,27.317252,29.59712,24.369723,23.976855,25.432876,23.418391,23.55473,23.72522,23.848322,23.890257,21.10784,23.714736
常用指标,销售净利率,23.343257,22.350809,22.984764,23.731054,21.349132,10.757437,9.932945,9.453801,8.764455,8.464574,10.197427,9.38736,7.109967,10.027016,10.723242,11.373017,9.963082,9.020766,11.553137,11.570739,11.622972,9.26658,11.206982,11.212224,10.955062,11.912258,13.39869,13.815207,12.481903,11.516271,13.315761,13.036477,10.638421,11.539799,11.172239,11.122329,10.24006,12.767333,11.940117,12.056465,10.255965,9.850274,10.261557,10.914777,9.730362,9.492534,10.164792,10.751297,9.032758,8.121852,8.417506
常用指标,期间费用率,8.013803,8.580093,8.675451,8.191145,7.591858,9.914936,10.619897,10.270837,10.154174,10.369639,10.335619,10.249989,12.553739,7.974753,6.608362,7.672109,9.833802,10.297104,10.44213,11.096204,11.004432,12.231763,12.461454,11.737041,12.133778,11.445767,10.856366,12.079575,13.614459,11.139358,10.701313,12.085198,15.294186,12.188117,12.354704,12.722193,14.237443,11.541178,12.639582,14.271318,16.942477,12.298873,11.565239,12.913042,11.089172,11.860602,11.213771,10.7926,12.5288,11.637171,12.749862
常用指标,资产负债率,55.233938,52.850474,50.440877,53.765526,52.543992,53.440481,53.651386,53.68164,54.317843,56.132661,50.974841,51.930336,51.666972,51.503269,51.787347,53.17605,57.191966,53.423894,64.617071,64.331307,63.077037,61.4895,58.320345,55.077149,51.186783,52.436992,46.699724,46.14937,44.56638,44.874145,38.445237,38.907891,36.901093,34.067405,26.608908,33.699029,35.820958,38.702174,42.866597,40.628034,37.779928,37.060951,36.200305,33.526176,,54.422347,,,50.796108,58.450225,59.850285
每股指标,基本每股收益,1.48,5.01,3.78,2.5,1.07,1.34,0.89,0.53,0.24,0.78,0.68,0.4,0.14,0.92,0.74,0.53,0.23,0.86,0.8,0.5,0.23,0.67,0.54,0.33,0.13,0.6,0.46,0.28,0.13,0.49,0.42,0.26,0.11,0.4,0.51,0.31,0.12,0.62,0.43,0.25,0.27,0.39,0.77,0.57,0.25,0.94,0.73,0.51,0.8,0.7,
每股指标,稀释每股收益,1.48,5.0,3.75,2.5,1.07,1.34,0.89,0.53,0.24,0.78,0.68,0.4,0.14,0.92,0.74,0.53,0.23,0.86,0.8,0.5,0.23,0.67,0.54,0.33,0.13,0.6,0.46,0.28,0.13,0.49,0.42,0.26,0.11,0.4,0.51,0.31,0.12,0.62,0.43,0.25,0.27,0.39,0.77,0.57,0.25,0.94,0.73,0.51,0.8,0.7,
