常用指标,每股净资产,78.277312,73.865534,68.870925,64.685888,59.399087,56.076289,53.824627,44.61008,47.221625,44.943441,40.960939,38.718789,76.935847,67.340951,61.346502,57.231237,36.558033,36.258544,31.212711,29.522572,28.179852,27.563002,26.339108,17.97513,17.557846,17.268152,16.728816,15.756826,15.592766,15.005931,14.715739,14.186306,12.856949,12.633758,,11.5765,,25.253702,2.664028,1.284416
常用指标,每股现金流,7.379576,29.190563,17.677626,12.871918,7.464299,22.025909,15.319819,10.163881,6.446384,21.101444,11.974303,8.432188,8.584346,25.059766,10.640547,7.65522,3.035752,18.408729,12.316935,11.0528,4.707874,7.911615,4.424142,2.639896,1.4249,6.100324,4.675299,3.315782,2.26734,5.155433,2.552795,0.48716,-1.672384,1.197195,,-0.316922,,3.438858,1.412129,-0.694522
常用指标,净资产收益率(ROE),5.98,24.91,17.76,11.63,5.49,24.13,17.73,11.39,5.18,24.04,15.98,12.31,5.8,24.67,15.98,9.11,1.76,21.52,11.36,6.74,3.01,11.27,7.62,4.97,1.93,12.78,9.87,6.15,3.12,11.75,8.61,3.63,1.66,18.99,,10.52,-0.07,69.55,130.37,23.72
常用指标,总资产报酬率(ROA),2.708893,10.475312,7.475411,4.882033,2.260204,8.918732,6.690455,4.399408,1.967419,8.703388,6.204364,4.335015,2.047495,8.541582,5.635713,3.233938,0.868046,9.066937,5.715238,3.725161,1.825664,5.90997,4.032529,2.833662,1.196499,6.905008,5.4641,3.571924,1.748369,7.263393,5.849727,2.617811,1.217994,12.708788,,6.854426,,18.849508,21.197196,3.026102
常用指标,毛利率,24.815621,26.272847,25.309759,25.022968,24.407742,24.444896,28.185032,26.533444,26.415527,22.90913,21.915913,21.63327,21.268845,20.251246,18.949956,18.675464,14.484539,26.283506,27.511025,27.255689,27.279523,27.763267,27.405923,27.15074,25.091133,29.058386,29.079578,29.792556,28.709299,32.788133,31.278583,31.283603,32.761809,36.289064,35.696863,37.493352,37.756584,43.700448,38.641545,25.73374
常用指标,销售净利率,17.607891,18.122722,18.474758,18.092752,17.545252,14.918486,14.952341,14.918347,14.034766,11.663518,11.034534,11.346711,11.321631,10.181909,9.333527,8.559664,4.058182,13.701523,12.465633,12.082045,12.228871,12.130326,11.68122,11.385981,10.021417,10.947566,11.44464,11.579714,11.188522,12.61647,13.807728,11.431,12.643045,20.973574,23.651418,32.102329,1.134169,19.614488,16.668424,6.410321
常用指标,期间费用率,7.263992,6.988069,6.603365,6.161295,7.086201,7.659257,10.76304,11.276374,12.966099,9.938384,10.242314,9.460053,10.055336,9.369781,9.617364,10.204426,10.984528,11.343595,12.201838,12.228524,12.471377,13.596243,12.322154,13.268272,13.999794,13.540034,14.395967,14.069776,15.671916,15.80748,14.777592,18.656299,19.27848,18.975098,21.265577,23.45424,44.16325,19.254427,18.599045,25.402971
常用指标,资产负债率,62.32234,61.939285,61.274523,62.59267,64.743285,65.238244,64.333763,69.264027,68.484527,69.340079,69.924498,70.096171,67.397801,70.561865,70.239306,68.894459,75.124533,69.895303,67.817836,63.669869,58.840669,55.819555,51.671422,55.264772,57.368214,58.374886,57.959769,57.652164,56.006763,52.357328,45.872808,40.797505,43.581364,46.698145,,43.365683,,44.763728,82.724135,88.334082
每股指标,基本每股收益,4.58,16.14,11.02,6.92,3.18,11.58,8.1894,5.2,2.39,10.06,7.0958,4.7201,2.2407,7.1766,4.1502,1.9574,0.6439,6.876,3.3464,1.9416,0.8463,2.4942,1.5243,0.8833,0.3406,2.0937,1.6002,0.9674,0.4821,1.6412,1.17,0.4659,0.21,2.0084,,0.9499,-0.0189,1.8736,0.7755,
每股指标,稀释每股收益,4.58,16.14,11.02,6.92,3.18,11.58,8.1829,5.2,2.39,10.05,7.0844,4.7125,2.2342,7.1553,4.1287,1.9471,0.6405,6.8392,3.3323,1.9337,0.843,2.4848,1.519,0.8805,0.3396,2.0887,1.5959,0.9666,0.4816,1.6407,1.17,0.4659,0.21,,,,,,,
每股指标,摊薄每股收益_最新股数,4.482366,15.605995,10.59851,6.589231,3.017946,10.968243,7.781476,4.942168,2.271674,9.536617,6.731959,4.477947,2.12304,6.641976,3.802346,1.765485,0.322663,3.443485,1.675376,0.969151,0.422438,1.206814,0.725574,0.418734,0.160389,0.98569,0.748794,0.454432,0.226354,0.732093,0.514102,0.196898,0.089343,0.838203,0.555604,0.401368,-0.002526,0.616408,0.201155,0.011763
每股指标,摊薄每股净资产_期末股数,78.277312,73.865534,68.870925,64.685888,59.399087,56.076289,53.824627,44.61008,47.221625,44.943441,40.960939,38.718789,76.935847,67.340951,61.346502,57.231237,36.558033,36.258544,31.212711,29.522572,28.179852,27.563002,26.339108,17.97513,17.557846,17.268152,16.728816,15.756826,15.592766,15.005931,14.715739,14.186306,12.856949,12.633758,,11.5765,,25.253702,2.664028,1.284416
每股指标,调整每股净资产_期末股数,67.186757,63.078012,58.051492,54.411452,49.164409,46.077943,44.288463,34.947904,37.932737,36.197189,32.695824,31.154967,63.649836,58.324643,53.909482,50.814037,30.585735,31.189859,27.371078,26.047101,25.34923,24.902939,23.979693,15.582311,15.233666,15.038676,14.910356,14.066677,14.119394,13.642317,13.557593,13.103679,11.713983,11.529757,,10.735535,,23.621307,1.081861,-0.030613
每股指标,每股净资产_最新股数,77.220765,72.864384,67.923343,63.746337,56.534556,53.37286,51.217066,42.414514,44.899915,42.733741,38.930954,36.792132,40.615277,35.551912,32.360112,30.189321,18.418062,18.267178,15.712634,14.86181,14.188718,13.87813,13.261892,8.575181,8.380993,8.242712,7.985267,7.473774,7.397887,7.119467,6.981787,6.661362,5.433431,5.339109,,4.892305,,3.347804,0.270974,0.055524
