常用指标,每股净资产,7.88125,7.363525,6.847725,6.790646,7.524621,7.079889,6.564574,6.606706,6.879314,6.429524,6.082174,6.094017,9.173697,8.752401,8.214494,7.450566,7.556606,7.017129,6.508364,6.005225,6.181754,5.766892,5.399049,4.998761,7.946165,7.332984,6.881651,6.254945,12.460008,11.682409,11.131753,10.241444,20.42617,19.245044,18.35331,34.396996,33.95274,14.366182,,9.968567,,7.895688,4.373651,4.47321,3.76446,2.602078
常用指标,每股现金流,0.199927,1.446528,1.152316,0.753406,0.349451,1.985203,1.559321,0.880886,0.262264,1.42576,0.949495,0.525114,0.306368,2.354453,1.776351,0.820003,0.256147,1.226943,0.666714,0.512782,0.207359,1.250032,0.856132,0.608713,0.470219,1.822466,1.281759,0.702905,0.56785,2.281937,1.581968,1.087024,0.949091,3.452285,2.28947,3.001619,1.353881,6.254244,,2.753427,,4.109766,1.142133,2.326833,1.626432,1.231557
常用指标,净资产收益率(ROE),6.79,28.38,21.39,13.33,6.09,30.68,24.1,15.79,6.76,25.64,19.81,12.59,5.23,30.9,25.84,16.78,7.4,28.26,21.94,14.64,6.94,26.88,21.89,14.21,7.99,31.47,25.13,16.21,7.19,26.9,21.32,13.48,6.61,26.67,23.52,17.85,16.14,71.36,,37.2,15.51,74.51,18.29,59.41,51.13,69.41
常用指标,总资产报酬率(ROA),6.660382,27.735087,22.165477,14.255861,6.147928,31.034728,25.127631,16.583003,6.856234,24.946084,20.767068,13.168524,5.293414,30.247903,25.977815,17.333747,7.433912,27.480967,22.119242,14.972346,6.99125,26.4697,21.985828,14.398928,8.04473,31.760168,26.12867,16.490726,7.878067,27.622917,22.369419,14.496716,7.326838,32.65526,29.106171,18.665083,8.845305,64.627069,,35.567597,,65.727117,15.427638,50.978959,45.94424,49.791537
常用指标,毛利率,65.237071,63.319558,63.945615,65.181411,64.537228,65.446163,65.809826,65.254618,64.627801,65.720282,65.80147,65.205286,64.459256,63.011256,62.154692,61.866293,61.811216,61.548841,62.089476,62.829019,63.752057,66.015339,66.767323,67.268892,67.831721,66.000415,65.690698,65.188995,65.341672,61.788219,61.173989,60.56461,60.976281,62.080557,62.843543,63.100194,64.295956,63.130991,63.059924,62.47146,60.990861,58.632788,57.974383,55.259108,53.590989,52.238869
常用指标,销售净利率,45.794716,43.105132,45.555186,46.79678,46.638368,47.1037,50.237527,51.003507,48.865498,46.23292,50.072611,50.374926,47.591326,45.268382,50.022602,48.628812,46.740146,43.864675,48.174399,48.847165,50.350168,46.42664,51.394134,53.73564,56.276028,49.623244,52.960441,51.662119,48.960079,46.904049,50.30772,48.800508,47.606153,42.571362,44.884416,44.557173,45.108468,46.801367,43.808262,43.01015,39.666804,37.409841,35.986549,30.831692,29.850163,29.601323
常用指标,期间费用率,18.395233,17.559083,15.155052,15.074657,15.332013,16.718328,13.58868,12.569973,15.156822,20.054912,16.364634,16.056106,21.705436,15.368474,9.557245,10.209203,13.637173,18.259888,14.001803,14.12339,14.515512,20.494556,16.211687,15.453415,13.194298,16.120199,12.615716,12.215634,15.636482,14.913582,13.141351,12.500415,14.323772,17.247235,14.645625,13.352159,12.781206,13.181577,11.681583,12.40302,14.716323,15.593372,15.760072,20.310583,21.544974,18.137699
常用指标,资产负债率,7.577562,12.787774,11.336671,8.999063,6.482525,8.459155,8.995776,8.104903,5.857053,8.547834,7.892639,8.714305,5.808809,8.312967,7.663033,8.81679,7.61748,10.889204,7.963976,11.558624,8.738756,9.966296,7.612535,11.36749,9.47938,8.936716,7.553685,13.84582,5.039858,6.681832,4.592344,4.625136,3.636655,4.924343,4.350725,5.079038,4.042975,11.341642,,12.9614,,15.347569,33.255561,29.442435,28.40501,27.138662
每股指标,基本每股收益,0.5177,2.0551,1.549,0.9808,0.4447,2.0951,1.6337,1.0763,0.4499,1.5906,1.2772,0.815,0.3346,1.7231,1.9768,0.9,0.5418,1.7986,1.3595,0.8997,0.4177,1.4271,1.1247,0.7202,0.4083,1.3786,1.6406,0.6771,0.4369,1.4254,2.2218,0.6866,0.6574,2.2606,3.4886,1.1674,1.891,3.86,,3.32,1.3271,4.42,0.9,2.69,1.79,1.53
每股指标,稀释每股收益,0.5173,2.0544,1.5473,0.9795,0.4442,2.0928,1.6337,1.0763,0.4499,1.5906,1.2772,0.8144,0.3343,1.7216,1.9754,0.8986,0.5406,1.7947,1.3557,0.8974,0.4169,1.4249,1.1236,0.7196,0.4082,1.3774,1.6369,0.6768,0.4362,1.4253,2.2218,0.6866,0.6574,2.2606,3.4886,1.1674,1.891,3.86,,3.32,1.3271,4.42,0.9,2.69,1.79,1.53
每股指标,摊薄每股收益_最新股数,0.517643,2.052753,1.54561,0.978809,0.443657,2.090049,1.629689,1.073706,0.448822,1.586742,1.274126,0.812617,0.333817,1.718905,1.405787,0.897315,0.384228,1.27563,0.961511,0.636354,0.295438,1.009341,0.795453,0.509399,0.288766,0.975062,0.775803,0.47893,0.206001,0.672101,0.523807,0.323738,0.154977,0.466331,0.376955,0.240821,0.111453,0.341248,0.236699,0.146873,0.058661,0.195455,0.039802,0.11885,0.079007,0.067809
每股指标,摊薄每股净资产_期末股数,7.88125,7.363525,6.847725,6.790646,7.524621,7.079889,6.564574,6.606706,6.879314,6.429524,6.082174,6.094017,9.173697,8.752401,8.214494,7.450566,7.556606,7.017129,6.508364,6.005225,6.181754,5.766892,5.399049,4.998761,7.946165,7.332984,6.881651,6.254945,12.460008,11.682409,11.131753,10.241444,20.42617,19.245044,18.35331,34.396996,33.95274,14.366182,,9.968567,,7.895688,4.373651,4.47321,3.76446,2.602078
每股指标,调整每股净资产_期末股数,7.665508,7.141446,6.629985,6.572467,7.306669,6.860797,6.342179,6.381893,6.652427,6.196833,5.84693,5.857357,8.851758,8.426347,7.851747,7.085487,7.191609,6.649913,6.14115,5.634919,5.809138,5.392444,5.032283,4.642459,7.407991,6.863736,6.81109,6.184701,12.323676,11.545054,11.005642,10.115446,20.172913,18.995229,18.101217,33.891207,33.444306,13.686112,,9.262884,,7.184382,3.643527,3.737324,3.032062,2.544683
每股指标,每股净资产_最新股数,7.880636,7.362709,6.846878,6.788635,7.506372,7.062719,6.548654,6.590684,6.862631,6.413931,6.067424,6.081909,6.52877,6.22894,5.846121,5.306493,5.382018,4.997788,4.635431,4.280278,4.402675,4.107209,3.846098,3.560947,3.759502,3.469822,3.25412,2.95777,2.946074,2.762217,2.624409,2.414511,2.407825,2.268595,2.163477,2.027349,2.001164,0.635025,,0.440638,,0.349011,0.193327,0.197728,0.166399,0.115019
每股指标,每股经营现金流,0.199927,1.446528,1.152316,0.753406,0.349451,1.985203,1.559321,0.880886,0.262264,1.42576,0.949495,0.525114,0.306368,2.354453,1.776351,0.820003,0.256147,1.226943,0.666714,0.512782,0.207359,1.250032,0.856132,0.608713,0.470219,1.822466,1.281759,0.702905,0.56785,2.281937,1.581968,1.087024,0.949091,3.452285,2.28947,3.001619,1.353881,6.254244,,2.753427,,4.109766,1.142133,2.326833,1.626432,1.231557
每股指标,每股现金流量净额,0.08419,0.303353,0.259053,0.235203,0.237717,0.040182,0.130278,0.250495,0.086609,-0.017682,-0.088335,-0.031241,-0.067059,0.278871,0.381087,0.184345,0.266192,-0.155289,-0.174044,-0.01598,-0.089836,0.227453,-0.01456,0.113404,0.030882,-0.445063,0.031366,0.014388,0.032349,0.947739,0.539541,0.173147,0.202018,-3.059513,-1.162319,-1.21443,22.526305,5.078205,,1.389265,,1.881649,0.037911,0.441428,0.54887,0.544195
每股指标,每股企业自由现金流量,,1.842045,,1.261905,,1.352438,,0.812105,,1.45062,,1.034061,,0.707703,,0.913781,,0.653618,,0.679492,,0.576054,,0.5889,,0.637177,,0.590592,,0.744384,,0.762926,,-9.930716,,-19.566157,,1.290498,,,,1.104134,,1.978275,,
每股指标,每股股东自由现金流量,,1.842045,,1.261905,,1.352438,,0.812105,,1.45062,,1.034061,,0.707703,,0.913781,,0.653618,,0.679492,,0.52061,,0.688284,,0.721682,,0.590592,,0.744384,,0.762926,,-9.930716,,-19.566157,,1.290498,,,,1.104134,,1.978275,,
每股指标,每股未分配利润,5.710519,5.193007,4.687025,4.62095,5.392966,4.94823,4.486751,4.528773,4.801405,4.351492,4.181532,4.215649,6.538949,6.069896,5.629928,4.910344,4.989946,4.450471,4.0624,3.602408,3.77704,3.362177,3.204668,2.804364,4.656117,4.043392,3.829993,3.203307,6.356942,5.484226,5.122571,4.273953,8.716263,7.401553,6.893351,11.477,11.207093,12.422041,,8.024698,,5.951982,2.430629,2.530188,1.989294,1.00565
每股指标,每股资本公积金,0.770076,0.769107,0.773779,0.768629,0.729525,0.729525,0.675874,0.675874,0.675874,0.676002,0.641541,0.649585,1.250894,1.250894,1.152918,1.168029,1.168029,1.168029,1.100285,1.114789,1.094697,1.094697,1.032608,1.032608,1.893937,1.896277,1.845767,1.845767,4.692378,4.692378,4.604802,4.604802,10.209605,10.209605,10.209605,21.41921,21.369846,0.443022,,0.443022,,0.443022,0.443022,0.443022,0.443022,0.443022
