常用指标,每股净资产,24.292415,24.342476,24.594306,23.83719,23.734676,23.89813,24.35401,24.007402,24.222132,24.101714,24.139658,23.5966,23.091004,22.446828,21.997649,21.382591,21.096009,20.773531,19.696865,19.498372,18.823446,18.474352,18.325373,6.919283,6.030633,5.637645,5.154935,7.339316,5.500929,5.335284,5.539667,5.342408,5.277127,5.005303,4.753903,4.700547,3.52114,3.425852,3.253226,3.208482,3.18986,2.313219,2.153393,2.068156,4.110802,4.016114,3.733924,3.57257,7.25166,6.966061,6.691452,6.493601,13.332752,12.922445,12.522433,4.334189,,3.529018,,,2.334252,1.412388
常用指标,每股现金流,0.368982,1.298549,0.858925,0.474572,0.228839,1.268285,0.669137,0.205016,0.165292,1.318677,0.771011,0.429887,0.032677,1.55602,0.946088,0.411604,0.347392,1.631973,0.834957,0.554203,0.273173,1.144634,0.592475,0.293118,0.118638,0.703872,0.453955,0.252035,0.102273,1.044116,0.688699,0.397402,0.171311,0.629719,0.277264,0.220084,0.187398,0.404137,0.124746,0.045373,-0.051461,0.428629,0.159746,0.119603,0.121817,0.203055,0.06985,-0.022061,-0.160634,0.721906,0.430285,0.122509,0.061365,0.280571,0.399494,0.202717,,0.967288,,,0.664643,0.73161
常用指标,净资产收益率(ROE),0.23,4.29,4.89,1.86,0.8,1.94,3.85,2.32,1.12,9.95,9.21,6.83,2.86,10.72,8.6,6.43,2.83,16.75,10.62,7.58,2.54,18.68,18.63,21.0,5.83,23.65,17.14,11.31,5.39,17.52,12.14,8.42,3.76,13.74,9.7,6.33,2.63,9.34,6.84,5.46,3.93,17.23,12.23,8.48,4.07,15.44,11.05,7.1,3.53,13.2,9.55,6.55,3.13,20.2,21.29,20.48,9.09,40.76,,22.15,41.82,20.28
常用指标,总资产报酬率(ROA),1.497934,3.835799,4.52157,1.73882,0.611052,2.761517,3.730773,2.520973,1.139543,9.132,7.679937,5.784862,2.211852,10.426555,7.417631,6.111517,2.577753,17.154744,10.420874,8.351822,3.493041,16.786931,12.054644,13.801644,3.649992,19.125005,13.098449,8.512419,4.333837,15.908439,10.957895,7.633647,3.279503,14.834181,10.925292,6.770131,2.973198,11.062786,8.274273,6.24092,3.164978,15.108187,11.679095,8.810594,4.034161,16.261323,10.757832,8.640234,3.889502,14.382736,9.355252,7.419165,2.928045,17.11531,11.803743,19.019914,,37.140998,,,38.756171,12.17359
常用指标,毛利率,26.638888,27.414736,29.161453,30.087532,30.033105,33.953845,38.879863,39.694778,37.834117,38.576836,40.342743,39.912331,39.650549,39.636937,40.114056,39.699301,38.828509,43.553054,46.766309,47.567717,46.921374,47.434551,48.483521,48.455769,46.241356,46.477345,46.901532,47.55342,44.682684,43.107042,42.664349,45.83082,44.929413,42.940939,43.121193,43.151516,42.803654,38.028929,40.843658,41.530413,43.805592,44.122437,46.947288,47.37229,45.565954,47.323339,48.216428,50.271287,49.267552,45.077534,45.020073,45.836645,47.920032,48.81698,48.592339,47.267665,47.808735,47.686979,48.529575,48.822093,48.094609,38.423053
常用指标,销售净利率,18.322976,11.782228,21.721245,11.162421,7.031377,6.782116,17.821705,16.60328,18.827223,29.115863,35.888061,37.94521,31.493664,32.061739,32.782616,36.659691,31.573984,65.055672,64.380304,77.283899,80.110396,63.55964,60.986949,71.345129,39.89089,34.791821,28.418892,28.280704,24.921172,22.028341,21.46063,22.648197,21.040812,19.689779,19.753981,18.962627,14.502047,13.348286,13.265495,15.226581,15.982113,18.17052,18.851639,20.012579,18.359061,21.838557,21.590652,24.4878,23.428402,28.155156,27.42645,27.63221,28.740075,26.670127,24.969777,26.416045,26.604735,24.887428,23.288506,25.26722,26.241879,12.108202
常用指标,期间费用率,17.454196,19.290917,19.373562,20.104409,20.458938,18.489786,17.894639,17.466845,15.992404,13.417417,13.270212,12.812621,14.651289,12.088368,11.492364,11.716915,12.328985,12.896134,13.658674,13.847877,14.469716,22.927704,25.737559,20.838426,22.183144,20.130554,19.249815,19.575246,21.38427,20.171189,20.689585,21.589685,24.065374,20.008425,20.198201,20.112894,22.631158,22.533531,23.087982,22.104499,24.758988,20.501139,23.871757,24.241996,25.222538,19.459189,18.827352,17.98282,18.44697,13.694187,12.082331,11.986653,13.148093,16.672427,17.241506,16.019244,16.758832,16.302993,16.023716,15.021033,17.109285,23.39812
常用指标,资产负债率,14.706574,14.465952,14.162808,15.930573,16.780547,16.066876,19.347596,20.87522,18.413233,17.611352,18.359714,19.243228,17.228314,17.362788,18.22346,16.364793,14.634597,13.209012,10.724338,9.301873,8.733245,8.446522,6.921768,28.315083,28.901011,26.69715,20.774424,25.839577,29.245397,29.104913,23.010059,23.371522,24.610376,21.326845,21.216648,18.65171,20.598917,22.967701,24.694289,26.249525,24.391255,33.795535,28.696981,17.171883,19.151148,32.462767,30.932307,11.907951,11.048522,6.542685,4.205635,4.464288,4.707367,5.256163,5.027364,16.970088,,21.810111,,,20.117114,34.324428
每股指标,基本每股收益,0.06,1.04,1.19,0.45,0.19,0.47,0.94,0.57,0.27,2.34,2.17,1.61,0.66,2.32,1.86,1.38,0.6,3.31,2.05,1.44,0.52,2.2,1.7139,1.34,0.34,1.13,0.7045,0.474,0.1941,0.63,0.6356,0.4372,0.1917,0.6121,0.4006,0.2392,0.09,0.3,0.2115,0.1658,0.09,0.36,0.2569,0.18,0.09,0.29,0.1986,0.1269,0.13,0.44,0.3152,0.2166,0.21,0.76,0.56,0.8051,0.37,1.19,0.82,0.58,0.8,0.23
每股指标,稀释每股收益,0.06,1.04,1.19,0.45,0.19,0.47,0.94,0.57,0.27,2.34,2.17,1.61,0.66,2.32,1.86,1.38,0.6,3.3,2.04,1.44,0.52,2.19,1.7037,1.33,0.34,1.13,0.7045,0.47,0.1941,0.63,0.6356,0.4372,0.1917,0.6121,0.4006,0.2392,0.09,0.3,0.2091,0.1658,0.09,0.36,0.2545,0.18,0.09,0.29,0.1979,0.1266,0.13,0.44,0.3152,0.2166,0.21,0.76,0.56,0.8051,0.37,1.19,0.82,0.58,0.8,0.23
