常用指标,净资产收益率(ROE),2.1,11.6,8.05,4.97,2.21,13.7,10.9,8.54,1.83,13.91,10.13,7.09,3.24,13.28,9.28,5.69,2.46,17.31,11.18,6.21,2.73,14.13,9.67,6.0,1.3,16.7,11.62,5.88,2.06,15.49,10.92,5.7,2.02,12.28,8.42,18.32,26.77,8.85
常用指标,总资产报酬率(ROA),1.668561,8.253496,5.914485,3.692363,1.688606,9.265042,7.254405,5.51855,1.311611,8.601702,6.772549,4.652487,2.279277,9.432219,6.993077,4.41125,1.920289,13.163076,8.500039,4.710045,2.33763,12.298424,8.920486,5.479077,1.283089,9.704422,8.487559,4.51485,1.690868,11.050884,7.730719,4.329853,,10.078167,,11.660067,9.93071,4.538371
常用指标,毛利率,32.495836,34.832232,34.224831,33.968397,33.655229,34.239232,33.869936,33.387291,32.655694,35.746971,35.955749,36.33074,35.792095,36.706528,36.487255,35.011349,33.079472,35.988696,36.565705,36.31018,34.73366,37.469276,37.744676,36.412263,33.461878,35.515565,33.594916,32.067673,32.899993,32.483732,31.811115,30.066188,33.657626,32.736478,33.820354,29.004975,27.516674,25.093069
常用指标,销售净利率,8.674488,11.03354,10.56822,10.132501,9.024568,13.963755,15.528683,19.322927,8.084642,13.709318,13.253377,13.901619,12.85428,13.17065,12.754349,12.197434,11.267876,21.764195,18.936564,16.657975,15.890586,22.342844,21.36737,21.276782,9.714109,14.124333,12.086871,9.574131,6.853139,11.65789,11.323567,9.584762,6.809134,9.895909,9.385313,10.825341,6.546452,2.656145
常用指标,期间费用率,20.864378,19.686768,20.167712,20.357277,20.478164,20.001524,21.072324,21.431893,22.882021,20.046265,21.185142,21.099869,21.522039,21.30497,20.784571,19.925568,19.840487,16.086134,15.548107,14.981126,15.900903,18.186068,16.894555,15.473289,16.554947,18.728491,17.749576,19.597229,23.145925,17.876291,17.326752,17.500823,24.271482,20.408523,21.820772,17.105535,20.258782,21.332827
常用指标,资产负债率,40.078395,41.910898,41.157057,40.988813,39.809192,40.558216,40.492075,40.549295,47.088305,50.001171,43.376584,45.03413,46.432722,47.103391,46.510305,45.752148,44.564602,44.014154,43.522484,44.222134,28.28595,24.981983,18.657155,17.777708,14.617037,21.107316,44.908798,45.463296,44.917579,49.369149,49.969835,50.135543,,48.706237,,37.123049,85.659853,72.275374
每股指标,基本每股收益,0.186,0.9443,0.6477,0.3984,0.1736,1.0133,0.8028,0.6282,0.13,0.9033,0.643,0.4442,0.1968,0.775,0.8118,0.3294,0.2103,1.3988,1.3131,0.4751,0.3105,1.4825,0.9976,0.6053,0.1285,0.8284,0.506,0.25,0.0855,0.5638,0.39,0.1972,0.0691,0.39,0.26,0.35,,
每股指标,稀释每股收益,0.185,0.9393,0.6467,0.3978,0.1733,1.0113,0.8019,0.6271,0.1298,0.9019,0.6421,0.4436,0.1967,0.7739,0.8111,0.3293,0.2099,1.3691,1.3104,0.4747,0.3096,1.4781,0.9951,0.6045,0.1282,0.8282,0.506,0.25,0.0855,0.5638,0.39,0.1972,0.0691,0.39,0.26,0.35,,
每股指标,摊薄每股收益_最新股数,0.182529,0.905629,0.620977,0.381756,0.166319,0.976088,0.773859,0.606004,0.125488,0.871447,0.619957,0.427856,0.189549,0.748172,0.523113,0.31864,0.135573,0.904067,0.566087,0.30743,0.133824,0.638106,0.429461,0.260689,0.055254,0.297826,0.178731,0.087805,0.029606,0.184633,0.125526,0.066489,0.02222,0.125651,0.084539,0.096289,0.040193,0.011427
每股指标,摊薄每股净资产_期末股数,8.958048,8.468515,8.217879,8.022711,7.896866,7.659075,7.489768,7.280354,7.032049,6.914111,6.551841,6.344976,9.050243,8.688589,8.566389,8.359748,12.599532,12.504373,12.036837,11.54107,11.451988,11.166238,10.655464,10.23916,9.89148,9.777424,4.562818,4.318033,4.30074,3.9429,3.770417,3.580052,,3.382083,,2.985495,1.285981,2.065961
