常用指标,每股现金流,1.869652,4.831694,3.785842,2.95082,1.092904,2.691206,1.511758,1.108518,0.357597,2.055846,0.777591,0.54482,0.346917,1.097836,0.168332,0.101385,0.082123,1.518079,0.236726,0.383326,-0.339974,0.798812,0.177067,0.290676,-0.186968,0.725691,0.315027,0.19102,0.214457,1.337879,1.343913,0.894937,0.073073,1.174914,0.849492,0.216525,,1.239076,,0.550041,2.0198,1.724261
常用指标,净资产收益率(ROE),2.95,21.67,18.1,12.68,5.86,23.07,16.69,10.28,4.72,21.94,14.03,9.03,4.96,20.21,12.42,9.31,5.76,16.74,10.21,7.71,4.81,11.73,7.28,5.3,1.31,7.13,3.57,2.55,1.09,10.86,8.86,7.48,4.22,41.37,32.71,25.35,15.5,55.63,46.24,49.99,29.07,20.48
常用指标,总资产报酬率(ROA),1.900532,10.130496,7.857893,6.213346,3.104938,10.799654,8.017109,5.39847,2.523613,9.907402,6.743211,4.796183,2.851496,9.860505,7.263823,5.881818,3.654255,9.800176,7.276739,5.697933,3.541651,7.686423,5.779812,4.416529,1.056312,4.248831,2.854859,2.016308,0.921838,7.135196,6.76905,5.74775,3.066696,13.464583,12.941959,9.720726,,18.638285,,16.181436,11.269085,7.512725
常用指标,毛利率,18.596436,19.068611,19.700727,20.327297,20.520414,19.876751,20.550222,20.326834,19.338518,20.443323,19.880333,20.652496,21.085586,23.034318,23.734759,23.981815,23.959273,24.603663,24.52116,24.877471,25.035021,23.386351,22.978887,22.243774,20.35634,22.746658,22.81877,22.079666,20.557087,23.991651,25.140875,25.829359,26.562852,25.777111,26.152036,26.026184,26.347396,26.948593,27.105496,26.961883,24.273299,25.191801
常用指标,销售净利率,7.19615,7.595624,8.079222,8.425749,8.638613,7.307071,7.469366,7.235812,6.903202,7.036579,6.621786,6.943571,8.272908,7.844194,6.77854,8.029704,10.031099,8.692696,7.770457,9.038568,11.184299,7.621538,7.403825,8.835875,4.824657,5.475048,4.02865,4.500023,4.334036,7.69405,8.321289,10.028025,11.440189,10.247243,10.545262,11.411668,12.740192,10.39669,11.525652,9.747618,6.20642,5.53468
常用指标,期间费用率,12.529427,11.06223,12.137206,12.189687,13.269173,11.531643,12.206469,12.672893,12.962343,12.90877,13.402305,14.257754,14.116154,15.269675,15.661837,14.529675,12.769273,15.344931,15.537112,14.989522,13.428239,15.725483,17.213669,18.00024,20.051909,18.438754,20.018188,19.871446,18.24276,15.204411,15.253662,13.789338,12.223627,12.743519,12.675405,11.744944,10.529406,13.732221,12.79274,14.736939,15.888485,18.641139
常用指标,资产负债率,49.356408,47.855545,45.73284,54.881909,52.957286,54.543627,53.023913,50.794307,54.176853,55.256482,55.580228,52.332952,51.898947,52.437343,53.103822,47.699653,45.701968,46.644113,40.534698,37.944607,36.457351,38.503442,32.882849,28.433046,27.295377,33.547683,28.350489,27.50048,28.921557,30.021919,32.192451,32.351966,32.343554,40.291823,63.963247,66.900299,,71.53205,,71.976635,72.10329,66.879
每股指标,基本每股收益,0.77,4.35,3.23,2.21,1.05,3.63,2.55,1.51,0.7,2.81,1.74,1.1,0.6,2.15,1.25,0.94,0.57,1.51,0.89,0.67,0.42,0.94,0.58,0.42,0.1,0.53,0.26,0.19,0.08,0.76,0.61,0.52,0.29,1.37,1.04,0.79,0.48,1.31,1.03,0.8,,
每股指标,稀释每股收益,0.78,4.34,3.22,2.21,1.05,3.62,2.54,1.51,0.7,2.8,1.72,1.09,0.59,2.13,1.24,0.94,0.57,1.51,0.89,0.67,0.42,0.94,0.58,0.42,0.1,0.53,0.26,0.19,0.08,0.76,0.61,0.52,0.29,1.37,1.04,0.79,0.48,1.31,1.03,0.8,,
每股指标,摊薄每股收益_最新股数,0.773258,4.11117,2.995454,2.048491,0.975602,3.359323,2.357213,1.404837,0.644713,2.591675,1.609104,1.017182,0.55382,1.983624,1.15996,0.873074,0.532795,1.395625,0.823299,0.619365,0.38269,0.8682,0.533378,0.384665,0.092868,0.489514,0.239166,0.171305,0.072955,0.697243,0.56665,0.48073,0.268455,1.032901,0.785365,0.599076,0.360729,0.98906,0.776956,0.601321,0.27735,0.168761
每股指标,摊薄每股净资产_期末股数,25.400256,25.832773,24.534337,17.365088,18.426631,17.376533,16.136683,15.072016,15.056095,14.327834,13.060378,12.369085,12.339327,11.664112,10.619858,10.24641,10.252777,9.614435,9.021871,8.802106,8.845638,8.436746,8.045495,7.876862,7.764034,7.664836,7.287282,7.214485,7.300545,7.222456,7.080731,6.985533,7.055142,6.76437,3.557174,3.310527,,2.847792,,1.934471,6.309454,5.191622
每股指标,调整每股净资产_期末股数,23.795474,24.144191,23.03092,15.787143,16.934448,15.771579,14.626621,13.610598,13.526308,12.96331,11.837287,11.148527,11.173765,10.684857,9.606025,9.354276,9.392705,8.717783,8.095052,7.850191,7.8989,7.44125,7.045137,6.868429,6.708141,6.801112,6.471032,6.415759,6.525715,6.612845,6.524769,6.409236,6.478436,6.157058,2.808153,2.588364,,2.165612,,1.540162,4.345073,3.445477
每股指标,每股净资产_最新股数,25.400256,25.834216,24.535708,16.147107,17.134506,16.158044,15.006398,14.016304,14.001498,13.324664,12.14977,11.506676,11.478993,10.852341,9.880763,9.533305,9.539229,8.945313,8.314262,8.111734,8.151852,7.77503,7.414466,7.259059,7.155081,7.063663,6.715721,6.648634,6.727944,6.65598,6.525371,6.437639,6.501789,6.233823,2.682144,2.49617,,2.147262,,1.45861,0.991637,0.815951
每股指标,每股经营现金流,1.869652,4.831694,3.785842,2.95082,1.092904,2.691206,1.511758,1.108518,0.357597,2.055846,0.777591,0.54482,0.346917,1.097836,0.168332,0.101385,0.082123,1.518079,0.236726,0.383326,-0.339974,0.798812,0.177067,0.290676,-0.186968,0.725691,0.315027,0.19102,0.214457,1.337879,1.343913,0.894937,0.073073,1.174914,0.849492,0.216525,,1.239076,,0.550041,2.0198,1.724261
每股指标,每股现金流量净额,0.574547,1.16493,7.419987,0.224574,0.320529,-0.742386,-1.001388,-0.789101,-0.403139,0.17357,-0.180795,-0.236635,-0.1988,-0.166715,-0.352882,0.122614,-0.383724,0.973587,-0.051882,0.192102,-0.21353,0.487829,-0.069032,0.066432,0.030547,0.087477,-0.068561,-0.004841,0.106151,-3.487905,-3.217592,-3.417112,-3.218024,3.726598,-0.027801,0.03069,,0.025139,,0.186776,-0.243485,0.160051
每股指标,每股企业自由现金流量,,-4.706611,,2.327827,,1.063613,,0.941221,,0.154189,,0.460781,,-0.703887,,0.070598,,0.241984,,0.385506,,0.537906,,0.43465,,0.638309,,0.570787,,0.307049,,0.414536,,-3.320053,0.218753,0.269627,,0.195747,,0.114528,0.739047,
每股指标,每股股东自由现金流量,,-4.484657,,3.052235,,1.251049,,1.275701,,0.241528,,0.714949,,0.470723,,0.702483,,0.809702,,0.564858,,0.532009,,0.432002,,0.620727,,0.519285,,-0.921719,,-0.635413,,-3.444838,0.335556,0.824077,,0.28491,,0.770956,1.994011,
每股指标,每股未分配利润,12.650606,13.12056,12.03973,11.930222,11.976185,10.927287,9.848625,8.824662,8.847285,8.153726,7.093403,6.457118,6.508886,5.912695,5.027316,4.718971,4.803239,4.230589,3.654916,3.433625,3.476808,3.073268,2.806156,2.644786,2.528155,2.427383,2.161575,2.087117,2.200679,2.121514,2.054846,1.961613,2.031272,1.739969,1.934119,1.687054,,1.225867,,0.444108,4.086775,2.961757
每股指标,每股资本公积金,11.765956,11.726616,11.667253,4.619425,4.851521,4.853606,4.841495,4.799923,4.762813,4.727801,4.681485,4.624255,4.548431,4.477453,4.421591,4.360567,4.289591,4.221795,3.763991,3.763991,3.763718,3.763718,3.763718,3.763718,3.763718,3.763718,3.763718,3.763718,3.763723,3.763723,3.763723,3.763723,3.763723,3.763723,0.440581,0.440581,,0.440581,,0.440575,0.731728,0.731728
每股指标,每股盈余公积金,0.500027,0.5,0.465176,0.500292,0.500283,0.500283,0.500241,0.500241,0.500241,0.500225,0.500068,0.500068,0.500068,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.488279,0.392073,0.392073,0.392073,0.392073,0.354545,0.355367,0.335084,0.335084,0.260046,0.260046,0.260046,0.260046,0.182051,0.182051,,0.182051,,0.052076,0.5,0.499999
每股指标,每股留存收益,13.150634,13.62056,12.504907,12.430514,12.476469,11.42757,10.348867,9.324904,9.347526,8.653952,7.593472,6.957186,7.008954,6.412695,5.527316,5.218971,5.303239,4.730589,4.154916,3.933625,3.976808,3.561547,3.19823,3.03686,2.920229,2.819457,2.51612,2.442485,2.535764,2.456599,2.314892,2.22166,2.291318,2.000015,2.11617,1.869106,,1.407918,,0.496184,4.586775,3.461756
每股指标,每股营业收入,10.883178,54.549015,37.424523,26.388403,12.238664,49.765914,34.18839,21.067186,10.175981,39.472214,26.063479,15.714177,7.174786,26.892859,18.208866,11.539147,5.657662,17.233716,11.459767,7.423451,3.712302,12.361929,7.814608,4.720906,2.082022,9.704077,6.446831,4.129649,1.823565,9.834072,7.38429,5.200259,2.546315,10.927819,9.882344,6.965438,,12.617852,,8.151663,28.110079,18.9357
每股指标,每股营业总收入,10.883178,54.549015,37.424523,26.388403,12.238664,49.765914,34.18839,21.067186,10.175981,39.472214,26.063479,15.714177,7.174786,26.892859,18.208866,11.539147,5.657662,17.233716,11.459767,7.423451,3.712302,12.361929,7.814608,4.720906,2.082022,9.704077,6.446831,4.129649,1.823565,9.834072,7.38429,5.200259,2.546315,10.927819,9.882344,6.965438,,12.617852,,8.151663,28.110079,18.9357
每股指标,每股息税前利润,0.956563,4.356128,3.207552,2.415048,1.216651,3.843149,2.696418,1.714384,0.829763,2.835549,1.835665,1.222443,0.722533,2.122749,1.496395,1.12107,0.683586,1.562095,1.059598,0.795377,0.489737,0.971143,0.680173,0.498066,0.117393,0.464486,0.29262,0.204415,0.094924,0.7718,0.735749,0.621413,0.333094,1.310238,1.28137,0.968631,,1.567731,,0.933891,2.144936,1.172363
盈利能力,净资产收益率(ROE),2.95,21.67,18.1,12.68,5.86,23.07,16.69,10.28,4.72,21.94,14.03,9.03,4.96,20.21,12.42,9.31,5.76,16.74,10.21,7.71,4.81,11.73,7.28,5.3,1.31,7.13,3.57,2.55,1.09,10.86,8.86,7.48,4.22,41.37,32.71,25.35,15.5,55.63,46.24,49.99,29.07,20.48
盈利能力,摊薄净资产收益率,3.044294,15.913664,12.208552,12.686432,5.693787,20.790406,15.708056,10.022883,4.604603,19.450212,13.243909,8.839936,4.824643,18.278308,11.73958,9.158151,5.585314,15.601745,9.902252,7.635421,4.694527,11.166517,7.19375,5.299103,1.297937,6.930038,3.561287,2.576556,1.084363,10.475442,8.683803,7.4675,4.12895,16.569303,29.281251,23.999811,,46.061469,,41.225659,27.968899,20.682801
盈利能力,净资产收益率_平均,3.018509,19.58061,14.721938,12.682137,5.860784,22.788429,16.640488,10.276431,4.718653,21.437965,13.990099,9.09808,4.959727,20.038984,12.322909,9.449565,5.764772,16.693736,10.234126,7.797246,4.805597,11.701839,7.368053,5.371396,1.306282,7.135966,3.577198,2.575134,1.090194,10.818525,8.882228,7.587612,4.215826,24.648382,32.524298,25.803155,,54.858322,,49.082526,30.687297,20.682801
盈利能力,净资产收益率_平均_扣除非经常损益,3.112831,19.261196,14.195763,11.955221,5.000821,22.114237,17.131438,9.679501,4.54402,20.326247,12.579385,7.908195,4.370218,17.547316,11.631512,9.010527,5.584889,16.458194,9.997161,7.625287,4.698165,10.435679,5.284296,2.529966,1.019659,5.189435,1.456167,1.169121,0.416383,9.311926,7.681007,6.959873,4.108237,24.625997,32.298851,25.599659,,52.772558,,47.327606,28.909795,18.368046
盈利能力,摊薄净资产收益率_扣除非经常损益,3.139422,15.654069,11.772207,11.95927,4.858328,20.175325,16.171497,9.440682,4.434191,18.441573,11.908439,7.683812,4.25119,16.005564,11.080912,8.732653,5.41103,15.381611,9.672972,7.467031,4.589578,9.958279,5.159287,2.495915,1.013146,5.039679,1.44969,1.169767,0.414156,9.01662,7.509417,6.849698,4.023578,16.554255,29.078282,23.810534,,44.310164,,39.751642,26.348856,
盈利能力,息税前利润率,8.789377,7.985714,8.570722,9.151931,9.941048,7.722452,7.886942,8.137701,8.15414,7.18366,7.043055,7.779241,10.070459,7.893358,8.217951,9.715365,12.08248,9.064183,9.24625,10.714384,13.192273,7.855921,8.703869,10.550228,5.638442,4.786512,4.538985,4.949956,5.205454,7.848225,9.963708,11.949667,13.081431,11.989934,12.966261,13.906255,14.925728,12.424707,14.494831,11.456455,7.63049,6.191288
盈利能力,总资产报酬率,1.900532,10.130496,7.857893,6.213346,3.104938,10.799654,8.017109,5.39847,2.523613,9.907402,6.743211,4.796183,2.851496,9.860505,7.263823,5.881818,3.654255,9.800176,7.276739,5.697933,3.541651,7.686423,5.779812,4.416529,1.056312,4.248831,2.854859,2.016308,0.921838,7.135196,6.76905,5.74775,3.066696,13.464583,12.941959,9.720726,,18.638285,,16.181436,11.269085,7.512725
盈利能力,总资本回报率,3.484436,18.81348,14.170729,12.124155,6.039112,21.452423,15.561623,10.185105,4.969662,18.967137,12.777055,8.755494,5.074108,17.78449,13.102803,10.276409,6.497419,16.762407,11.846539,9.094711,5.587422,12.050692,8.649461,6.40122,1.519685,6.235489,4.029856,2.829242,1.304742,10.140546,9.757726,8.246256,4.360504,22.393265,25.978717,19.263038,,39.227645,,33.325169,23.652872,14.868899
盈利能力,投入资本回报率,2.848565,17.968647,13.399173,11.191447,5.265616,20.499011,14.895984,9.157681,4.237078,19.069292,12.38707,8.074661,4.325512,18.183685,11.07299,8.678925,5.497475,16.225212,10.063084,7.727703,4.752547,11.698362,7.372847,5.484107,1.308725,7.141056,3.584564,2.582331,1.066118,9.998892,8.227051,6.987879,3.669348,20.060151,22.15596,16.436409,,34.684398,,29.455449,21.435865,14.406861
盈利能力,息前税后总资产报酬率_平均,1.573398,9.750922,7.499439,5.787866,2.727869,10.386505,7.730367,4.897138,2.17957,9.928755,6.523632,4.41446,2.423967,9.977439,6.078207,4.905453,3.064479,9.473899,6.16139,4.833577,3.011979,7.462314,4.925104,3.781375,0.90678,4.867041,2.541346,1.839848,0.767518,7.036027,5.703443,4.869152,2.681937,12.051366,11.042948,8.297858,,16.480884,,14.252098,10.107458,6.715974
盈利能力,毛利率,18.596436,19.068611,19.700727,20.327297,20.520414,19.876751,20.550222,20.326834,19.338518,20.443323,19.880333,20.652496,21.085586,23.034318,23.734759,23.981815,23.959273,24.603663,24.52116,24.877471,25.035021,23.386351,22.978887,22.243774,20.35634,22.746658,22.81877,22.079666,20.557087,23.991651,25.140875,25.829359,26.562852,25.777111,26.152036,26.026184,26.347396,26.948593,27.105496,26.961883,24.273299,25.191801
盈利能力,销售净利率,7.19615,7.595624,8.079222,8.425749,8.638613,7.307071,7.469366,7.235812,6.903202,7.036579,6.621786,6.943571,8.272908,7.844194,6.77854,8.029704,10.031099,8.692696,7.770457,9.038568,11.184299,7.621538,7.403825,8.835875,4.824657,5.475048,4.02865,4.500023,4.334036,7.69405,8.321289,10.028025,11.440189,10.247243,10.545262,11.411668,12.740192,10.39669,11.525652,9.747618,6.20642,5.53468
盈利能力,成本费用利润率,9.271549,8.581939,9.163258,9.854369,10.615636,8.2947,8.457092,8.653888,8.560698,7.593211,7.325689,8.079366,10.515668,8.403055,8.832969,10.648984,13.490761,9.912214,10.094588,11.834045,14.884931,8.501909,9.222643,10.811943,5.640006,4.993731,4.657548,5.044621,5.418617,8.554866,10.974924,13.477316,15.775767,13.230032,14.386678,15.687572,17.810213,13.637207,15.813245,12.661443,7.63299,6.274004
盈利能力,营业利润率,8.709449,7.911794,8.502841,9.074941,9.876384,7.599642,7.754663,7.998023,8.060929,7.014459,6.838882,7.55351,9.781697,7.757345,8.101649,9.633709,11.969273,8.95215,9.131537,10.599192,13.15207,7.877346,8.699673,10.338603,5.708081,4.733224,4.520367,4.938709,5.287588,7.812281,9.844594,11.786848,13.525377,11.434586,12.16536,13.133877,14.764501,11.604132,13.279674,10.762203,6.594874,5.205067
