常用指标,毛利率,8.539906,7.972929,7.844303,7.667602,8.415858,9.301905,9.762371,11.741178,13.823745,11.33042,11.351434,11.678789,13.012091,9.845373,8.848323,8.358611,7.913122,7.747758,9.899307,7.87126,6.513344,15.666071,14.481436,14.815808,13.503063,15.538326,17.049565,17.951019,15.882921,14.967626,14.478927,13.01729,14.178946,18.587921,18.944482,,
常用指标,销售净利率,2.625188,2.394192,2.416964,2.251157,2.397112,2.651699,2.675255,3.244532,3.669755,3.111649,2.985883,3.160182,3.395272,2.69037,2.264738,2.041087,0.74529,2.238578,3.659403,1.424782,0.589059,6.960811,7.531893,7.887436,4.13243,4.420297,3.154607,5.279444,5.610988,4.308831,3.294293,0.24326,6.465924,7.496976,9.906472,38.306189,54.9943
常用指标,期间费用率,6.309536,5.585388,5.345042,5.086166,5.827619,6.673764,6.898899,8.225107,9.196081,8.034035,7.637773,7.838039,9.93528,7.438476,6.768974,6.639145,7.48559,6.319552,6.529542,6.704342,6.404845,7.960315,6.246907,6.228282,8.902577,10.243354,13.14594,12.926036,9.734566,10.44951,10.90711,12.530875,7.659268,11.33341,8.829648,55.044294,44.942547
常用指标,资产负债率,73.6337,72.615607,75.296811,74.635634,70.845202,69.954109,71.027479,64.251423,58.845215,59.535634,65.63705,71.814348,75.058155,71.677271,,77.786864,,78.647107,76.5913,79.07469,82.607254,73.914884,77.22868,77.186391,82.946399,81.384175,68.102281,62.419756,68.308455,62.476516,61.94238,64.29192,61.957354,69.112521,56.738741,47.60484,6.384778
每股指标,基本每股收益,1.04,4.02,3.07,1.86,0.84,2.89,2.0243,1.27,0.6,2.84,3.0066,1.4047,0.9055,3.9331,,1.6427,0.2963,2.9039,3.475,0.8681,0.3124,,,,,,,,,,,,,,,,
每股指标,稀释每股收益,1.04,4.02,3.07,1.86,0.83,2.89,2.0243,1.27,0.6,2.84,3.0066,1.4047,0.9055,3.9331,,1.6427,0.2963,2.9039,3.475,0.8681,0.3124,,,,,,,,,,,,,,,,
每股指标,摊薄每股收益_最新股数,0.979245,3.743358,2.860926,1.744099,0.777416,2.701804,1.892548,1.192168,0.559111,2.499277,1.831836,1.183583,0.544983,2.367062,1.541497,0.988664,0.178307,1.747673,2.023424,0.466658,0.167956,0.36701,0.247506,0.123973,0.157268,0.103627,0.035984,0.026205,0.110595,0.063304,0.028629,0.001023,0.120345,0.103259,0.083095,0.03372,0.044131
每股指标,摊薄每股净资产_期末股数,26.357489,25.397789,24.48437,23.226673,23.030604,22.190634,21.27892,20.760921,29.380307,28.810855,27.711489,20.601015,19.759429,18.997396,,16.356496,,14.66929,11.363931,6.822673,4.709792,7.681025,7.350635,6.35737,4.744084,4.416197,3.144959,1.242133,3.462333,3.633067,3.21334,2.974598,2.964509,3.019252,2.030444,10.537777,7.38
每股指标,调整每股净资产_期末股数,22.20397,21.570055,20.721681,19.465386,19.219334,18.497479,19.347248,18.975305,26.914287,26.466223,25.477251,18.182385,17.338499,16.622659,,13.980963,,12.441561,10.130526,6.318159,4.294864,7.218802,6.905605,5.873324,4.225396,3.950377,2.791185,0.886748,2.965279,3.183395,2.758719,2.274383,2.258328,2.283168,1.642034,6.284444,7.231111
每股指标,每股净资产_最新股数,24.718932,23.818893,22.962258,21.783225,21.602234,20.81436,19.95919,19.46543,19.688868,19.266041,18.530886,12.398451,11.891954,11.433335,,9.843943,,8.82852,6.839233,3.906968,2.531791,0.687919,0.658329,0.535129,0.394222,0.365729,0.361511,0.14274,0.287711,0.301899,0.267021,0.247182,0.246343,0.250892,0.168725,0.087566,0.061326
