常用指标,每股净资产,5.421668,5.349266,5.234331,5.342163,5.25038,5.177234,5.036354,5.026348,4.958948,4.896792,4.85575,4.894445,4.907008,4.849203,4.849818,4.907359,4.783236,4.938728,4.827496,4.020539,4.034166,3.969566,3.835116,3.795935,3.815388,3.681931,3.597366,3.532013,,3.45815,3.412969,,3.341602,3.411926,3.495298,2.983246,,,2.784436,,,,2.686999,,,2.609936,2.718852,2.633229,2.641752,2.799831,2.371377,2.151511,,2.218347,,2.771545,,1.877706,1.508179,1.134426,1.07044,1.056348,1.03971,1.033625,1.011327,1.00578,0.967053,0.999629
常用指标,每股现金流,0.289757,-0.220105,0.170777,0.140623,0.069982,0.324925,0.160955,0.158818,0.071139,-0.845597,-0.966209,-0.941119,-0.920992,0.391556,0.752458,-0.457578,-0.61527,-0.126046,0.30524,1.649924,0.531138,1.364713,0.774892,0.339398,-0.062673,-1.943791,-1.091822,-0.6551,,-2.388793,-2.455549,,-0.454132,0.382894,-0.455529,0.432319,,,-0.404459,,,,-0.957437,,,-1.385119,,-0.49763,,1.31408,,0.69945,,,,0.990004,,,0.94708,0.133319,,,,,,,-0.487785,
常用指标,净资产收益率(ROE),0.73,4.88,3.45,2.69,1.2,3.22,2.77,1.92,0.51,1.36,0.9,1.28,0.96,0.17,-0.03,1.4,-3.14,9.03,6.71,5.11,1.6,10.21,6.68,5.72,3.54,6.78,4.42,2.55,1.8,3.48,1.87,0.76,3.32,2.99,13.12,8.06,,,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,总资产报酬率(ROA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,毛利率,51.703647,64.629806,64.829755,67.067351,67.756334,41.669819,45.367891,46.279597,38.284588,22.789412,22.692796,42.37513,55.44325,-26.745991,-21.992493,40.456761,,29.417107,25.301084,23.351933,18.925956,32.954675,36.154869,40.927878,54.124755,54.541425,55.135915,52.315331,59.510007,42.874724,40.297588,27.55321,43.847087,42.360075,66.866845,53.133219,,,34.441182,,,,15.742094,,,31.219186,46.192688,56.147671,64.30224,51.104367,68.437135,44.28054,,63.018825,,81.593918,,83.73891,77.860309,56.283178,49.93614,60.369267,47.305187,44.829075,40.029104,49.963912,-47.711761,
常用指标,销售净利率,43.925587,50.223701,49.589068,56.068445,51.976281,37.701208,39.242418,42.737763,30.995709,23.787723,22.785034,37.068301,45.819117,2.45977,2.273132,36.960923,,23.747359,19.367668,17.96435,14.536737,25.989494,28.003221,31.998798,42.264968,41.026226,41.699572,39.32919,46.624385,32.627272,30.373905,20.84761,33.02654,34.697233,52.844886,39.345234,,,28.93988,,,,18.608434,,,25.153804,37.611991,43.623386,50.078157,42.553541,53.176544,37.881882,45.835287,54.479412,26.900729,55.162789,52.656725,62.686546,58.55986,51.042671,32.368164,43.554494,26.782334,40.338012,33.740283,49.79254,-71.128031,
常用指标,期间费用率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,资产负债率,53.280988,54.18245,49.64647,51.844535,44.345718,53.753869,48.905543,50.518109,48.545026,45.938643,36.764322,47.392307,43.673794,45.329784,47.616634,49.950063,49.302285,40.842391,35.677767,51.258605,56.092536,57.303721,61.157125,66.526264,70.008326,67.921116,64.86259,61.297586,,54.306996,39.854912,,5.170664,4.419107,13.256872,21.14583,,,33.349951,,,,42.675259,,,9.812815,10.314064,11.07546,10.257144,8.084095,4.04409,7.62411,45.832196,9.994676,51.432892,16.635377,57.198274,24.899835,12.531651,6.761399,5.987257,5.521218,6.363856,3.552045,3.419611,6.966911,3.321269,4.217721
每股指标,基本每股收益,0.04,0.26,0.18,0.14,0.06,0.16,0.14,0.1,0.03,0.07,0.05,0.06,0.05,0.01,0.01,0.07,-0.15,0.36,0.27,0.18,0.06,0.35,0.25,0.21,0.13,0.24,0.16,0.09,0.06,0.12,0.07,0.03,0.11,0.1,0.42,0.23,,,0.14,,,,0.07,,,0.1,,0.35,,,,,,,,,,,,,,,,,,,,
每股指标,稀释每股收益,0.04,0.26,0.18,0.14,0.06,0.16,0.14,0.1,0.03,0.07,0.05,0.06,0.05,0.01,0.01,0.07,-0.15,0.36,0.27,0.18,0.06,0.35,0.25,0.21,0.13,0.24,0.16,0.09,0.06,0.12,0.07,0.03,0.11,0.1,0.42,0.23,,,0.14,,,,0.07,,,0.1,,0.35,,,,,,,,,,,,,,,,,,,,
