选项,指标,20260331,20251231,20250930,20250630,20250331,20241231,20240930,20240630,20240331,20231231,20230930,20230630,20230331,20221231,20220930,20220630,20220331,20211231,20210930,20210630,20210331,20201231,20200930,20200630,20200331,20191231,20181231,20171231
常用指标,资产负债率,44.481748,64.732267,63.241501,61.863533,61.811368,66.080968,64.726131,62.113191,55.816672,57.010629,59.152945,59.797691,56.709117,57.33411,54.176667,54.46772,55.527536,45.598737,39.49159,39.114396,51.618652,56.130985,,53.981439,,51.052752,48.425588,57.527704
每股指标,基本每股收益,2.3563,8.4907,7.2324,4.5667,1.8846,6.3974,5.2064,3.328,1.2767,3.9225,4.1389,2.7702,1.2431,3.6012,2.9137,1.8865,0.8616,3.112,2.64,1.8432,0.95,2.2557,,1.2259,0.43,1.63,0.62,
每股指标,稀释每股收益,2.3563,8.4907,7.2324,4.5667,1.8846,6.3974,5.2064,3.328,1.2767,3.9225,4.1389,2.7702,1.2431,3.6012,2.9137,1.8865,0.8616,3.112,2.64,1.8432,0.95,2.2557,,1.2259,0.43,1.63,0.62,
每股指标,摊薄每股收益_最新股数,1.712644,6.013711,5.122482,3.234477,1.3348,4.53107,3.687544,2.357114,0.904223,2.778227,2.254974,1.50929,0.67727,1.962029,1.587451,1.027826,0.469421,1.624845,1.356626,0.920494,0.465663,1.106053,0.958925,0.601072,0.209268,0.777137,0.293967,0.40339
每股指标,摊薄每股净资产_期末股数,36.238562,18.116774,16.919863,16.798779,16.64988,14.783867,13.505173,17.661751,17.469965,15.808999,14.939419,13.586336,13.882973,12.660411,12.008764,10.981576,9.956649,10.595048,10.102745,10.802245,6.264285,5.314592,,4.76885,,4.542169,3.105554,5.775856
每股指标,调整每股净资产_期末股数,32.757109,14.494964,13.333542,13.32845,13.368373,12.358389,11.500339,15.260976,15.187966,13.617612,12.831436,11.565801,12.034254,10.894026,10.169803,9.282353,8.311903,9.280503,8.927007,9.627129,5.065869,4.217398,,3.589105,,3.795711,2.482285,4.148744
每股指标,每股净资产_最新股数,27.875817,12.831608,11.983869,11.898109,11.792648,10.471003,9.565339,9.62256,9.51807,8.613135,8.139366,7.402173,7.563788,6.897706,6.542672,5.983035,5.424629,5.772445,5.504226,5.885331,3.071567,2.605904,,2.33831,,2.227162,1.480448,1.18648
每股指标,每股经营现金流,0.801194,11.873241,6.024144,3.346955,1.214379,11.133199,5.837198,5.668089,2.148807,8.202969,5.033491,3.244801,1.809947,5.065136,3.554619,1.782845,0.728365,5.19198,3.536738,2.947889,1.263634,3.72323,,1.670895,,3.363837,0.55697,1.257846
每股指标,每股现金流量净额,11.69307,-1.129642,-2.145387,-2.438437,-0.797564,0.871304,0.803017,3.85096,2.730269,3.591163,5.854884,1.845155,-0.320773,1.098564,-0.445652,0.230229,1.718711,-0.449088,0.515859,3.212387,-0.525376,0.649108,,-0.256422,,1.725618,0.437847,-0.716871
每股指标,每股企业自由现金流量,,3.820261,,1.763458,,9.516534,,7.650391,,3.193501,,3.838199,,-0.444514,,-0.012279,,2.949343,,-2.24539,0.329162,1.343828,,,,-0.267534,0.160612,
