常用指标,每股净资产,12.598333,12.491777,12.37885,12.229931,12.244352,12.021546,12.064283,11.89479,11.741326,11.488845,10.88244,10.607198,10.359867,10.076711,9.998349,9.737679,9.340715,9.069445,8.997773,6.632151,6.381482,5.947041,5.739069,5.453448,5.203239,4.933706,8.2138,8.045289,6.118345,5.696201,5.642906,5.400456,4.219981,4.186882,4.066434,4.089442,4.063801,4.039941,3.959212,4.00642,3.967455,3.936036,3.835236,3.80307,3.863106,2.906226,2.774036,2.684541,,2.591438,,2.197296,1.770326
常用指标,每股现金流,-0.208878,0.632747,0.360459,0.245931,-0.115766,-0.013463,-0.174019,-0.096487,0.09265,0.579334,0.57461,0.552406,-0.135663,0.294884,0.244453,-0.045634,-0.392058,0.300312,0.173818,0.225763,0.239694,0.326318,0.202807,0.006464,-0.198346,0.164496,-0.389511,-0.333131,-0.499341,-0.380718,-0.94706,-0.342448,0.012336,-0.149803,-0.361764,-0.144795,0.029787,-0.127439,0.405403,0.186073,0.019619,-0.050022,-0.021794,0.108007,-0.094002,0.322685,0.269412,0.030677,,0.740599,,0.626795,0.181393
常用指标,净资产收益率(ROE),0.85,5.36,4.45,3.35,1.67,6.21,6.55,4.85,2.17,17.34,9.0,6.42,2.84,10.17,9.44,6.8,2.95,16.25,16.54,12.87,7.05,20.46,16.89,11.82,5.32,15.68,13.9,12.61,7.15,17.43,16.72,12.5,7.54,18.33,1.76,8.09,0.59,4.17,2.16,1.77,0.8,6.31,3.84,3.01,1.75,17.25,12.62,9.33,4.8,23.19,16.31,21.52,20.84
常用指标,总资产报酬率(ROA),0.338939,2.748792,2.299526,1.80046,0.872665,5.549227,5.344615,3.891743,1.752642,6.122365,5.773754,4.096844,1.809949,6.411514,6.069703,4.417735,1.949736,9.356985,8.749549,7.187809,3.880905,11.008823,9.06216,6.425181,2.811552,8.177682,6.962752,5.842252,3.376013,8.863454,8.461672,6.546712,0.088516,2.90636,-0.007024,0.643523,-0.043273,2.77209,0.447233,1.179762,0.186003,4.552308,2.113439,2.391354,1.022878,10.796841,6.823197,6.174457,,14.3234,,12.896169,11.2358
常用指标,毛利率,23.31157,23.092158,26.911913,26.557202,26.434391,29.034799,29.146955,28.844614,28.632272,32.984714,35.804344,35.114337,32.969312,33.838231,36.408813,36.315742,35.546487,35.493938,38.750354,37.7581,38.311867,34.095422,38.009741,36.588191,35.380412,33.725594,37.583165,40.778135,44.167744,37.035649,36.494022,32.705927,24.778122,22.72209,22.843683,24.216585,22.39988,21.181421,21.129752,21.311237,20.691097,26.863002,26.832791,25.786148,25.550885,27.869564,27.76321,27.626322,26.937767,26.231886,27.7006,26.489569,26.151025
常用指标,销售净利率,6.46544,8.84713,11.201673,12.785769,12.907129,9.537918,13.865527,14.991945,13.859774,23.730673,16.788475,18.155909,17.279761,12.887646,16.10189,17.578335,16.234597,13.769852,17.022839,18.476125,19.286425,14.13253,16.995282,19.097226,17.549849,9.259528,11.849987,14.594363,16.800029,9.601562,12.23096,12.873616,1.555173,2.137555,1.022286,1.048496,0.867949,1.983503,1.325152,1.560493,1.287274,3.315147,2.708248,2.941181,3.268618,5.62859,5.423574,5.843224,5.806447,5.869323,5.448957,4.949976,4.403369
常用指标,期间费用率,18.369746,20.28378,19.835051,18.136375,18.556508,17.799814,13.837356,12.581883,12.34994,20.530023,19.674262,17.342381,16.339905,21.212956,20.876843,19.078613,19.171519,21.724886,21.309825,19.283351,19.054938,20.64456,21.891883,19.203027,18.081271,23.627107,24.307773,24.768568,25.35856,25.457572,22.923131,19.199931,23.046896,20.418414,21.687811,23.052,21.733791,20.201845,19.965122,19.793089,19.167413,23.663159,24.058486,22.720361,21.970837,22.54553,22.187359,21.454744,21.125154,20.374272,21.625274,20.986038,21.23575
常用指标,资产负债率,28.922393,29.399993,29.552738,29.90885,28.76741,30.741681,30.68768,31.880785,31.309894,32.011409,32.873776,34.607345,34.475865,35.261549,35.168396,34.164555,32.582184,34.90358,35.523812,44.331685,45.218522,44.869787,45.839864,45.481901,46.408353,48.355481,48.231762,47.367563,53.610069,53.149387,52.650863,49.909112,21.243804,24.40431,27.188035,25.491348,30.833104,28.824699,28.676304,27.220818,29.759806,31.13439,24.233767,29.522764,26.001802,34.671428,30.674715,29.908863,,38.606591,,39.443908,39.703987
每股指标,基本每股收益,0.11,0.66,0.54,0.41,0.2,0.73,0.77,0.57,0.25,1.9,0.95,0.67,0.29,1.0,0.9,0.64,0.27,1.17,1.11,0.82,0.43,1.11,0.91,0.62,0.27,0.66,0.56,0.47,0.27,0.54,0.87,0.64,0.37,0.79,0.0715,0.33,0.0239,0.17,0.0852,0.07,0.0314,0.25,0.1409,0.112,0.0624,0.47,0.33,0.24,0.1274,0.56,0.36,0.43,0.33
每股指标,稀释每股收益,0.11,0.66,0.54,0.41,0.2,0.73,0.77,0.57,0.25,1.9,0.95,0.67,0.29,1.0,0.9,0.64,0.27,1.17,1.11,0.82,0.43,1.11,0.91,0.62,0.27,0.66,0.56,0.47,0.27,0.54,0.87,0.64,0.37,0.79,0.0715,0.33,0.0239,0.17,0.0852,0.07,0.0314,0.25,0.1409,0.112,0.0624,0.47,0.33,0.24,0.1274,0.56,,,
