常用指标,每股现金流,1.335865,3.143065,1.837127,1.845055,1.080283,3.054663,1.258605,1.203335,0.857889,3.434076,2.151986,1.923161,1.202235,4.720391,3.231596,2.284161,1.420687,1.850465,0.860356,0.817012,0.905212,2.242734,1.667023,1.126352,0.752962,1.800511,1.041794,0.888629,0.526293,2.68652,1.077093,,1.250358,0.804196,,0.316467,1.018973,2.33401,2.721362
常用指标,净资产收益率(ROE),1.35,11.42,7.47,3.76,1.51,11.73,6.53,2.61,1.66,11.38,6.49,2.86,1.49,19.37,13.64,5.8,2.46,14.68,7.65,2.92,1.61,13.86,6.93,3.98,1.68,15.67,9.38,3.41,1.03,19.75,11.68,3.52,1.45,17.11,,3.05,9.34,16.46,18.94
常用指标,总资产报酬率(ROA),1.079849,9.443497,6.25997,3.418997,1.347497,9.592795,5.116758,2.120009,1.408762,9.122777,5.04794,2.264492,1.295916,15.254914,9.904234,4.561611,1.997513,11.209222,5.719982,2.371419,1.39947,10.670183,5.672241,3.212332,1.432053,12.341308,7.52659,3.089324,1.067215,13.538986,7.922522,,1.205494,10.718143,,2.255015,6.897736,11.33082,10.657766
常用指标,毛利率,22.948496,21.499958,20.637529,19.072624,17.833173,20.764596,20.465853,17.974014,20.374386,21.337536,20.284138,18.307799,20.905062,23.997424,22.603722,19.5178,19.820719,20.385783,20.125506,18.790138,20.988603,21.257855,20.611225,20.960623,22.402226,23.831628,21.998132,19.954707,18.798008,23.191864,21.520512,17.690489,17.712246,17.889435,17.999571,16.912362,16.609891,19.594822,20.143756
常用指标,销售净利率,5.579552,9.485539,8.910447,7.487999,6.013974,10.298827,8.404297,5.973919,7.436498,10.250064,9.016055,7.037944,6.277653,13.839829,13.166908,10.051926,8.382799,9.953561,7.979015,5.282772,6.161981,9.513584,7.910225,7.84492,7.748892,10.988747,9.81854,6.524644,4.364613,10.71841,9.046575,4.539299,3.654287,7.639035,6.284336,3.810632,5.858073,8.927946,9.184075
常用指标,期间费用率,16.911852,10.419809,10.07611,9.661028,9.579662,8.560156,10.42134,10.217206,9.970495,9.562786,10.067077,10.339993,12.440776,7.729609,6.774162,7.875781,9.039226,9.003845,11.016578,12.776918,12.640425,9.961698,10.760719,10.163159,9.389169,9.832784,10.125233,11.973124,12.371615,9.741987,10.455556,11.808591,12.320716,8.912062,10.832709,11.929082,9.294519,8.857272,8.735455
常用指标,资产负债率,30.358727,28.86255,31.423213,29.242924,25.834819,27.436799,30.60803,26.829043,24.972007,29.809142,31.475213,25.663019,25.605433,28.003582,32.947286,29.675493,28.622241,32.999421,38.088232,33.393173,31.967609,34.870955,28.82787,29.625552,26.708714,31.282485,35.385088,28.700234,25.142372,34.605588,36.881366,,34.400483,47.116519,,38.436399,44.715642,43.134846,44.778711
每股指标,基本每股收益,0.2,1.61,1.04,0.53,0.21,1.56,0.86,0.34,0.22,1.42,0.8,0.35,0.18,2.16,1.41,0.61,0.26,1.43,0.72,0.27,0.15,1.23,0.6,0.34,0.13,1.27,0.74,0.26,0.08,1.3,0.75,0.21,0.09,0.93,,0.15,0.59,0.9,
每股指标,稀释每股收益,0.2,1.61,1.04,0.53,0.21,1.56,0.86,0.34,0.22,1.42,0.8,0.35,0.18,2.16,1.41,0.61,0.26,1.43,0.72,0.27,0.15,1.23,0.6,0.34,0.13,1.27,0.74,0.26,0.08,1.3,0.75,0.21,0.09,0.93,,0.15,0.59,0.9,
每股指标,摊薄每股收益_最新股数,0.199624,1.612494,1.038614,0.531922,0.210589,1.561808,0.851688,0.338323,0.214519,1.417981,0.795626,0.350228,0.180553,2.161961,1.408204,0.615349,0.255904,1.431061,0.723854,0.273195,0.15145,1.225801,0.594882,0.341502,0.132693,1.261669,0.734359,0.262856,0.079776,1.195496,0.673893,0.185636,0.077226,0.7883,0.364153,0.121548,0.433114,0.658321,0.610052
每股指标,摊薄每股净资产_期末股数,14.94784,14.726579,14.091934,13.474088,14.104066,13.84904,13.119605,12.596163,12.974339,12.778057,12.214218,11.754323,12.230708,12.035722,11.285548,10.423917,10.510789,10.257691,9.61538,9.149218,9.491407,9.326702,8.695713,8.447468,8.7269,8.578779,8.028824,7.533411,7.831108,7.738774,7.189967,,5.998896,5.904465,,5.120148,6.040519,8.226622,6.804847
每股指标,调整每股净资产_期末股数,14.182143,13.980545,13.404183,12.81926,13.447488,13.262691,12.4983,11.988452,12.358077,12.148881,11.56562,11.129775,11.605437,11.391711,10.480326,9.644729,9.722341,9.450997,8.77289,8.275685,8.601925,8.443641,7.831307,7.592059,7.849252,7.686896,7.176381,6.694472,6.992778,6.878118,6.342285,,5.784567,5.688269,,4.88823,5.761806,7.886029,6.464192
每股指标,每股净资产_最新股数,14.94784,14.726579,14.091934,13.474088,14.107168,13.852086,13.12249,12.598933,12.987698,12.791214,12.226794,11.766426,12.247089,12.051843,11.300664,10.437879,10.526318,10.272846,9.629586,9.162736,9.4643,9.300065,8.670878,8.423343,8.701977,8.554278,8.005895,7.511896,7.808743,7.716672,7.169433,,5.383587,5.298842,,4.594972,4.398107,4.446169,3.677754
每股指标,每股经营现金流,1.335865,3.143065,1.837127,1.845055,1.080283,3.054663,1.258605,1.203335,0.857889,3.434076,2.151986,1.923161,1.202235,4.720391,3.231596,2.284161,1.420687,1.850465,0.860356,0.817012,0.905212,2.242734,1.667023,1.126352,0.752962,1.800511,1.041794,0.888629,0.526293,2.68652,1.077093,,1.250358,0.804196,,0.316467,1.018973,2.33401,2.721362
每股指标,每股现金流量净额,0.793081,-0.659345,-0.729596,-0.145754,0.612895,1.080383,-0.302414,-0.22229,0.216002,1.164354,-0.000441,-0.021891,0.643447,2.161422,1.195597,0.506954,0.637701,-1.076693,-0.939868,-0.884761,0.249269,-0.276465,-0.993015,0.276962,0.711473,0.038634,0.001535,-0.608938,-0.079397,1.837423,1.702521,,0.276585,-0.21376,,-0.476879,-0.424847,1.337269,-0.353071
每股指标,每股企业自由现金流量,,1.089926,,1.422802,,0.212719,,0.424823,,1.072275,,1.00772,,0.086036,,0.347034,,-0.190422,,0.246683,,0.525596,,0.349439,,0.196226,,0.180195,,-1.293048,,,-0.066338,-0.12504,,0.059307,0.313732,0.461399,-1.731712
每股指标,每股股东自由现金流量,,1.44721,,1.783947,,-0.087599,,0.111107,,1.50671,,1.084287,,-0.148056,,0.054447,,0.364359,,0.519206,,0.571115,,0.488743,,0.281834,,-0.005049,,-1.901699,,,-0.690951,0.606839,,0.427744,-0.548536,1.454052,-2.646243
每股指标,每股未分配利润,7.74375,7.517035,6.926099,6.41659,7.093696,6.883153,6.17319,5.659938,6.029237,5.814939,5.213212,4.768272,5.297132,5.116821,4.490217,3.698422,3.838929,3.583402,2.968635,2.518641,2.907492,2.755608,2.204711,1.950605,2.241197,2.108124,1.644775,1.171921,1.490003,1.409998,0.949714,,0.840376,0.754323,,0.070588,3.104049,3.830279,2.895783
