常用指标,总资产报酬率(ROA),-2.257436,-2.868307,-2.70538,-2.950377,-1.473707,-6.690372,-2.46476,-1.42164,0.88585,13.525232,11.90583,10.382484,6.426459,60.439715,49.179195,34.281074,19.912283,43.920166,37.316156,24.569188,7.407556,15.625263,7.787376,,3.804444,5.22893,10.965912,22.340983,10.138897,12.452932,6.801333,6.522637,3.817186,9.628104,-0.730174
常用指标,毛利率,-120.761483,-2.127874,-7.592239,-34.050899,-29.389711,1.065093,4.181332,2.633711,16.714368,40.345732,45.8776,57.667442,72.170844,74.826078,73.983227,70.465375,64.036413,65.653235,67.276759,60.917391,46.435882,33.630977,27.871792,25.018315,32.665093,22.280776,32.740126,45.660427,43.609773,40.070211,38.301404,26.410979,23.984366,36.034148,4.783932
常用指标,销售净利率,-424.752775,-23.337021,-33.095148,-77.999023,-61.506484,-36.679382,-18.305148,-14.620276,11.088314,35.291,39.71921,47.466567,59.942646,61.798842,61.128895,58.291255,53.044297,52.837675,53.858385,47.890711,35.032175,22.366966,16.587866,14.542666,21.411945,10.183275,20.319913,30.471912,27.04074,21.655395,22.333274,11.252625,7.209279,20.413008,-11.562983
常用指标,期间费用率,33.08323,6.657959,7.275796,11.461443,10.129892,2.738714,3.154967,1.76473,1.099767,0.532529,0.390092,0.409248,0.207036,0.784097,0.828319,0.910312,0.789746,2.824022,2.96068,3.667885,4.918655,6.878518,7.658489,7.217793,6.669234,11.028715,12.235664,9.674889,10.433807,15.244388,12.874784,17.010325,18.291828,15.587117,18.880283
常用指标,资产负债率,7.411107,8.620948,8.197752,8.043795,8.256928,9.145894,10.678085,11.444615,12.086364,13.444722,13.449016,12.876838,12.081787,12.86392,17.166648,17.111504,27.733647,26.71638,23.93478,45.43877,51.253481,48.145544,55.231965,,59.880302,63.406166,48.663367,59.129236,63.150535,69.865323,71.407784,74.557627,76.634568,79.06678,93.928091
每股指标,基本每股收益,-0.37,-0.53,-0.5,-0.53,-0.26,-1.27,-0.51,-0.31,0.15,2.7,2.39,2.07,1.36,9.4,7.55,4.94,2.24,3.25,2.63,1.33,0.36,0.69,0.34,0.22,0.18,0.18,0.41,1.03,0.41,0.43,0.24,0.16,0.0715,0.4928,-0.2522
每股指标,稀释每股收益,-0.37,-0.53,-0.5,-0.53,-0.26,-1.27,-0.51,-0.31,0.16,2.7,2.39,2.07,1.36,9.4,7.51,,,,,,,0.69,0.34,,0.18,0.18,0.41,1.03,0.41,0.43,0.24,0.16,0.0715,0.4928,-0.2522
每股指标,摊薄每股收益_最新股数,-0.373303,-0.526368,-0.500275,-0.534528,-0.260122,-1.267073,-0.512385,-0.312399,0.154117,2.686314,2.384417,2.063262,1.356996,8.913304,7.031946,4.440089,2.010035,2.668202,2.085191,1.007263,0.271316,0.486402,0.231756,0.144314,0.117757,0.115167,0.188848,0.312699,0.124273,0.131535,0.072704,0.048387,0.020606,0.082908,-0.02913
每股指标,摊薄每股净资产_期末股数,17.792085,18.19061,18.221588,18.186548,18.460645,18.719762,19.539463,19.747141,20.621184,20.457118,20.245469,19.884993,22.723513,21.307033,19.370145,16.737177,10.796019,8.553618,7.902904,4.204763,3.231876,2.870391,2.531809,,2.596553,2.406719,2.177879,2.781403,2.146863,1.731193,1.535199,1.291649,1.230797,1.148341,0.615821
每股指标,调整每股净资产_期末股数,16.765177,17.22786,17.266917,17.217352,17.525407,17.826604,18.816999,19.060211,20.003496,19.885155,19.653744,19.477046,22.397831,21.042225,19.113307,16.618183,10.663514,8.420184,7.779943,4.058866,3.109497,2.747837,2.414002,,2.456546,2.265898,2.063169,2.533277,1.89686,1.478425,1.279663,1.033348,0.967865,0.85873,-0.12078
每股指标,每股净资产_最新股数,17.792085,18.19061,18.221588,18.186548,18.460645,18.719762,19.537022,19.744674,20.618607,20.454562,20.24294,19.812603,22.640789,21.229466,19.299629,16.676246,9.687806,7.675588,7.09167,3.185121,2.448156,2.17433,1.917853,,1.674479,1.552058,1.404482,0.842768,0.650502,0.524553,0.465167,0.391371,0.363336,0.312736,0.071144
每股指标,每股经营现金流,-0.580423,-0.735308,-0.723607,-0.749487,-0.377922,-2.51075,-2.051895,-1.615578,-0.777658,4.075339,4.709006,2.530376,2.51512,7.189557,4.391064,3.192231,0.683662,1.373432,1.813374,0.975218,0.180527,0.256271,-0.091911,-0.091314,0.038447,-0.547715,-0.300448,0.620633,0.731415,0.980343,0.707775,0.362489,0.080559,1.071019,0.748369
每股指标,每股现金流量净额,-1.283609,-0.522354,-1.6684,-1.571323,-1.333542,-6.893943,-7.475855,-6.917507,-1.037811,-1.909047,-1.400959,-2.380422,1.754626,8.923932,7.746462,7.566047,1.248374,2.162195,1.987214,0.633776,0.389937,0.045731,0.070039,0.193446,0.063753,-0.065525,0.086879,0.376953,0.146017,0.040058,0.185716,0.056101,-0.009793,0.016268,0.003837
每股指标,每股企业自由现金流量,,0.173795,,0.128053,,1.399826,,1.330258,,5.742923,,4.080875,,-4.417514,,-4.438748,,-1.81129,,0.595977,0.000977,-0.01011,-0.239924,0.304957,0.078243,1.143749,0.024844,-0.019257,-0.419325,0.401808,-0.031761,-0.562728,-0.907802,0.144227,5.187597
每股指标,每股股东自由现金流量,,0.173795,,0.128053,,1.399826,,1.330258,,5.742923,,4.080875,,-4.417514,,-4.438748,,-2.468069,,0.440066,0.119125,-0.432383,-0.307617,0.247129,0.027644,1.70085,0.006623,-0.33995,-0.460017,0.337884,-0.093299,0.598809,0.366526,-0.061174,5.470048
每股指标,每股未分配利润,8.319568,8.692871,8.718964,8.684711,8.959117,9.219239,9.975236,10.175246,11.060052,10.905915,10.603981,10.319067,13.21022,11.848266,10.065578,7.464251,6.179791,3.939822,3.587597,2.826922,1.855379,1.497207,1.19468,,1.244222,1.079891,0.919205,1.395432,0.883359,0.473216,0.322466,0.082519,0.183648,0.123404,-0.394419
每股指标,每股资本公积金,8.147305,8.147305,8.147305,8.147305,8.147305,8.147305,8.201489,8.190623,8.178382,8.163818,8.152058,8.056094,8.006011,7.958767,7.907812,7.877953,3.176646,3.175818,3.174806,0.210443,0.208752,0.206746,0.204328,,0.218724,0.211492,0.161238,0.230922,0.210924,0.205396,0.203564,0.19996,0.034499,0.011225,0.010241
