常用指标,每股净资产,9.581515,9.59677,9.851028,9.739541,9.943261,9.648313,10.013227,9.761554,10.171034,9.427754,9.762601,9.412669,8.980653,8.710106,8.796152,8.392908,8.470815,7.94374,7.760475,7.106889,7.831575,6.985456,6.925655,6.596701,7.29204,6.826177,6.699173,6.287076,6.382595,6.113566,6.89323,6.63164,6.856432,6.341563,6.602116,6.298308,6.353746,6.072283,6.100363,3.343859,11.658022,11.242446,11.76815,11.70036,11.682864,11.597303,11.432351,11.351607,11.337268,11.312989,11.251385,11.181463,11.392991,11.358856,11.358451,22.391156,22.519738,21.4552,21.094471,9.053159,7.07483,5.701889,,,,3.69199,2.952809
常用指标,每股现金流,0.186093,1.663421,1.064847,0.637311,0.091356,1.592657,1.087319,0.574899,0.142432,1.427601,0.956458,0.343611,0.116226,1.337536,1.143739,0.702441,0.225721,1.817562,1.346201,0.641223,0.393612,1.535693,0.589844,0.531991,0.318771,0.985987,0.488827,0.426447,0.28325,0.999389,0.542003,0.199486,-0.277696,1.165185,0.596569,0.372206,0.028156,0.21269,-0.205328,-0.333058,-0.437228,-2.748859,-1.619728,-0.959138,-1.231424,0.110445,0.06167,0.618114,0.122563,-0.971897,-0.429393,-1.185463,-0.846433,-0.771326,-0.335282,0.057322,1.396412,-0.308549,0.185174,1.479006,0.866887,2.815859,,,,0.67879,0.524032
常用指标,净资产收益率(ROE),0.81,5.47,7.02,5.84,2.94,9.78,10.63,7.19,4.05,14.56,9.88,5.74,2.74,16.69,15.87,11.97,5.45,27.05,22.47,14.71,7.22,16.18,13.1,8.82,6.28,19.51,15.7,10.43,4.91,17.09,14.39,9.83,4.53,19.14,14.91,10.22,4.63,8.91,5.09,3.07,0.72,4.85,2.55,2.07,0.66,2.88,1.19,0.54,0.06,1.1,0.49,0.07,0.27,8.91,8.87,7.34,4.84,32.59,38.69,45.43,21.49,47.66,,,,22.25,6.41
常用指标,总资产报酬率(ROA),0.605291,3.295138,3.822678,2.995098,1.512536,5.839679,5.487335,3.698341,2.005679,7.273289,5.012944,3.004902,1.470276,8.605606,8.109111,5.976822,2.859499,14.527643,12.462398,8.176949,3.714405,10.12819,8.950631,6.037122,4.159316,13.676884,11.088658,6.914318,3.655093,13.988277,11.630323,8.046182,3.745127,16.473295,12.855738,8.829508,3.952022,5.292967,1.40326,2.048775,0.710586,3.625985,2.366692,1.812777,0.571659,2.933927,1.523483,0.870858,0.240548,1.591967,0.37636,0.506388,0.322306,8.091826,7.507426,6.518882,4.297632,21.882327,20.352516,18.75753,8.329583,17.315094,,,,8.440117,5.287008
常用指标,毛利率,14.748785,21.051237,22.291434,23.619193,22.818086,25.014204,26.945832,27.53085,28.286704,26.706088,26.438571,25.105859,23.04264,30.186471,33.868913,35.002247,34.810241,41.926858,42.607998,41.229922,36.154556,35.347251,38.436365,40.691822,42.664651,42.369243,43.345787,42.554699,41.728661,41.200082,43.257945,43.059046,41.314608,45.121336,45.891734,45.20796,39.774946,29.563103,22.537962,22.503012,17.651204,18.510818,18.216821,18.790727,18.83021,18.013198,15.771818,14.244773,13.794885,12.194039,10.097987,10.38413,10.787564,22.233427,23.806618,25.78686,25.499322,33.269665,36.592082,36.705264,33.028348,25.818321,25.88982,26.66736,24.703231,20.872316,15.860867
常用指标,销售净利率,2.937999,4.551864,8.657442,10.482315,9.853876,8.142975,12.248291,12.418042,12.919824,12.127797,10.986679,10.107118,9.019134,14.667723,18.332849,19.196137,18.412223,23.02569,25.405164,24.804085,23.034678,16.500581,19.960296,20.732893,24.665253,22.930303,25.20619,23.884721,22.668182,22.223244,25.027813,26.055036,24.310804,25.238822,26.357627,27.266402,25.779599,11.106419,6.194361,5.878851,3.10637,4.515345,3.37904,3.907919,2.429563,3.136233,1.664238,1.129878,0.333752,1.368431,0.812056,0.199442,1.536747,10.227034,12.351798,13.568316,14.948422,18.858869,21.555515,21.91867,18.831118,12.966517,13.388566,13.657647,12.487246,6.643415,1.69729
常用指标,期间费用率,10.652283,12.526842,10.95023,10.408904,9.947679,12.224977,11.000086,10.833872,10.869722,10.449429,12.070118,12.295745,11.078874,12.305748,12.104517,11.52907,11.80327,13.460157,11.750375,10.612912,8.307618,11.38581,14.344847,15.262107,13.255175,13.677841,14.152591,14.910795,14.294432,14.265994,14.034274,12.328785,11.90674,14.485303,14.128884,12.671368,9.592644,15.540156,15.956299,16.030811,15.023964,14.026555,14.428236,13.970867,13.147425,14.488659,13.819699,12.722299,12.612597,10.417332,8.695253,9.492297,8.300852,9.771593,8.469834,8.896016,7.017249,10.594173,10.3634,10.090096,10.20538,10.919899,10.484684,10.478034,10.115011,13.294952,11.787712
常用指标,资产负债率,57.212096,57.543911,59.156445,60.432887,60.569935,61.039326,60.297969,61.669449,59.954724,60.786933,57.664227,58.573161,60.928583,60.688274,57.841423,57.27619,55.86163,54.139787,50.581702,52.2676,48.471459,54.452293,53.346892,54.417439,47.584296,45.757781,45.169722,49.558708,41.682851,39.618622,36.99402,37.727397,32.923419,36.035785,32.927134,32.728603,29.65938,29.402705,48.576277,63.131205,59.570035,59.07092,55.846551,57.491839,54.927051,51.213003,47.052124,45.514028,44.462153,39.364918,36.632345,39.07288,35.732348,30.430822,29.115234,28.569459,24.786237,26.705367,25.965276,64.283748,69.130501,71.275939,,,,75.034726,75.524086
每股指标,基本每股收益,0.08,0.52,0.71,0.58,0.29,0.91,1.08,0.72,0.41,1.38,0.9,0.53,0.24,1.46,1.41,1.01,0.45,2.12,1.86,1.12,0.52,1.13,0.96,0.64,0.44,1.29,1.04,0.64,0.32,1.15,0.98,0.67,0.29,1.25,0.96,0.65,0.29,0.43,0.18,0.1,0.03,0.16,0.09,0.07,0.08,0.33,0.14,0.06,0.01,0.12,0.06,0.01,0.03,0.98,0.98,0.82,0.53,2.25,2.16,1.68,1.37,2.31,,,,0.74,0.18
每股指标,稀释每股收益,0.08,0.52,0.7,0.58,0.29,0.91,1.08,0.72,0.4,1.35,0.89,0.52,0.24,1.44,1.41,1.01,0.45,2.06,1.86,1.12,0.52,1.13,0.96,0.64,0.44,1.29,1.04,0.64,0.32,1.15,0.98,0.67,0.29,1.25,0.94,0.64,0.29,0.43,0.18,0.1,0.03,0.16,0.09,0.07,0.08,0.33,0.14,0.06,0.01,0.12,0.06,0.01,0.03,0.98,0.98,0.82,0.53,2.25,2.16,1.68,1.37,2.31,,,,0.74,0.18
