常用指标,每股净资产,8.876205,8.666005,8.51529,8.501171,8.54898,8.279765,8.141175,8.140617,8.148655,7.902972,7.752328,7.721469,7.697269,7.483163,7.339097,7.293523,7.125155,6.9053,6.807311,6.839253,6.786264,6.640882,6.614268,6.496609,6.624835,6.722878,6.69616,6.703957,6.699635,6.636233,6.653526,6.60304,6.562367,6.522803,6.519781,6.545571,6.544942,6.498265,6.459236,6.461925,6.38937,6.447172,6.389791,6.458963,6.441299,6.425546,6.402915,6.423109,6.378852,6.189726,6.029657,6.017145,6.016287,5.814343,5.684402,5.687713,5.705443,5.479617,5.34455,5.323203,5.340496,5.130793,4.915703,4.870681,4.819654,4.632156,4.497429,4.448833,4.419897,4.32529,4.012545,3.803656,3.841897,3.701034,,3.29268,,3.0246,2.660235,,2.238289,,1.906856,,1.649838,1.547581,1.441402,1.315068,,,
常用指标,每股现金流,0.461542,2.253894,1.874648,1.240639,0.761857,2.221231,1.851853,1.187453,0.606908,2.494773,1.863174,1.211369,0.690532,2.15149,1.71318,1.071248,0.461285,1.865736,1.238912,0.633992,-0.009834,1.740647,0.892263,0.432081,-0.098873,1.964856,1.308024,0.734478,0.338879,1.920899,1.403866,0.798585,0.337677,2.003349,1.334792,0.791346,0.398795,1.448899,1.043142,0.611088,0.333469,1.42777,1.08917,0.606138,0.160626,1.947738,1.391698,0.729337,0.112342,1.57648,1.123756,0.557624,0.093393,1.307434,0.917676,0.262297,0.119352,1.585364,1.177542,0.70494,0.36664,1.741854,1.357614,0.82214,0.412477,1.464405,1.065216,0.731134,0.343643,0.966025,0.818829,0.458996,0.178269,1.151884,,0.626613,,1.147586,1.170521,,0.827566,,0.808245,,0.585736,0.501385,0.621269,0.337831,,,
常用指标,净资产收益率(ROE),3.0,10.1,8.1,5.4,3.0,11.1,8.9,5.9,3.1,11.4,9.3,6.1,3.1,11.3,9.1,6.3,3.0,7.4,6.03,4.3,2.3,1.6,0.82,-2.52,-1.3,3.7,3.06,2.33,0.8,4.4,4.04,2.28,0.8,1.9,1.5,1.06,0.5,0.7,0.1,0.04,-1.2,3.0,2.6,2.14,0.5,9.3,8.2,5.9,3.0,11.4,8.7,6.0,3.3,11.1,8.4,6.0,3.8,13.6,10.6,6.8,3.9,15.5,11.2,7.4,,9.1,,,,14.8,,,,22.8,,13.0,,26.3,29.0,,26.0,,,,,,,,,,
常用指标,总资产报酬率(ROA),2.480105,8.733737,6.957737,4.654235,2.551617,9.514564,7.534268,5.061642,2.597262,9.644214,7.598146,4.969642,2.553655,9.073149,7.120047,4.852014,2.410353,7.130249,5.481173,3.872464,1.943095,3.163672,2.407725,-0.134434,-0.104203,5.164774,4.099617,3.030942,1.268259,5.686942,4.835092,2.971593,1.264263,3.144239,2.378495,1.632751,0.87038,2.861171,2.087672,1.601135,-0.074526,3.437629,2.807449,2.129123,0.658522,7.586795,6.59004,4.541171,2.344905,8.916164,6.668232,4.63371,2.506251,9.053229,6.793171,4.845399,2.918299,10.921526,8.540935,5.982991,3.251536,12.585006,9.178059,6.106361,3.108477,10.955831,8.480027,5.31724,2.165151,14.492967,11.761093,7.032173,3.670983,21.713032,,12.786842,,25.057154,28.969541,,26.417127,,19.078525,,13.751159,14.30427,18.313359,,,,
常用指标,毛利率,22.924076,21.586828,21.090917,20.892021,21.091131,22.55828,21.565949,20.949964,20.378633,23.534512,21.699592,21.312938,21.223775,21.95725,21.12103,21.749624,19.981959,20.76406,19.76216,19.968643,22.986358,20.024035,18.401102,17.098418,16.412753,20.438849,20.298478,21.008493,20.535123,22.485073,22.403392,21.467286,20.608159,21.41213,20.858692,20.366857,20.615569,23.575687,22.646177,23.29464,22.317263,24.632091,24.596105,25.28805,24.204554,23.986733,24.101136,24.927381,26.876416,24.634785,23.961304,23.915625,27.26709,25.530816,25.928238,26.704539,28.271064,28.872471,29.871441,31.031339,32.564016,33.792884,34.132844,34.547464,35.249298,37.887223,40.019091,40.058804,39.063343,36.173313,35.29083,34.254315,34.843349,41.665818,41.948427,43.18176,45.252568,47.372775,49.908099,33.877515,53.714687,36.017129,49.240789,37.168829,46.503993,43.62502,49.694302,26.652421,24.095133,30.900807,33.123603
常用指标,销售净利率,7.262117,6.004777,6.45908,6.459283,6.88945,6.254192,6.570508,6.41045,6.313963,5.987721,6.413073,6.3913,6.622651,5.06232,5.442288,5.680218,5.598767,4.386828,4.948836,5.66748,5.733227,1.731325,1.449686,-2.510857,-2.622874,2.662497,2.950669,3.271448,2.714701,3.076579,3.703244,3.367537,2.802706,1.824901,2.050484,2.147843,2.15111,1.819156,1.806791,2.286802,-3.10121,2.455274,2.749893,3.257545,1.882603,5.214015,6.042581,6.417249,7.046074,6.298546,6.272878,6.589525,7.47025,5.949903,6.198643,6.671501,8.333729,7.286349,7.718078,7.739273,9.105116,10.28207,10.298359,10.269028,11.096786,10.436633,12.319862,12.492143,10.287914,11.75806,11.559547,10.062745,11.989669,17.184148,18.543607,20.446061,21.406431,20.718658,24.128396,24.879499,25.464641,26.201206,20.767553,26.301027,16.056396,16.60184,19.36039,15.272008,10.409608,18.863141,21.833
常用指标,期间费用率,5.468214,5.760858,5.375575,5.32336,5.305082,5.574644,5.238935,4.897967,5.022137,5.491509,5.21034,5.20052,5.565271,4.893387,4.734094,4.672427,4.772969,5.996445,6.239772,6.378339,7.064572,8.627463,8.280219,8.362027,8.096672,7.125965,6.928343,6.956771,7.105429,7.133873,7.043433,7.068402,7.233154,8.19886,8.139169,7.942646,7.900169,9.931702,10.504964,11.022681,11.796049,9.646649,9.653859,9.721361,9.999122,7.563814,7.28974,7.456965,8.069428,7.638951,7.486106,7.377739,7.297927,7.096628,7.04631,6.948763,6.706782,6.980886,6.845131,7.133968,7.5759,8.67256,8.810808,8.891102,8.986966,10.852321,10.828834,11.769734,12.527122,9.489369,9.315791,9.569407,9.467743,11.201659,10.912337,10.746932,11.208954,11.72766,11.860659,,11.932594,,13.27616,,15.153022,13.752178,13.720484,11.331541,10.746365,10.583869,10.058673
常用指标,资产负债率,39.584058,36.367143,38.377818,38.478301,37.917792,37.891076,39.536853,39.379589,38.970649,40.763066,42.570913,41.596762,41.679546,42.473962,45.841022,46.052656,44.368809,43.692091,45.493204,44.990253,44.762518,45.069723,46.969476,47.690004,47.613998,47.146813,46.953424,45.934932,45.844442,41.997559,43.015205,41.856628,41.953436,42.550448,43.588046,42.32524,41.99593,42.717703,43.282884,43.679697,44.16999,43.849823,44.734612,44.533007,44.776595,45.216049,45.096463,45.880341,45.17169,45.776864,47.920881,47.3169,46.818161,45.557642,46.092963,44.859958,44.514277,43.543666,43.380898,41.939836,40.583519,39.017114,38.809957,38.85938,38.480302,37.403687,38.127926,32.689468,29.892554,29.054791,30.053596,29.889767,29.359866,28.067925,,29.715181,,30.368744,31.041584,9.972914,29.454801,11.339366,31.68539,31.689742,35.755686,37.255171,38.491571,,,,
每股指标,基本每股收益,0.264,0.86,0.69,0.46,0.259,0.9,0.73,0.49,0.25,0.88,0.719,0.47,0.24,0.81,0.66,0.45,0.21,0.5,0.41,0.29,0.15,0.1,0.055,-0.164,-0.089,0.25,0.204,0.155,0.056,0.29,0.266,0.15,0.055,0.12,0.095,0.069,0.03,0.04,0.01,0.003,-0.08,0.19,0.17,0.139,0.03,0.59,0.52,0.37,0.19,0.71,0.52,0.36,0.2,0.63,0.48,0.34,0.21,0.73,0.57,0.36,0.2,0.76,0.55,0.356,0.18,0.56,0.44,0.27,0.1,0.62,0.47,0.26,0.14,0.75,,0.42,,0.76,0.72,,0.55,,,,,,,,,,
每股指标,稀释每股收益,0.264,0.86,0.69,0.46,0.259,0.9,0.73,0.49,0.25,0.88,0.719,0.47,0.24,0.81,0.66,0.45,0.21,0.5,0.41,0.29,0.15,0.1,0.055,-0.164,-0.089,0.25,0.204,0.155,0.056,0.29,0.266,0.15,0.055,0.12,0.095,0.069,0.03,0.04,0.01,0.003,-0.08,0.19,0.17,0.139,0.03,0.59,0.52,0.37,0.19,0.71,0.52,0.36,0.2,0.63,0.48,0.34,0.21,0.73,0.57,0.36,0.2,0.76,0.55,0.356,0.18,0.56,0.44,0.27,0.1,0.62,0.47,0.26,0.14,0.75,,0.42,,0.76,0.72,,0.55,,,,,,,,,,
