选项,指标,20260331,20251231,20250930,20250630,20250331,20241231,20240930,20240630,20240331,20231231,20230930,20230630,20230331,20221231,20220930,20220630,20220331,20211231,20210930,20210630,20210331,20201231,20200930,20200630,20191231,20181231,20171231
常用指标,资产负债率,58.397678,61.029532,60.640098,60.044294,53.911352,53.990379,54.201541,53.581977,50.885543,32.130912,28.176674,28.943839,30.583343,33.412356,36.393645,36.389963,36.496863,52.240431,,51.311807,,54.928621,57.255074,,59.399981,65.488268,66.055855
每股指标,基本每股收益,-0.35,0.22,0.1,-0.15,-0.21,0.19,0.08,-0.16,-0.29,0.56,0.37,0.21,0.06,1.06,1.11,0.49,0.18,1.75,,1.28,0.22,3.5,2.44,,1.98,0.85,-0.04
每股指标,稀释每股收益,-0.35,0.22,0.1,-0.15,-0.21,0.19,0.08,-0.16,-0.29,0.56,0.37,0.21,0.06,1.06,1.11,0.49,0.18,1.75,,1.28,0.22,3.5,2.44,,1.98,0.85,-0.04
每股指标,摊薄每股收益_最新股数,-0.337996,0.199106,0.095525,-0.137751,-0.190968,0.174246,0.073362,-0.149082,-0.268045,0.515747,0.340333,0.195716,0.058588,0.940233,0.649454,0.415382,0.092152,0.912663,0.691261,0.443419,0.075597,1.215846,0.848723,0.462219,0.687806,0.296176,-0.015158
每股指标,摊薄每股净资产_期末股数,12.894715,10.898708,10.877105,10.639374,10.860748,11.096671,10.979822,10.754767,10.788814,11.082448,10.854015,10.697078,15.924629,15.832621,15.39856,15.516421,22.46647,14.106678,,12.702819,,11.438171,10.397012,,12.584011,9.939277,8.728143
每股指标,调整每股净资产_期末股数,11.110862,8.968475,9.101675,8.838768,9.070537,9.365579,9.437772,9.191053,9.258853,10.300536,10.093667,9.934975,14.836913,14.741537,14.32112,14.418621,21.248852,12.670944,,11.349844,,10.083407,9.072757,,10.388511,7.574279,6.779241
每股指标,每股净资产_最新股数,12.894715,10.032781,10.012894,9.794052,9.997837,10.215016,10.10745,9.900277,9.931618,10.201922,9.991639,9.847171,9.772921,9.716456,9.450073,9.522404,9.191759,4.905773,4.619528,4.417564,,3.977766,3.61569,,3.20481,2.531267,2.222824
每股指标,每股经营现金流,-3.325125,-0.253977,-1.689463,-0.502785,-1.927847,0.77801,-0.808279,-0.389254,-1.450865,0.915423,-0.379801,-0.924406,-1.521044,1.59355,-1.09204,-0.975027,-2.927731,1.797796,,-1.549495,,3.952081,2.457043,,4.271805,0.808935,-1.454275
每股指标,每股现金流量净额,0.626955,-0.747512,-1.936847,-1.686141,-3.381342,0.899188,-1.460714,-0.553017,-2.055052,-0.105086,-2.789122,-3.054745,-5.191188,5.231723,-0.064658,1.012036,6.896382,0.357854,,-3.327937,,2.081055,1.232358,,1.747848,0.879962,-0.080618
每股指标,每股企业自由现金流量,,0.675052,,0.45039,,-1.040978,,-1.417825,,0.315633,,-0.273599,,-5.100653,,-5.979474,,2.054993,,1.68264,,1.164108,0.974074,,0.233008,2.422007,-6.476639
每股指标,每股股东自由现金流量,,1.098973,,0.915179,,2.220888,,2.030473,,0.430006,,-0.955191,,-6.012089,,-5.969295,,2.046156,,0.73374,,0.96772,1.11305,,-0.134923,3.082264,-2.139203
每股指标,每股未分配利润,2.796614,3.405158,3.315019,3.061608,3.103798,3.311249,3.219329,2.977685,3.028454,3.319634,3.161194,3.004095,4.282698,4.18723,3.766695,3.885283,5.037888,5.661941,,4.306592,,3.074781,2.060124,,-0.467043,-3.190109,-4.353077
每股指标,每股资本公积金,9.009445,6.368031,6.405921,6.428557,6.603026,6.632806,6.637133,6.642029,6.636154,6.636154,6.598132,6.596417,10.51005,10.51005,10.551078,10.564123,16.346185,7.345283,,7.345283,,7.345424,7.345424,,12.079922,12.140611,12.125671
每股指标,每股盈余公积金,0.150494,0.163483,0.141101,0.141101,0.141101,0.141101,0.123429,0.123429,0.123429,0.123429,0.091315,0.091315,0.136973,0.136973,0.083968,0.083968,0.125953,0.14818,,0.102972,,0.065047,0.024033,,,,
每股指标,每股留存收益,2.947109,3.568642,3.45612,3.20271,3.2449,3.45235,3.342759,3.101114,3.151884,3.443064,3.25251,3.095411,4.419671,4.324204,3.850664,3.969252,5.163841,5.810121,,4.409565,,3.139829,2.084158,,-0.467043,-3.190109,-4.353077
每股指标,每股营业收入,7.841515,36.822732,26.636173,16.560032,7.356905,32.862878,23.304432,13.144393,5.718491,18.448869,13.465051,9.004015,6.615872,30.070623,22.328671,14.615702,10.334195,46.175579,,21.191311,,36.109151,25.587615,,40.225028,30.873189,26.585208
每股指标,每股营业总收入,7.841515,36.822732,26.636173,16.560032,7.356905,32.862878,23.304432,13.144393,5.718491,18.448869,13.465051,9.004015,6.615872,30.070623,22.328671,14.615702,10.334195,46.175579,,21.191311,,36.109151,25.587615,,40.225028,30.873189,26.585208
每股指标,每股息税前利润,-0.340914,0.238324,0.149729,-0.140114,-0.202942,0.321079,0.141002,-0.145167,-0.266641,0.602979,0.42003,0.243865,0.118348,1.794384,1.295575,0.829538,0.332469,3.235517,,1.584419,,4.278891,3.066083,,3.64418,1.998519,0.631653
盈利能力,净资产收益率(ROE),-2.82,1.97,0.94,-1.37,-1.89,1.71,0.72,-1.47,-2.66,5.18,3.45,2.0,0.6,11.14,8.09,5.49,1.63,20.55,,10.57,1.88,34.2,24.71,,23.98,12.46,-0.7
