常用指标,总资产报酬率(ROA),12.542343,11.478505,7.648026,4.83138,2.640292,11.771621,7.731106,5.474695,2.791894,10.749311,7.591831,5.105535,2.34693,10.750798,8.205869,5.25446,2.634323,11.877416,9.875173,6.692995,4.159439,12.189275,8.232476,5.208069,1.600469,9.594011,11.236417,8.537725,2.967158,22.123094,,,19.443636,17.029272,-22.991365,1.035746
常用指标,毛利率,86.593651,85.947624,85.553243,85.031921,85.957842,85.143802,85.103752,84.918248,84.799856,85.297524,85.647945,86.070034,86.819825,84.995708,85.075896,85.112571,86.530635,86.91021,88.232356,88.007906,89.743233,87.698415,86.849674,86.140451,84.116186,85.580072,83.959336,82.65987,82.851571,86.711836,86.804248,87.070883,88.23397,88.579454,92.840989,92.798845
常用指标,销售净利率,136.073136,30.72943,27.853781,27.571385,30.302561,32.324471,28.674618,29.921534,29.820711,28.851422,27.126534,27.41786,25.253926,29.110328,29.538385,29.527023,29.443562,32.589405,36.66632,36.213841,42.328196,39.212127,39.678153,39.027569,29.633308,25.360808,19.615721,21.436427,16.800781,27.500379,28.066406,36.813713,28.454434,23.948745,-36.949582,4.818416
常用指标,期间费用率,60.544082,62.563364,62.295276,62.153991,60.755096,60.02415,61.890015,60.154526,58.76571,61.218577,62.661338,61.644279,63.830759,65.079983,65.541756,66.998263,65.971629,63.578996,59.739306,58.008343,52.922,61.779743,62.31101,59.069197,70.091011,68.134677,71.555787,68.193559,76.453794,64.641873,64.461742,58.493905,66.287009,72.226717,130.862198,99.843092
常用指标,资产负债率,25.163354,29.204739,27.08129,29.161999,25.644797,28.130147,26.542793,26.896367,26.113964,28.298332,25.762196,28.267924,25.187757,27.030793,24.780905,25.86156,24.524844,25.374486,21.794282,21.428892,18.634184,19.041843,16.128954,13.062947,11.128245,11.329835,28.240688,26.809651,24.6054,27.064792,,,18.775207,13.574285,36.546705,28.402196
每股指标,基本每股收益,4.74,3.97,2.55,1.62,0.87,3.56,2.25,1.56,0.79,2.86,1.94,1.3,0.58,2.42,1.7637,1.13,0.544,2.26,1.8393,1.19039,0.6668,1.9049,1.29,0.7753,0.2393,1.09,0.57,0.41,0.13,0.86,0.58,0.51,0.6,0.36,-0.41,0.04
每股指标,稀释每股收益,4.72,3.96,2.54,1.61,0.87,3.56,2.25,1.56,0.79,2.85,1.94,1.3,0.58,2.42,1.7637,1.13,0.544,2.26,1.8393,1.19039,0.6668,1.9049,1.29,0.7753,0.2393,1.09,0.57,0.41,0.13,0.86,,0.51,0.6,0.36,-0.41,0.04
每股指标,摊薄每股收益_最新股数,4.737367,3.963269,2.543177,1.612536,0.869296,3.550236,2.244151,1.556929,0.792057,2.843798,1.927764,1.293383,0.576829,2.411732,1.754813,1.121583,0.54121,2.247122,1.829861,1.184292,0.663389,1.89511,1.284694,0.771307,0.238068,0.864487,0.441138,0.317014,0.103116,0.670447,0.452486,0.393437,0.462559,0.280395,-0.313954,0.029424
每股指标,摊薄每股净资产_期末股数,32.651339,27.750478,26.186745,25.12279,25.478989,24.551195,23.143306,22.423661,22.383638,21.547097,20.505187,19.740504,19.588496,18.915643,18.180431,17.419371,17.378684,16.745152,16.28302,15.491983,15.52249,14.869644,14.156012,13.652291,13.411837,13.163948,3.918159,3.741783,3.445042,3.297035,,,2.886302,2.266173,37.24808,34.59724
每股指标,调整每股净资产_期末股数,31.93739,27.032908,25.447879,24.394245,24.734525,23.797878,22.400532,21.668824,21.602245,20.770341,19.757166,18.986728,18.850064,18.186817,17.449955,16.675182,16.660489,16.020156,15.561662,14.904799,14.938765,14.279153,13.539867,13.562639,13.317582,13.069263,3.80849,3.630256,3.333522,3.171776,,,2.800931,2.168113,33.08035,30.00617
每股指标,每股净资产_最新股数,32.651339,27.73893,26.175848,25.112335,25.440602,24.506346,23.101029,22.360067,22.308529,21.470427,20.4321,19.661407,19.49942,18.827852,18.096052,17.330197,17.289718,16.65943,16.199663,15.412675,15.443027,14.793522,14.083544,13.582402,13.343178,13.096558,3.04407,2.907041,2.676499,2.561511,,,2.242407,1.76062,0.803848,0.74664
每股指标,每股经营现金流,0.128901,5.400723,2.75615,1.594085,0.076117,4.746923,2.333892,1.359847,0.332263,4.456233,2.034503,1.290317,0.272702,3.47539,1.865389,1.338051,0.332947,4.044035,2.614879,1.651417,0.49516,3.285084,1.757533,0.980305,0.286328,1.27048,0.688682,0.382827,-0.008135,1.161382,,,0.963263,0.381944,5.53207,2.8871
每股指标,每股现金流量净额,0.818699,-0.439075,-0.682058,0.391459,-0.87826,-5.57642,-6.341927,-5.49798,-2.95957,-7.664622,-8.002782,-3.06326,-7.069989,12.491834,-1.731482,1.427304,-0.55237,0.545009,2.721326,-0.044311,3.224998,0.5452,0.002891,-0.150335,0.217203,1.220034,-0.02875,-0.038233,-0.03506,0.056619,,,-0.411972,0.492319,7.20179,-0.12404
每股指标,每股企业自由现金流量,,-6.059488,,0.834696,,12.783075,,6.42974,,2.751603,,1.965538,,0.97582,,1.086994,,2.641718,,2.726762,,0.395025,,0.137224,,-9.801364,,-0.164663,-0.125747,0.521629,,,-0.037826,-0.892196,-17.25746,-29.84764
每股指标,每股股东自由现金流量,,-6.059488,,0.834696,,12.783075,,6.42974,,2.751603,,1.965538,,0.97582,,1.086994,,2.641718,,2.726762,,0.395025,,0.137224,,-9.801364,,-0.164663,-0.125747,0.521629,,,-0.037826,-0.892196,-17.25746,-29.84764
每股指标,每股未分配利润,19.249935,14.518609,13.09167,12.160642,12.328668,11.461735,10.219216,9.540383,9.657673,8.864752,8.048985,7.415628,7.429834,6.845002,6.284629,5.65116,5.767801,5.223806,4.880675,4.231784,4.308201,3.646092,3.058882,2.542854,2.306872,2.067578,2.174061,2.014295,1.738977,1.590954,,,1.306751,0.769421,11.37476,26.11282
