常用指标,每股净资产,5.75482,5.706161,5.598347,5.499362,5.576626,5.467723,5.372891,5.120659,5.18898,5.026929,5.021091,4.766102,4.682335,4.565192,4.723635,4.696164,4.732015,4.695858,4.932752,4.972725,5.130231,4.984246,4.85297,4.67729,4.701289,4.714036,4.637304,4.564445,4.655384,4.49603,4.538308,4.383654,4.495376,4.46583,4.376642,4.264338,4.367199,4.282545,4.257469,4.094786,4.1653,4.087732,3.967177,3.90134,3.781953,3.671305,3.253035,3.137644,4.086351,3.969237,,3.364913,,3.459806,3.08825,7.742318
常用指标,每股现金流,0.32293,0.85419,0.817317,0.41237,0.266303,1.022233,0.73494,0.397543,0.133925,0.855956,0.389493,0.098255,-0.095572,0.01671,0.215415,0.077181,0.016957,0.062177,0.231091,0.202744,0.030743,0.744687,0.467786,0.238226,0.111785,0.663783,0.596733,0.354423,0.111045,0.498078,0.506614,0.247657,0.121864,0.734256,0.536085,0.382445,0.165652,0.981622,0.838163,0.616928,0.306162,0.930524,0.831378,0.603771,0.371305,0.88057,0.811754,0.379752,0.265995,1.456511,,0.779123,,1.128792,0.697889,2.35209
常用指标,净资产收益率(ROE),1.23,10.1,8.34,4.69,1.45,11.07,9.57,5.68,2.65,10.14,9.29,4.45,1.63,-2.92,0.72,0.62,0.98,-1.27,3.33,3.6,1.53,9.22,7.98,4.67,0.87,6.87,5.75,3.96,1.71,6.64,6.09,3.89,0.94,7.24,6.26,3.91,1.67,10.85,10.09,7.32,2.62,13.88,11.55,8.3,2.88,15.3,11.41,8.14,3.29,20.04,17.25,10.49,3.53,13.92,8.92,10.31
常用指标,总资产报酬率(ROA),0.716312,6.649315,5.714382,3.12721,1.091947,7.577372,6.647274,3.865744,1.700761,7.948189,7.041206,3.222278,1.185988,-1.437937,0.893036,0.629335,0.682709,-1.455746,2.262808,2.847112,1.388957,7.953635,6.833466,3.935323,0.834942,6.423353,5.305412,3.505722,1.546651,5.757191,5.196897,3.27897,0.951654,6.086752,5.247672,3.324995,1.375611,9.515215,8.572894,6.310665,2.265476,11.534334,9.006964,6.114412,2.203586,10.542055,7.725843,5.459111,2.160808,12.903694,,6.80039,,9.6323,6.503903,7.083383
常用指标,毛利率,5.44992,12.32867,13.029439,10.825341,7.068419,12.158768,12.469843,11.026731,9.335011,9.412582,10.321679,6.422211,4.313715,-3.951678,-1.207816,-2.056791,0.568985,-2.112602,3.224507,7.9959,8.690042,14.582845,15.975437,14.532148,9.939278,12.50586,12.428897,11.933112,10.336048,9.486704,10.404761,9.705281,6.396365,11.73541,12.480624,11.728305,11.772992,22.344141,26.095306,29.826521,25.633622,26.078063,26.422376,26.078368,21.961504,19.85019,19.905091,20.548276,18.31298,18.921131,20.301754,20.026005,16.924757,15.062904,10.983497,15.657068
常用指标,销售净利率,4.682146,9.602533,11.959573,10.840658,6.777258,10.103902,12.021001,11.064356,9.691199,8.234343,10.29432,7.364435,6.013093,-4.495484,-0.68741,-0.367437,2.840543,-2.823042,3.456682,8.198682,7.438412,12.899431,15.531359,14.5757,5.769447,9.013347,10.318451,10.616365,8.927241,7.630812,9.557946,9.226442,4.933918,9.251634,11.002092,11.287139,9.42651,18.349913,23.45004,27.138355,20.751523,21.159832,23.319285,23.463412,15.568253,16.004293,16.394287,17.917226,14.548329,14.267495,16.282425,16.265398,12.154854,9.825806,6.439259,9.155035
常用指标,期间费用率,4.683517,4.541951,4.364649,4.904895,4.724855,4.531434,4.460319,4.771476,4.562947,4.188893,4.006734,3.982007,4.184923,3.967729,3.576966,3.969589,3.882585,4.121581,3.787924,4.117792,4.241722,5.211715,4.655664,4.891152,6.322819,5.175992,4.757799,4.922841,4.783333,4.93789,4.655634,4.692931,4.84629,4.976845,4.672899,5.074483,5.031348,6.446681,6.442724,6.852494,8.097949,7.642095,7.552192,7.440903,7.897706,7.006127,7.232677,7.274124,7.294335,6.045719,5.465391,6.108242,6.706432,6.797938,6.336778,6.846542
常用指标,资产负债率,41.397,42.514418,43.931423,44.318878,42.285826,43.654174,43.918934,45.937755,44.250338,45.689463,45.785749,47.731715,47.945522,44.189407,41.441268,39.254049,38.679783,37.971351,34.162849,34.161293,32.221729,33.374566,32.961911,35.625912,34.373269,34.686412,35.135131,35.528462,35.990184,36.975626,36.974833,39.292352,38.105447,39.067488,37.067366,37.415306,36.572895,37.35978,37.04698,37.775986,37.275737,38.396847,39.405253,42.662011,49.654457,50.940304,52.074512,50.988174,51.413536,52.82894,,53.865607,,51.493502,53.790243,52.939384
每股指标,基本每股收益,0.07,0.56,0.46,0.26,0.08,0.58,0.5,0.29,0.14,0.49,0.44,0.21,0.08,-0.14,0.03,0.03,0.05,-0.06,0.17,0.18,0.08,0.45,0.38,0.22,0.04,0.32,0.27,0.18,0.08,0.3,0.28,0.17,0.04,0.32,0.28,0.17,0.07,0.46,0.43,0.31,0.11,0.54,0.44,0.32,0.11,0.5,0.36,0.25,0.1,0.55,0.46,0.27,0.125,0.45,0.29,
每股指标,稀释每股收益,0.07,0.56,0.46,0.26,0.08,0.58,0.5,0.29,0.14,0.49,0.44,0.21,0.08,-0.14,0.03,0.03,0.05,-0.06,0.17,0.18,0.08,0.45,0.38,0.22,0.04,0.32,0.27,0.18,0.08,0.3,0.28,0.17,0.04,0.32,0.28,0.17,0.07,0.46,0.43,0.31,0.11,0.54,0.44,0.32,0.11,0.49,0.36,0.25,0.1,0.55,0.46,0.27,0.125,0.45,0.29,
