常用指标,每股净资产,9.792479,9.548506,9.48609,9.241206,9.386854,9.226808,8.771169,8.595079,8.650612,8.370363,8.234099,8.112647,8.267389,7.998501,7.864703,7.724036,8.083721,8.00111,7.756141,7.452372,7.548995,7.376638,7.214832,6.361038,6.391176,6.24501,6.085779,5.957763,6.034715,5.769923,5.726714,5.643771,5.816023,5.723134,5.591941,5.376922,5.418835,5.273137,5.178037,4.968819,5.417188,5.453923,5.04953,4.93486,4.415335,3.99782,3.269587,3.055262,3.051236,2.942497,,2.700753,2.825286,2.743073,2.65723,2.538678,2.45402,2.482146,2.150271,2.211605,1.817378,1.559988,1.562419,5.544717,3.091954,,1.771847,,1.322388,,1.047754,,0.991718,,1.050211,1.242761,1.526894,1.627155,1.529405,1.654967
常用指标,每股现金流,0.982482,1.667022,2.488851,3.356093,0.558496,3.510777,5.847245,2.346396,0.950215,-4.978512,-2.014327,0.147459,-0.5067,-0.763752,-1.950845,-1.606012,-1.054142,-0.698615,-0.831347,-0.235245,-0.009829,-0.361227,0.442619,1.348523,1.363287,3.492904,3.610436,2.544245,2.476997,-0.544903,-0.250813,0.060814,0.358766,-2.797902,-0.505278,0.057786,-0.292531,-0.886631,-1.883989,0.619529,-0.597147,-0.280241,-0.526234,5.122979,0.494396,0.72884,0.284561,0.479861,0.095987,-1.026064,,,,-0.008322,,-1.643569,,-2.526584,,3.978363,,-1.977518,,21.314917,,,4.552677,,,,-0.211042,,,,-0.440242,-0.207959,,-0.515144,-1.748508,0.400959
常用指标,净资产收益率(ROE),1.83,10.69,9.05,5.26,2.26,8.23,4.74,3.04,1.12,6.57,5.0,3.76,1.87,6.5,5.18,3.53,0.7,12.71,10.0,6.25,2.2,10.61,9.43,5.41,2.62,9.46,7.39,5.17,3.75,6.66,3.65,2.16,1.41,9.53,7.04,4.23,2.12,9.35,7.56,4.43,1.69,33.86,28.5,24.27,9.44,21.28,12.79,7.2,4.53,10.62,9.02,,,10.06,,10.44,,,,31.58,,,,,,,,,,,,,,,,,,,,
常用指标,总资产报酬率(ROA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,毛利率,54.021713,53.843677,57.193305,56.580409,54.473882,44.993639,42.039377,41.433598,41.516025,39.538106,42.299369,47.134682,50.570175,38.39238,39.031888,43.975028,27.434231,51.615887,58.125869,59.502455,49.321462,45.959096,50.696598,47.47495,46.780991,45.87164,49.903663,52.769133,64.860457,41.939767,38.273308,36.336386,39.472313,51.339779,51.84004,50.883375,51.063613,47.297655,50.659108,47.873807,41.917035,63.545432,66.569786,68.503565,67.886584,55.197515,50.31136,46.558218,53.207406,40.756865,42.317683,43.823384,55.105571,38.482409,41.991029,38.37141,46.862805,51.769693,50.113287,60.478027,62.441886,47.092516,52.434585,70.64143,69.339191,,64.374999,,69.834915,,38.485514,,,,-57.820086,0.683431,3.77346,43.931263,15.267211,38.493378
常用指标,销售净利率,42.764581,45.866502,47.580425,48.462876,44.08993,40.743698,39.758259,40.460617,36.547187,37.115798,39.169333,43.734024,42.471465,38.326269,35.767942,38.569549,25.673216,42.476444,45.9017,46.420944,39.64704,35.233501,39.118973,36.662433,34.610554,34.866121,37.873104,39.783161,50.376059,34.206732,30.580092,28.658954,31.783146,38.400691,38.441843,37.038182,39.992254,35.738079,38.284959,35.711285,29.252977,47.869575,50.276696,51.635832,51.012671,41.919016,38.486215,35.12722,39.903967,31.110134,32.603744,33.834789,42.103287,30.401637,32.411633,30.077771,36.583304,39.848023,39.760283,47.511908,48.663106,38.824044,39.55312,54.498123,53.256849,36.825647,53.614204,49.870425,64.770793,65.516688,26.650858,-60.435841,,,-52.207075,0.429415,3.166473,35.01683,14.003897,33.436348
常用指标,期间费用率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,资产负债率,69.702139,71.017021,71.232223,69.98222,70.978162,71.110006,70.874883,72.162167,72.585644,72.852678,69.306488,68.379201,68.061675,68.086109,68.363308,70.054321,69.942867,67.145772,68.031891,66.001408,67.63652,66.699066,63.110842,73.295418,69.844566,68.406017,68.681596,70.700899,70.965915,70.714304,69.301677,69.673688,67.540431,67.624888,67.254304,63.696956,63.547845,65.359713,65.786586,68.430084,68.938048,69.400313,76.331597,79.110687,76.302997,70.891441,70.106625,63.767669,61.339723,60.87921,,56.588853,52.473663,45.306471,45.949301,37.326395,41.615761,31.5447,32.23373,21.928347,28.749364,40.059944,26.827609,29.954688,37.185139,81.525908,19.52794,74.013918,14.289383,58.797203,30.924753,63.125009,35.831109,67.775738,41.369425,50.270144,13.51738,31.354685,26.574539,34.876119
每股指标,基本每股收益,0.18,1.01,0.85,0.49,0.21,0.72,0.41,0.26,0.09,0.54,0.41,0.31,0.15,0.52,0.41,0.29,0.06,0.97,0.75,0.46,0.16,0.72,0.62,0.34,0.16,0.56,0.44,0.3,0.22,0.38,0.21,0.12,0.08,0.52,0.38,0.23,0.13,0.56,0.45,0.27,0.1,1.7,1.35,1.1,0.4,0.7,0.4,0.22,0.14,0.3,0.25,,,0.26,,0.26,,,,0.6,,,,,,,,,,,,,,,,,,,,
每股指标,稀释每股收益,0.18,1.01,0.85,0.49,0.21,0.72,0.41,0.26,0.09,0.54,0.41,0.31,0.15,0.52,0.41,0.29,0.06,0.97,0.75,0.46,0.16,0.72,0.62,0.34,0.16,0.56,0.44,0.3,0.22,0.38,0.21,0.12,0.08,0.52,0.38,0.23,0.13,0.56,0.45,0.27,0.1,1.7,1.35,1.1,0.4,0.7,0.4,0.22,0.14,0.3,0.25,,,0.26,,0.26,,,,0.6,,,,,,,,,,,,,,,,,,,,
