常用指标,每股净资产,3.420132,3.392331,3.663796,3.535406,3.673689,2.988355,3.034303,3.035524,3.093352,2.958306,2.897947,2.848178,2.863309,2.815002,3.049384,3.099247,3.262324,3.256903,3.253763,3.233936,3.14962,3.070662,3.01151,3.009317,3.046215,3.045674,3.191823,2.848498,2.931857,2.946656,3.316008,3.285363,3.545374,2.870053,2.487889,2.432408,2.432232,2.398113,2.343952,2.362269,4.655773,4.685009,4.26283,4.395573,5.629179,3.123224,2.908562,2.243072,4.437938,4.383077,4.207172,4.077722,8.58925,8.248366,7.529044,7.299968,16.49874,16.316442,15.620369,3.554633,,2.82027,,,2.247285,47.827033
常用指标,每股现金流,-0.007338,0.898065,1.040004,1.016446,1.665246,0.115474,0.217732,0.19827,-0.029115,0.218875,0.051497,0.039148,0.006451,-0.002541,0.024331,0.026283,0.004311,0.182658,0.22251,0.095564,0.01407,-0.004862,-0.149423,-0.162453,-0.117808,0.551896,0.397309,-0.128676,-0.252819,-0.162363,-0.102096,-0.061765,0.006787,-0.010861,0.006948,0.084716,0.121279,0.254615,0.178126,0.295913,0.185095,0.271164,-0.105839,-0.137804,-0.02497,-0.081848,-0.227129,0.006826,-0.070595,1.48957,1.23536,0.8998,0.858211,-0.450788,-0.601624,-0.697768,-0.75482,-1.710066,0.187241,0.476563,,0.427179,,,1.103841,0.89929
常用指标,净资产收益率(ROE),0.23,17.9,23.95,22.84,20.63,3.36,5.24,5.34,4.78,4.98,4.39,2.43,1.47,-8.09,1.09,2.1,0.78,-3.23,5.96,5.23,2.17,3.24,0.72,0.23,0.33,10.8,12.31,1.23,1.07,16.25,25.09,22.85,21.17,10.98,8.81,5.61,2.61,10.67,8.43,4.63,3.11,7.04,3.44,1.7,0.15,13.08,8.54,4.51,1.23,15.7,11.61,8.46,4.05,16.59,7.59,4.54,1.1,19.64,17.1,23.05,5.86,49.61,,,41.3,5.52
常用指标,总资产报酬率(ROA),0.364216,19.151064,24.525724,23.717368,18.966494,3.679008,5.709325,5.753719,4.90372,5.220515,4.524254,2.592803,1.517761,-7.37759,1.088091,2.153127,0.804557,-2.401978,6.001461,5.336862,2.093559,3.408284,1.012863,0.426,0.415712,10.700638,12.443539,1.125556,1.097233,17.746262,22.815582,20.493524,18.570575,8.307793,7.283615,4.717492,2.158152,9.6554,7.588017,4.257179,2.82889,7.336349,3.991045,2.02495,0.382408,12.021302,6.910295,4.284247,1.077318,17.11,13.105409,9.426892,4.782303,18.392869,7.909749,4.707438,1.057511,19.096343,10.987946,16.482623,,36.861203,,,22.38573,5.351929
常用指标,毛利率,44.129931,66.127746,73.242766,78.273193,78.319075,37.713306,42.963808,44.407493,48.235396,39.891713,35.947334,35.181116,25.284086,19.104717,18.286698,31.080228,25.383803,38.273934,37.88567,50.426736,30.034225,53.031976,33.652515,33.01323,31.549599,44.756085,45.14082,2.019809,5.912128,32.26319,40.338861,46.212687,37.763272,41.276519,36.11213,43.31146,38.677337,49.448636,52.752007,52.26234,53.269565,33.684806,32.621707,33.737177,19.495047,39.32393,45.446364,48.772754,39.342141,46.287123,48.485231,53.174087,56.270988,43.61556,37.417332,40.75898,26.189171,40.90499,42.670697,42.368938,27.48693,39.386193,40.553283,40.755478,37.350273,27.160759
常用指标,销售净利率,12.546802,40.647657,64.527824,68.719582,67.743625,18.373534,31.966435,35.471096,39.717739,27.125126,39.092585,33.413041,29.490592,-95.872709,14.637163,34.178057,16.782861,-26.925482,56.358022,64.01614,82.499508,24.856686,12.967545,7.57128,12.874026,33.455676,45.082039,8.993154,10.001321,91.591631,177.796939,292.197594,497.228233,44.547615,41.298251,39.635303,31.041384,42.739554,48.913052,44.423854,46.581722,27.349315,22.964736,21.383224,4.495785,28.887406,31.604181,34.032076,21.368341,36.270057,34.570316,36.941229,38.876678,30.006126,25.445647,29.273785,18.14774,25.188463,24.34683,23.214909,10.861111,23.523977,20.663251,21.159008,16.276155,4.888845
常用指标,期间费用率,14.056795,3.934306,2.13466,1.393305,0.817992,6.874992,5.050262,3.327853,2.103981,6.586933,4.144872,3.98538,3.391459,12.19638,6.826081,5.405887,3.545584,4.594126,3.315363,3.806005,5.110849,12.148967,14.377953,17.568879,9.625093,7.55854,3.441515,4.300922,2.754088,7.348477,8.758473,10.384642,10.423535,15.772119,13.042848,13.012538,10.791835,13.484669,12.485958,10.630515,6.185034,7.941403,9.153919,13.648622,16.697883,7.032377,8.270072,8.156881,8.874637,4.894307,5.161451,5.54722,6.935397,4.518411,4.566096,4.617031,5.698502,6.063999,8.553418,9.678937,10.550271,10.179824,12.710378,13.083321,11.897956,14.747988
常用指标,资产负债率,9.080172,9.557086,12.63085,14.177852,28.40415,9.830953,12.240026,12.457988,12.094253,12.542517,10.838172,10.174856,10.137732,8.861992,8.420596,8.183014,8.356056,8.665577,9.529762,9.645253,9.605497,7.904855,12.451133,12.352669,13.563249,18.297707,20.117045,14.648239,16.415404,20.316197,18.195361,23.377812,23.696013,28.858669,19.075323,20.528887,21.826666,22.210127,21.421642,18.452336,14.073363,14.876429,12.313805,15.697795,19.114451,34.85148,34.783129,18.773281,20.167975,14.330948,8.412324,16.139637,7.579339,7.788738,4.297711,3.702918,3.560008,5.539214,8.316499,46.583554,,43.112237,,,46.65381,24.577358
每股指标,基本每股收益,0.01,0.57,0.8,0.76,0.69,0.1,0.16,0.16,0.15,0.14,0.13,0.07,0.04,-0.24,0.03,0.07,0.03,-0.11,0.19,0.17,0.07,0.1,0.02,0.01,0.01,0.32,0.38,0.04,0.03,0.47,0.779,0.72,0.68,0.28,0.2142,0.14,0.06,0.25,0.2,0.11,0.07,0.14,0.06,0.03,0.003,0.25,0.15,0.08,0.02,0.32,0.24,0.17,0.16,0.61,0.27,0.16,0.08,0.85,0.52,0.73,0.17,1.37,,,0.78,0.16
每股指标,稀释每股收益,0.01,0.57,0.8,0.76,0.69,0.1,0.16,0.16,0.15,0.14,0.13,0.07,0.04,-0.24,0.03,0.07,0.03,-0.11,0.19,0.17,0.07,0.1,0.02,0.01,0.01,0.32,0.38,0.04,0.03,0.47,0.779,0.72,0.68,0.28,0.2142,0.14,0.06,0.25,0.2,0.11,0.07,0.14,0.06,0.03,0.003,0.25,0.15,0.08,0.02,0.32,0.24,0.17,0.16,0.61,0.27,0.16,0.08,0.85,0.52,0.73,0.17,1.37,,,0.78,0.16
