常用指标,每股净资产,7.1068,6.598601,6.266575,6.096244,6.200563,5.864463,5.641176,5.460724,5.455311,5.254986,5.014465,4.790172,4.782431,4.619251,4.630996,4.449258,4.421159,4.184979,3.948019,3.741366,3.743434,3.531852,3.328997,3.18448,3.293406,3.184378,3.061996,3.214056,2.229544,2.073118,1.873422,1.72023,1.637372,1.736905,1.61707,1.483285,1.446377,1.649699,1.574314,1.456517,1.422947,1.380559,1.351222,1.235187,1.172592,1.149325,1.212912,1.20111,1.177031,1.151289,2.022524,1.911724,1.881791,2.012274,1.926084,1.88997,1.807809,1.63392,1.401114,1.268339,1.119879,1.047149,1.054015
常用指标,每股现金流,0.758614,2.297865,1.852055,1.089515,0.465964,1.213309,0.788117,0.565273,0.242972,1.185353,0.775075,0.557106,0.263024,0.903567,0.661158,0.545159,0.188522,0.884699,0.619785,0.479606,0.228601,0.706867,0.505681,0.35042,0.175984,0.487169,0.320546,0.215614,0.133297,0.494725,0.333418,0.17114,0.106075,0.456914,0.320541,0.179622,0.115734,0.268513,0.291153,0.192844,0.106747,0.363601,0.305393,0.271026,0.076687,0.098345,0.27449,0.151259,0.057689,0.192934,0.295344,0.072302,0.377189,0.457,0.300383,0.040342,0.781826,0.725286,1.079096,0.225347,0.266325,0.099469,-0.073944
常用指标,净资产收益率(ROE),7.28,24.84,19.67,12.74,5.51,15.55,11.24,8.19,3.62,15.72,11.0,6.48,3.44,19.57,16.55,12.68,5.53,25.33,19.47,13.82,6.49,19.04,13.26,8.58,3.46,19.3,15.38,11.84,7.19,30.31,20.48,11.99,6.87,27.37,,12.15,,17.18,,,,18.17,,,,1.7,,,,,,,,,,,,,,,,,
常用指标,总资产报酬率(ROA),4.830155,15.484512,12.169619,7.866782,3.381732,9.924548,7.394405,5.557785,2.492885,10.453752,7.277429,4.340975,2.372059,14.62919,12.85327,9.930184,4.569918,20.111406,15.674144,11.23317,5.26463,15.341213,10.581174,7.125294,2.871255,15.652408,11.430681,7.571183,4.672883,18.233363,12.037098,7.261201,4.347716,14.467849,10.460106,6.297194,3.017554,9.151229,6.132053,2.631216,1.494369,8.968801,7.145138,3.430269,1.173915,3.067449,2.484879,1.816372,1.007448,4.672707,2.763333,1.615476,5.52458,3.061003,1.818521,1.158956,10.805754,6.376241,8.73137,6.352884,2.197427,1.233941,1.99999
常用指标,毛利率,37.404287,35.915921,37.313044,36.736842,35.362918,33.146654,33.758297,33.599874,28.722286,30.39768,30.170421,27.796178,27.752219,32.872344,36.615564,39.978224,38.968557,42.206956,48.453791,51.591705,51.412054,45.098432,42.647572,40.191302,36.001047,43.952673,44.544022,43.339097,45.260638,46.897113,44.770156,43.118245,45.938524,43.224103,41.7561,40.248598,41.008103,40.477818,40.06221,32.958297,35.448897,34.806502,37.82183,34.254216,31.371162,17.856962,31.205012,30.721394,33.476744,27.302403,36.905716,49.00158,36.586448,35.503747,37.024425,40.443373,44.863384,45.977099,32.652357,38.657701,14.440678,5.988346,4.087494
常用指标,销售净利率,27.655331,23.627943,25.179118,25.055829,22.623488,19.215042,18.689482,19.557683,17.271895,19.394253,19.071882,17.240406,17.602978,22.16861,25.006362,27.889849,26.805856,30.345259,32.836438,35.669618,34.701505,29.023397,27.8934,27.817799,22.766452,28.02047,29.062018,28.9734,31.946554,28.313158,25.70148,23.013432,26.742338,23.76633,23.773928,22.420793,21.3841,21.407691,22.943499,14.868889,14.914749,21.402153,21.946779,14.217295,7.883942,3.322084,12.39506,14.994391,15.981902,16.39395,18.432504,23.344556,17.260472,6.860209,5.258615,11.02826,27.170124,22.324883,18.150383,22.623161,4.948884,4.72077,46.803052
常用指标,期间费用率,5.407273,7.36896,7.452728,7.421659,5.979167,7.557951,8.159219,7.517898,6.031943,5.534885,5.354919,4.695377,4.088454,3.982916,3.985212,3.806923,3.956744,4.500537,7.121346,7.014859,7.658385,9.131166,8.323636,8.247179,9.29917,9.307021,9.943673,9.662602,8.583891,10.255812,10.349777,11.269001,10.80634,10.352982,10.582193,10.995119,10.848971,12.484618,13.337246,15.499915,17.705033,8.543961,12.698021,15.841973,15.976238,13.682322,13.784427,12.944662,14.432965,11.768756,15.369905,22.095479,16.605587,24.725548,27.618324,28.699271,12.716646,19.937782,14.077468,15.563699,8.503094,1.721907,4.143574
常用指标,资产负债率,44.855378,46.324366,49.10068,50.289482,50.633133,51.983881,52.650072,51.075103,45.875983,46.200553,46.148865,46.767833,43.538586,41.167721,37.72721,36.616604,30.722457,30.837592,31.980592,32.713149,32.826524,32.029028,33.460445,34.648454,33.542747,29.862207,36.236908,34.892638,48.093323,49.001072,53.259535,54.109624,58.181353,54.200175,60.211136,63.341581,64.711057,60.633949,61.05675,63.316489,64.18848,65.30765,65.560443,66.646601,67.627639,69.788348,68.710454,67.896376,68.248222,67.348059,69.497678,67.116988,69.73633,70.014193,71.192828,70.408692,71.102749,74.264195,69.346889,68.460509,69.567392,62.669386,62.438045
每股指标,基本每股收益,0.5,1.56,1.22,0.78,0.33,0.87,0.62,0.45,0.19,0.77,0.53,0.31,0.16,0.86,0.73,0.55,0.24,0.97,0.73,0.51,0.24,0.63,0.43,0.29,0.11,0.54,0.41,0.28,0.15,0.56,0.36,0.21,0.12,0.44,,0.19,,0.26,,,,0.23,,,,0.02,,,,,,,,,,,,,,,,,
每股指标,稀释每股收益,0.5,1.56,1.22,0.78,0.33,0.87,0.62,0.45,0.19,0.77,0.53,0.31,0.16,0.86,0.73,0.55,0.24,0.97,0.73,0.51,0.24,0.63,0.43,0.29,0.11,0.54,0.41,0.28,0.15,0.56,0.36,0.21,0.12,0.44,,0.19,,0.26,,,,0.23,,,,0.02,,,,,,,,,,,,,,,,,
