常用指标,每股净资产,24.886208,24.740647,27.076283,27.463474,28.009881,27.787908,27.599664,27.899362,27.511781,27.411558,27.120438,26.76103,26.956726,22.186715,21.532513,20.571887,20.65049,18.73014,15.754065,13.297014,11.28873,10.326057,9.594423,9.308325,9.328886,9.059814,8.796874,12.001644,12.442062,11.838817,11.001624,9.803585,9.023845,8.08287,6.021941,5.334573,4.858136,4.405976,,4.153848,3.35197,3.461774,3.027645,2.827041,2.009824
常用指标,每股现金流,1.067553,3.394558,3.152652,2.980471,1.394089,3.820873,1.538318,0.142747,-2.194369,-0.668413,-0.135368,-1.512637,-1.070251,-0.582806,0.642982,0.515536,0.536211,3.452696,2.240353,1.601695,0.32158,1.337189,1.380167,0.99794,0.234751,1.459289,0.941533,0.959741,0.307089,1.861619,1.921343,0.894408,-0.231023,2.879046,2.401793,1.430893,0.540222,1.548175,,0.677976,1.58721,0.561061,1.361643,0.11591,-0.175797
常用指标,净资产收益率(ROE),0.26,-9.63,-0.98,-1.22,0.79,5.35,4.44,3.0,1.63,8.47,7.08,5.83,3.46,23.63,20.97,16.17,9.69,55.24,38.86,22.01,9.0,15.48,8.2,5.17,2.89,13.43,10.73,7.91,4.95,42.19,35.04,23.74,11.0,42.12,30.94,18.96,9.76,28.02,17.84,,13.03,9.21,9.83,15.62,2.42
常用指标,总资产报酬率(ROA),0.603164,-1.885336,0.456722,0.138071,0.624808,3.601646,3.204391,2.157314,1.070961,5.904383,5.163381,3.996732,2.387065,15.839199,14.98492,12.38575,7.93921,39.689346,26.45027,13.245036,5.380422,9.808563,5.690952,3.623577,1.805136,9.084474,7.41699,5.600487,3.575302,23.397805,19.207972,12.346677,5.492477,18.51561,13.834645,9.004166,4.566208,13.064265,,7.354757,8.801823,5.642799,7.691343,7.222258,3.232807
常用指标,毛利率,19.084514,7.287441,8.189733,7.924336,14.622021,20.543264,22.011763,23.297425,22.911404,20.146738,21.844063,26.647666,31.031791,34.387043,40.186245,41.631262,47.501246,52.874344,49.052529,44.06452,40.439776,28.173364,27.959684,26.437612,29.684873,27.804467,27.712085,27.650994,30.664213,40.840735,42.149691,41.743433,43.694645,38.719422,36.773775,34.920797,36.218505,30.777908,30.615701,29.399145,29.205724,29.325326,23.719579,22.42778,18.334332
常用指标,销售净利率,1.539365,-14.783884,-2.237767,-4.233809,4.849592,6.376677,6.982663,7.18444,9.602953,9.716631,10.874534,14.813117,17.386163,21.732535,24.886087,27.25095,32.127187,38.578211,35.574619,30.934659,27.519843,15.754151,11.431755,10.726276,13.423004,12.460749,13.303902,14.172924,16.620509,25.744773,27.16077,26.950451,28.477176,22.340316,20.620652,18.651053,19.185585,14.463892,13.035705,14.493993,7.127749,10.731678,5.439498,6.200712,1.313427
常用指标,期间费用率,12.228114,11.949552,10.192599,9.979099,8.886213,8.328404,7.999357,8.117626,8.588603,6.827172,6.791393,7.611699,7.165678,6.383349,9.122261,7.440485,6.813341,5.031254,4.475862,5.080154,4.951749,8.030029,12.598873,11.858912,11.642864,11.363407,11.334067,10.634655,10.390094,9.853507,9.268369,9.295554,9.968714,11.14728,10.852757,10.826729,11.370649,12.317236,12.662342,11.868111,15.509147,15.948328,15.774607,15.464972,15.434153
常用指标,资产负债率,63.521318,64.957147,62.890292,62.831309,62.557753,63.833539,63.034926,62.483801,63.774716,61.097384,57.715255,56.896295,51.781044,55.376547,47.970975,44.621092,34.204714,33.226265,35.697133,40.417337,50.304212,51.074289,50.718455,50.745624,50.535316,50.526887,49.379783,50.770108,47.144098,50.014839,51.374477,56.948164,59.695073,61.411964,67.896098,67.688011,65.324517,63.530295,,59.747771,68.354537,66.130553,68.351182,68.630439,76.420958
每股指标,基本每股收益,0.07,-2.55,-0.27,-0.34,0.22,1.48,1.23,0.83,0.45,2.24,1.87,1.53,0.87,4.79,4.24,3.3,1.91,8.17,5.1,2.54,0.97,1.5,0.77,0.48,0.27,1.17,0.92,0.7,0.43,2.99,2.39,1.54,0.94,2.48,1.61,0.92,0.45,1.09,0.71,,0.42,0.3,0.28,,
每股指标,稀释每股收益,0.07,-2.55,-0.27,-0.34,0.22,1.48,1.23,0.83,0.45,2.24,1.87,1.53,0.87,4.79,4.24,3.3,1.91,8.17,5.1,2.54,0.97,1.5,0.77,0.48,0.27,1.17,0.92,0.7,0.43,2.99,2.39,1.54,0.94,2.48,1.61,0.92,0.45,1.09,,,0.42,0.3,0.28,,
每股指标,摊薄每股收益_最新股数,0.065422,-2.529889,-0.27188,-0.335885,0.21964,1.472226,1.230294,0.827308,0.446482,2.218588,1.847904,1.507614,0.848184,4.354839,3.852352,2.998528,1.735007,6.945993,4.231689,2.006803,0.762003,1.187867,0.607928,0.379889,0.210905,0.935832,0.728529,0.553292,0.34031,2.372831,1.90022,1.223057,0.533,1.283169,0.817313,0.468456,0.229482,0.551175,0.36045,0.284718,0.21099,0.154709,0.143981,0.145847,0.022102
每股指标,摊薄每股净资产_期末股数,24.886208,24.740647,27.076283,27.463474,28.009881,27.787908,27.599664,27.899362,27.511781,27.411558,27.120438,26.76103,26.956726,22.186715,21.532513,20.571887,20.65049,18.73014,15.754065,13.297014,11.28873,10.326057,9.594423,9.308325,9.328886,9.059814,8.796874,12.001644,12.442062,11.838817,11.001624,9.803585,9.023845,8.08287,6.021941,5.334573,4.858136,4.405976,,4.153848,3.35197,3.461774,3.027645,2.827041,2.009824
