报告日,营业收入,已赚保费,其中:保险业务收入,其中:分保费收入,减:分出保费,提取未到期责任准备金,银行业务利息净收入,银行业务利息收入,银行业务利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,资产管理费收入,投资收益,对联营企业和合营企业的投资损失,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,汇兑收益,其他业务收入,资产处置收益,其他收益,营业支出,退保金,赔付支出,减:摊回赔付支出,提取保险责任准备金,减:摊回保险责任准备金,保单红利支出,分保费用,手续费及佣金净支出(保险业务),营业税金及附加,业务及管理费,财务费用,研发费用,减:摊回分保费用,资产减值损失,信用减值损失,其他资产减值损失,其他业务成本,营业利润,加:营业外收入,减:营业外支出,利润总额,减:所得税费用,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,年初未分配利润,其他因素调整,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划净负债或净资产的变动,权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下在被投资单位以后将重分类进损益的其他综合收益中享有的份额,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,92547000000.0,70234000000.0,70234000000.0,,,,14946000000.0,14946000000.0,1014000000.0,,,,,11926000000.0,168000000.0,,,-5591000000.0,-140000000.0,1102000000.0,2000000.0,68000000.0,82312000000.0,,59066000000.0,3120000000.0,,,,,8000000.0,159000000.0,1465000000.0,,,,,-41000000.0,,482000000.0,10235000000.0,25000000.0,37000000.0,10223000000.0,-144000000.0,10367000000.0,10367000000.0,,10041000000.0,326000000.0,,,7563000000.0,7563000000.0,3825000000.0,,,4052000000.0,,3738000000.0,-6000000.0,,-3292000000.0,,-618000000.0,,,,-89000000.0,,,17930000000.0,17459000000.0,471000000.0,1.04,0.94,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T18:22:03
20251231,435156000000.0,288910000000.0,288910000000.0,,,,58832000000.0,58832000000.0,4164000000.0,,,,,52657000000.0,94000000.0,3000000.0,,29932000000.0,-238000000.0,4779000000.0,90000000.0,194000000.0,368982000000.0,,252043000000.0,14192000000.0,,,,,21000000.0,568000000.0,7018000000.0,,,,,1155000000.0,28000000.0,1720000000.0,66174000000.0,193000000.0,299000000.0,66068000000.0,10669000000.0,55399000000.0,55399000000.0,,53505000000.0,1894000000.0,151890000000.0,,-32910000000.0,-32910000000.0,6767000000.0,,,7125000000.0,,-39677000000.0,-22000000.0,,-57621000000.0,,-98000000.0,,,,-46000000.0,,,22489000000.0,21132000000.0,1357000000.0,5.56,5.54,定期报告,是,20260327,CNY,合并期末,2026-03-26T19:16:05
20250930,344904000000.0,216894000000.0,216894000000.0,,,,40690000000.0,43814000000.0,3124000000.0,,,,,39228000000.0,23000000.0,,,41893000000.0,-111000000.0,2971000000.0,87000000.0,128000000.0,284694000000.0,,187661000000.0,10633000000.0,,,,,9000000.0,363000000.0,5900000000.0,,,,,93000000.0,,1056000000.0,60210000000.0,91000000.0,155000000.0,60146000000.0,13021000000.0,47125000000.0,47125000000.0,,45700000000.0,1425000000.0,,,-43252000000.0,-43252000000.0,4353000000.0,,,4172000000.0,,-47605000000.0,-15000000.0,,-52576000000.0,,-183000000.0,,,,-16000000.0,,,3873000000.0,3174000000.0,699000000.0,4.75,4.75,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T18:18:06
20250630,200496000000.0,141824000000.0,141824000000.0,,,,26844000000.0,29061000000.0,2217000000.0,,,,,21671000000.0,-145000000.0,,,5856000000.0,-13000000.0,1918000000.0,73000000.0,106000000.0,168224000000.0,,120169000000.0,6245000000.0,,,,,3000000.0,216000000.0,3462000000.0,,,,,14000000.0,,592000000.0,32272000000.0,36000000.0,49000000.0,32259000000.0,3453000000.0,28806000000.0,28806000000.0,,27885000000.0,921000000.0,151890000000.0,,-27500000000.0,-27500000000.0,1478000000.0,,,1889000000.0,,-28978000000.0,,,5388000000.0,,102000000.0,,,,-17000000.0,,,1306000000.0,853000000.0,453000000.0,2.9,2.9,定期报告,未审计,20250829,CNY,合并期末,2025-08-28T20:30:03
20250331,93717000000.0,69550000000.0,69550000000.0,,,,14439000000.0,14439000000.0,1192000000.0,,,,,7064000000.0,-62000000.0,1000000.0,,1655000000.0,-10000000.0,959000000.0,11000000.0,49000000.0,82151000000.0,,60315000000.0,3173000000.0,,,,,,97000000.0,1711000000.0,,,,,-227000000.0,,308000000.0,11566000000.0,9000000.0,21000000.0,11554000000.0,1545000000.0,10009000000.0,10009000000.0,,9627000000.0,382000000.0,,,-38074000000.0,-38074000000.0,148000000.0,,,-29000000.0,,-38222000000.0,,,-28350000000.0,,-104000000.0,,,,-4000000.0,,,-28065000000.0,-27798000000.0,-267000000.0,1.0,1.0,定期报告,未审计,20260429,CNY,合并期末,2025-04-25T18:48:04
20241231,404089000000.0,279473000000.0,279473000000.0,,,,53263000000.0,55991000000.0,2728000000.0,,,,,26907000000.0,-540000000.0,27000000.0,,37713000000.0,-64000000.0,3810000000.0,2000000.0,257000000.0,348378000000.0,,243147000000.0,14466000000.0,,,,,56000000.0,439000000.0,8239000000.0,,,,,531000000.0,406000000.0,1106000000.0,55711000000.0,86000000.0,234000000.0,55563000000.0,9122000000.0,46441000000.0,46441000000.0,,44960000000.0,1481000000.0,121448000000.0,,6800000000.0,6800000000.0,4775000000.0,,,6035000000.0,,2025000000.0,3000000.0,,105022000000.0,,220000000.0,,,,23000000.0,,,53241000000.0,51646000000.0,1595000000.0,4.67,4.67,定期报告,是,20260327,CNY,合并期末,2025-03-26T18:32:02
20240930,310564000000.0,209409000000.0,209409000000.0,,,,39990000000.0,41799000000.0,1809000000.0,,,,,14595000000.0,-384000000.0,27000000.0,,42103000000.0,-254000000.0,2791000000.0,2000000.0,119000000.0,266077000000.0,,182948000000.0,11111000000.0,,,,,34000000.0,284000000.0,5390000000.0,,,,,109000000.0,155000000.0,888000000.0,44487000000.0,46000000.0,119000000.0,44414000000.0,4955000000.0,39459000000.0,39459000000.0,,38310000000.0,1149000000.0,,,-4833000000.0,-4833000000.0,4913000000.0,,,5575000000.0,,-9746000000.0,1000000.0,,54354000000.0,,-15000000.0,,,,-6000000.0,,,34626000000.0,33560000000.0,1066000000.0,3.98,3.98,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T18:07:20
20240630,194634000000.0,137019000000.0,137019000000.0,,,,26577000000.0,27769000000.0,1192000000.0,,,,,6893000000.0,-124000000.0,4000000.0,,20945000000.0,32000000.0,1889000000.0,1000000.0,86000000.0,165187000000.0,,116298000000.0,7602000000.0,,,,,15000000.0,178000000.0,3065000000.0,,,,,-52000000.0,,688000000.0,29447000000.0,24000000.0,76000000.0,29395000000.0,3537000000.0,25858000000.0,25858000000.0,,25132000000.0,726000000.0,121448000000.0,,2455000000.0,2455000000.0,5083000000.0,,,5831000000.0,,-2628000000.0,4000000.0,,50673000000.0,,-98000000.0,,,,7000000.0,,,28313000000.0,27541000000.0,772000000.0,2.61,2.61,定期报告,未审计,20250829,CNY,合并期末,2024-08-29T19:17:02
20240331,95428000000.0,66968000000.0,66968000000.0,,,,13311000000.0,13976000000.0,665000000.0,,,,,-1547000000.0,-136000000.0,,,15104000000.0,13000000.0,837000000.0,,77000000.0,81356000000.0,,57126000000.0,3804000000.0,,,,,13000000.0,87000000.0,1500000000.0,,,,,-37000000.0,,280000000.0,14072000000.0,3000000.0,28000000.0,14047000000.0,1959000000.0,12088000000.0,12088000000.0,,11759000000.0,329000000.0,,,-3524000000.0,-3524000000.0,2310000000.0,,,2893000000.0,,-5834000000.0,,,29622000000.0,,-69000000.0,,,,,,,8564000000.0,8296000000.0,268000000.0,1.22,1.22,定期报告,未审计,20250426,CNY,合并期末,2024-04-26T21:52:02
20231231,323945000000.0,266167000000.0,266167000000.0,,,,55634000000.0,58262000000.0,2628000000.0,,,,,7053000000.0,-386000000.0,,,-11712000000.0,159000000.0,3742000000.0,23000000.0,251000000.0,291885000000.0,,231023000000.0,14399000000.0,,,,,7000000.0,445000000.0,7397000000.0,,,,,2013000000.0,253000000.0,1148000000.0,32060000000.0,136000000.0,195000000.0,32001000000.0,4090000000.0,27911000000.0,27911000000.0,,27257000000.0,654000000.0,106768000000.0,,1552000000.0,1552000000.0,400000000.0,,,1089000000.0,,1152000000.0,-54000000.0,,36592000000.0,,925000000.0,,,,15000000.0,,,29463000000.0,28785000000.0,678000000.0,2.83,2.83,定期报告,是,20250327,CNY,合并期末,2024-03-28T19:27:02
