报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,43312405150.04,43312405150.04,,,,,,38235516762.62,35743445589.83,,,,,,,,,153506652.02,1131023234.07,75403999.83,1463852911.58,-331715624.71,119260361.35,,509163516.97,507721237.48,,,,2877498.5,,,,81228913.43,2249044.15,10769035.0,,5291019.87,5688467415.34,21359301.88,,14902108.3,,5694924608.92,524591808.74,,5170332800.18,5170332800.18,,4832277995.78,,338054804.4,866114116.1,859339830.5,27624823.93,,18302.23,27606521.7,,831715006.57,-38516522.95,,,,,,868100891.89,,2130637.63,,6774285.6,6036446916.28,5691617826.28,344829090.0,0.642,0.642,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T19:12:06
20251231,151977991216.09,151977991216.09,,,,,,143883603433.83,132858583891.53,,,,,,,,,771921966.13,5906886066.52,304770393.72,6376263857.22,-2334822741.29,696365102.9,,1637800142.65,1626517930.57,,,,7059407.26,,,,1239158649.36,-312909759.61,-9031834.33,,241164280.22,10897628667.81,87984867.26,,261216394.87,,10724397140.2,211515449.76,,10512881690.44,10512881690.44,,7848378198.33,,2664503492.11,951091407.09,615660425.29,65543291.35,425913.08,-2566408.94,67683787.21,,550117133.94,-67289961.0,,,,,,620033212.45,,-2626117.51,,335430981.8,11463973097.53,8464038623.62,2999934473.91,1.24,1.24,定期报告,是,20260430,CNY,合并期末,2026-04-29T19:10:05
20250930,107402803784.7,107402803784.7,,,,,,101080781116.02,93912780095.06,,,,,,,,,514091154.97,3705242749.78,230622707.33,4366020424.46,-1647976015.58,499514328.29,,1181576527.04,1174588273.88,,,,1352517.82,,,,779131332.49,-123940167.07,-93152134.77,,221865340.38,8288856084.57,43970377.96,,59486313.89,,8273340148.64,432469919.45,,7840870229.19,7840870229.19,,5851780413.25,,1989089815.94,630895764.17,289148779.29,-36004041.3,,2793912.31,-38797953.61,,325152820.59,-23727426.43,,,,,,347796974.13,,1083272.89,,341746984.88,8471765993.36,6140929192.54,2330836800.82,0.987,0.987,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T18:58:05
20250630,40325031164.28,40325031164.28,,,,,,37540779857.18,35402499360.05,,,,,,,,,116117736.47,1293566081.32,24787961.65,1250037489.68,-546228771.99,115408281.64,,506898031.79,549553011.84,,,,1055356.36,,,,217898861.87,-5547069.97,11598931.71,,-1274910.53,3514880508.33,9456710.16,,6079634.37,,3518257584.12,163550554.49,,3354707029.63,3354707029.63,,2945984479.43,,408722550.2,18398460.6,17990060.23,-25063412.49,,1020357.38,-26083769.87,,43053472.72,-6693177.6,,,,,,49746650.32,,,,408400.37,3373105490.23,2963974539.66,409130950.57,0.659,0.659,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T18:38:05
20250331,27962098360.55,27962098360.55,,,,,,26505606532.07,24353271429.97,,,,,,,,,153617806.62,907432923.88,77299135.24,1380578358.78,-366593122.42,186611351.23,,313780340.35,339842137.03,,,,7667.47,,,,89092550.0,688424.44,13235008.15,,-711121.4,1872584697.49,13043412.23,,11232660.39,,1874395449.33,76266628.3,,1798128821.03,1798128821.03,,1374209099.84,,423919721.19,286907341.6,137736249.46,-35828189.3,,1137764.98,-36965954.28,,173564438.76,-8878806.27,,,,,,182473025.63,,-29780.6,,149171092.14,2085036162.63,1511945349.3,573090813.33,0.232,0.232,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T19:32:06
20241231,133350837306.78,133350837306.78,,,,,,130604160641.58,119380595257.54,,,,,,,,,762652840.07,5612315209.27,327486185.63,7054560837.5,-2533449688.43,900823013.99,,1438838225.43,1053822194.92,,,,-6478013.62,,,,1327666827.15,-137661477.93,-62218676.04,,20300033.02,5327123583.21,157857277.0,,39822449.67,,5445158410.54,297500252.7,,5147658157.84,5147658157.84,,4219566113.99,,928092043.85,-890409243.17,-509367342.54,-94301020.73,-16111157.6,12255576.49,-90445439.62,,-415066321.81,36997980.18,,,,,,-452369105.92,,304803.93,,-381041900.63,4257248914.67,3710198771.45,547050143.22,0.71,0.71,定期报告,是,20260430,CNY,合并期末,2025-04-29T19:32:06
20240930,91047386926.35,91047386926.35,,,,,,88952923599.79,81377208004.89,,,,,,,,,563660315.13,3963599521.66,249109831.41,4822517203.63,-2023171276.93,668616385.49,,694834424.92,618044362.26,,,,2089936.2,,,,675618388.15,-102947602.52,-5618338.85,,27281309.68,3385721444.14,124748764.1,,23696623.74,,3486773584.5,185008305.66,,3301765278.84,3301765278.84,,2716582826.78,,585182452.06,-47357249.05,-139668845.14,46237247.94,,3083655.91,43153592.03,,-185906093.08,-19077973.46,,,,,,-166816431.55,,-11688.07,,92311596.09,3254408029.79,2576913981.64,677494048.15,0.458,0.458,定期报告,未审计,20251029,CNY,合并期末,2024-10-30T17:17:04
20240630,36016599492.55,36016599492.55,,,,,,35097519913.75,33073170614.89,,,,,,,,,98043092.15,1527273497.49,21738385.49,1233578951.96,-856284628.23,209928313.89,,298317692.61,295556884.98,,,,-6494274.25,,,,240174299.9,503880.03,5814546.21,,-3270529.25,1454125194.05,84489894.47,,5624202.32,,1532990886.2,70978484.77,,1462012401.43,1462012401.43,,1412346139.79,,49666261.64,-183356899.41,-183356899.41,-106054537.71,,4316597.97,-110371135.68,,-77302361.7,12599666.63,,,,,,-89902028.33,,,,,1278655502.02,1228989240.38,49666261.64,0.316,0.316,定期报告,未审计,20250830,CNY,合并期末,2024-08-30T17:37:04
20240331,15270371448.37,15270371448.37,,,,,,14998011641.22,14250894184.28,,,,,,,,,48277589.15,559554168.73,10151394.6,552210051.1,-423075746.64,114367753.64,,51102709.46,51659563.73,,,,-4576960.15,,,,95307468.24,3755516.0,6176763.67,,-158540.75,423966763.62,3087358.11,,1351797.43,,425702324.3,20630116.22,,405072208.08,405072208.08,,401051784.71,,4020423.37,-212139776.59,-212139776.59,-56199467.99,,-1013900.15,-55185567.84,,-155940308.6,13618.41,,,,,,-155953927.01,,,,,192932431.49,188912008.12,4020423.37,0.09,0.09,定期报告,未审计,20250430,CNY,合并期末,2024-04-26T22:27:03
20231231,74838504400.63,74838504400.63,,,,,,72755268992.11,67541881993.24,,,,,,,,,230557175.85,3139141017.83,58744064.21,3095874931.32,-1310930190.34,540271730.71,,539403128.1,491486042.35,,,,-5562485.01,,,,667079357.75,-267333440.08,-23456832.07,,1131214.44,2994496351.65,33855890.01,,6110660.22,,3022241581.44,67577958.14,,2954663623.3,2954663623.3,,2957396962.72,,-2733339.42,54655254.77,56459253.41,43169422.9,1878500.0,2687300.36,38603622.54,,13289830.51,-21878777.1,,,,,,35168607.61,,,,-1803998.64,3009318878.07,3013856216.13,-4537338.06,0.66,0.66,定期报告,是,20250430,CNY,合并期末,2024-04-26T22:27:03
