报告日,营业收入,已赚保费,其中:保险业务收入,其中:分保费收入,减:分出保费,提取未到期责任准备金,银行业务利息净收入,银行业务利息收入,银行业务利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,资产管理费收入,投资收益,对联营企业和合营企业的投资损失,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,汇兑收益,其他业务收入,资产处置收益,其他收益,营业支出,退保金,赔付支出,减:摊回赔付支出,提取保险责任准备金,减:摊回保险责任准备金,保单红利支出,分保费用,手续费及佣金净支出(保险业务),营业税金及附加,业务及管理费,财务费用,研发费用,减:摊回分保费用,资产减值损失,信用减值损失,其他资产减值损失,其他业务成本,营业利润,加:营业外收入,减:营业外支出,利润总额,减:所得税费用,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,年初未分配利润,其他因素调整,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划净负债或净资产的变动,权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下在被投资单位以后将重分类进损益的其他综合收益中享有的份额,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20230930,704938000000.0,404483000000.0,404483000000.0,,,,92109000000.0,172903000000.0,80794000000.0,28276000000.0,34834000000.0,6558000000.0,,34484000000.0,2192000000.0,-130000000.0,,614000000.0,198000000.0,53522000000.0,387000000.0,2001000000.0,585042000000.0,,327848000000.0,7640000000.0,,,,,,2709000000.0,57512000000.0,,,,,49762000000.0,442000000.0,27578000000.0,119896000000.0,433000000.0,861000000.0,119468000000.0,11357000000.0,108111000000.0,108111000000.0,,87575000000.0,20536000000.0,,,-17084000000.0,-16767000000.0,6868000000.0,,303000000.0,15631000000.0,,-23635000000.0,-731000000.0,,52892000000.0,,-24000000.0,,406000000.0,,1220000000.0,,-317000000.0,91027000000.0,70808000000.0,20219000000.0,4.94,4.85,定期报告,未审计,20241022,CNY,合并期末,2023-10-27T20:57:03
20230630,488783000000.0,269305000000.0,269305000000.0,,,,63132000000.0,116427000000.0,53295000000.0,19535000000.0,23903000000.0,4368000000.0,,20216000000.0,2309000000.0,-296000000.0,,18752000000.0,543000000.0,36076000000.0,334000000.0,1182000000.0,392708000000.0,,213910000000.0,5251000000.0,,,,,,1823000000.0,38312000000.0,,,,,35872000000.0,393000000.0,18199000000.0,96075000000.0,231000000.0,356000000.0,95950000000.0,12524000000.0,83426000000.0,83426000000.0,,69841000000.0,13585000000.0,592856000000.0,,-462000000.0,-502000000.0,7027000000.0,,,21980000000.0,,-8044000000.0,-603000000.0,,44190000000.0,,331000000.0,,118000000.0,,1640000000.0,,40000000.0,82964000000.0,69339000000.0,13625000000.0,3.94,3.87,定期报告,未审计,20240823,CNY,合并期末,2023-08-29T21:22:03
20230331,253778000000.0,133106000000.0,133106000000.0,,,,32323000000.0,58670000000.0,26347000000.0,10025000000.0,11919000000.0,1894000000.0,,6823000000.0,748000000.0,-330000000.0,,22069000000.0,494000000.0,18503000000.0,40000000.0,614000000.0,198504000000.0,,105955000000.0,2395000000.0,,,,,,902000000.0,18984000000.0,,,,,15526000000.0,14000000.0,10004000000.0,55274000000.0,75000000.0,87000000.0,55262000000.0,9097000000.0,46165000000.0,46165000000.0,,38352000000.0,7813000000.0,,,1831000000.0,2091000000.0,2543000000.0,,402000000.0,5939000000.0,,-452000000.0,94000000.0,,7679000000.0,,257000000.0,,117000000.0,,-842000000.0,,-260000000.0,47996000000.0,40443000000.0,7553000000.0,2.17,2.13,定期报告,未审计,20240424,CNY,合并期末,2023-04-26T23:32:05
20221231,880355000000.0,525981000000.0,525981000000.0,132000000.0,21967000000.0,5248000000.0,131096000000.0,228784000000.0,97688000000.0,36054000000.0,45982000000.0,9928000000.0,,38612000000.0,10165000000.0,-273000000.0,,-36936000000.0,3144000000.0,63166000000.0,311000000.0,2994000000.0,737516000000.0,54102000000.0,422221000000.0,10605000000.0,262301000000.0,43000000.0,19599000000.0,26000000.0,70354000000.0,3414000000.0,76401000000.0,,,6150000000.0,,80553000000.0,1367000000.0,27101000000.0,142839000000.0,359000000.0,863000000.0,142335000000.0,7518000000.0,134817000000.0,134817000000.0,,111008000000.0,23809000000.0,569507000000.0,,-15868000000.0,-16524000000.0,1900000000.0,,55000000.0,6236000000.0,,-18424000000.0,39000000.0,,14170000000.0,,755000000.0,,-346000000.0,,3619000000.0,,656000000.0,118949000000.0,94484000000.0,24465000000.0,6.36,6.27,定期报告,是,20240322,CNY,合并期末,2023-03-16T02:37:04
20220930,670101000000.0,395658000000.0,395658000000.0,113000000.0,17191000000.0,3175000000.0,98123000000.0,170419000000.0,72296000000.0,27178000000.0,34707000000.0,7529000000.0,,23174000000.0,8284000000.0,-237000000.0,,-13806000000.0,2343000000.0,48175000000.0,123000000.0,2103000000.0,547177000000.0,42255000000.0,311798000000.0,8900000000.0,212838000000.0,581000000.0,16470000000.0,22000000.0,55247000000.0,2567000000.0,57870000000.0,,,4982000000.0,,60087000000.0,843000000.0,20115000000.0,122924000000.0,232000000.0,511000000.0,122645000000.0,11120000000.0,111525000000.0,111525000000.0,,92781000000.0,18744000000.0,,,-23218000000.0,-23319000000.0,-2184000000.0,,-535000000.0,-6279000000.0,,-21135000000.0,-200000000.0,,38952000000.0,,-38000000.0,,-284000000.0,,4149000000.0,,101000000.0,88307000000.0,69462000000.0,18845000000.0,5.32,5.24,定期报告,未审计,20231028,CNY,合并期末,2022-10-26T22:57:04
20220630,454064000000.0,262127000000.0,262127000000.0,55000000.0,11876000000.0,4436000000.0,64596000000.0,112740000000.0,48144000000.0,19381000000.0,24180000000.0,4799000000.0,,4537000000.0,6100000000.0,-312000000.0,,10424000000.0,1142000000.0,32134000000.0,109000000.0,1633000000.0,361699000000.0,28410000000.0,202865000000.0,5488000000.0,160168000000.0,-668000000.0,13713000000.0,9000000.0,39175000000.0,1640000000.0,38811000000.0,,,3720000000.0,,39751000000.0,-48000000.0,13184000000.0,92365000000.0,146000000.0,397000000.0,92114000000.0,9916000000.0,82198000000.0,82198000000.0,,70725000000.0,11473000000.0,569507000000.0,,-5216000000.0,-5803000000.0,4236000000.0,,170000000.0,12991000000.0,,-11128000000.0,-52000000.0,,6872000000.0,,853000000.0,,-188000000.0,,1812000000.0,,587000000.0,76982000000.0,64922000000.0,12060000000.0,4.05,3.99,定期报告,未审计,20230830,CNY,合并期末,2023-08-29T21:22:03
20220331,194061000000.0,130338000000.0,130338000000.0,33000000.0,7084000000.0,3534000000.0,32214000000.0,56308000000.0,24094000000.0,10406000000.0,12876000000.0,2470000000.0,,-10047000000.0,3115000000.0,-325000000.0,,-14539000000.0,443000000.0,16193000000.0,81000000.0,819000000.0,158424000000.0,14859000000.0,74184000000.0,3845000000.0,84104000000.0,120000000.0,10350000000.0,5000000.0,22738000000.0,830000000.0,19429000000.0,,,2142000000.0,,17501000000.0,-9000000.0,6369000000.0,35637000000.0,66000000.0,220000000.0,35483000000.0,3088000000.0,32395000000.0,32395000000.0,,25758000000.0,6637000000.0,,,1125000000.0,1125000000.0,14144000000.0,,-175000000.0,14319000000.0,,-306000000.0,-25000000.0,,-862000000.0,,384000000.0,,-10000000.0,,-271000000.0,,21000000.0,33520000000.0,26883000000.0,6637000000.0,1.47,1.45,定期报告,未审计,20230427,CNY,合并期末,2022-04-29T21:42:04
20211231,1180444000000.0,739933000000.0,760843000000.0,148000000.0,30208000000.0,-9298000000.0,121368000000.0,213439000000.0,92071000000.0,41584000000.0,51524000000.0,9940000000.0,,103378000000.0,7346000000.0,-363000000.0,,-22613000000.0,1267000000.0,67055000000.0,14000000.0,2984000000.0,1040759000000.0,52931000000.0,268854000000.0,16248000000.0,266815000000.0,3956000000.0,19405000000.0,24000000.0,80687000000.0,4570000000.0,172597000000.0,,,5908000000.0,,90494000000.0,14548000000.0,67970000000.0,139685000000.0,579000000.0,684000000.0,139580000000.0,17778000000.0,121802000000.0,121802000000.0,,101618000000.0,20184000000.0,521677000000.0,,-2076000000.0,-2337000000.0,-7348000000.0,,-1137000000.0,-6211000000.0,,2201000000.0,115000000.0,,1818000000.0,,1903000000.0,,-253000000.0,,-1211000000.0,-171000000.0,261000000.0,119726000000.0,99281000000.0,20445000000.0,5.77,5.72,定期报告,是,20230316,CNY,合并期末,2022-03-18T01:07:03
20210930,904629000000.0,575592000000.0,591765000000.0,136000000.0,24543000000.0,-8370000000.0,90352000000.0,158627000000.0,68275000000.0,32066000000.0,39555000000.0,7489000000.0,,77522000000.0,5685000000.0,-410000000.0,,-18218000000.0,820000000.0,49634000000.0,26000000.0,2221000000.0,790855000000.0,39612000000.0,197024000000.0,11223000000.0,217834000000.0,3864000000.0,16202000000.0,22000000.0,64268000000.0,3367000000.0,123207000000.0,,,4502000000.0,,65240000000.0,11742000000.0,49874000000.0,113774000000.0,312000000.0,383000000.0,113703000000.0,16155000000.0,97548000000.0,97548000000.0,,81638000000.0,15910000000.0,,,-3031000000.0,-3294000000.0,-10720000000.0,,-1238000000.0,-9482000000.0,,2617000000.0,478000000.0,,1105000000.0,,1747000000.0,,-199000000.0,,-343000000.0,-171000000.0,263000000.0,94517000000.0,78344000000.0,16173000000.0,4.63,4.59,定期报告,未审计,20221027,CNY,合并期末,2021-10-27T20:22:04
20210630,635649000000.0,410290000000.0,422498000000.0,99000000.0,13135000000.0,-927000000.0,59875000000.0,104790000000.0,44915000000.0,21467000000.0,26052000000.0,4585000000.0,,47442000000.0,2266000000.0,-223000000.0,,-2232000000.0,534000000.0,33509000000.0,27000000.0,1300000000.0,556757000000.0,26154000000.0,127967000000.0,6172000000.0,163403000000.0,2755000000.0,13408000000.0,16000000.0,46156000000.0,2243000000.0,80792000000.0,,,2977000000.0,,47983000000.0,11512000000.0,33950000000.0,78892000000.0,196000000.0,267000000.0,78821000000.0,10858000000.0,67963000000.0,67963000000.0,,58005000000.0,9958000000.0,521677000000.0,,1723000000.0,1452000000.0,1101000000.0,,-475000000.0,1576000000.0,,880000000.0,430000000.0,,-747000000.0,,1883000000.0,,-134000000.0,,-381000000.0,-171000000.0,271000000.0,69686000000.0,59457000000.0,10229000000.0,3.29,3.26,定期报告,未审计,20220824,CNY,合并期末,2021-08-26T22:22:04
20210331,340308000000.0,235281000000.0,243941000000.0,82000000.0,7278000000.0,1382000000.0,30017000000.0,52048000000.0,22031000000.0,10151000000.0,13165000000.0,3014000000.0,,20501000000.0,2558000000.0,-57000000.0,,-4059000000.0,312000000.0,16199000000.0,33000000.0,500000000.0,301572000000.0,13107000000.0,67880000000.0,3046000000.0,95133000000.0,687000000.0,10163000000.0,13000000.0,26555000000.0,1131000000.0,40918000000.0,,,1667000000.0,,22628000000.0,7237000000.0,14490000000.0,38736000000.0,86000000.0,169000000.0,38653000000.0,5642000000.0,33011000000.0,33011000000.0,,27223000000.0,5788000000.0,,,7734000000.0,7663000000.0,17780000000.0,,331000000.0,17449000000.0,,59000000.0,285000000.0,,-1965000000.0,,1340000000.0,,-30000000.0,,429000000.0,-133000000.0,71000000.0,40745000000.0,34886000000.0,5859000000.0,1.54,1.53,定期报告,未审计,20220430,CNY,合并期末,2021-04-22T19:47:03
20201231,1218315000000.0,757599000000.0,797880000000.0,172000000.0,23077000000.0,17204000000.0,114224000000.0,200595000000.0,86371000000.0,37942000000.0,50158000000.0,12216000000.0,,124701000000.0,16845000000.0,131000000.0,,-4770000000.0,2219000000.0,64181000000.0,7000000.0,3398000000.0,1030011000000.0,36914000000.0,237136000000.0,11503000000.0,303911000000.0,1358000000.0,19001000000.0,18000000.0,102003000000.0,4615000000.0,176426000000.0,,,6356000000.0,,77042000000.0,2416000000.0,63185000000.0,188304000000.0,379000000.0,919000000.0,187764000000.0,28405000000.0,159359000000.0,159359000000.0,,143099000000.0,16260000000.0,433644000000.0,,-21250000000.0,-20288000000.0,-43620000000.0,,1692000000.0,-45312000000.0,,-4624000000.0,-32000000.0,,-2759000000.0,,252000000.0,,82000000.0,,-2338000000.0,171000000.0,-962000000.0,138109000000.0,122811000000.0,15298000000.0,8.1,8.04,定期报告,是,20220318,CNY,合并期末,2022-03-18T01:07:03
