报告日,营业收入,手续费净收入,代理买卖证券业务净收入,证券承销业务净收入,委托管理资产业务净收入,投资咨询服务净收入,期货经纪业务净收入,基金管理业务净收入,利息净收入,利息收入,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,汇兑净收益,其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,研发费用,其他业务成本,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税费用,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,年初未分配利润,其他因素调整,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划净负债或净资产的变动,权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下在被投资单位以后将重分类进损益的其他综合收益中享有的份额,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20230930,2738652339.89,1424566525.45,620305557.51,119587665.24,161484451.35,,,,327350764.54,1081004676.14,753653911.6,706990653.23,25360633.41,,,256845966.88,-3433796.64,10083482.07,545239.35,15703505.01,1499171578.1,15360047.64,1522545776.3,,-42058216.16,,,3323970.32,1239480761.79,195253.86,,4222204.4,,1235453811.25,101498898.55,1133954912.7,1133954912.7,,1086401932.28,47552980.42,,,109042414.0,103502501.16,2197413.82,,,2197413.82,,101305087.34,,,91327349.53,,18125715.47,,,,-8147977.66,,5539912.84,1242997326.7,1189904433.44,53092893.26,0.34,0.34,定期报告,未审计,20241031,CNY,合并期末,2023-10-27T17:33:03
20230630,1897032667.01,924191904.44,398004552.8,67175833.88,75048620.84,,,,194843664.08,700642300.44,505798636.36,726254937.52,8592055.41,,,29615001.07,-1880320.19,12418055.38,361288.26,11228136.45,1083235129.03,10509210.08,1126402486.43,,-53697755.04,,,21187.56,813797537.98,5845.98,,380531.68,,813422852.28,45728833.73,767694018.55,767694018.55,,729238669.48,38455349.07,5914975879.0,,119030460.37,111788682.47,40046005.72,,,40046005.72,,71742676.75,-2614921.01,,64109433.2,,-1329697.98,,,,11577862.54,,7241777.9,886724478.92,841027351.95,45697126.97,0.23,0.23,定期报告,未审计,20240828,CNY,合并期末,2023-08-29T18:48:02
20230331,1090236829.32,506326636.15,192379496.69,26284900.02,92369876.36,,,,86687991.57,335174036.69,248486045.12,358543967.0,,,,126098789.5,2234040.79,1671673.03,361407.48,8312323.8,836913494.5,5268160.81,822927876.98,,7884780.95,,,832675.76,253323334.82,131.31,,13106.11,,253310360.02,17193355.0,236117005.02,236117005.02,,215897059.06,20219945.96,,,120142385.49,119478148.88,5594486.79,,,5594486.79,,113883662.09,,,100062257.54,,13324378.2,,,,497026.35,,664236.61,356259390.51,335375207.94,20884182.57,0.07,0.07,定期报告,未审计,20240427,CNY,合并期末,2024-04-26T16:58:02
20221231,3437762591.78,2535001024.52,923008936.26,186095834.31,260015006.11,,,,285427577.92,1152229423.87,866801845.95,1005723055.42,5688079.07,,,-414437245.02,-6012823.77,11902916.7,64215.54,20093870.47,1909173167.38,23284430.27,1949571642.04,,-63682904.93,,,,1528589424.4,516803.37,,11796394.85,,1517309832.92,199034357.84,1318275475.08,1318275475.08,,1227342108.11,90933366.97,5143168443.37,,24650815.19,9404640.33,2130490.96,,,2130490.96,,7274149.37,,,1206467.61,,-21834480.61,,,,27902162.37,,15246174.86,1342926290.27,1236746748.44,106179541.83,0.42,0.42,定期报告,是,20240327,CNY,合并期末,2023-03-13T21:13:04
20220930,2691859333.41,1785900692.72,708205623.82,86800369.53,144083029.52,,,,214990985.86,864803044.22,649812058.36,791994511.45,-16357620.1,,,-125466685.18,-6264292.16,13165709.31,170475.46,17367935.95,1846273480.81,17685370.75,1836525647.35,,-7937537.29,,,,845585852.6,276913.57,,4315619.29,,841547146.88,83779027.68,757768119.2,757768119.2,,723840185.77,33927933.43,,,49189825.93,28375694.25,-3044972.26,,,-3044972.26,,31420666.51,,,7551265.89,,-13080741.01,,,,36950141.63,,20814131.68,806957945.13,752215880.02,54742065.11,0.25,0.25,定期报告,未审计,20231028,CNY,合并期末,2022-12-02T11:38:05
20220630,1785247657.33,1174689568.22,484981678.34,62077090.31,93647433.74,,,,131092882.1,579846387.69,448753505.59,827105772.54,-15297759.64,,,-361650708.88,-2494464.16,8234480.89,31226.98,8238899.64,1231089345.75,12262591.5,1219779998.91,,-953244.66,,,,554158311.58,130322.05,,788119.87,,553500513.76,40511121.65,512989392.11,512989392.11,,502856457.19,10132934.92,5143168443.37,,19807953.06,11507244.19,,,,,,11507244.19,-421556.19,,-3284770.74,,985425.55,,,,14228145.57,,8300708.87,532797345.17,514363701.38,18433643.79,0.17,0.17,定期报告,是,20230830,CNY,合并期末,2022-08-30T13:38:03
20220331,800005654.52,623711671.03,258406874.71,42812393.82,50680489.86,,,,53724833.7,295492129.73,241767296.03,115448881.3,-5014039.91,,,-1733039.9,399601.74,1384509.55,25158.03,7044039.07,575906345.51,5744340.31,567497293.4,,2326771.0,,,337940.8,224099309.01,103138.58,,498646.92,,223703800.67,47736097.53,175967703.14,175967703.14,,165837683.1,10130020.04,,,-12658501.48,-9911527.71,,,,,,-9911527.71,,,-2592154.4,,-4245875.97,,,,-3073497.34,,-2746973.77,163309201.66,155926155.39,7383046.27,0.06,0.06,定期报告,未审计,20230422,CNY,合并期末,2023-04-21T18:43:03
20211231,3803275799.41,2626840151.92,1055514122.26,471222729.3,159111638.01,,,,465393892.83,1283037856.48,817643963.65,229226557.5,32690497.48,,,442523459.33,3377792.05,22278640.35,-154990.07,13790295.5,2343149034.07,23755928.35,2312176506.63,,7160446.42,,,56152.67,1460126765.34,1510263.75,,4511616.68,,1457125412.41,245497113.02,1211628299.39,1211628299.39,,1171719584.88,39908714.51,4325900122.36,,3282447.5,13765919.76,,,,,,13765919.76,,,-21465198.65,,45452192.94,,,,-10221074.53,,-10483472.26,1214910746.89,1185485504.64,29425242.25,0.4,0.4,定期报告,是,20230314,CNY,合并期末,2022-05-02T10:43:03
20210630,1486050923.67,1150914044.03,476606160.32,263966841.06,53940155.87,,,,269074418.16,633100115.24,364025697.08,-117234702.6,19315009.26,,,169038696.85,1754432.88,5856686.86,-401877.26,7049224.75,960480834.21,9839319.6,992642241.38,,-42027091.97,,,26365.2,525570089.46,862093.99,,336332.34,,526095851.11,79293792.19,446802058.92,446802058.92,,428949088.84,17852970.08,4325900122.36,,-38237679.62,-25005141.56,,,,,,-25005141.56,,,-8910937.7,,-1889855.15,,,,-14204348.71,,-13232538.06,408564379.3,403943947.28,4620432.02,0.15,0.15,定期报告,是,20210830,CNY,合并期末,2021-08-31T10:23:03
20210331,484071300.11,442059390.84,,,,,,,137287225.4,303819677.73,166532452.33,-177996519.08,,,,-30889862.86,558478.03,111065884.95,332168.26,1654534.57,379059557.38,4817422.27,372244139.36,,951172.31,,,1046823.44,105011742.74,127727.52,,39015.36,,105100454.9,6696860.41,98403594.49,,,89055598.45,9347996.04,,,,,,,,,,,,,,,,,,,,,,,,,,,募集说明书,未审计,20210729,CNY,合并期末,2021-07-29T13:18:03
