报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,24530791868.66,24525667199.71,5124668.95,,,,,25226710528.45,23861547219.02,,,,,,,,,37569812.51,164654873.04,238474967.89,741945235.78,182330858.02,186345790.25,187562.19,94163430.87,29510512.75,,,,-12198752.23,,,,80314583.14,-508732830.91,-15094384.44,,2938108.74,-1054528504.62,8254526.76,,16424057.23,,-1062698035.09,25576739.92,,-1088274775.01,-1088274775.01,,-1070082952.75,,-18191822.26,-480528.66,-423747.73,,,,,,-423747.73,-479202.23,,,,,,,,55454.5,,-56780.93,-1088755303.67,-1070506700.48,-18248603.19,-0.161,-0.161,定期报告,未审计,20260422,CNY,合并期末,2026-04-21T18:40:03
20251231,103862188499.72,103824483312.07,37705187.65,0.0,0.0,,,98522861393.12,92213288214.12,0.0,,0.0,0.0,0.0,0.0,0.0,,168586985.97,815006478.4,969596669.61,3648832226.04,706851580.34,792096746.89,699238.64,203463157.85,-28741791.88,0.0,0.0,0.0,310929920.0,,,,286556768.7,-207598805.53,-82917794.02,,-18336549.92,5831423803.68,44227702.06,,277805630.12,,5597845875.62,122838311.78,,5475007563.84,5475007563.84,0.0,5266415817.82,,208591746.02,-2757966.62,-2721620.22,-1645639.88,0.0,0.0,-1645639.88,0.0,-1075980.34,-901556.84,,0.0,0.0,0.0,,33752.25,,-208175.75,,-36346.4,5472249597.22,5263694197.6,208555399.62,0.7945,0.7844,定期报告,是,20260422,CNY,合并期末,2026-04-21T18:40:03
20250930,75817126805.18,75788089354.93,29037450.25,,,,,70851190334.39,66072340517.01,,,,,,,,,110601780.13,594736706.18,715477201.65,2810706241.29,546719714.2,614851065.27,608173.93,247187077.74,56513461.55,,,,277078463.33,,,,183119689.39,-47675402.64,-19669815.34,,15022049.56,5620998532.83,23962594.89,,91599336.28,,5553361791.44,135894995.55,,5417466795.89,5417466795.89,,5255835938.23,,161630857.66,-876642.43,-863848.89,,,,,,-863848.89,-740922.07,,,,,,33752.25,,-156679.07,,-12793.54,5416590153.46,5254972089.34,161618064.12,0.793,0.7715,定期报告,未审计,20251022,CNY,合并期末,2025-10-21T20:06:11
20250630,49874634043.84,49851534199.89,23099843.95,,,,,46152003471.81,42989682167.66,,,,,,,,,70389378.16,361983478.89,467338317.53,1889338311.05,372958693.01,414932586.94,313125.51,107259695.76,46123877.59,,,,172809921.3,,,,125337058.23,-526347885.08,-8968604.88,,2948688.19,3595669445.55,18516421.27,,38035702.23,,3576150164.59,45251788.48,,3530898376.11,3530898376.11,,3474636442.92,,56261933.19,-155888.47,-143620.52,,,,,,-143620.52,-29112.45,,,,,,33752.25,,-148260.32,,-12267.95,3530742487.64,3474492822.4,56249665.24,0.5252,0.5118,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T20:42:06
20250331,24455949081.37,24442283880.37,13665201.0,,,,,22505211590.2,20920592575.46,,,,,,,,,31046677.13,153238586.27,223089911.43,986150258.78,190933094.5,218242877.57,160486.63,-1750809.29,-1894025.58,,,,103902527.69,,,,62259967.82,-5384149.76,12557100.98,,-1772132.06,2120549996.55,3972103.35,,16522894.15,,2107999205.75,21265654.97,,2086733550.78,2086733550.78,,2013234686.34,,73498864.44,35915.21,36898.54,,,,,,36898.54,-12839.93,,,,,,33752.25,,15986.22,,-983.33,2086769465.99,2013271584.88,73497881.11,0.3042,0.2904,定期报告,未审计,20260422,CNY,合并期末,2025-04-23T20:56:04
20241231,105645183757.81,105583714275.85,61469481.96,0.0,0.0,,,95200205547.08,87179185848.01,0.0,,0.0,0.0,0.0,0.0,0.0,,168130568.06,721042346.16,943149515.0,5148912465.13,1039526530.26,1122851211.6,258274.46,-51027228.69,-143730983.01,0.0,0.0,0.0,-230461227.53,,,,259880999.48,-276392654.04,-69923341.87,,-34600352.79,10042454405.29,28265832.02,,416394929.11,,9654325308.2,-29212457.55,,9683537765.75,9683537765.75,0.0,9279937440.45,,403600325.3,637808.78,630938.77,0.0,0.0,0.0,0.0,0.0,630938.77,84277.71,,0.0,0.0,0.0,,-33752.25,,580413.31,,6870.01,9684175574.53,9280568379.22,403607195.31,1.3999,1.3468,定期报告,是,20260422,CNY,合并期末,2025-04-23T20:56:04
20240930,75849412675.08,75813649300.16,35763374.92,,,,,69063285855.32,63325231968.87,,,,,,,,,106172178.36,492948579.96,673443756.52,3718307468.81,747097964.55,874253499.36,83938.25,115381516.73,-71718119.76,,,0.0,-233360511.41,,,,168908586.41,-15392283.45,-8555524.87,,-878692.55,6812229910.62,26203018.65,,111042781.74,,6727390147.53,56056029.06,,6671334118.47,6671334118.47,0.0,6432470582.03,,238863536.44,190863.3,191777.5,,,,,,191777.5,0.0,,,,,,0.0,,191777.5,,-914.2,6671524981.77,6432662359.53,238862622.24,0.97,0.9253,定期报告,未审计,20251022,CNY,合并期末,2024-10-22T19:52:11
20240630,47088943210.28,47070703521.66,18239688.62,,,,,45571734982.43,41871076427.42,,,,,,,,,67140566.36,320452314.87,447638612.33,2313589995.5,551795869.16,613559750.27,41196.79,84053599.49,-62440545.43,,,0.0,-121353475.45,,,,122533245.58,-11184018.55,-207427.64,,-9743905.31,1581306245.97,14101061.05,,79464093.55,,1515943213.47,67124028.04,,1448819185.43,1448819185.43,0.0,1340925141.87,,107894043.56,417019.55,415105.01,,,,,,415105.01,0.0,,,,,,15280.0,,399825.01,,1914.54,1449236204.98,1341340246.88,107895958.1,0.2025,0.2015,定期报告,未审计,20250828,CNY,合并期末,2024-08-26T19:52:04
20240331,21847552671.51,21841709621.66,5843049.85,,,,,22923312201.66,21127583555.76,,,,,,,,,27545466.83,127250232.56,216209136.5,1142161200.77,282548870.99,308918478.83,13738.25,145984811.24,-4945807.14,0.0,,0.0,-390404197.97,,,,59652296.84,-4043984.36,13845846.47,,3498995.16,-1247225762.77,11298967.22,,47210101.5,,-1283136897.05,-26510782.71,,-1256626114.34,-1256626114.34,0.0,-1236018993.8,,-20607120.54,278374.63,278285.66,0.0,0.0,,,,278285.66,,,,,,,,,278285.66,,88.97,-1256347739.71,-1235740708.14,-20607031.57,-0.1868,-0.1868,定期报告,未审计,20250424,CNY,合并期末,2025-04-23T20:56:04
20231231,89921099545.85,89902322387.76,18777158.09,0.0,0.0,,,96414180346.15,89146814526.97,0.0,,0.0,0.0,0.0,0.0,0.0,,142885508.38,591872341.87,906787869.86,4412741489.2,1212869121.41,1301447487.26,209488.46,857198039.65,44164457.39,0.0,0.0,0.0,-511570835.83,,,,226135536.48,-244508202.91,-4961070.4,,33716311.82,-6137071021.49,36570679.24,,270177146.95,,-6370677489.2,18180244.88,,-6388857734.08,-6324562520.59,-64295213.49,-6389662358.5,,804624.42,39905114.48,39906429.07,33979809.31,0.0,0.0,33979809.31,0.0,5926619.76,0.0,,0.0,0.0,0.0,,0.0,,5926619.76,,-1314.59,-6348952619.6,-6349755929.43,803309.83,-0.9707,-0.9707,定期报告,是,20250424,CNY,合并期末,2024-04-28T16:32:03
