报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,511847191000.0,511847191000.0,,,,,,492107395000.0,471273840000.0,,,,,,,,,1735828000.0,5623818000.0,1552340000.0,7843450000.0,4078119000.0,4554075000.0,,960771000.0,643278000.0,-180658000.0,,,-11677000.0,,,,116875000.0,9423000.0,-8217000.0,,28450000.0,20835421000.0,132579000.0,,77741000.0,,20890259000.0,4530487000.0,,16359772000.0,16359772000.0,,13881336000.0,,2478436000.0,-280289000.0,-280260000.0,-125585000.0,,,-125585000.0,,-154675000.0,,,,,,,,,-154675000.0,,-29000.0,16079483000.0,13601076000.0,2478407000.0,0.33,0.33,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T19:30:16
20251231,2082141811000.0,2082141811000.0,,,,,,1989376715000.0,1876058765000.0,,,,,,,,,8754330000.0,44009417000.0,9038614000.0,33873816000.0,17641773000.0,19810305000.0,,802824000.0,1713031000.0,-3205603000.0,,,-43600000.0,,,,1002756000.0,-7210082000.0,-18655275000.0,,287115000.0,68948834000.0,1768669000.0,,495854000.0,,70221649000.0,16664009000.0,,53557640000.0,53557640000.0,,39069002000.0,5698000.0,14488638000.0,1025582000.0,391294000.0,-326174000.0,9581000.0,,-335755000.0,,717468000.0,117185000.0,,540000.0,,,,,,599743000.0,,634288000.0,54583222000.0,39460296000.0,15122926000.0,0.94,0.94,定期报告,是,20260418,CNY,合并期末,2026-04-17T22:10:02
20250930,1558219881000.0,1558219881000.0,,,,,,1491996539000.0,1422341202000.0,,,,,,,,,3940501000.0,23978992000.0,5892815000.0,22286473000.0,13556556000.0,15190064000.0,,2301285000.0,2659291000.0,-1357650000.0,,,2137000.0,,,,526569000.0,-1782124000.0,-6185605000.0,,172574000.0,61258178000.0,656432000.0,,374430000.0,,61540180000.0,12198626000.0,,49341554000.0,49341554000.0,,38182402000.0,,11159152000.0,1446013000.0,859640000.0,-84091000.0,-20000.0,,-84071000.0,,943731000.0,170281000.0,,-1620000.0,,,,,,775070000.0,,586373000.0,50787567000.0,39042042000.0,11745525000.0,0.92,0.92,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T18:58:12
20250630,1108307435000.0,1108307435000.0,,,,,,1054238682000.0,1003848193000.0,,,,,,,,,3223852000.0,17426383000.0,4052942000.0,16777556000.0,8909756000.0,9990912000.0,,2329273000.0,2164403000.0,-818694000.0,,,-225000.0,,,,503239000.0,-1615118000.0,-5991183000.0,,148790000.0,49443529000.0,504575000.0,,118722000.0,,49829382000.0,9554946000.0,,40274436000.0,40274436000.0,,30404353000.0,,9870083000.0,1194042000.0,661774000.0,-61651000.0,-20000.0,,-61631000.0,,723425000.0,179125000.0,,-1620000.0,,,,,,545920000.0,,532268000.0,41468478000.0,31066127000.0,10402351000.0,0.73,0.73,定期报告,未审计,20250829,CNY,合并期末,2025-08-28T19:56:06
20250331,555423385000.0,555423385000.0,,,,,,533816721000.0,511811378000.0,,,,,,,,,1732246000.0,5880384000.0,1983739000.0,8173889000.0,4235085000.0,4924979000.0,,845910000.0,504775000.0,-145787000.0,,,-680000.0,,,,216454000.0,-17184000.0,138486000.0,,11778000.0,22801428000.0,229443000.0,,112171000.0,,22918700000.0,4963958000.0,,17954742000.0,17954742000.0,,15012008000.0,,2942734000.0,-22511000.0,-22718000.0,-50014000.0,,,-50014000.0,,27296000.0,,,,,,,,,27296000.0,,207000.0,17932231000.0,14989290000.0,2942941000.0,0.36,0.36,定期报告,未审计,20260429,CNY,合并期末,2025-04-28T17:32:03
20241231,2187334286000.0,2187334286000.0,,,,,,2089798986000.0,1971708426000.0,,,,,,,,,9780065000.0,45464667000.0,8743942000.0,34636932000.0,19464954000.0,21795048000.0,,1504780000.0,3652253000.0,-3081169000.0,,,94324000.0,,,,937841000.0,-6456693000.0,-13634192000.0,,583753000.0,80565113000.0,1217165000.0,,1735959000.0,,80046319000.0,17299856000.0,,62746463000.0,62746463000.0,,46193694000.0,7421000.0,16552769000.0,-1293201000.0,-693691000.0,194631000.0,-56982000.0,,251613000.0,,-888322000.0,-87405000.0,,1470000.0,,,,,,-802387000.0,,-599510000.0,61453262000.0,45500003000.0,15953259000.0,1.11,1.11,定期报告,是,20260418,CNY,合并期末,2025-04-15T20:50:05
20240930,1626540973000.0,1626540973000.0,,,,,,1556382239000.0,1482964161000.0,,,,,,,,,5704670000.0,24567855000.0,5475762000.0,23427577000.0,14242214000.0,15888886000.0,,2188065000.0,2405733000.0,-1201172000.0,,,-7463000.0,,,,845594000.0,-3592178000.0,-5109246000.0,,172381000.0,64655887000.0,725601000.0,,429961000.0,,64951527000.0,12787435000.0,,52164092000.0,52164092000.0,,39702451000.0,,12461641000.0,-842805000.0,-567431000.0,-169372000.0,-28070000.0,,-141302000.0,,-398059000.0,-149708000.0,,-916000.0,,,,,,-247435000.0,,-275374000.0,51321287000.0,39135020000.0,12186267000.0,0.96,0.95,定期报告,未审计,20251031,CNY,合并期末,2024-10-25T18:47:03
20240630,1144619035000.0,1144619035000.0,,,,,,1088620655000.0,1036527521000.0,,,,,,,,,3874992000.0,17495149000.0,3582340000.0,17045649000.0,10095004000.0,10067360000.0,,2060670000.0,1753616000.0,-342420000.0,,,-16802000.0,,,,290810000.0,-3668619000.0,-5406899000.0,,125961000.0,49383501000.0,569066000.0,,186780000.0,,49765787000.0,9555439000.0,,40210348000.0,40210348000.0,,29449431000.0,,10760917000.0,-743734000.0,-461873000.0,-115331000.0,-28070000.0,,-87261000.0,,-346542000.0,-88427000.0,,-916000.0,,,,,,-257199000.0,,-281861000.0,39466614000.0,28987558000.0,10479056000.0,0.71,0.71,定期报告,未审计,20250829,CNY,合并期末,2024-08-30T01:02:03
20240331,549319265000.0,549319265000.0,,,,,,527473280000.0,504899416000.0,,,,,,,,,1934629000.0,6336204000.0,1641472000.0,8075024000.0,4586535000.0,4996912000.0,,678526000.0,556505000.0,-109445000.0,,,161000.0,,,,176122000.0,-5666000.0,31720000.0,,14823000.0,22741671000.0,111400000.0,,26495000.0,,22826576000.0,4974804000.0,,17851772000.0,17851772000.0,,14921852000.0,,2929920000.0,162823000.0,162578000.0,1132000.0,,,1132000.0,,161446000.0,,,,,,,,,161446000.0,,245000.0,18014595000.0,15084430000.0,2930165000.0,0.35,0.35,定期报告,未审计,20250429,CNY,合并期末,2024-04-29T20:22:03
20231231,2265529244000.0,2265529244000.0,,,,,,2163716488000.0,2042723831000.0,,,,,,,,,14311655000.0,46073572000.0,7628182000.0,34402175000.0,18577073000.0,20111090000.0,,4036060000.0,3853217000.0,-1673249000.0,,,-9444000.0,,,,1365982000.0,-5706212000.0,-8596270000.0,,229435000.0,93132307000.0,1166293000.0,,1303127000.0,,92995473000.0,19455760000.0,,73539713000.0,73539713000.0,,54264173000.0,,19275540000.0,-1088940000.0,-677284000.0,430181000.0,-3407000.0,,433588000.0,,-1107465000.0,-285892000.0,,10764000.0,,,,,,-832337000.0,,-411656000.0,72450773000.0,53586889000.0,18863884000.0,1.31,1.31,定期报告,是,20250416,CNY,合并期末,2024-04-19T00:57:03
