报告日,营业收入,净利息收入,利息收入,利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,中间业务净收入,中间业务收入,中间业务支出,净交易收入,衍生金融工具交易净收入,投资收益,对联营公司的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,租赁收入,净敞口套期收益,公允价值变动收益/(损失),其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,折旧费,提取呆账准备,研发费用,其他业务支出,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,加:年初未分配利润,其他因素调整,可供分配的利润,一般风险准备转入,盈余公积转入,减:提取法定盈余公积,提取法定公益金,提取一般风险准备,提取信托赔偿准备金,盈余公积补亏,提取职工奖福基金,应付永续债利息,其他,可供股东分配的利润,减:应付优先股股利,提取任意盈余公积,应付普通股股利,转作股本的普通股股利,未分配利润,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能重分类进损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下重分类进损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,211256000000.0,153468000000.0,287952000000.0,134484000000.0,39978000000.0,43152000000.0,3174000000.0,,,,5609000000.0,,4240000000.0,252000000.0,283000000.0,5609000000.0,,,3327000000.0,4634000000.0,,,111921000000.0,1911000000.0,43514000000.0,,61660000000.0,1000000.0,,,,4835000000.0,99335000000.0,246000000.0,,384000000.0,,99197000000.0,12376000000.0,,86821000000.0,,,86291000000.0,530000000.0,,,,,,,,,,,,,,,,,,,,-2602000000.0,-2395000000.0,-1419000000.0,,,-1423000000.0,,-976000000.0,,,4363000000.0,,-784000000.0,,289000000.0,,-4940000000.0,-207000000.0,84219000000.0,83896000000.0,323000000.0,0.33,0.33,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T19:46:08
20251231,761049000000.0,572774000000.0,1153262000000.0,580488000000.0,110307000000.0,123708000000.0,13401000000.0,,,,14504000000.0,,49144000000.0,336000000.0,17593000000.0,14504000000.0,,,-4245000000.0,18565000000.0,,,379418000000.0,9138000000.0,215678000000.0,,133317000000.0,42000000.0,,,,21243000000.0,381631000000.0,1401000000.0,,2409000000.0,,380623000000.0,40833000000.0,,339790000000.0,,,338906000000.0,884000000.0,1781715000000.0,,2120621000000.0,,,32491000000.0,,52290000000.0,,,,,,2035840000000.0,5420000000.0,,100107000000.0,,1930417000000.0,-36781000000.0,-37231000000.0,-54000000.0,279000000.0,,-349000000.0,,-37177000000.0,,,-28451000000.0,,1127000000.0,,-72000000.0,,-3822000000.0,450000000.0,303009000000.0,301675000000.0,1334000000.0,1.3,1.3,定期报告,是,20260328,CNY,合并期末,2026-03-27T22:06:04
20250930,573702000000.0,427606000000.0,867068000000.0,439462000000.0,89668000000.0,99497000000.0,9829000000.0,,,,10352000000.0,,36761000000.0,223000000.0,10429000000.0,10352000000.0,,,-4116000000.0,13431000000.0,,,284089000000.0,6092000000.0,142041000000.0,,121763000000.0,16000000.0,,,,14177000000.0,289613000000.0,979000000.0,,1011000000.0,,289581000000.0,31135000000.0,,258446000000.0,,,257360000000.0,1086000000.0,,,,,,,,,,,,,,,,,,,,-35998000000.0,-36456000000.0,-438000000.0,79000000.0,,-523000000.0,,-36018000000.0,,,-30618000000.0,,1798000000.0,,-204000000.0,,-1176000000.0,458000000.0,222448000000.0,220904000000.0,1544000000.0,1.0,1.0,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T19:34:05
20250630,394273000000.0,286709000000.0,579257000000.0,292548000000.0,65218000000.0,71450000000.0,6232000000.0,,,,8342000000.0,,27912000000.0,-299000000.0,9400000000.0,8342000000.0,,,-2618000000.0,8710000000.0,,,211831000000.0,3984000000.0,90863000000.0,,107652000000.0,10000000.0,,,,9322000000.0,182442000000.0,655000000.0,,656000000.0,,182441000000.0,19803000000.0,,162638000000.0,,,162076000000.0,562000000.0,1781715000000.0,,1943791000000.0,,,,,671000000.0,,,,,,1943120000000.0,,,51502000000.0,,1891671000000.0,-14760000000.0,-14539000000.0,138000000.0,79000000.0,,57000000.0,,-14677000000.0,,,-6911000000.0,,950000000.0,,-264000000.0,,108000000.0,-221000000.0,147878000000.0,147537000000.0,341000000.0,0.65,0.65,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T19:30:04
20250331,190070000000.0,141923000000.0,288255000000.0,146332000000.0,37460000000.0,40700000000.0,3240000000.0,,,,4325000000.0,,4270000000.0,4000000.0,1155000000.0,4325000000.0,,,-2716000000.0,4808000000.0,,,96549000000.0,1553000000.0,42494000000.0,,48156000000.0,-19000000.0,,,,4365000000.0,93521000000.0,289000000.0,,231000000.0,,93579000000.0,9837000000.0,,83742000000.0,,,83351000000.0,391000000.0,,,,,,,,,,,,,,,,,,,,-16291000000.0,-16542000000.0,-193000000.0,,,-193000000.0,,-16349000000.0,,,-17086000000.0,-208000000.0,201000000.0,,-10000000.0,,-511000000.0,251000000.0,67451000000.0,66809000000.0,642000000.0,0.33,0.33,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T18:28:07
20241231,746970000000.0,589882000000.0,1241557000000.0,651675000000.0,104928000000.0,117940000000.0,13012000000.0,,,,7363000000.0,,21443000000.0,584000000.0,3991000000.0,7363000000.0,,,5351000000.0,18003000000.0,,,362698000000.0,8263000000.0,214312000000.0,,120700000000.0,298000000.0,,,,19125000000.0,384272000000.0,1309000000.0,,1204000000.0,,384377000000.0,48095000000.0,,336282000000.0,,,335577000000.0,705000000.0,1674405000000.0,,2009982000000.0,,,32290000000.0,,39620000000.0,,,,,,1938072000000.0,7108000000.0,,149256000000.0,,1781715000000.0,32825000000.0,33927000000.0,8490000000.0,-93000000.0,,8509000000.0,,25437000000.0,,,33118000000.0,,-1239000000.0,,100000000.0,,1304000000.0,-1102000000.0,369107000000.0,369504000000.0,-397000000.0,1.31,1.31,定期报告,是,20260328,CNY,合并期末,2025-03-28T18:00:02
20240930,569022000000.0,440817000000.0,938135000000.0,497318000000.0,85144000000.0,94248000000.0,9104000000.0,,,,7231000000.0,,14672000000.0,44000000.0,2519000000.0,7231000000.0,,,4861000000.0,16297000000.0,,,271685000000.0,5731000000.0,138731000000.0,,109583000000.0,-43000000.0,,,,17683000000.0,297337000000.0,1052000000.0,,751000000.0,,297638000000.0,40526000000.0,,257112000000.0,,,255776000000.0,1336000000.0,,,,,,,,,,,,,,,,,,,,18233000000.0,19434000000.0,7296000000.0,-19000000.0,,7278000000.0,,12138000000.0,,,18297000000.0,,359000000.0,,371000000.0,,-1497000000.0,-1201000000.0,275345000000.0,275210000000.0,135000000.0,1.01,1.01,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T17:50:05
20240630,385965000000.0,296059000000.0,627014000000.0,330955000000.0,62696000000.0,68727000000.0,6031000000.0,,,,2722000000.0,,8797000000.0,206000000.0,1914000000.0,2722000000.0,,,4897000000.0,10794000000.0,,,193063000000.0,3870000000.0,89997000000.0,,87654000000.0,-17000000.0,,,,11559000000.0,192902000000.0,631000000.0,,521000000.0,,193012000000.0,27973000000.0,,165039000000.0,,,164326000000.0,713000000.0,1674405000000.0,,1838731000000.0,,,,,221000000.0,,,,,,1838510000000.0,,,100004000000.0,,1738506000000.0,18468000000.0,20171000000.0,7159000000.0,-19000000.0,,7171000000.0,,13012000000.0,,,14940000000.0,,1449000000.0,,-43000000.0,,1324000000.0,-1703000000.0,183507000000.0,184497000000.0,-990000000.0,0.66,0.66,定期报告,未审计,20250830,CNY,合并期末,2024-08-30T19:20:11
20240331,200928000000.0,149731000000.0,314690000000.0,164959000000.0,39278000000.0,42207000000.0,2929000000.0,,,,1411000000.0,,1737000000.0,-45000000.0,506000000.0,1411000000.0,,,3744000000.0,5027000000.0,,,98730000000.0,1599000000.0,42975000000.0,,48157000000.0,-10000000.0,,,,6009000000.0,102198000000.0,320000000.0,,211000000.0,,102307000000.0,15400000000.0,,86907000000.0,,,86817000000.0,90000000.0,,,,,,,,,,,,,,,,,,,,3517000000.0,5161000000.0,73000000.0,,71000000.0,71000000.0,,5088000000.0,,,8005000000.0,-1021000000.0,-214000000.0,,102000000.0,,608000000.0,-1644000000.0,90424000000.0,91978000000.0,-1554000000.0,0.35,0.35,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T21:55:04
20231231,769736000000.0,617233000000.0,1247366000000.0,630133000000.0,115746000000.0,129906000000.0,14160000000.0,,,,3247000000.0,,16887000000.0,1151000000.0,946000000.0,3247000000.0,,,-3615000000.0,20238000000.0,,,380509000000.0,8476000000.0,210088000000.0,,136774000000.0,463000000.0,,,,24708000000.0,389227000000.0,1738000000.0,,1588000000.0,,389377000000.0,56917000000.0,,332460000000.0,,,332653000000.0,-193000000.0,1530102000000.0,,1862755000000.0,,,32379000000.0,,53633000000.0,,,,,,1776743000000.0,5110000000.0,,97254000000.0,,1674405000000.0,4613000000.0,6604000000.0,138000000.0,-54000000.0,,153000000.0,,6466000000.0,,,7227000000.0,,-1234000000.0,,201000000.0,,3987000000.0,-1991000000.0,337073000000.0,339257000000.0,-2184000000.0,1.31,1.31,定期报告,是,20250329,CNY,合并期末,2024-03-28T21:55:03
