报告日,营业收入,手续费净收入,代理买卖证券业务净收入,证券承销业务净收入,委托管理资产业务净收入,投资咨询服务净收入,期货经纪业务净收入,基金管理业务净收入,利息净收入,利息收入,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,汇兑净收益,其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,研发费用,其他业务成本,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税费用,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,年初未分配利润,其他因素调整,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划净负债或净资产的变动,权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下在被投资单位以后将重分类进损益的其他综合收益中享有的份额,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,3083628376.53,1540770145.56,1156621747.2,137922626.42,223974251.43,,,,645524169.09,1327883728.91,682359559.82,402736867.53,487743.54,828263.0,,285324786.05,1781739.28,14159672.41,179249.44,193151747.17,1550291373.96,16299911.93,1529594336.29,,-605748.86,,,5002874.6,1533337002.57,69281.3,,92610.18,,1533313673.69,355232087.14,1178081586.55,1178081586.55,,1166176164.68,11905421.87,,,101332957.54,101332957.54,67647560.19,,,67647560.19,,33685397.35,,,88935701.63,,-4085003.96,,,,-51165300.32,,,1279414544.09,1267509122.22,11905421.87,0.23,0.23,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T16:24:08
20251231,10851821801.07,5726367024.32,3982681153.79,774755902.69,900171705.29,,,,2375342166.36,5140965894.45,2765623728.09,2861069686.6,129892562.73,954250.36,,-382049044.22,7441581.46,61454824.48,1340056.73,200855505.34,6197648551.0,67293462.77,5925524612.36,,163338907.04,2605482.39,,38886086.44,4654173250.07,12150027.8,,-11999244.93,,4678322522.8,920542381.96,3757780140.84,3757780140.84,,3724190527.91,33589612.93,15171017992.56,,-370891296.96,-370355353.56,5998407.97,,,5998407.97,,-376353761.53,-4768251.49,,-313725735.56,,-5991718.03,,,,-51868056.45,,-535943.4,3386888843.88,3353835174.35,33053669.53,0.73,0.73,定期报告,是,20260327,CNY,合并期末,2026-03-26T18:50:31
20250930,8189349345.19,4175546257.11,2971727750.0,487480739.8,665571220.51,,,,1726482916.77,3764891664.91,2038408748.14,1898298570.01,88296366.32,954250.36,,119820588.26,7583164.61,61663845.56,1208007.4,198745995.47,4890240401.59,49236497.32,4704962725.21,,111966373.31,399818.27,,23674987.48,3299108943.6,2548797.79,,9669240.94,,3291988500.45,586392135.57,2705596364.88,2705596364.88,,2677988839.84,27607525.04,,,-457430917.12,-456969082.07,-62774953.37,,,-62774953.37,,-394194128.7,-5508738.85,,-355244877.44,,-6167471.77,,,,-27273040.64,,-461835.05,2248165447.76,2221019757.77,27145689.99,0.52,0.52,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T16:59:10
20250630,5124549228.66,2524937880.87,1703061299.41,363202547.73,426757976.8,,,,1082394181.5,2471352952.24,1388958770.74,1387428117.31,43005632.85,568743.88,,-110489842.78,9204510.34,31811449.17,978546.77,198284385.48,3083518844.32,29609250.94,2980348179.31,,59120794.61,399818.27,,14040801.19,2041030384.34,2339057.68,,3464412.07,,2039905029.95,344181031.26,1695723998.69,1695723998.69,,1682931854.65,12792144.04,15171017992.56,,-127155882.84,-126694047.8,10898332.22,,,10898332.22,,-137592380.02,-5078919.1,,-97657866.63,,-5038822.5,,,,-29816771.79,,-461835.04,1568568115.85,1556237806.85,12330309.0,0.32,0.32,定期报告,未审计,20250829,CNY,合并期末,2025-08-28T17:58:02
20250331,2504964344.03,1278456878.38,909179315.29,141119090.9,209528431.6,,,,522497100.76,1246688829.66,724191728.9,659048399.67,15496191.88,21341.52,,-155080083.03,2091759.3,14355331.67,,183594957.28,1475813684.26,16238770.16,1468550034.04,,-16631365.93,,,7656245.99,1029150659.77,2359483.32,,1276418.91,,1030233724.18,206041831.12,824191893.06,824191893.06,,819260652.7,4931240.36,,,-292595129.87,-292595129.87,2913947.81,,,2913947.81,,-295509077.68,-4351800.55,,-288647705.77,,2378176.9,,,,-4887748.26,,,531596763.19,526665522.83,4931240.36,0.16,0.16,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T18:58:34
20241231,9598335237.35,4671115465.76,2991392721.65,822510990.27,789614397.34,,,,2147816765.97,4849801023.64,2701984257.67,2535863578.4,114991774.92,3456215.51,,71691103.52,-10508457.13,62825735.63,20218.79,119510826.41,5989753717.11,53161555.1,5858653357.06,,-3196101.65,2112373.19,,79022533.41,3608581520.24,7288048.34,,34969112.71,,3580900455.87,495233110.1,3085667345.77,3085667345.77,,3058464452.01,27202893.76,14761296072.16,,429643982.83,430412733.68,11890141.12,,11890141.12,11890141.12,,418522592.56,4063866.1,,362035750.88,,7130161.83,,,,45292813.75,,-768750.85,3515311328.6,3488877185.69,26434142.91,0.58,0.58,定期报告,是,20260327,CNY,合并期末,2025-03-27T23:24:18
20240930,6406439613.57,3076214434.58,1823542386.81,621739668.93,581097254.33,,,,1489951450.19,3469370687.1,1979419236.91,572035178.69,83812325.21,743096.98,,1112056829.9,-7848960.76,55100557.48,20138.19,108909985.3,4082330888.37,27305652.39,3997365556.2,,3010977.85,696.31,,54648005.62,2324108725.2,3370835.64,,26780604.6,,2300698956.24,293158046.18,2007540910.06,2007540910.06,,1990387649.23,17153260.83,,,43123858.98,43123858.98,-8691507.47,,,-8691507.47,,51815366.45,1776760.25,,51988696.36,,3444298.78,,,,-5394388.94,,,2050664769.04,2033511508.21,17153260.83,0.37,0.37,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T18:28:31
20240630,4183803637.12,2091372248.61,1243888231.94,430163452.89,381135591.59,,,,982268497.42,2351052311.96,1368783814.54,305426734.89,66917915.72,728357.33,,752938832.42,-4366840.67,43523649.9,1335.75,12639178.8,2600156767.56,19645831.5,2585070418.53,,-34086309.75,,,29526827.28,1583646869.56,1653366.57,,13006226.71,,1572294009.42,168384841.07,1403909168.35,1403909168.35,,1390527589.65,13381578.7,14761296072.16,,173184808.71,173184808.71,-3791593.05,,,-3791593.05,,176976401.76,1728816.08,,157634876.15,,2080515.7,,,,15532193.83,,,1577093977.06,1563712398.36,13381578.7,0.26,0.26,定期报告,未审计,20250829,CNY,合并期末,2024-08-29T19:28:47
20240331,2204205085.9,1071958882.73,626848203.63,248838297.83,177829506.43,,,,483133563.19,1186761362.62,703627799.43,-726736930.17,23153487.46,39668.85,,1350895895.9,-2245657.21,16310256.05,1305.33,10887770.08,1358579898.2,9609003.47,1329691704.93,,1649134.4,,,17630055.4,845625187.7,858280.09,,6397845.18,,840085622.61,151586264.53,688499358.08,688499358.08,,682436814.38,6062543.7,,,77601651.16,77601651.16,29059290.33,,,29059290.33,,48542360.83,476953.18,,56230359.16,,-2713853.48,,,,-5451098.03,,,766101009.24,760038465.54,6062543.7,0.13,0.13,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T19:03:10
20231231,10031455479.22,4886150222.4,2770473737.18,1031480207.94,1009483097.71,,,,1799381012.16,5067384339.26,3268003327.1,2197252022.39,98278201.17,10793453.12,,416642872.83,-2051968.14,339630201.86,12090.31,394439025.41,7400753655.68,55148929.96,6373059644.24,,328503432.78,340062268.91,,303979379.79,2630701823.54,2582273.0,,-2124012915.59,,4757297012.13,456691948.83,4300605063.3,4300605063.3,,4271152276.46,29452786.84,12286663530.38,,175707632.82,177985230.27,127663518.56,,127663518.56,127663518.56,,50321711.71,467768.74,,102359561.88,,8072691.09,,,,-60578310.0,,-2277597.45,4476312696.12,4449137506.73,27175189.39,0.84,0.84,定期报告,是,20250328,CNY,合并期末,2024-03-27T22:43:23
20230930,7755088577.4,3707051592.41,2195667028.19,758476036.6,694324820.15,,,,1355479526.16,3806046616.11,2450567089.95,1591362151.25,85290442.72,10031588.22,,427414766.13,-4460715.2,294689096.23,,383552160.42,5101373080.28,42451775.74,4573132507.46,,203620227.53,-4582.05,,282173151.6,2653715497.12,1638670.28,,-2144002518.63,,4799356686.03,414205124.99,4385151561.04,4385151561.04,,4357874038.91,27277522.13,,,198344236.07,198344236.07,185038980.25,,,185038980.25,,13305255.82,759638.61,,40846830.98,,1637723.61,,,,-29938937.38,,,4583495797.11,4556218274.98,27277522.13,0.88,0.88,定期报告,未审计,20241031,CNY,合并期末,2023-10-26T19:38:03
