报告日,营业收入,手续费净收入,代理买卖证券业务净收入,证券承销业务净收入,委托管理资产业务净收入,投资咨询服务净收入,期货经纪业务净收入,基金管理业务净收入,利息净收入,利息收入,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,汇兑净收益,其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,研发费用,其他业务成本,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税费用,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,年初未分配利润,其他因素调整,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划净负债或净资产的变动,权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下在被投资单位以后将重分类进损益的其他综合收益中享有的份额,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,4090179175.27,1790668593.64,862228127.08,348729240.59,428100833.12,,,,402019721.31,1463361855.55,1061342134.24,2057244455.43,197682221.65,,,-257713704.88,-80535007.63,30988425.04,584730.49,146921961.87,2082087377.18,32173292.05,2028078830.03,,21754067.78,,,81187.32,2008091798.09,186480.95,,2220695.65,,2006057583.39,419038017.49,1587019565.9,1587019565.9,,1587119915.99,-100350.09,,,555708875.67,555708875.67,758742442.96,,-3195401.94,761937844.9,,-203033567.29,-4792413.25,,-132768157.9,,-3253686.76,,,,-55502835.1,-6716474.28,,2142728441.57,2142828791.66,-100350.09,0.19,,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T17:20:10
20251231,15358190328.79,6211074348.75,2916012868.2,1501634214.07,1358042729.64,,,,1153617544.61,6126979431.96,4973361887.35,7862806511.13,759191986.28,,,-378107071.28,264925668.37,97193277.83,525987.03,146154062.35,8746929545.68,103249420.08,8351522528.08,,283617383.88,271497.07,,8268716.57,6611260783.11,126659751.34,,93780537.77,,6644139996.68,1010488165.54,5633651831.14,5633651831.14,,5633559541.41,92289.73,8151494660.58,,-55140578.68,-55140578.68,199782491.1,,722634.16,199059856.94,,-254923069.78,-6913002.87,,-344558282.85,,121649338.53,,,,-21265846.58,-3835276.01,,5578511252.46,5578418962.73,92289.73,0.65,,定期报告,是,20260328,CNY,合并期末,2026-03-27T18:24:28
20250930,12708369810.92,4832418246.9,2381124627.81,1171497197.34,973068865.48,,,,778392121.75,4102841697.64,3324449575.89,5831352862.52,535018863.53,,,899033154.53,287925051.47,63375698.09,506304.08,15366371.58,6336745998.96,81639902.15,6229665380.97,,24948433.91,,,492281.93,6371623811.96,127311017.52,,15328776.31,,6483606053.17,1373509576.44,5110096476.73,5110096476.73,,5110347361.75,-250885.02,,,-400770110.91,-400770110.91,203386471.9,,-4042897.64,207429369.54,,-604156582.81,-6611851.8,,-607702679.82,,1078689.17,,,,6592210.33,2487049.31,,4709326365.82,4709577250.84,-250885.02,0.59,,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T17:13:47
20250630,8001159359.72,2886110551.66,1371310570.36,720294499.99,601049702.42,,,,462235015.12,2765256140.82,2303021125.7,3965306147.36,341562179.2,,,396611161.3,233550676.34,43245985.1,-205932.7,14305755.54,3823275915.38,51075182.0,3775293247.97,,-3765279.12,271497.07,,401267.46,4177883444.34,119111462.53,,3365227.16,,4293629679.71,830727171.24,3462902508.47,3462902508.47,,3463070710.93,-168202.46,8151494660.58,,1072118314.6,1072118314.6,500360806.34,,-6164962.05,506525768.39,,571757508.26,-5900972.23,,548033868.37,,2412513.58,,,,19016661.88,8195436.66,,4535020823.07,4535189025.53,-168202.46,0.4,,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T19:09:00
20250331,3884727756.24,1459635988.35,702763893.62,319842878.2,301475626.78,,,,220373574.3,1412793074.89,1192419500.59,1744080844.67,98984921.7,,,442881408.51,-11154406.97,15906224.48,-193737.35,13197860.25,2169301905.96,26395581.12,2214375744.12,,-71629672.27,,,160252.99,1715425850.28,37056652.12,,1873824.77,,1750608677.63,315012109.12,1435596568.51,1435596568.51,,1435653008.94,-56440.43,,,-179739637.62,-179739637.62,144512116.33,,-4173542.07,148685658.4,,-324251753.95,-1893308.92,,-324937117.9,,1493922.53,,,,1084750.34,,,1255856930.89,1255913371.32,-56440.43,0.16,,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T16:54:04
20241231,12172087561.4,5434702695.7,2510993738.23,1168285354.16,1341286560.15,,,,1321329991.99,5558875125.89,4237545133.9,5694584280.2,458077014.36,,,-450035256.76,59524661.55,87049403.44,-491582.24,25423367.52,8646139394.65,86587735.24,7863572069.79,,461327782.4,214685798.02,,19966009.2,3525948166.75,160593551.7,,27287700.58,,3659254017.87,308806677.22,3350447340.65,3350447340.65,,3350208782.4,238558.25,8757395576.72,,1691021398.1,1691021398.1,869038874.61,,-11882335.78,895542992.8,,821982523.49,5930996.26,,756356658.89,,52277740.54,,,,6554327.56,862800.24,,5041468738.75,5041230180.5,238558.25,0.37,,定期报告,是,20260328,CNY,合并期末,2025-03-28T21:46:20
20240930,9117648632.32,3750748995.1,1596965326.58,830324238.23,1016700100.49,,,,917092746.82,4059576920.15,3142484173.33,4077489041.3,304727409.52,,,232320980.77,46470778.46,74802478.65,-375540.29,19099151.51,5552100935.31,64348174.1,5164542921.95,,305003857.08,-1114691.22,,19320673.4,3565547697.01,162240656.5,,10685698.25,,3717102655.26,414716737.19,3302385918.07,3302385918.07,,3302049264.3,336653.77,,,746974153.05,746974153.05,404864796.17,,-16077787.86,435564366.44,,342109356.88,2484376.55,,334386010.75,,7338542.93,,,,-1037573.35,-1062000.0,,4049360071.12,4049023417.35,336653.77,0.37,,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T16:39:05
20240630,5761431054.71,2481142364.94,1045767371.76,547249546.02,708160676.57,,,,694020539.07,2776347033.93,2082326494.86,2366172169.62,224758015.24,,,133967547.2,15269352.04,54666105.57,-183676.43,16376652.7,3611763484.57,41865937.45,3239678960.56,,312137979.5,-1114691.22,,19195298.28,2149667570.14,125376758.57,,3968981.63,,2271075347.08,159397760.95,2111677586.13,2111677586.13,,2111371071.52,306514.61,8757395576.72,,1071839269.28,1071839269.28,435968016.88,,,456890547.55,,635871252.4,-1248826.08,,633249541.47,,9109147.68,,,,-5238610.67,,,3183516855.41,3183210340.8,306514.61,0.24,,定期报告,未审计,20250830,CNY,合并期末,2024-08-29T19:33:47
20240331,3610537317.89,1246485213.57,486011447.92,273428996.92,361158276.14,,,,298879584.99,1404841462.53,1105961877.54,403449885.03,103616111.09,,,499260170.36,8953607.61,1138461851.18,-8383.2,15055388.35,2743541976.13,16140915.57,1599819439.21,,-28462.21,-1946796.91,,1129556880.47,866995341.76,122133245.25,,1984275.2,,987144311.81,100568029.73,886576282.08,886576282.08,,886228868.51,347413.57,,,492756789.11,492756789.11,238464015.1,,-2816869.26,255902666.78,,254292774.01,304546.58,,265429015.2,,-1716725.04,,,,-9724062.73,,,1379333071.19,1378985657.62,347413.57,0.1,,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T16:48:20
20231231,17090058490.58,6934595383.24,2780953178.61,1510305171.55,2028797300.09,,,,1764337318.24,6064164055.82,4299826737.58,2543708336.38,584248788.91,9420801.79,,428309709.84,-57866016.18,5458729250.65,-912163.7,19156672.11,14343818764.77,83603580.85,7714498077.41,,1030198808.36,221946796.91,,5293571501.24,2746239725.81,200105959.23,,27205251.1,,2919140433.94,162536723.12,2756603710.82,2756603710.82,,2753755356.48,2848354.34,8838411847.6,,417081704.79,417081704.79,-24337877.06,,,-14730089.26,,441419581.85,4518054.51,,482947263.36,,-59243492.88,,,,14817756.86,-1620000.0,,3173685415.61,3170837061.27,2848354.34,0.3,,定期报告,是,20250329,CNY,合并期末,2024-03-27T21:08:24
