报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,6595587902.38,6595587902.38,,,,,,5578917874.03,4671720128.06,,,,,,,,,34577548.73,399367106.94,103354721.56,301095348.85,68803019.89,21822503.37,,1796804.45,-56252.14,,,,-4047425.25,,,,88266858.66,-110379811.01,-49905182.98,,605875.3,943007147.52,1635215.33,,4069293.67,,940573069.18,89281212.73,,851291856.45,851291856.45,,850230796.58,,1061059.87,-23659790.19,-23591313.27,,,,,,-23591313.27,,,,,,,,,-23591313.27,,-68476.92,827632066.26,826639483.31,992582.95,1.28,1.27,定期报告,未审计,20260424,CNY,合并期末,2026-04-23T19:04:03
20251231,23646977088.98,23646977088.98,,,,,,20162423773.14,16951017946.22,,,,,,,,,125070046.3,1591409462.06,381288273.92,1064906138.88,48731905.76,77599399.53,,3447909.07,-218976.43,,,,5003997.31,,,,520676395.85,-286636290.58,-86808052.41,,-5164589.7,3635072685.38,6288865.38,,17552318.66,,3623809232.1,345294293.69,,3278514938.41,3278514938.41,,3275738151.27,,2776787.14,23047934.45,22820988.69,9980624.54,,,9980624.54,,12840364.15,,,,,,,,,12840364.15,,226945.76,3301562872.86,3298559139.96,3003732.9,4.91,4.91,定期报告,是,20260313,CNY,合并期末,2026-03-12T19:26:03
20250930,16754015317.37,16754015317.37,,,,,,14312139499.13,12028622442.27,,,,,,,,,100160251.41,1136080140.2,257002574.77,757099298.38,33174792.1,56943470.5,,3235936.35,-162081.23,,,,2209004.51,,,,436794467.52,-223604302.78,-83511537.13,,-5929064.45,2571070322.26,4144684.79,,15947544.58,,2559267462.47,230928744.79,,2328338717.68,2328338717.68,,2325825551.62,,2513166.06,10888448.87,10616375.12,,,,,,10616375.12,,,,,,,,,10616375.12,,272073.75,2339227166.55,2336441926.74,2785239.81,3.49,3.49,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T18:12:04
20250630,10453454733.49,10453454733.49,,,,,,9076651873.6,7705828659.32,,,,,,,,,59381143.52,671764228.69,171528303.45,446749131.63,21400406.99,39063785.18,,3289656.94,-108360.64,,,,2209004.51,,,,332261448.99,-149719605.83,-52997360.89,,-3291743.68,1508554259.93,2902821.71,,12483317.12,,1498973764.52,137853422.6,,1361120341.92,1361120341.92,,1360017775.49,,1102566.43,10207325.98,9913945.36,,,,,,9913945.36,,,,,,,,,9913945.36,,293380.62,1371327667.9,1369931720.85,1395947.05,2.04,2.04,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T19:20:05
20250331,4782896546.25,4782896546.25,,,,,,4253253953.71,3599594509.15,,,,,,,,,21638798.18,329051821.23,83703778.88,208787948.15,10477098.12,19115276.49,,3015909.75,-55221.04,,,,2179154.46,,,,112955458.18,-95287287.94,-25080723.63,,-66754.16,527358349.2,1345335.86,,5260468.55,,523443216.51,31386850.51,,492056366.0,492056366.0,,491448182.06,,608183.94,-55157.08,-166244.34,,,,,,-166244.34,,,,,,,,,-166244.34,,111087.26,492001208.92,491281937.72,719271.2,0.96,0.96,定期报告,未审计,20260424,CNY,合并期末,2026-04-23T19:06:08
20241231,17907445251.3,17907445251.3,,,,,,15939483565.58,13460306237.07,,,,,,,,,130010809.2,1272224103.81,305233541.73,724942934.48,46765939.29,79994828.67,,4101392.92,-230579.51,,,,1139796.04,,,,290920339.03,-189367577.22,-46887812.19,,384313.82,2028252138.12,6346693.5,,11240929.86,,2023357901.76,144635732.74,,1878722169.02,1878722169.02,,1877565481.01,,1156688.01,8715558.68,8852951.22,-806055.46,,,-806055.46,,9659006.68,,,,,,,,,9659006.68,,-137392.54,1887437727.7,1886418432.23,1019295.47,3.66,3.66,定期报告,是,20260313,CNY,合并期末,2025-03-12T19:22:06
20240930,13049497746.78,13049497746.78,,,,,,11474635170.84,9668758119.76,,,,,,,,,103760117.02,924024241.08,217340725.26,488026695.38,72725272.34,57885223.4,,5042460.77,-169640.88,,,,2670300.55,,,,226064820.67,-166843751.24,-41236562.9,,685889.63,1601245733.42,2879970.98,,4406777.19,,1599718927.21,111742364.39,,1487976562.82,1487976562.82,,1488055070.66,,-78507.84,9701085.34,9713540.04,,,,,,9713540.04,,,,,,,,,9713540.04,,-12454.7,1497677648.16,1497768610.7,-90962.54,2.9,2.9,定期报告,未审计,20251030,CNY,合并期末,2024-10-28T19:02:03
20240630,8321016212.48,8321016212.48,,,,,,7285848030.75,6141077086.1,,,,,,,,,66692770.8,639435845.38,136092987.36,311271662.99,-8722321.88,37971672.21,,2902995.9,-114342.42,,,,3313707.12,,,,184131561.53,-120211681.38,-28824830.5,,-1380990.2,1075098944.2,917596.35,,1725522.43,,1074291018.12,87122671.22,,987168346.9,987168346.9,,987300206.62,,-131859.72,10681.87,88655.13,,,,,,88655.13,,,,,,,,,88655.13,,-77973.26,987179028.77,987388861.75,-209832.98,1.93,1.93,定期报告,未审计,20250828,CNY,合并期末,2024-08-27T19:42:04
20240331,3961013853.78,3961013853.78,,,,,,3531348808.14,2963214875.41,,,,,,,,,30308086.89,337678460.65,69009884.97,144116551.57,-12979051.35,17955300.62,,181108.14,-53797.52,,,,2525941.64,,,,65376970.55,-82301469.12,-7583021.5,,-293426.99,407571148.36,277712.32,,1068103.05,,406780757.63,27508733.79,,379272023.84,379272023.84,,379571805.82,,-299781.98,-605963.44,-535802.68,,,,,,-535802.68,,,,,,,,,-535802.68,,-70160.76,378666060.4,379036003.14,-369942.74,0.74,0.74,定期报告,未审计,20250424,CNY,合并期末,2024-04-15T20:32:02
20231231,13526425962.45,13526425962.45,,,,,,12433948057.14,10356704502.81,,,,,,,,,102656668.84,1073151863.41,269634764.5,600502158.1,31298099.48,65944870.23,,1067380.79,-232308.09,,,,3562631.62,,,,487450662.76,-152021109.17,-32781588.21,,-2247442.25,1397508440.85,4729261.58,,3960673.19,,1398277029.24,651546.41,,1397625482.83,1397625482.83,,1398114737.36,,-489254.53,10880892.17,10690965.65,10034584.75,,,10034584.75,,656380.9,,,,,,,,,656380.9,,189926.52,1408506375.0,1408805703.01,-299328.01,2.73,2.73,定期报告,是,20250313,CNY,合并期末,2024-03-14T20:32:03
