报告日,营业收入,已赚保费,其中:保险业务收入,其中:分保费收入,减:分出保费,提取未到期责任准备金,银行业务利息净收入,银行业务利息收入,银行业务利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,资产管理费收入,投资收益,对联营企业和合营企业的投资损失,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,汇兑收益,其他业务收入,资产处置收益,其他收益,营业支出,退保金,赔付支出,减:摊回赔付支出,提取保险责任准备金,减:摊回保险责任准备金,保单红利支出,分保费用,手续费及佣金净支出(保险业务),营业税金及附加,业务及管理费,财务费用,研发费用,减:摊回分保费用,资产减值损失,信用减值损失,其他资产减值损失,其他业务成本,营业利润,加:营业外收入,减:营业外支出,利润总额,减:所得税费用,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,年初未分配利润,其他因素调整,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划净负债或净资产的变动,权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下在被投资单位以后将重分类进损益的其他综合收益中享有的份额,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,93291000000.0,54796000000.0,54796000000.0,,,,32898000000.0,32898000000.0,1095000000.0,,,,,45507000000.0,2057000000.0,,,-42862000000.0,-136000000.0,3000000000.0,,88000000.0,73761000000.0,,29695000000.0,749000000.0,,,,,397000000.0,484000000.0,1689000000.0,,,,,23000000.0,,2261000000.0,19530000000.0,7000000.0,71000000.0,19466000000.0,-608000000.0,20074000000.0,20074000000.0,,19505000000.0,569000000.0,,,-16485000000.0,-16454000000.0,-1457000000.0,,673000000.0,-1868000000.0,,-14997000000.0,189000000.0,,-10432000000.0,,-38000000.0,,,,-5000000.0,,-31000000.0,3589000000.0,3051000000.0,538000000.0,0.69,0.69,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T16:54:02
20251231,615678000000.0,214136000000.0,214136000000.0,,,,128286000000.0,128286000000.0,4158000000.0,,,,,198457000000.0,6353000000.0,,,63307000000.0,-340000000.0,11637000000.0,53000000.0,142000000.0,433680000000.0,,148736000000.0,5248000000.0,,,,,1787000000.0,2136000000.0,8107000000.0,,,,,151000000.0,3275000000.0,6625000000.0,181998000000.0,47000000.0,416000000.0,181629000000.0,25077000000.0,156552000000.0,156552000000.0,,154078000000.0,2474000000.0,362377000000.0,,-49553000000.0,-49472000000.0,665000000.0,,909000000.0,-321000000.0,,-50137000000.0,-2488000000.0,,-118174000000.0,,68000000.0,,,,383000000.0,,-81000000.0,106999000000.0,104606000000.0,2393000000.0,5.45,5.45,定期报告,是,20260326,CNY,合并期末,2026-03-25T18:34:04
20250930,537895000000.0,161409000000.0,161409000000.0,,,,92149000000.0,95099000000.0,2950000000.0,,,,,137075000000.0,10370000000.0,,,136405000000.0,-280000000.0,8059000000.0,,128000000.0,332941000000.0,,95680000000.0,3678000000.0,,,,,1275000000.0,1342000000.0,5450000000.0,,,,,67000000.0,,4397000000.0,204954000000.0,25000000.0,264000000.0,204715000000.0,34935000000.0,169780000000.0,,,167804000000.0,1976000000.0,,,-32607000000.0,-32576000000.0,-3147000000.0,,-791000000.0,-2314000000.0,,-29429000000.0,-2241000000.0,,-95580000000.0,,53000000.0,,,,598000000.0,,-31000000.0,137173000000.0,135228000000.0,1945000000.0,5.94,5.94,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T17:52:06
20250630,239235000000.0,106874000000.0,106874000000.0,,,,60679000000.0,62687000000.0,2008000000.0,,,,,63677000000.0,6706000000.0,,,1029000000.0,-234000000.0,5077000000.0,4000000.0,121000000.0,196724000000.0,,88202000000.0,2294000000.0,,,,,849000000.0,812000000.0,3649000000.0,,,,,-34000000.0,,3084000000.0,42511000000.0,19000000.0,159000000.0,42371000000.0,415000000.0,41956000000.0,41956000000.0,,40931000000.0,1025000000.0,362377000000.0,,-14585000000.0,-14630000000.0,5519000000.0,,967000000.0,5364000000.0,,-20149000000.0,-1149000000.0,,19574000000.0,,88000000.0,,,,431000000.0,,45000000.0,27371000000.0,26301000000.0,1070000000.0,1.45,1.45,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T17:58:03
20250331,110177000000.0,54211000000.0,54211000000.0,,,,30900000000.0,30900000000.0,1100000000.0,,,,,25179000000.0,3328000000.0,,,-2434000000.0,-199000000.0,2445000000.0,2000000.0,73000000.0,77508000000.0,,27583000000.0,751000000.0,,,,,426000000.0,289000000.0,1610000000.0,,,,,-83000000.0,,1312000000.0,32669000000.0,10000000.0,92000000.0,32587000000.0,3314000000.0,29273000000.0,29273000000.0,,28802000000.0,471000000.0,,,-6021000000.0,-6016000000.0,1657000000.0,,12000000.0,1971000000.0,,-7673000000.0,-1620000000.0,,-47046000000.0,,13000000.0,,,,177000000.0,,-5000000.0,23252000000.0,22786000000.0,466000000.0,1.02,1.02,定期报告,未审计,20260430,CNY,合并期末,2025-04-30T04:22:03
20241231,528567000000.0,208161000000.0,208161000000.0,,,,116758000000.0,120958000000.0,4200000000.0,,,,,70378000000.0,12077000000.0,,,118160000000.0,-25000000.0,10704000000.0,88000000.0,143000000.0,412967000000.0,,180544000000.0,5449000000.0,,,,,1798000000.0,1430000000.0,7378000000.0,,,,,-207000000.0,1611000000.0,7310000000.0,115600000000.0,35000000.0,422000000.0,115213000000.0,6273000000.0,108940000000.0,108940000000.0,,106935000000.0,2005000000.0,283133000000.0,,-56687000000.0,-56770000000.0,6811000000.0,,554000000.0,6266000000.0,,-63581000000.0,3287000000.0,,219720000000.0,,-378000000.0,,,,-66000000.0,,83000000.0,52253000000.0,50165000000.0,2088000000.0,3.78,3.78,定期报告,是,20260326,CNY,合并期末,2025-03-26T18:17:04
20240930,427180000000.0,157849000000.0,157849000000.0,,,,86645000000.0,89587000000.0,2942000000.0,,,,,24754000000.0,8603000000.0,,,147655000000.0,-166000000.0,7380000000.0,27000000.0,94000000.0,303278000000.0,,120041000000.0,3776000000.0,,,,,1280000000.0,924000000.0,4509000000.0,,,,,-11000000.0,690000000.0,4845000000.0,123902000000.0,26000000.0,273000000.0,123655000000.0,17751000000.0,105904000000.0,105904000000.0,,104523000000.0,1381000000.0,,,-2723000000.0,-2776000000.0,4391000000.0,,234000000.0,4283000000.0,,-7167000000.0,1451000000.0,,132114000000.0,,-143000000.0,,,,-69000000.0,,53000000.0,103181000000.0,101747000000.0,1434000000.0,3.7,3.7,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T18:32:02
20240630,234216000000.0,106622000000.0,106622000000.0,,,,57262000000.0,59413000000.0,2151000000.0,,,,,15269000000.0,6311000000.0,,,47778000000.0,1000000.0,5042000000.0,12000000.0,79000000.0,186147000000.0,,83822000000.0,2352000000.0,,,,,865000000.0,693000000.0,2917000000.0,,,,,146000000.0,,3285000000.0,48069000000.0,20000000.0,189000000.0,47900000000.0,8856000000.0,39044000000.0,39044000000.0,,38278000000.0,766000000.0,283133000000.0,,-9331000000.0,-9386000000.0,5873000000.0,,160000000.0,6262000000.0,,-15259000000.0,801000000.0,,104320000000.0,,-84000000.0,,,,-70000000.0,,55000000.0,29713000000.0,28892000000.0,821000000.0,1.35,1.35,定期报告,未审计,20250828,CNY,合并期末,2024-08-29T20:12:02
20240331,120970000000.0,53773000000.0,53773000000.0,,,,28495000000.0,29877000000.0,1382000000.0,,,,,5464000000.0,2706000000.0,,,29461000000.0,22000000.0,2300000000.0,1000000.0,72000000.0,94102000000.0,,41021000000.0,713000000.0,,,,,438000000.0,223000000.0,1344000000.0,,,,,190000000.0,,1196000000.0,26868000000.0,11000000.0,108000000.0,26771000000.0,5750000000.0,21021000000.0,21021000000.0,,20644000000.0,377000000.0,,,-17334000000.0,-17358000000.0,2748000000.0,,24000000.0,2980000000.0,,-20106000000.0,617000000.0,,64811000000.0,,-4000000.0,,,,,,24000000.0,3687000000.0,3286000000.0,401000000.0,0.73,0.73,定期报告,未审计,20250430,CNY,合并期末,2025-04-30T04:26:02
20231231,405040000000.0,212445000000.0,212445000000.0,,7995000000.0,1244000000.0,,,,,,,,178297000000.0,8493000000.0,,,4170000000.0,-381000000.0,10292000000.0,73000000.0,144000000.0,352689000000.0,48740000000.0,150353000000.0,4438000000.0,407211000000.0,287000000.0,11695000000.0,,1731000000.0,1413000000.0,6307000000.0,,,728000000.0,53001000000.0,,,12786000000.0,52351000000.0,94000000.0,457000000.0,51988000000.0,-719000000.0,52707000000.0,52707000000.0,,51184000000.0,1523000000.0,238723000000.0,,-76069000000.0,-75951000000.0,752000000.0,,752000000.0,,,-76703000000.0,-458000000.0,-24020000000.0,,,,,,,325000000.0,,-118000000.0,-23362000000.0,-24767000000.0,1405000000.0,1.81,1.81,定期报告,是,20250327,CNY,合并期末,2024-03-27T19:32:02
