date,value
2023-01-01,94.39
2023-02-01,94.59
2023-03-01,94.63
2023-04-01,94.69
2023-05-01,94.48
2023-06-01,93.99
2023-07-01,93.71
2023-08-01,93.49
2023-09-01,93.37
2023-10-01,93.34
2023-11-01,93.35
2023-12-01,93.29
2024-01-01,92.19
2024-02-01,91.92
2024-03-01,91.86
2024-04-01,91.8
2024-05-01,91.91
2024-06-01,91.99
2024-07-01,92.11
2024-08-01,92.24
2024-09-01,92.31
2024-10-01,92.38
2024-11-01,92.51
2024-12-01,92.55
2025-01-01,93.26
2025-02-01,93.71
2025-03-01,93.89
2025-04-01,93.79
2025-05-01,93.66
2025-06-01,93.55
2025-07-01,93.3
2025-08-01,93.03
2025-09-01,92.76
2025-10-01,92.42
2025-11-01,91.89
2025-12-01,91.45
