date,exports,imports
1970-01-01 00:00:00.064894649,-25.7,16.96273999
1970-01-01 00:00:00.080379283,-40.6,-9.27163366
1970-01-01 00:00:00.087367796,6.5,-12.59926107
1970-01-01 00:00:00.088757886,-26.4,-4.35322922
1970-01-01 00:00:00.090290547,-17.1,19.44170328
1970-01-01 00:00:00.090453600,-17.5,-28.86358302
1970-01-01 00:00:00.091934722,-22.6,9.85732962
1970-01-01 00:00:00.094522714,45.7,-8.81017119
1970-01-01 00:00:00.095512025,-21.3,15.66516636
1970-01-01 00:00:00.096736124,2.4,-27.88527822
1970-01-01 00:00:00.103707009,-23.4,-7.16880178
1970-01-01 00:00:00.105420240,-23.0,8.7346105
1970-01-01 00:00:00.108962891,30.6,21.24393278
1970-01-01 00:00:00.109475299,21.0,-15.12699647
1970-01-01 00:00:00.109640030,26.6,-1.69470323
1970-01-01 00:00:00.110762383,-13.8,-15.7574727
1970-01-01 00:00:00.111157222,-2.8,-3.63201053
1970-01-01 00:00:00.112111793,24.3,37.32324786
1970-01-01 00:00:00.113653429,-1.2,8.97228985
1970-01-01 00:00:00.114052000,-18.1,-21.93710217
1970-01-01 00:00:00.114470693,18.4,18.98952715
1970-01-01 00:00:00.114987285,-2.2,-19.54094766
1970-01-01 00:00:00.115937994,-15.2,17.05846592
1970-01-01 00:00:00.118706686,21.8,6.77423331
1970-01-01 00:00:00.118848000,-2.4,-1.37466184
1970-01-01 00:00:00.119920666,30.5,-0.92890467
1970-01-01 00:00:00.120496491,28.1,-1.70860268
1970-01-01 00:00:00.121179554,17.2,-0.10582328
1970-01-01 00:00:00.121707000,-28.0,-16.87206234
1970-01-01 00:00:00.128327028,19.2,-13.05520219
1970-01-01 00:00:00.130723881,17.7,18.75338534
1970-01-01 00:00:00.131760663,48.5,-5.08435416
1970-01-01 00:00:00.134872675,21.1,-4.6847286
1970-01-01 00:00:00.135330170,-20.7,-26.32533348
1970-01-01 00:00:00.135978419,22.9,-15.04766002
1970-01-01 00:00:00.136432088,21.5,0.83517949
1970-01-01 00:00:00.136675046,26.9,11.19706345
1970-01-01 00:00:00.137395578,43.9,4.58529824
1970-01-01 00:00:00.139302230,34.4,2.12110678
1970-01-01 00:00:00.139304000,21.8,-21.84449553
1970-01-01 00:00:00.144235000,-15.1,30.63464995
1970-01-01 00:00:00.144985285,25.1,7.41547526
1970-01-01 00:00:00.145519322,38.1,-0.49823075
1970-01-01 00:00:00.149939113,-0.5,-22.46293352
1970-01-01 00:00:00.150734151,37.7,2.27149891
1970-01-01 00:00:00.152199071,35.8,46.1524967
1970-01-01 00:00:00.153325762,34.9,19.84995668
1970-01-01 00:00:00.154148895,17.9,8.15180815
1970-01-01 00:00:00.155098000,7.5,39.15218367
1970-01-01 00:00:00.155684084,29.9,-5.12772011
1970-01-01 00:00:00.157157191,19.4,-0.10595781
1970-01-01 00:00:00.157490772,15.9,-9.47503814
1970-01-01 00:00:00.161980774,17.9,-3.05462368
1970-01-01 00:00:00.163251712,4.9,-9.66015708
1970-01-01 00:00:00.165658100,8.9,9.83651262
1970-01-01 00:00:00.166689000,-5.3,-2.58011491
1970-01-01 00:00:00.168947000,48.2,-22.81998563
1970-01-01 00:00:00.169399000,-15.2,-31.16644038
1970-01-01 00:00:00.169673012,17.1,-0.25563598
1970-01-01 00:00:00.170002000,-6.6,18.58865035
1970-01-01 00:00:00.170549000,43.6,-23.63001032
1970-01-01 00:00:00.173315697,24.5,8.29291623
1970-01-01 00:00:00.173900000,-3.0,29.88832267
1970-01-01 00:00:00.174235000,-3.1,-9.29077095
1970-01-01 00:00:00.174464123,13.8,13.86773191
1970-01-01 00:00:00.174717651,13.4,-1.08737623
1970-01-01 00:00:00.175128036,20.4,2.81746458
1970-01-01 00:00:00.175571102,11.6,-9.55130965
1970-01-01 00:00:00.175710000,-6.9,3.18381443
1970-01-01 00:00:00.175902000,-6.6,0.6929205
1970-01-01 00:00:00.176605000,-6.8,0.30183316
1970-01-01 00:00:00.176836000,-7.9,-10.02657157
1970-01-01 00:00:00.176940032,1.0,2.22983585
