date,imports
1970-01-01 00:00:00.064894649,16.96273999
1970-01-01 00:00:00.080379283,-9.27163366
1970-01-01 00:00:00.087367796,-12.59926107
1970-01-01 00:00:00.088757886,-4.35322922
1970-01-01 00:00:00.090290547,19.44170328
1970-01-01 00:00:00.090453600,-28.86358302
1970-01-01 00:00:00.091934722,9.85732962
1970-01-01 00:00:00.094522714,-8.81017119
1970-01-01 00:00:00.095512025,15.66516636
1970-01-01 00:00:00.096736124,-27.88527822
1970-01-01 00:00:00.103707009,-7.16880178
1970-01-01 00:00:00.105420240,8.7346105
1970-01-01 00:00:00.108962891,21.24393278
1970-01-01 00:00:00.109475299,-15.12699647
1970-01-01 00:00:00.109640030,-1.69470323
1970-01-01 00:00:00.110762383,-15.7574727
1970-01-01 00:00:00.111157222,-3.63201053
1970-01-01 00:00:00.112111793,37.32324786
1970-01-01 00:00:00.113653429,8.97228985
1970-01-01 00:00:00.114052000,-21.93710217
1970-01-01 00:00:00.114470693,18.98952715
1970-01-01 00:00:00.114987285,-19.54094766
1970-01-01 00:00:00.115937994,17.05846592
1970-01-01 00:00:00.118706686,6.77423331
1970-01-01 00:00:00.118848000,-1.37466184
1970-01-01 00:00:00.119920666,-0.92890467
1970-01-01 00:00:00.120496491,-1.70860268
1970-01-01 00:00:00.121179554,-0.10582328
1970-01-01 00:00:00.121707000,-16.87206234
1970-01-01 00:00:00.128327028,-13.05520219
1970-01-01 00:00:00.130723881,18.75338534
1970-01-01 00:00:00.131760663,-5.08435416
1970-01-01 00:00:00.134872675,-4.6847286
1970-01-01 00:00:00.135330170,-26.32533348
1970-01-01 00:00:00.135978419,-15.04766002
1970-01-01 00:00:00.136432088,0.83517949
1970-01-01 00:00:00.136675046,11.19706345
1970-01-01 00:00:00.137395578,4.58529824
1970-01-01 00:00:00.139302230,2.12110678
1970-01-01 00:00:00.139304000,-21.84449553
1970-01-01 00:00:00.144235000,30.63464995
1970-01-01 00:00:00.144985285,7.41547526
1970-01-01 00:00:00.145519322,-0.49823075
1970-01-01 00:00:00.149939113,-22.46293352
1970-01-01 00:00:00.150734151,2.27149891
1970-01-01 00:00:00.152199071,46.1524967
1970-01-01 00:00:00.153325762,19.84995668
1970-01-01 00:00:00.154148895,8.15180815
1970-01-01 00:00:00.155098000,39.15218367
1970-01-01 00:00:00.155684084,-5.12772011
1970-01-01 00:00:00.157157191,-0.10595781
1970-01-01 00:00:00.157490772,-9.47503814
1970-01-01 00:00:00.161980774,-3.05462368
1970-01-01 00:00:00.163251712,-9.66015708
1970-01-01 00:00:00.165658100,9.83651262
1970-01-01 00:00:00.166689000,-2.58011491
1970-01-01 00:00:00.168947000,-22.81998563
1970-01-01 00:00:00.169399000,-31.16644038
1970-01-01 00:00:00.169673012,-0.25563598
1970-01-01 00:00:00.170002000,18.58865035
1970-01-01 00:00:00.170549000,-23.63001032
1970-01-01 00:00:00.173315697,8.29291623
1970-01-01 00:00:00.173900000,29.88832267
1970-01-01 00:00:00.174235000,-9.29077095
1970-01-01 00:00:00.174464123,13.86773191
1970-01-01 00:00:00.174717651,-1.08737623
1970-01-01 00:00:00.175128036,2.81746458
1970-01-01 00:00:00.175571102,-9.55130965
1970-01-01 00:00:00.175710000,3.18381443
1970-01-01 00:00:00.175902000,0.6929205
1970-01-01 00:00:00.176605000,0.30183316
1970-01-01 00:00:00.176836000,-10.02657157
1970-01-01 00:00:00.176940032,2.22983585
1970-01-01 00:00:00.177763000,-9.76740918
1970-01-01 00:00:00.177973297,-0.31657001
1970-01-01 00:00:00.179248000,20.61377488
1970-01-01 00:00:00.179380767,11.30335622
1970-01-01 00:00:00.180204470,-8.59329676
1970-01-01 00:00:00.180273000,-22.34849826
1970-01-01 00:00:00.180659000,0.79992686
1970-01-01 00:00:00.181140762,12.16431825
1970-01-01 00:00:00.182102000,47.08652811
1970-01-01 00:00:00.182680000,-3.88446274
1970-01-01 00:00:00.183440000,3.08215722
1970-01-01 00:00:00.184571998,15.61526027
1970-01-01 00:00:00.185294000,-9.55734053
1970-01-01 00:00:00.185313000,5.05115208
1970-01-01 00:00:00.185915000,14.4174242
1970-01-01 00:00:00.186349509,4.8692091
1970-01-01 00:00:00.186756000,-2.82071073
1970-01-01 00:00:00.186931000,-7.88981902
1970-01-01 00:00:00.187288000,-5.01949914
1970-01-01 00:00:00.187903000,-11.46939326
1970-01-01 00:00:00.188450000,4.79517581
1970-01-01 00:00:00.188800000,-7.74696744
1970-01-01 00:00:00.188831000,4.85367918
