date,value
1970-01-01 00:00:00.000009077,21.2
1970-01-01 00:00:00.000010756,18.5
1970-01-01 00:00:00.000012718,14.0
1970-01-01 00:00:00.000015249,19.9
1970-01-01 00:00:00.000017432,20.2
1970-01-01 00:00:00.000020080,15.2
1970-01-01 00:00:00.000025052,17.9
1970-01-01 00:00:00.000025555,20.6
1970-01-01 00:00:00.000029018,15.8301
1970-01-01 00:00:00.000029398,15.0
1970-01-01 00:00:00.000033668,14.699
1970-01-01 00:00:00.000033697,21.0
1970-01-01 00:00:00.000036374,17.9
1970-01-01 00:00:00.000037809,12.29986468
1970-01-01 00:00:00.000038741,15.0
1970-01-01 00:00:00.000042280,11.8245752
1970-01-01 00:00:00.000042400,21.1
1970-01-01 00:00:00.000042921,16.335
1970-01-01 00:00:00.000047884,18.1
1970-01-01 00:00:00.000047992,10.71421993
1970-01-01 00:00:00.000048769,15.0
1970-01-01 00:00:00.000049318,14.8428
1970-01-01 00:00:00.000051042,21.4
1970-01-01 00:00:00.000052129,-20.5
1970-01-01 00:00:00.000052910,10.2
1970-01-01 00:00:00.000055451,12.3953
1970-01-01 00:00:00.000056570,16.5238
1970-01-01 00:00:00.000057959,9.5
1970-01-01 00:00:00.000058711,15.0
1970-01-01 00:00:00.000059671,21.7
1970-01-01 00:00:00.000060339,18.1797
1970-01-01 00:00:00.000061081,9.7
1970-01-01 00:00:00.000062081,11.95686562
1970-01-01 00:00:00.000064921,14.6583
1970-01-01 00:00:00.000066064,8.2
1970-01-01 00:00:00.000068439,21.9
1970-01-01 00:00:00.000068647,15.0
1970-01-01 00:00:00.000069736,33.8
1970-01-01 00:00:00.000070715,10.56286028
1970-01-01 00:00:00.000071267,16.6012
1970-01-01 00:00:00.000072669,18.2
1970-01-01 00:00:00.000073051,12.5
1970-01-01 00:00:00.000074426,6.7
1970-01-01 00:00:00.000077067,3.5
1970-01-01 00:00:00.000077885,22.0
1970-01-01 00:00:00.000078024,10.3
1970-01-01 00:00:00.000078579,-19.0
1970-01-01 00:00:00.000078763,15.1
1970-01-01 00:00:00.000081306,5.5
1970-01-01 00:00:00.000081636,14.4802
1970-01-01 00:00:00.000081782,12.0
1970-01-01 00:00:00.000083730,4.0
1970-01-01 00:00:00.000084922,18.1676
1970-01-01 00:00:00.000085823,10.0
1970-01-01 00:00:00.000085832,16.784
1970-01-01 00:00:00.000086079,2.8
1970-01-01 00:00:00.000087968,22.0
1970-01-01 00:00:00.000089676,15.13808055
1970-01-01 00:00:00.000090275,9.8
1970-01-01 00:00:00.000091937,12.5744
1970-01-01 00:00:00.000093102,10.42758572
1970-01-01 00:00:00.000097492,18.2
1970-01-01 00:00:00.000097759,21.9
1970-01-01 00:00:00.000097789,8.3
1970-01-01 00:00:00.000098221,14.3552
1970-01-01 00:00:00.000100240,16.8
1970-01-01 00:00:00.000101393,15.26150299
1970-01-01 00:00:00.000102670,10.3
1970-01-01 00:00:00.000103032,12.1
1970-01-01 00:00:00.000105220,33.9
1970-01-01 00:00:00.000106757,-16.2
1970-01-01 00:00:00.000108487,21.6
1970-01-01 00:00:00.000108659,3.3
1970-01-01 00:00:00.000110764,12.6992
1970-01-01 00:00:00.000111028,18.3
1970-01-01 00:00:00.000112732,15.32
1970-01-01 00:00:00.000113101,10.2
1970-01-01 00:00:00.000114536,14.1807
1970-01-01 00:00:00.000114922,5.8
1970-01-01 00:00:00.000114945,16.9
1970-01-01 00:00:00.000117296,10.36611441
1970-01-01 00:00:00.000118817,9.7
1970-01-01 00:00:00.000120326,4.7
1970-01-01 00:00:00.000124198,12.1
1970-01-01 00:00:00.000124671,4.6
1970-01-01 00:00:00.000125313,18.3
1970-01-01 00:00:00.000125342,15.53632347
1970-01-01 00:00:00.000127695,2.4
1970-01-01 00:00:00.000128375,8.0
1970-01-01 00:00:00.000129277,12.7724
1970-01-01 00:00:00.000129280,10.2
1970-01-01 00:00:00.000130810,16.9664
1970-01-01 00:00:00.000131195,14.0609
1970-01-01 00:00:00.000138142,-0.2
1970-01-01 00:00:00.000138373,29.6
1970-01-01 00:00:00.000138730,-13.5
1970-01-01 00:00:00.000139224,18.4
1970-01-01 00:00:00.000141577,10.41161437
1970-01-01 00:00:00.000142561,10.3
1970-01-01 00:00:00.000144974,12.14208385
1970-01-01 00:00:00.000147357,16.9982
1970-01-01 00:00:00.000148163,12.84821026
1970-01-01 00:00:00.000149176,9.5
1970-01-01 00:00:00.000149422,14.1
1970-01-01 00:00:00.000149832,8.5
1970-01-01 00:00:00.000154553,18.4
1970-01-01 00:00:00.000156025,4.1
1970-01-01 00:00:00.000156138,10.3
1970-01-01 00:00:00.000161331,8.1
1970-01-01 00:00:00.000161845,4.7
1970-01-01 00:00:00.000163486,17.0247
1970-01-01 00:00:00.000164941,1.9
1970-01-01 00:00:00.000165915,10.42637618
1970-01-01 00:00:00.000166108,12.11139839
1970-01-01 00:00:00.000168355,14.1361
1970-01-01 00:00:00.000168817,12.90502211
1970-01-01 00:00:00.000171689,-1.5
1970-01-01 00:00:00.000172256,-11.4
1970-01-01 00:00:00.000172368,10.4
1970-01-01 00:00:00.000174318,25.7
1970-01-01 00:00:00.000180017,9.4
1970-01-01 00:00:00.000181225,17.1335
1970-01-01 00:00:00.000182965,10.3
1970-01-01 00:00:00.000186832,14.2
1970-01-01 00:00:00.000187636,9.3
1970-01-01 00:00:00.000189150,12.04486964
1970-01-01 00:00:00.000190308,12.95175056
1970-01-01 00:00:00.000190809,10.47398037
1970-01-01 00:00:00.000195209,8.4
1970-01-01 00:00:00.000195236,4.1
1970-01-01 00:00:00.000201978,10.4
1970-01-01 00:00:00.000203171,5.0
1970-01-01 00:00:00.000204458,-9.9
1970-01-01 00:00:00.000207166,14.3116
1970-01-01 00:00:00.000210431,-0.7
1970-01-01 00:00:00.000210505,10.3
1970-01-01 00:00:00.000210751,9.3
1970-01-01 00:00:00.000211320,13.02779678
1970-01-01 00:00:00.000211904,23.0
1970-01-01 00:00:00.000213118,11.98568356
1970-01-01 00:00:00.000216079,10.5
1970-01-01 00:00:00.000227587,8.2
1970-01-01 00:00:00.000228282,8.3
1970-01-01 00:00:00.000232308,10.4
1970-01-01 00:00:00.000234380,13.1
1970-01-01 00:00:00.000235969,3.7
1970-01-01 00:00:00.000236592,11.95934585
1970-01-01 00:00:00.000238029,-8.6
1970-01-01 00:00:00.000238481,10.4
1970-01-01 00:00:00.000242293,9.3
1970-01-01 00:00:00.000244358,10.57908948
1970-01-01 00:00:00.000245458,5.0
1970-01-01 00:00:00.000246301,-0.2
1970-01-01 00:00:00.000246829,20.7
1970-01-01 00:00:00.000262179,8.2
1970-01-01 00:00:00.000262394,11.95243642
1970-01-01 00:00:00.000263178,10.4
1970-01-01 00:00:00.000264348,7.3
1970-01-01 00:00:00.000269601,10.3
1970-01-01 00:00:00.000272296,10.63965348
1970-01-01 00:00:00.000273324,-7.2
1970-01-01 00:00:00.000273726,3.5
1970-01-01 00:00:00.000274299,9.3
1970-01-01 00:00:00.000281224,18.1
1970-01-01 00:00:00.000282559,0.5
1970-01-01 00:00:00.000284238,4.8
1970-01-01 00:00:00.000296674,8.2
1970-01-01 00:00:00.000297419,10.3
1970-01-01 00:00:00.000300559,10.4
1970-01-01 00:00:00.000300930,10.7
1970-01-01 00:00:00.000302281,7.0
1970-01-01 00:00:00.000309833,9.2
1970-01-01 00:00:00.000311900,-5.9
1970-01-01 00:00:00.000312451,3.4
1970-01-01 00:00:00.000318057,16.4
1970-01-01 00:00:00.000320304,0.7
1970-01-01 00:00:00.000323906,4.6
1970-01-01 00:00:00.000331527,10.3
1970-01-01 00:00:00.000332316,10.4
1970-01-01 00:00:00.000334778,8.1
1970-01-01 00:00:00.000342107,6.8
1970-01-01 00:00:00.000345093,9.1
1970-01-01 00:00:00.000351414,-4.8
1970-01-01 00:00:00.000353564,3.3
1970-01-01 00:00:00.000358511,14.9
1970-01-01 00:00:00.000360575,0.6
1970-01-01 00:00:00.000365877,4.5
1970-01-01 00:00:00.000366261,10.2
1970-01-01 00:00:00.000372872,8.0
1970-01-01 00:00:00.000380986,9.0
1970-01-01 00:00:00.000385440,6.9
1970-01-01 00:00:00.000391980,-3.9
1970-01-01 00:00:00.000398960,3.5
1970-01-01 00:00:00.000399190,-0.1
1970-01-01 00:00:00.000399554,13.7
1970-01-01 00:00:00.000411649,8.0
1970-01-01 00:00:00.000412169,4.3
1970-01-01 00:00:00.000427945,7.2
1970-01-01 00:00:00.000439732,-0.2
1970-01-01 00:00:00.000440823,12.5
1970-01-01 00:00:00.000442723,3.5
1970-01-01 00:00:00.000456067,4.0
1970-01-01 00:00:00.000471495,7.2
1970-01-01 00:00:00.000487894,3.5
1970-01-01 00:00:00.000501202,3.7
