date,item,value
202203,全国城镇本地户籍劳动力失业率 ,5.6
202204,全国城镇25—59岁劳动力失业率 ,5.3
202204,全国城镇外来户籍劳动力失业率 ,6.9
202204,全国城镇本地户籍劳动力失业率 ,5.7
202204,全国城镇调查失业率 ,6.1
202205,全国城镇本地户籍劳动力失业率 ,5.5
202205,全国城镇调查失业率 ,5.9
202205,全国城镇25—59岁劳动力失业率 ,5.1
202205,全国城镇外来户籍劳动力失业率 ,6.6
202206,全国城镇25—59岁劳动力失业率 ,4.5
202206,全国城镇外来户籍劳动力失业率 ,5.8
202206,全国城镇本地户籍劳动力失业率 ,5.3
202206,全国城镇调查失业率 ,5.5
202207,全国城镇25—59岁劳动力失业率 ,4.3
202207,全国城镇外来户籍劳动力失业率 ,5.5
202207,全国城镇本地户籍劳动力失业率 ,5.3
202207,全国城镇调查失业率 ,5.4
202208,全国城镇外来户籍劳动力失业率 ,5.3
202208,全国城镇调查失业率 ,5.3
202208,全国城镇25—59岁劳动力失业率 ,4.3
202208,全国城镇本地户籍劳动力失业率 ,5.3
202209,全国城镇调查失业率 ,5.5
202209,全国城镇25—59岁劳动力失业率 ,4.7
202209,全国城镇外来户籍劳动力失业率 ,5.6
202209,全国城镇本地户籍劳动力失业率 ,5.4
202210,全国城镇25—59岁劳动力失业率 ,4.7
202210,全国城镇外来户籍劳动力失业率 ,5.7
202210,全国城镇本地户籍劳动力失业率 ,5.4
202210,全国城镇调查失业率 ,5.5
202211,全国城镇25—59岁劳动力失业率 ,5.0
202211,全国城镇外来户籍劳动力失业率 ,6.2
202211,全国城镇本地户籍劳动力失业率 ,5.5
202211,全国城镇调查失业率 ,5.7
202212,全国城镇25—59岁劳动力失业率 ,4.8
202212,全国城镇外来户籍劳动力失业率 ,5.7
202212,全国城镇本地户籍劳动力失业率 ,5.4
202212,全国城镇调查失业率 ,5.5
202301,全国城镇调查失业率 ,5.5
202301,全国城镇本地户籍劳动力失业率 ,5.4
202301,全国城镇外来户籍劳动力失业率 ,5.6
202301,全国城镇25—59岁劳动力失业率 ,4.7
202302,全国城镇25—59岁劳动力失业率 ,4.8
202302,全国城镇外来户籍劳动力失业率 ,5.9
202302,全国城镇本地户籍劳动力失业率 ,5.4
202302,全国城镇调查失业率 ,5.6
202303,全国城镇25—59岁劳动力失业率 ,4.3
202303,全国城镇外来户籍劳动力失业率 ,5.6
202303,全国城镇本地户籍劳动力失业率 ,5.1
202303,全国城镇调查失业率 ,5.3
202304,全国城镇25—59岁劳动力失业率 ,4.2
202304,全国城镇外来户籍劳动力失业率 ,5.4
202304,全国城镇本地户籍劳动力失业率 ,5.1
202304,全国城镇调查失业率 ,5.2
202305,全国城镇调查失业率 ,5.2
202305,全国城镇外来户籍劳动力失业率 ,5.4
202305,全国城镇25—59岁劳动力失业率 ,4.1
202305,全国城镇本地户籍劳动力失业率 ,5.1
202306,全国城镇25—59岁劳动力失业率 ,4.1
202306,全国城镇外来户籍劳动力失业率 ,5.3
202306,全国城镇本地户籍劳动力失业率 ,5.1
202306,全国城镇调查失业率 ,5.2
202307,全国城镇外来户籍劳动力失业率 ,5.2
202307,全国城镇本地户籍劳动力失业率 ,5.3
202307,全国城镇调查失业率 ,5.3
202308,全国城镇外来户籍劳动力失业率 ,4.8
202308,全国城镇本地户籍劳动力失业率 ,5.3
202308,全国城镇调查失业率 ,5.2
202309,全国城镇外来户籍劳动力失业率 ,4.9
202309,全国城镇本地户籍劳动力失业率 ,5.1
202309,全国城镇调查失业率 ,5.0
202310,全国城镇调查失业率 ,5.0
202310,全国城镇外来户籍劳动力失业率 ,4.9
202310,全国城镇本地户籍劳动力失业率 ,5.0
202311,全国城镇外来户籍劳动力失业率 ,4.7
202311,全国城镇本地户籍劳动力失业率 ,5.1
202311,全国城镇调查失业率 ,5.0
202312,全国城镇外来户籍劳动力失业率 ,4.7
202312,全国城镇本地户籍劳动力失业率 ,5.2
202312,全国城镇调查失业率 ,5.1
202401,全国城镇调查失业率 ,5.2
202401,全国城镇本地户籍劳动力失业率 ,5.4
202401,全国城镇外来户籍劳动力失业率 ,4.7
202402,全国城镇外来户籍劳动力失业率 ,4.8
202402,全国城镇本地户籍劳动力失业率 ,5.5
202402,全国城镇调查失业率 ,5.3
202403,全国城镇外来户籍劳动力失业率 ,5.1
202403,全国城镇本地户籍劳动力失业率 ,5.3
202403,全国城镇调查失业率 ,5.2
202404,全国城镇调查失业率 ,5.0
202404,全国城镇外来户籍劳动力失业率 ,4.9
202404,全国城镇本地户籍劳动力失业率 ,5.1
202405,全国城镇本地户籍劳动力失业率 ,5.1
202405,全国城镇调查失业率 ,5.0
202405,全国城镇外来户籍劳动力失业率 ,4.7
202406,全国城镇外来户籍劳动力失业率 ,4.8
202406,全国城镇本地户籍劳动力失业率 ,5.0
202406,全国城镇调查失业率 ,5.0
202407,全国城镇外来户籍劳动力失业率 ,5.1
202407,全国城镇本地户籍劳动力失业率 ,5.2
202407,全国城镇调查失业率 ,5.2
202408,全国城镇外来户籍劳动力失业率 ,4.9
202408,全国城镇本地户籍劳动力失业率 ,5.4
202408,全国城镇调查失业率 ,5.3
202409,全国城镇外来户籍劳动力失业率 ,4.8
202409,全国城镇本地户籍劳动力失业率 ,5.2
202409,全国城镇调查失业率 ,5.1
202410,全国城镇调查失业率 ,5.0
202410,全国城镇外来户籍劳动力失业率 ,4.8
202410,全国城镇本地户籍劳动力失业率 ,5.1
202411,全国城镇本地户籍劳动力失业率 ,5.2
