datetime,intraday_ret
2023-09-01,0.01682312786579132
2023-09-04,0.016696706372990144
2023-09-05,0.011814669447713921
2023-09-06,0.008333983983997761
2023-09-07,0.014927228125585668
2023-09-08,0.006916826576717661
2023-09-11,0.007944930386506677
2023-09-12,0.004495092144386703
2023-09-13,0.019372433309100767
2023-09-14,0.016588422856806506
2023-09-15,0.010752438183028401
2023-09-18,-0.0021881196200028707
2023-09-19,0.003273326897725637
2023-09-20,0.004460461766412349
2023-09-21,0.002184652958585609
2023-09-22,-0.01637433951197187
2023-09-25,-0.017406288180298546
2023-09-26,-0.022919570996271732
2023-09-27,-0.02864479413591725
2023-09-28,-0.02286260254056005
2023-10-09,-0.02294038658507591
2023-10-10,-0.028144594726658978
2023-10-11,-0.03515253309529498
2023-10-12,-0.035100727352410876
2023-10-13,-0.027958350127530007
2023-10-16,-0.023617701088962884
2023-10-17,-0.01672686277903801
2023-10-18,-0.025036290182406606
2023-10-19,-0.031033857156347766
2023-10-20,-0.043024299105046016
2023-10-23,-0.05103565137466737
2023-10-24,-0.051742033332019655
2023-10-25,-0.04972284911144975
2023-10-26,-0.061457887898744845
2023-10-27,-0.0378479727591442
2023-10-30,-0.045315544179404865
2023-10-31,-0.0420432399589431
2023-11-01,-0.03070702875894271
2023-11-02,-0.0464791696136827
2023-11-03,-0.016346056155120636
2023-11-06,-0.015894713130420346
2023-11-07,-0.018500290783883155
2023-11-08,-0.020579681732177724
2023-11-09,-0.024248892498051844
2023-11-10,-0.028467249246849402
2023-11-13,-0.027257668771806465
2023-11-14,-0.03524035620621413
2023-11-15,-0.033221985459025105
2023-11-16,-0.03320271273305786
2023-11-17,-0.03255839069098854
2023-11-20,-0.04017915687627571
2023-11-21,-0.032345084894704446
2023-11-22,-0.037819232957758464
2023-11-23,-0.036595890709081424
2023-11-24,-0.026548489658692054
2023-11-27,-0.025668891055866006
2023-11-28,-0.025892034238860995
2023-11-29,-0.02201327342671644
2023-11-30,-0.01981636415145205
2023-12-01,-0.011703112536150195
2023-12-04,-0.006659318072002596
2023-12-05,-0.0013066429425870885
2023-12-06,-0.008930533896089554
2023-12-07,-0.0036388504498565677
2023-12-08,-0.008940003438757227
2023-12-11,-0.010008012200449112
2023-12-12,-0.008105367646137118
2023-12-13,-0.006311770839447783
2023-12-14,-0.013533500690713351
2023-12-15,-0.020042563114148315
2023-12-18,-0.026142159818814625
2023-12-19,-0.031233596270503372
2023-12-20,-0.03495756158161567
2023-12-21,-0.03333150668487472
2023-12-22,-0.029416847108399202
2023-12-25,-0.02760520125338506
2023-12-26,-0.035507908838605884
2023-12-27,-0.0798910441996038
2023-12-28,-0.0910503477782274
2023-12-29,-0.08323355704955504
2024-01-02,-0.06482054280289418
2024-01-03,-0.05054638255824573
2024-01-04,-0.03961033577312223
2024-01-05,-0.03003264350088164
2024-01-08,-0.026758619114094384
2024-01-09,-0.012914887245570772
2024-01-10,-0.00866790095855452
2024-01-11,-0.020478899754516222
2024-01-12,-0.018936519621188252
2024-01-15,-0.023876034899434462
2024-01-16,-0.018077889649997125
2024-01-17,-0.03315248864019005
2024-01-18,-0.04078912104688359
2024-01-19,-0.03439326695270639
2024-01-22,-0.05149168684100369
2024-01-23,-0.05349655645613893
2024-01-24,-0.030711028607342317
2024-01-25,-0.0212097699371544
2024-01-26,0.00838987943599423
2024-01-29,0.0164816476758336
2024-01-30,0.02616720508338899
2024-01-31,0.005173053856397658
2024-02-01,-0.013466558613961621
2024-02-02,0.01860697686147983
2024-02-05,-0.018227822257974924
2024-02-06,-0.008134727941856545
2024-02-07,-0.008627730582513427
2024-02-08,-0.018346636319819143
2024-02-19,-0.014100461029864397
2024-02-20,-0.029439219135843353
2024-02-21,-0.03970706129392976
2024-02-22,-0.034148625756899254
2024-02-23,-0.04185544445113809
2024-02-26,-0.020759396253366647
2024-02-27,-0.05166074155238609
2024-02-28,-0.08847783093932582
2024-02-29,-0.06925838882500146
2024-03-01,-0.0644446499028809
2024-03-04,-0.06113720057902705
2024-03-05,-0.07797625744368364
2024-03-06,-0.08680521654688311
2024-03-07,-0.10105994677750385
2024-03-08,-0.10860605791146427
2024-03-11,-0.07232873878294344
2024-03-12,-0.08123002899209064
2024-03-13,-0.08269003203035097
2024-03-14,-0.08525142452477819
2024-03-15,-0.08120125870645845
2024-03-18,-0.08967181540617097
2024-03-19,-0.0946289922712572
2024-03-20,-0.08804984959323181
2024-03-21,-0.0805545877197541
2024-03-22,-0.06989158733223189
2024-03-25,-0.06619655074862241
2024-03-26,-0.058652084642960345
2024-03-27,-0.07699419726533707
2024-03-28,-0.08118788306478841
2024-03-29,-0.09170466135843203
2024-04-01,-0.09451860824278335
2024-04-02,-0.0830585966628129
2024-04-03,-0.07794719910362591
2024-04-08,-0.09990231293033547
2024-04-09,-0.11781430314664176
2024-04-10,-0.11366275308038765
2024-04-11,-0.10673837222905291
2024-04-12,-0.10639497746358295
2024-04-15,-0.09019873696995762
2024-04-16,-0.10759478706142345
2024-04-17,-0.11171909964064608
2024-04-18,-0.11040269410436565
2024-04-19,-0.11559497933116458
2024-04-22,-0.10427672026814394
2024-04-23,-0.11266500570050886
2024-04-24,-0.12372460129816454
2024-04-25,-0.12874634636698812
2024-04-26,-0.10329670814977987
2024-04-29,-0.12028924948820341
2024-04-30,-0.1277114767997315
2024-05-06,-0.13069749394500296
2024-05-07,-0.13807997461789379
2024-05-08,-0.1506775175637658
2024-05-09,-0.15433687230141702
2024-05-10,-0.14074522774507614
2024-05-13,-0.1421836884353912
2024-05-14,-0.15321797946220417
2024-05-15,-0.14501872096422386
2024-05-16,-0.1297463890490369
2024-05-17,-0.1308776816437246
2024-05-20,-0.137762308672719
2024-05-21,-0.15070839870357744
2024-05-22,-0.15804141048083942
2024-05-23,-0.14908322708473432
2024-05-24,-0.14529902144624585
2024-05-27,-0.14052467185175355
2024-05-28,-0.14149696766092346
2024-05-29,-0.14597533925093786
2024-05-30,-0.1440368210352181
2024-05-31,-0.14657893070199024
2024-06-03,-0.14928993563751092
2024-06-04,-0.15386850384863404
2024-06-05,-0.1596750544942669
2024-06-06,-0.158114102503089
2024-06-07,-0.17567872841478627
2024-06-11,-0.18116809849200521
2024-06-12,-0.18039734351388692
2024-06-13,-0.18620624810129272
2024-06-14,-0.18729164052029568
2024-06-17,-0.1901284178594772
2024-06-18,-0.1883946314774796
2024-06-19,-0.17034310814550557
2024-06-20,-0.1722524745393259
2024-06-21,-0.1821527197075279
2024-06-24,-0.1746614047885654
2024-06-25,-0.19360432933182736
2024-06-26,-0.20309811774305986
2024-06-27,-0.1921098740855005
2024-06-28,-0.1831290490987998
2024-07-01,-0.18156877110399594
2024-07-02,-0.1797762966136176
2024-07-03,-0.18773181864777166
2024-07-04,-0.20089920302346775
2024-07-05,-0.2133288569212748
2024-07-08,-0.2133465557555153
2024-07-09,-0.2066826580447978
2024-07-10,-0.19971174363802824
2024-07-11,-0.20479660630284846
2024-07-12,-0.20879805896644077
2024-07-15,-0.21040741740566116
2024-07-16,-0.21451834131921588
2024-07-17,-0.21441442238232655
2024-07-18,-0.21601900757281278
2024-07-19,-0.21151693132575766
2024-07-22,-0.20871625074183342
2024-07-23,-0.19372352543331572
2024-07-24,-0.2100367735096198
2024-07-25,-0.2061976697417507
2024-07-26,-0.21892999876550068
2024-07-29,-0.22243154004614007
2024-07-30,-0.2166477660653613
2024-07-31,-0.23536154692153333
2024-08-01,-0.23018618940336866
2024-08-02,-0.22066952649597205
2024-08-05,-0.22730223226359236
2024-08-06,-0.22752502288906384
2024-08-07,-0.2311188957076835
2024-08-08,-0.23245818804965668
2024-08-09,-0.2311682345313556
2024-08-12,-0.23296956857651696
2024-08-13,-0.22937570029128918
2024-08-14,-0.22978266368509093
2024-08-15,-0.2311657289333553
2024-08-16,-0.22658800265916856
2024-08-19,-0.22300210882135985
2024-08-20,-0.2222817158263909
2024-08-21,-0.2187150362089113
2024-08-22,-0.21839913075417994
2024-08-23,-0.2184125587046205
2024-08-26,-0.21591190473847632
2024-08-27,-0.21909984596608267
2024-08-28,-0.21040095102164125
2024-08-29,-0.19146073882528203
2024-08-30,-0.21494736633092948
2024-09-02,-0.2306952914687619
2024-09-03,-0.22542291799467784
2024-09-04,-0.22451727977576508
2024-09-05,-0.227091177952768
2024-09-06,-0.23507149389463333
2024-09-09,-0.2337304656269572
2024-09-10,-0.2453792063553799
2024-09-11,-0.25205294646925036
2024-09-12,-0.2500458571865801
2024-09-13,-0.24788018739984474
2024-09-18,-0.24873980565266618
2024-09-19,-0.2504210032302423
2024-09-20,-0.24542668292730407
2024-09-23,-0.2500579933287751
2024-09-24,-0.25194958208772444
2024-09-25,-0.2543587813514273
2024-09-26,-0.2112657969684143
2024-09-27,-0.14867427636938246
2024-09-30,-0.06999504041584559
2024-10-08,-0.04918964055786801
2024-10-09,-0.08174182737772173
2024-10-10,-0.05793864699723472
2024-10-11,-0.05655839124819495
2024-10-14,-0.05427759280498101
2024-10-15,-0.04957802083462515
2024-10-16,-0.05394939618949934
2024-10-17,-0.053745742559475285
2024-10-18,-0.04336967724324503
2024-10-21,-0.043201377793624984
2024-10-22,-0.03619077312079366
2024-10-23,-0.049301609223710074
2024-10-24,-0.0763492998652402
2024-10-25,-0.07037432908068664
2024-10-28,-0.08027189833862636
2024-10-29,-0.08349738005952312
2024-10-30,-0.07766648454280844
2024-10-31,-0.08950858306533283
2024-11-01,-0.10098000125246842
2024-11-04,-0.0809044038408746
2024-11-05,-0.06989772977779407
2024-11-06,-0.06774753564277813
2024-11-07,-0.08460501369683093
2024-11-08,-0.05304981482078819
2024-11-11,-0.05526610277803157
2024-11-12,-0.059288029320948565
2024-11-13,-0.06100271338518626
2024-11-14,-0.03901803889262212
2024-11-15,-0.03580379469678474
2024-11-18,-0.058701621640785184
2024-11-19,-0.05690364987392149
2024-11-20,-0.052809752611008176
2024-11-21,-0.05426671252249793
2024-11-22,-0.0504313416771307
2024-11-25,-0.06015910355697052
2024-11-26,-0.06583403807709742
2024-11-27,-0.06995527809873225
2024-11-28,-0.07520814895790451
2024-11-29,-0.07365022701409984
2024-12-02,-0.08417815959137032
2024-12-03,-0.07353107402634396
2024-12-04,-0.08045713980343305
2024-12-05,-0.08287786695701915
2024-12-06,-0.07985316216923
2024-12-09,-0.08790588598152105
2024-12-10,-0.09105834127192303
2024-12-11,-0.09258866188252912
2024-12-12,-0.09589119685800818
2024-12-13,-0.09141458085788456
2024-12-16,-0.08876226807506238
2024-12-17,-0.09524905163405706
2024-12-18,-0.08406400938618397
2024-12-19,-0.0740328132414384
2024-12-20,-0.09926222122618678
2024-12-23,-0.1008288592986386
2024-12-24,-0.0993600700752314
2024-12-25,-0.09888626995434768
2024-12-26,-0.11371622273486093
2024-12-27,-0.11409867535175733
2024-12-30,-0.11430860907439422
2024-12-31,-0.09985320804919195
2025-01-02,-0.08442604734786441
2025-01-03,-0.080764222714513
2025-01-06,-0.08402474328621845
2025-01-07,-0.09104834090829361
2025-01-08,-0.09602909713172447
2025-01-09,-0.0952449409807421
2025-01-10,-0.10403734302766432
2025-01-13,-0.10151903842290944
2025-01-14,-0.11279933764889083
