date,open,close,high,low,amount
2022-01-04,2658.04,2757.14,2772.99,2645.16,1947202.02
2022-01-05,2751.19,2824.52,2868.12,2744.25,1930457.91
2022-01-06,2819.56,2812.63,2873.08,2786.86,1380274.06
2022-01-07,2845.33,2895.87,2952.35,2842.36,2262768.05
2022-01-10,2886.95,2922.62,2972.17,2863.17,1527796.63
2022-01-11,2917.67,2936.5,3014.78,2885.96,1702651.25
2022-01-12,2921.63,2911.72,2937.49,2858.21,1268955.94
2022-01-13,2906.77,2860.19,2934.52,2854.25,912867.31
2022-01-14,2866.14,2777.95,2877.04,2774.97,1047251.79
2022-01-17,2773.98,2794.79,2829.47,2773.98,626021.07
2022-01-18,2802.72,2866.14,2896.86,2793.8,1067236.95
2022-01-19,2886.95,2896.86,2936.5,2857.22,1191762.73
2022-01-20,2905.78,2917.67,2966.23,2896.86,1592019.4
2022-01-21,2898.84,2871.09,2913.71,2857.22,791295.54
2022-01-24,2866.14,2877.04,2906.77,2832.45,813584.2
2022-01-25,2867.13,2789.84,2875.06,2780.92,1063176.55
2022-01-26,2806.68,2780.92,2818.57,2758.13,677404.14
2022-01-27,2761.1,2752.18,2797.76,2732.36,991858.05
2022-01-28,2768.04,2741.28,2792.81,2734.34,858900.22
2022-02-07,2761.1,2798.75,2809.66,2732.36,937564.3
2022-02-08,2788.85,2795.78,2816.59,2748.22,816508.1
2022-02-09,2789.84,2758.13,2839.38,2749.21,1369156.44
2022-02-10,2750.2,2792.81,2826.5,2698.67,1409923.2
2022-02-11,2807.67,2825.51,2875.06,2807.67,1491118.45
2022-02-14,2802.72,2732.36,2802.72,2728.4,1268866.99
2022-02-15,2733.35,2689.75,2740.29,2679.84,1140320.47
2022-02-16,2695.7,2708.58,2724.43,2682.81,706489.87
2022-02-17,2705.61,2688.76,2705.61,2664.98,773035.3
2022-02-18,2678.85,2756.14,2762.09,2678.85,1372710.76
2022-02-21,2738.31,2777.95,2798.75,2718.49,933373.88
2022-02-22,2759.12,2772.0,2801.73,2748.22,867772.61
2022-02-23,2772.99,2734.34,2776.95,2710.56,916918.68
2022-02-24,2723.44,2692.72,2746.23,2668.94,879794.39
2022-02-25,2703.62,2662.0,2711.55,2654.08,893969.82
2022-02-28,2659.03,2629.3,2659.03,2608.49,861954.07
2022-03-01,2630.29,2647.14,2652.09,2619.39,815805.63
2022-03-02,2650.11,2641.19,2675.88,2620.38,892095.07
2022-03-03,2644.17,2658.04,2681.82,2643.18,1319038.4
2022-03-04,2639.21,2580.75,2639.21,2545.07,2137822.25
2022-03-07,2563.9,2563.9,2599.57,2543.09,1193265.9
2022-03-08,2554.98,2477.69,2559.94,2469.76,1583727.69
2022-03-09,2487.6,2409.31,2493.54,2317.15,2299647.48
2022-03-10,2429.13,2388.5,2438.05,2384.54,1059078.67
2022-03-11,2346.88,2376.61,2386.52,2314.18,1021248.39
2022-03-14,2349.85,2321.12,2406.34,2316.16,1125945.2
2022-03-15,2292.38,2193.28,2301.3,2190.31,2098842.33
2022-03-16,2232.92,2263.64,2292.38,2156.62,2100986.64
2022-03-17,2352.83,2379.58,2399.4,2339.94,2216236.2
2022-03-18,2355.8,2455.89,2465.79,2341.93,1839484.23
2022-03-21,2439.04,2391.47,2439.04,2380.57,1410438.56
2022-03-22,2367.69,2468.77,2487.6,2364.72,1970572.42
2022-03-23,2475.7,2501.47,2544.08,2423.18,1829509.07
2022-03-24,2468.77,2458.86,2510.39,2452.91,1064823.55
2022-03-25,2441.02,2451.92,2500.48,2422.19,960228.89
2022-03-28,2421.2,2487.6,2501.47,2412.28,1042085.74
2022-03-29,2473.72,2458.86,2494.53,2449.94,655772.38
2022-03-30,2465.79,2607.5,2614.44,2457.87,2195064.04
2022-03-31,2540.12,2624.35,2723.44,2538.13,3349399.75
2022-04-01,2604.53,2773.98,2801.73,2597.59,3014541.85
2022-04-06,2838.39,2829.47,2896.86,2774.97,2962473.96
2022-04-07,2797.76,2798.75,2871.09,2775.96,1790903.48
2022-04-08,2798.75,2856.23,2867.13,2753.17,1823754.3
2022-04-11,2812.63,2781.91,2855.24,2748.22,1655255.58
2022-04-12,2799.75,2725.42,2832.45,2704.61,1720224.14
2022-04-13,2718.49,2758.13,2826.5,2693.71,1605189.12
2022-04-14,2772.0,2807.67,2872.09,2723.44,1775273.24
2022-04-15,2791.82,2837.4,2894.88,2779.93,1558382.95
2022-04-18,2795.78,2761.1,2815.6,2743.26,1067502.12
2022-04-19,2762.09,2773.98,2777.95,2675.88,1199797.98
2022-04-20,2751.19,2644.17,2764.07,2629.3,1619148.37
2022-04-21,2634.26,2639.21,2694.7,2628.31,1030539.66
2022-04-22,2619.39,2689.75,2718.49,2609.48,1106171.27
2022-04-25,2668.94,2592.64,2707.59,2589.66,1127800.75
2022-04-26,2589.66,2605.52,2663.99,2574.8,1061400.57
2022-04-27,2575.79,2533.18,2630.29,2482.64,1844961.26
2022-04-28,2531.2,2579.75,2612.46,2515.34,1592032.23
2022-04-29,2584.71,2647.14,2685.79,2549.03,1917457.47
2022-05-05,2661.01,2652.09,2689.75,2586.69,1531669.45
2022-05-06,2606.51,2558.94,2622.37,2551.02,1109681.32
2022-05-09,2558.94,2557.95,2597.59,2538.13,545755.87
2022-05-10,2534.17,2565.88,2582.73,2502.46,992670.78
2022-05-11,2559.94,2555.97,2574.8,2532.19,966324.7
2022-05-12,2542.1,2508.41,2554.98,2488.59,910435.32
2022-05-13,2510.39,2576.78,2579.75,2501.47,1212138.33
2022-05-16,2629.3,2597.59,2638.22,2547.05,1221008.17
2022-05-17,2589.66,2616.42,2668.94,2570.84,1169037.66
