date,open,close,high,low,amount
2022-01-04,156.83,160.13,161.9,156.83,759946.08
2022-01-05,160.13,159.25,160.79,157.71,485567.93
2022-01-06,158.59,157.71,159.25,156.17,480129.59
2022-01-07,157.49,157.93,160.13,156.61,435200.28
2022-01-10,158.37,158.37,160.13,157.49,436187.45
2022-01-11,158.15,158.81,159.91,158.15,408914.63
2022-01-12,159.25,159.69,159.91,157.93,371656.03
2022-01-13,160.35,159.03,162.34,159.03,596622.23
2022-01-14,158.81,165.64,167.4,157.27,1444759.04
2022-01-17,165.64,173.57,178.2,163.22,1678061.65
2022-01-18,174.01,170.05,178.42,169.39,1316286.05
2022-01-19,170.05,165.64,171.15,165.2,755900.08
2022-01-20,165.42,165.86,168.28,163.88,620711.02
2022-01-21,166.3,160.57,166.52,160.13,712276.1
2022-01-24,160.57,160.35,161.9,158.59,323243.55
2022-01-25,159.91,153.96,159.91,153.96,521424.04
2022-01-26,153.74,155.73,157.05,153.3,321955.03
2022-01-27,155.29,154.18,156.17,153.74,337972.74
2022-01-28,154.18,154.85,157.49,154.18,421884.51
2022-02-07,156.39,154.85,156.61,154.18,264540.58
2022-02-08,154.85,156.39,156.61,153.52,306606.11
2022-02-09,156.17,158.59,158.81,155.95,285444.31
2022-02-10,158.81,158.37,159.03,157.49,185687.34
2022-02-11,157.93,158.59,158.81,156.83,245893.97
2022-02-14,158.37,156.61,158.81,155.73,181576.1
2022-02-15,156.83,158.59,159.03,155.73,307152.67
2022-02-16,158.81,155.29,159.91,154.4,536849.38
2022-02-17,155.07,151.76,155.29,151.54,398514.91
2022-02-18,151.54,153.3,153.74,151.32,190699.69
2022-02-21,153.3,156.39,157.05,152.86,321909.07
2022-02-22,155.95,155.29,155.95,154.18,234875.27
2022-02-23,156.17,155.51,156.39,154.85,172110.5
2022-02-24,155.29,152.42,155.51,151.32,366708.84
2022-02-25,153.3,152.86,154.85,151.98,223525.34
2022-02-28,152.2,153.74,154.18,151.76,185053.27
2022-03-01,153.74,153.74,154.62,153.08,178480.33
2022-03-02,153.52,152.64,154.85,152.2,444208.67
2022-03-03,153.08,153.08,153.96,152.42,537445.36
2022-03-04,152.64,152.86,153.52,152.2,237259.84
2022-03-07,152.42,148.68,152.86,148.46,361417.07
2022-03-08,149.12,145.15,149.34,144.93,319740.11
2022-03-09,145.15,139.2,145.59,135.02,577859.53
2022-03-10,141.19,140.52,142.07,140.3,323386.05
2022-03-11,138.76,143.83,143.83,137.66,367925.81
2022-03-14,145.37,143.39,147.57,142.95,385258.66
2022-03-15,141.63,135.9,142.07,135.46,420760.1
2022-03-16,136.78,138.54,139.2,132.15,425454.17
2022-03-17,138.76,139.2,141.63,137.88,460649.93
2022-03-18,139.2,142.51,143.83,138.1,496743.57
2022-03-21,142.51,141.19,143.61,140.08,373232.68
2022-03-22,140.96,139.64,141.19,138.54,257787.81
2022-03-23,140.52,139.64,140.74,139.2,211953.58
2022-03-24,138.76,140.3,141.19,138.1,263934.68
