日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2015-03-31,-0.0807,-0.05,-0.05,,2.9753,2.1792,-0.3636,1.2031,-0.2277,,-0.5098,8.4159,-0.5093,-4.8005,-5.1822,91.5558,-4.1482,-8.0667,-2.7112,-0.5098,9.3481,14.6892,0.641,-164.9633,,,251897059.96,-2.33,-1.68,-79495182.19,-27.6133,,-10.8234,3.9874,18.1332,4.9633,98.7925,0.911,,0.1228,732.899,0.4893,183.9362,0.6452,0.4836,0.2252,10.5246,39.0516,-0.6607,18.8025,17.5687,,431.8436,206.4752,48.3039,,399.402,367.3097,139.271,,81.1975,24356011002.8,-0.187,-0.023,,-0.0283,-4.4627,,,,102594891.89,,,,,,,,,,,,,,
2015-06-30,-0.0798,-0.045,-0.045,-0.048,3.6044,2.9744,0.1668,1.9803,-0.1817,,-0.529,10.0668,-0.5711,-2.3445,-2.4416,89.8772,-2.0216,213.6974,59.2875,14.1743,10.0099,12.4157,-18.6335,-419.5185,,,754064939.75,-1.33,-1.79,-77166559.92,-19.8747,,37.48,19.9033,30.9094,5.8235,80.0605,2.2483,0.5417,0.2825,637.1681,1.0711,168.0515,1.298,0.5756,0.339,20.6548,65.8693,-0.6456,23.9077,12.9996,47.6576,318.2753,196.9556,35.2224,77.3338,304.0488,252.8197,159.6845,50.1655,76.0923,28624271300.95,0.0423,0.0111,,0.0145,2.3324,,,,102594891.89,410000000.0,,,,,,,84648210.8,245280.45,,,937696.77,57605.28,24732.41
2015-09-30,-0.1524,-0.054,-0.054,,3.5821,2.9588,0.6658,1.9775,-0.1907,,-1.0286,9.3883,-1.1016,-2.7681,-2.9911,90.5488,-2.4265,-15.2429,-4.2553,-1.0286,9.4512,11.9933,-7.6489,-330.5532,,,1119714310.94,-1.69,-1.61,-93156181.43,-14.1192,,36.5719,18.8929,41.4835,6.5086,74.1473,3.6414,,0.454,594.7137,1.7817,151.5407,2.0743,0.5339,0.3005,15.5044,56.9747,-0.5733,24.1717,12.8384,,313.7064,200.8743,34.689,,307.5656,251.9001,158.3183,,75.8283,28136437880.01,0.106,0.0449,,0.0593,9.3504,,,,102594891.89,,,,,,,,,,,,,,
2015-12-31,-0.231,0.02,0.02,-0.21,3.4995,2.9585,1.6202,1.9226,-0.1313,,-1.4977,6.9342,-1.6337,-2.174,-5.7941,92.9523,-2.7664,255.4268,72.9905,16.5619,,11.8752,-153.2322,-303.9474,,,1099231511.31,0.52,0.57,-370971307.33,-16.9723,,41.4067,19.9815,74.2896,4.8459,62.7681,5.7354,1.0716,0.5906,609.5496,2.2708,158.5344,2.7952,0.494,0.3442,20.5897,63.5432,-0.4055,22.6904,11.0549,40.7843,340.7143,217.4735,32.7597,75.4941,323.4274,286.153,148.7447,55.6352,77.3096,29281507819.44,0.194,0.1051,,0.1359,19.4994,,,,197222231.75,,,,6445540.65,236502.0,1253245.5,,18863338.55,931016.55,,,2177552.09,118563.01,159981.23
2016-03-31,-0.0174,-0.02,-0.02,,3.4926,2.9469,0.0345,1.9226,-0.1533,,-0.1163,10.312,-0.1144,-1.4186,-2.8427,89.6153,-1.0985,-1.7372,-0.4974,-0.1163,10.4009,13.9521,-92.9348,-701.3882,0.0,,309642992.24,-0.75,-0.01,-63987215.5,0.3212,,44.798,16.4718,10.704,8.4081,88.4869,1.0171,,0.1042,863.7236,0.4082,220.4802,0.4524,0.4697,0.2709,13.1806,77.4826,-0.45,23.3753,12.3907,,327.8013,211.3925,34.6438,,323.4468,275.16,150.0214,,76.6247,28367886267.08,0.0218,0.0023,,0.003,0.4447,,,,200122231.75,,,,,,,,,,,,,,
2016-06-30,0.0529,0.027,0.027,0.009,3.5602,2.9932,0.3155,1.9226,-0.1045,,0.3486,12.261,0.3456,1.7873,1.1706,87.6727,1.4131,308.1857,86.5639,20.324,12.3445,12.3435,36.2313,685.4281,,,870721873.16,0.9,0.9,17438586.17,-5.1942,,-1.2267,0.5786,20.3992,8.8239,77.5428,2.3213,0.4422,0.2446,735.8953,0.9333,192.864,1.0597,0.4888,0.2912,16.4321,131.4201,-0.3287,23.4786,8.8697,42.7132,325.9202,229.4,27.4194,73.346,316.0623,262.5498,156.6105,54.968,76.5214,28789896716.05,0.0843,0.0208,5.9687,0.0272,3.9423,,,,201622231.75,,,,5244436.7,236502.0,1253245.5,,23123014.11,492487.16,,,2154727.1,121546.23,316333.93
2016-09-30,0.151,0.096,0.096,,3.7004,3.0656,1.4118,1.9226,-0.0357,,0.9458,13.908,0.9621,3.2731,2.7908,85.9893,2.5829,15.0979,4.0801,0.9458,14.0274,11.9589,14.3753,433.3649,,,1543498390.29,3.12,3.17,146344371.88,-6.9488,,3.3005,7.7164,33.2567,8.1187,72.3919,3.7297,,0.3725,724.8322,1.3466,200.505,1.6237,0.5008,0.3421,21.967,159.5558,-0.2614,23.1808,7.4697,,331.3918,232.715,24.3705,,307.7041,279.2063,149.3927,,76.8192,30307567148.56,0.2415,0.0884,9.3511,0.1151,15.4478,,,,202759718.06,,,,,,,,,,,,,,
2016-12-31,0.0799,,,,3.7891,3.5451,0.349,2.4632,-0.0535,,0.6525,13.8067,0.6809,1.8008,1.6853,85.8105,1.3395,7.9947,2.1099,0.6525,14.1895,11.8335,4.7281,782.1265,0.0,,2148221607.04,1.2019,,,-1.8484,,48.6671,9.0741,50.9062,7.0718,75.6557,4.7584,,0.5083,708.2432,1.8087,199.038,1.8835,0.5744,0.3762,26.1164,134.3915,-0.3306,30.9269,7.2178,,223.3432,184.9047,18.9222,,228.0583,189.2139,165.599,,69.0731,31938535481.15,0.0585,0.0285,4.3652,0.0412,5.5525,,,,205982940.62,0.0,,,29166134.26,1689324.8,753493.09,,7706024.51,14483144.36,,,2786224.24,1328219.38,205650.82
2017-03-31,0.0499,0.04,0.04,,3.9032,3.5898,0.1555,2.4621,-0.0085,,0.4114,12.0073,0.4093,3.4565,3.3134,87.5633,2.7488,4.9877,1.2778,0.4114,12.4543,8.6798,-4.129,359.3369,0.0,,567953957.65,1.25,1.26,116193894.42,57.526,,53.4445,11.4119,10.8813,8.2711,71.4513,1.2596,,0.1489,604.4325,0.5177,173.8459,0.472,0.5597,0.3498,22.3956,186.3373,-0.3386,32.1942,7.4758,,210.615,181.3183,18.8449,,223.4219,179.0013,168.1442,,67.8058,31605200146.85,0.0857,0.0128,3.1176,0.0189,2.5573,,,,210411218.84,0.0,,,,,,,,,,,,,
2017-06-30,0.0659,0.06,0.06,0.06,3.9445,3.604,0.3274,2.4621,0.0029,,0.5357,10.5236,0.537,2.3241,2.2431,88.9992,1.7006,261.1732,66.2117,21.2168,11.0081,8.3295,-5.9779,462.9554,0.0,,1063649671.91,1.56,1.58,144780414.37,42.3252,71.2859,52.1234,11.461,19.6908,9.1413,68.1044,2.643,0.5824,0.3158,569.981,1.098,163.9344,1.0032,0.556,0.3364,22.2507,161.9089,-0.419,32.0439,9.3937,59.9479,212.0721,173.5724,22.6695,72.103,224.4554,186.8951,161.926,53.4528,67.9561,32089500754.85,0.0845,0.0266,4.9659,0.0391,5.2678,,,,207182940.62,0.0,,,22655299.4,1589643.76,3999021.84,,21715389.27,1977784.98,,,193004.35,48046.19,2141748.15
2017-09-30,0.1955,0.162,0.162,,4.0731,3.709,0.7517,2.4619,0.109,,1.4753,11.6635,1.5335,3.6431,3.5194,87.8655,3.1072,19.5518,4.8002,1.4753,12.1255,8.1475,-2.911,331.8195,0.0,,1913219789.26,4.38,4.48,424334845.14,47.806,77.8072,51.1341,13.9916,31.8443,8.4788,65.7606,4.1058,,0.4935,547.1125,1.7059,158.2742,1.6015,0.5709,0.3519,24.8055,202.8191,-0.5653,30.7339,12.087,,225.3735,167.0821,28.2268,,232.7918,201.4835,155.4844,,69.2661,34548077322.27,0.1195,0.0567,3.8447,0.0819,11.3812,,,,242267818.68,0.0,,,,,,,,,,,,,
2017-12-31,0.2749,0.25,0.25,0.24,4.1938,3.7856,0.7796,2.4448,0.1955,,1.9973,12.471,2.1137,3.7721,3.6706,86.9681,3.2381,368.1944,87.7943,26.7529,13.0319,8.5512,-2.9176,344.0963,,,2759816895.7,6.66,6.86,628803308.12,42.376,246.619,10.8017,12.3721,76.5881,4.7005,72.1501,4.9896,1.244,0.6528,551.4706,2.2464,160.2564,2.1279,0.5543,0.314,22.1751,203.7901,-0.481,30.4722,11.1071,60.6645,228.168,171.4473,26.713,66.9866,233.9396,206.4547,152.9605,50.2307,69.5278,35877405580.95,0.0918,0.0566,2.8359,0.0815,10.934,,,,305235508.37,,,,21775579.29,5747628.16,2199245.2,,69151639.52,1751040.02,,,1160368.49,5149524.63,36516502.9
