日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2015-03-31,-0.1507,-0.1,-0.1,,2.1165,1.6576,0.0503,1.6019,-0.9853,,-1.6441,4.6935,-1.6624,-11.2558,-13.9709,95.1562,-12.8289,-15.0733,-7.122,-1.6441,4.8405,18.6644,-8.906,-36.5868,,,19022265.57,-6.21,-6.02,-39027939.11,-40.6504,,-23.5412,-13.3615,1.4569,61.775,131.6174,0.6838,,0.1296,694.4444,0.2846,316.2333,0.5361,0.6625,0.3862,9.4177,-228.9714,-0.1338,23.0847,3.1621,,333.1869,204.3231,12.0475,,232.3106,316.9229,123.4723,,76.9153,3162485595.87,0.0429,0.0055,,0.0071,0.7845,,,,,,,,,,,,,,,,,,
2015-06-30,-0.3014,-0.22,-0.22,-0.23,1.9658,1.5442,0.193,1.6019,-1.0987,,-3.3375,5.7325,-3.3496,-10.1726,-12.2089,94.0351,-11.217,106.8828,54.3717,11.8352,6.0948,16.9161,-7.9449,-50.6836,,,53132866.95,-14.01,-13.1,-80686250.32,-34.7332,,-26.7464,-5.5766,3.6572,49.218,110.2063,1.6333,0.832,0.2986,602.8131,0.6581,273.5147,1.2696,0.6456,0.3978,13.0039,-243.5616,-0.1269,21.7672,3.2101,60.8977,359.4067,215.9347,12.8522,70.2009,247.7798,342.5714,121.0139,35.7439,78.2328,3115132486.06,0.0718,0.0214,,0.0273,2.9945,,,,,,,161238699.03,65867630.14,12396362.78,18312043.84,,28192108.41,9504241.95,,76470893.82,2353055.28,401205.0,1125842.35
2015-09-30,-0.4543,-0.33,-0.33,,1.9289,1.4291,0.1593,1.6019,-1.2138,,-5.4822,4.3676,-5.2663,-10.8937,-14.5437,95.3481,-12.3286,-45.4274,-23.5512,-5.4822,4.784,18.1637,-17.3204,-35.2323,,,55512681.33,-23.19,-20.78,-134178363.36,-34.9032,,-24.9179,-11.7209,5.0992,52.9495,111.8754,2.4134,,0.4272,632.0225,0.9862,273.7781,1.7563,0.6029,0.3569,10.3593,-264.0217,-0.127,23.2778,3.4986,,329.594,217.2478,13.066,,249.8995,313.1003,122.6961,,76.7222,2858293148.59,0.0432,0.0192,,0.0251,2.7711,,,,,,,,,,,,,,,,,,
2015-12-31,-0.9835,-0.64,-0.64,-0.71,1.4806,1.1407,0.2921,1.6189,-1.5192,,-13.3043,4.0868,-12.0247,-17.1991,-21.8485,95.5656,-19.9947,50.3807,34.0267,6.815,4.4344,19.2634,-11.9899,-20.6309,,,69343509.87,-56.11,-43.39,-245551155.89,-32.7565,,-34.6935,-17.5479,7.996,45.0225,99.149,3.6309,1.4754,0.6014,598.6033,1.5033,239.4732,2.625,0.4773,0.2719,8.4216,-362.7182,-0.1043,20.0284,3.9216,43.0823,399.2901,274.1866,16.374,69.7945,327.8723,378.6987,115.071,46.4888,79.9716,2550004585.49,0.0594,0.0395,,0.0494,5.4944,,,,,,,83869055.72,49115915.02,7099255.71,12226283.08,,11386378.48,25090368.1,,5884551.19,64226841.58,1539094.68,297722.5
2016-03-31,-0.1155,-0.07,-0.07,,1.3651,1.0662,0.0162,1.6189,-1.5937,,-2.1004,4.3525,-1.7923,-14.9967,-18.3934,95.4052,-17.1305,-11.5546,-8.4644,-2.1004,4.5948,18.5753,16.9695,-25.4088,,,10126566.07,-6.99,-6.75,-27362579.76,-42.5933,,-35.5018,-39.999,1.4213,63.3223,133.5906,0.6737,,0.1046,860.4207,0.2684,335.3204,0.4741,0.6943,0.4661,14.4374,-384.7522,-0.2645,24.815,5.27,,302.9823,181.9981,17.5171,,220.6496,283.8537,120.8323,,75.185,1897521674.12,0.024,0.0029,,0.0039,0.4509,,,,187645286.38,,,,,,,,,,,,,,
2016-06-30,-0.1955,-0.12,-0.12,-0.14,1.2851,1.0205,0.1727,1.6189,-1.6394,,-3.4046,4.6655,-2.9771,-11.5786,-14.7161,95.1107,-12.9312,55.9601,43.5455,9.7441,4.8893,16.3443,9.682,-36.0801,,,24333579.69,-11.78,-11.12,-48727416.33,-43.7281,,-34.6268,-36.4077,3.7005,48.6421,123.7709,1.4543,0.6292,0.2302,781.9288,0.5691,316.2889,1.0934,0.7093,0.4831,14.6206,-311.8286,-0.2548,22.3768,5.048,93.8377,346.8914,188.3661,18.4067,64.4581,230.8598,327.1171,119.0183,23.8463,77.6232,1980984573.39,0.1142,0.0301,,0.0387,4.4126,,,,206375107.23,,,71530307.84,37963323.1,10412758.82,12782364.09,,8072613.59,8825550.43,,3758590.07,426841.58,1539094.68,110624.02
2016-09-30,-0.1462,-0.05,-0.05,,1.4085,1.0903,0.1578,1.6189,-1.5696,,-3.0151,4.9237,-2.3886,-5.2782,-9.8776,94.8348,-5.9264,-14.6197,-10.3798,-3.0151,5.1652,17.2006,-107.1637,-83.0845,,,41897351.4,-4.62,-4.52,-54317756.99,-33.0509,,-26.9791,-41.4844,7.8423,34.4287,102.2611,2.6403,,0.403,669.9752,1.0153,265.9313,1.7077,0.78,0.5515,16.1247,-78.4646,-0.4428,29.0481,5.9789,,244.2569,148.8176,17.0694,,179.4484,231.8747,132.4712,,70.9519,1672546022.6,0.0639,0.0325,,0.0459,5.3008,,,,213841972.95,,,,,,,,,,,,,,
2016-12-31,1.6125,,,,1.6593,1.2733,-5.8305,1.671,-1.4387,,32.7464,8.2215,26.1841,3.7268,3.2631,91.5924,3.1107,161.2537,97.1796,32.7464,5.6589,5.2658,16.9308,227.3264,,20.2301,1470120107.43,12.0548,,,953.8576,,12.0703,-33.3884,191.5359,1.8795,6.7463,53.3625,,8.4175,42.768,19.7989,18.1828,33.0188,0.8711,0.6492,28.0863,3248.2951,,33.6967,,,196.7647,,,,134.1409,186.6846,,,66.3033,1698599036.93,-0.1125,-1.184,-3.6157,-1.7858,-188.2189,,,,228675767.02,,,,3672468.52,7223929.99,4967988.13,,2817843.31,6372877.68,,,492633.93,101440.74,91993.02
2017-03-31,-0.0297,-0.03,-0.03,,1.6296,1.2439,0.0562,1.671,-1.4681,,-0.5987,9.4166,-0.6009,-3.6645,-5.0261,89.773,-3.7078,-2.9701,-1.8226,-0.5987,10.227,10.5973,54.509,-253.967,,-4.1171,26019254.96,-2.36,-2.34,-11996055.57,18.7605,,19.3806,-9.8104,6.4373,13.981,92.393,0.9741,,0.1621,555.2128,0.2919,308.3248,0.4871,0.8805,0.6315,25.9448,-127.5777,,32.8467,,,204.4448,,,,133.2348,194.4378,,,67.1533,1711367454.6,0.0702,0.0113,,0.0169,1.7737,,,,219448582.58,,,,,,,,,,,,,,
2017-06-30,-0.089,-0.08,-0.08,-0.09,1.5703,1.1946,0.1033,1.671,-1.5174,,-2.1088,7.3084,-1.9469,-5.4804,-6.4773,91.5253,-5.6091,46.3949,29.5453,10.9879,8.4747,9.6556,53.6017,-130.2967,,-9.7271,40018423.81,-6.59,-6.38,-29574401.97,4.9842,,22.1932,-26.478,12.489,14.4127,82.4138,2.1841,1.6241,0.3471,518.5825,0.6607,272.4383,0.983,0.8458,0.5877,18.109,-223.3365,,37.1901,,164.5413,168.8884,,,63.3136,134.7076,158.6364,,22.6023,62.8099,1456458586.87,0.0651,0.0245,,0.039,4.147,,,,207458661.16,,,42807024.9,3672468.52,7223929.99,4967988.13,,1830669.48,2163287.43,,8357977.23,492633.93,101440.74,91993.02
