日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2015-03-31,0.3289,0.3,0.3,,6.6193,6.2701,0.146,2.0982,2.6446,,2.801,32.7954,2.7633,21.0378,17.4299,66.4707,14.7119,32.8921,4.9692,2.801,33.5293,15.5785,3.6,188.3091,0.0046,,741629530.0,4.76,4.88,289474273.43,-5.4089,2.1204,13.3232,10.7703,1.0202,88.218,77.6063,1.1597,,0.1878,479.2332,0.2521,357.0012,0.3443,2.4205,2.0568,58.2196,1164.6106,0.0106,56.3682,0.4601,,77.4051,46.3553,0.8096,,46.7337,54.8014,317.0989,,43.6318,11877558180.28,0.0653,0.0124,0.4438,0.0285,4.0847,,,,105845182.07,,,,,,,,,,,,,,
2015-06-30,0.6461,0.6,0.6,0.57,5.2179,4.9591,0.7449,1.3844,2.1695,,6.6303,33.145,6.7923,21.8847,18.102,66.1373,15.1979,134.9003,25.8531,13.8436,33.8627,14.7911,1.8448,185.4991,0.0127,,1852790962.58,12.01,12.34,754613729.36,-4.4386,-3.4803,18.2768,12.3715,2.2916,78.5477,60.2349,2.9883,3.0244,0.4469,402.7747,0.6014,299.3016,0.8404,2.1464,1.8732,60.0824,1714.1957,0.0109,53.5471,0.4265,296.1394,86.7513,49.3549,0.7901,71.4833,49.748,64.6249,283.6061,18.0817,46.4529,12813215210.44,0.1752,0.0764,1.153,0.1646,22.3669,,,,103340735.97,,,,174230862.51,46511656.32,,,1149089.93,2397441.51,,,4573562.92,4933154.98,
2015-09-30,1.0401,0.97,0.97,,5.6187,5.338,0.8433,1.3894,2.5418,,10.2931,33.5383,10.7314,22.4845,18.4453,65.778,15.5863,104.0144,18.512,10.2931,34.222,14.8954,2.3366,183.3416,0.0011,,2942973681.79,18.14,19.52,1224230136.34,-5.7208,-4.4391,26.2495,15.9267,3.5113,76.8946,59.7055,4.5222,,0.6885,392.1569,0.9206,293.287,1.2689,2.2874,1.992,49.1045,2774.2333,0.0098,55.6024,0.4112,,79.8485,45.8642,0.7342,,46.2034,59.1662,298.6221,,44.3976,13287433861.71,0.1264,0.0835,0.8107,0.188,25.6876,,,,110146517.26,,,,,,,,,,,,,,
2015-12-31,1.4228,1.33,1.33,1.27,5.408,5.0996,1.4644,1.3862,2.1841,,15.4479,34.1878,15.39,22.3454,18.1818,65.1464,15.5566,219.9037,40.6624,23.875,34.8536,15.8709,3.1067,187.3053,0.0008,,4111585364.07,26.0,26.37,1663546400.9,-5.8021,-4.8939,10.3783,-0.7462,4.978,72.3182,56.3601,6.3875,6.7504,0.9893,363.8937,1.3456,267.5386,1.7747,1.8182,1.5721,37.0217,2624.2495,0.014,58.715,0.4512,325.6725,70.3141,47.8023,0.7626,68.1467,48.1696,67.949,245.8994,18.0289,41.285,12111124244.82,0.1601,0.159,1.0292,0.3851,40.308,,,,104304372.69,,,,201318413.17,71212159.62,,,3023377.8,1451888.45,,,7324577.37,6397543.85,
2016-03-31,0.2604,0.25,0.25,,5.6166,5.3422,0.3021,1.3869,2.4306,,2.7354,32.8965,2.7807,20.253,16.8375,66.4222,14.3793,26.0434,4.6369,2.7354,33.5778,16.2551,2.9272,194.8543,0.0044,,783437228.68,4.61,4.72,313998183.43,5.3125,2.9317,10.3074,5.4002,0.8581,104.8829,64.8275,1.3883,,0.1934,465.3568,0.2679,335.9462,0.3286,1.8535,1.6286,51.3646,1620.6466,0.013,58.9925,0.4365,,69.5129,46.0314,0.7345,,46.372,67.1768,247.8038,,41.0075,12518965960.47,0.1668,0.0317,1.1602,0.0774,8.0972,,,,106282333.42,,,,,,,,,,,,,,
2016-06-30,0.6473,0.61,0.61,0.59,5.9409,5.5401,1.111,1.4312,2.5853,,6.2912,33.5137,6.6502,21.431,17.5696,65.8315,15.1698,147.9757,24.9079,14.381,34.1685,15.9497,2.6188,189.6982,0.0018,,1887009361.72,10.97,11.34,772785286.6,0.7264,0.5399,14.2487,5.9585,1.9701,91.3659,58.4131,3.0815,2.6239,0.4384,410.5839,0.6007,299.6504,0.7533,1.8086,1.5874,30.6514,3931.084,,57.7367,,371.827,73.2001,,,65.747,44.8576,70.9624,,15.5278,42.2633,13576691177.65,0.2603,0.108,1.7162,0.2555,26.3522,,,,108059766.98,,,,207125446.74,79670694.16,,,6702542.37,1369301.15,,,8418106.31,3667150.41,
2016-09-30,1.043,0.97,0.97,,6.0224,5.6037,1.4062,1.4318,2.6497,,11.2586,32.8289,11.3105,21.4498,17.5381,66.4953,15.1085,104.299,17.3184,11.2586,33.5047,15.345,2.9152,185.4791,0.0011,,2990254182.78,17.35,18.24,1238793362.04,3.802,0.6198,7.555,-8.0084,3.2263,83.6872,55.0818,4.9018,,0.7486,360.6733,1.0448,258.4227,1.2099,2.1386,1.8219,31.221,7200.2107,,65.0093,,,53.8241,,,,43.7068,51.4896,,,34.9907,12223318549.64,0.2037,0.1518,1.3482,0.4338,45.348,,,,109862456.66,,,,,,,,,,,,,,
2016-12-31,1.3911,,,,7.4681,7.11,2.6028,3.5284,2.0968,,7.4045,29.2106,11.0305,17.5422,14.2343,70.0904,12.9828,139.109,18.627,7.4045,29.9096,15.0136,10.6471,194.0684,0.0006,,5890183568.56,16.328,,,67.6681,39.9281,97.6432,191.9294,4.8536,74.1717,41.0149,8.7773,,0.8496,423.7288,1.5962,225.5356,1.9054,1.3497,1.1832,29.965,830.1177,1.7741,39.7515,21.5539,,151.5629,86.6233,35.1582,,133.5919,141.6295,174.9561,,60.2485,35355937406.65,0.2429,0.1385,1.871,0.2299,39.8722,,,,606055478.36,,,,227007349.03,82776973.53,,,9770506.94,4080562.13,,,6760795.57,4750120.22,
2017-03-31,0.181,0.18,0.18,,8.7988,8.4927,-0.0263,5.048,2.017,,0.9723,27.4031,1.029,12.9084,10.8249,71.6097,9.7041,18.0989,2.057,0.9723,28.3903,17.2229,15.3117,236.3496,0.0039,5.868,1090906227.7,1.98,2.18,323005999.34,67.1601,12.8106,154.3002,217.3819,0.6858,131.2336,67.7456,1.3285,,0.106,849.0566,0.2166,415.5125,0.2425,1.8075,1.6063,63.1747,496.1371,0.9261,47.2674,21.0166,,111.5623,72.0549,30.7782,,104.0928,103.9193,200.8959,,52.7326,39732928773.71,-0.0141,-0.0014,-0.1452,-0.0027,-0.5023,,,,739999144.57,,,,,,,,,,,,,,
2017-06-30,0.6176,0.6,0.6,0.56,8.8641,8.5786,0.3806,5.0313,2.1374,,3.2922,28.7038,3.4968,17.8063,14.9261,70.4408,13.3082,207.5135,23.4107,11.062,29.5592,14.6174,7.7784,187.6314,0.0011,12.0128,2843237429.22,6.86,7.13,1173313813.27,75.9228,54.3348,141.3662,194.9228,1.7416,103.3532,57.5687,3.1267,0.7124,0.2628,684.9315,0.5579,322.6385,0.6008,1.6319,1.4234,60.7882,853.4695,1.1102,47.252,20.3213,132.4224,111.6313,78.0292,30.073,82.119,111.5867,104.3125,200.1921,35.6828,52.748,40040751354.76,0.082,0.0203,0.6163,0.0385,7.0041,,,,730480762.2,,,5370901171.94,380157221.49,85003690.61,,,42979717.8,12356743.18,,,26781065.55,9058140.53,
