日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2015-12-31,0.3393,0.34,0.34,0.33,,1.93,,,,,11.1877,73.8741,12.2829,24.5629,18.3686,25.6723,16.112,,15.0053,11.1877,74.3277,54.1923,4.5496,374.4545,,,502870888.38,17.55,20.4,118450800.0,14.1689,-7.4147,25.9512,21.7042,5.4741,65.7642,196.7106,1.8301,,,,1.254,287.0813,1.0383,3.3624,2.7559,184.3658,-2140.1291,,74.5581,,,34.1235,,,,54.0938,23.801,,,25.4419,980332642.47,0.2301,0.1598,1.428,0.6279,90.0254,,,,5041216.02,,,,,,,,,,,,,,
2016-12-31,0.4103,0.41,0.41,0.37,,2.46,,,,,9.0397,72.1638,10.7999,26.4097,15.5718,27.2694,15.5765,,13.6999,9.0397,72.7306,40.6663,14.0991,398.8872,,,609122170.17,16.67,19.4,132617900.0,23.9996,19.8781,31.3013,48.3641,,,201.3535,1.7879,,,,1.362,264.3172,0.9985,1.5541,1.1933,73.1379,-2719.883,,65.9835,,,51.5531,,,,83.3485,43.8866,,,34.0165,1454462132.21,0.1533,0.089,0.9842,0.2615,30.7234,,,,5304639.95,,,,,,,,,,,,,,
2017-12-31,0.4164,0.42,0.42,0.31,,2.43,,,,,9.0808,69.7378,9.6686,27.473,18.8245,29.6139,15.8351,,16.7252,9.0808,70.3861,38.184,2.4357,370.8629,,,662177922.71,17.12,18.42,111480500.0,12.4919,14.36,-6.3262,13.8422,,,211.6775,1.7007,,,,1.3426,268.1365,1.0217,1.3306,1.0177,59.5381,6962.2118,0.6269,54.2938,7.1474,,84.1832,88.0594,11.6329,,99.6518,76.6953,203.3243,,45.7062,1655791853.76,0.1548,0.0888,0.9775,0.1942,25.7327,,,,15822115.67,,,,7057137.75,913662.84,295315.63,,,,,,2155471.14,1017644.36,1309145.31
2018-06-30,0.2797,0.28,0.28,0.11,,2.99,,,,,6.0428,70.6169,6.3209,36.9139,26.7904,28.6654,24.2689,,9.2406,6.0428,71.3346,43.2991,1.1247,263.2028,,,319231934.79,9.36,11.69,41096200.0,,,,,,,262.3524,0.6861,,,,0.5389,334.0137,0.4334,2.1261,1.6649,106.7433,4463.0377,0.2435,65.3943,6.5185,,52.9186,68.7698,9.0644,,75.6247,46.3234,284.1064,,34.6057,1815544222.42,0.1302,0.0324,0.5363,0.0936,13.631,,,,16987353.45,,,,,,,,,,,,,,
2018-12-31,0.7515,0.78,0.78,0.32,,3.46,,,,,16.1394,71.8049,16.8782,41.7087,29.4217,27.3825,29.8036,,21.3711,16.1394,72.6175,42.6297,1.1175,243.076,,,705617091.35,21.71,26.3,118815000.0,3.4925,94.7851,52.4405,9.595,,,265.8004,1.3544,,,,1.2054,298.656,0.866,2.5286,1.8936,124.0333,-38221.9985,0.0399,75.5196,1.1572,,32.4159,67.8498,1.5092,,68.8895,26.6553,428.6419,,24.4804,1814665145.4,0.212,0.1148,0.7112,0.4689,60.5032,,,,17906891.34,,,,5424119.84,1601714.36,819786.51,,,,,,1878541.49,1118362.76,1813526.39
2019-03-31,,,0.1,0.09,,,,,,,,68.9486,,25.333,18.0246,30.588,15.8789,,,,,40.0524,2.8693,382.7778,,,172744001.12,,2.89,35672100.0,,,,,,,,,,,,,,0.3656,,,,-3744.1396,,,,,,,,,,,,,,,-0.0577,,-0.3636,,,,,,,,,,,,,,,,,,,,
2019-06-30,,0.22,0.22,0.18,,,,,,,,70.096,,24.5704,17.6977,29.0805,16.3537,,,,,41.8303,3.5247,397.6978,,,367046674.01,,6.11,68425374.1,15.8325,-21.9457,-100.0,-100.0,,,,,,,,,,0.7642,,,,-1406.2496,,,,,,,,,,,,,,,0.0699,,0.4275,,,,,,,,,,,,,,,,,,,,
2019-09-30,,0.32,0.32,,,,,,,,,70.5688,,24.6683,17.5804,28.7559,15.0883,,,,,41.5618,2.6003,402.9553,,,585936070.89,,8.85,102200828.58,,,,,,,,,,,,,,1.2117,,,,-1340.6149,,,,,,,,,,,,,,,0.131,,0.8682,,,,,,,,,,,,,,,,,,,,
2019-12-31,0.5356,0.54,0.54,0.42,,4.0,,,,,9.7141,71.2681,10.569,25.8699,18.4439,27.9504,17.7656,,31.082,22.6947,,42.0658,5.6091,389.1183,,,843639030.57,13.4,14.36,165109200.0,20.461,-28.1944,15.3457,19.3013,4.7069,76.4835,247.5758,1.4541,,0.5949,605.1437,1.3481,267.0425,0.8022,1.8,1.3195,57.639,-2765.335,0.0533,73.0156,0.97,289.4964,36.957,79.8674,1.3111,66.0212,80.9285,32.4553,374.8097,25.2216,26.9844,2164919516.19,0.2304,0.126,1.2966,0.4668,55.4194,,,,23439325.94,200000000.0,,,6878063.16,1361093.1,1897561.84,,,,,,2036340.11,648280.13,2305488.88
2020-03-31,0.1806,,0.18,0.15,,4.1776,,,,,3.2252,71.3274,3.247,41.2821,25.9434,28.3967,22.7644,,22.3138,16.793,,35.1378,4.4467,270.7721,,,221756545.97,4.32,4.38,56709100.0,24.0917,77.9006,,,1.2311,73.1054,266.4298,0.3378,0.5734,0.1426,631.136,0.3494,257.5844,0.1924,2.0158,1.3704,48.3598,19250.2785,0.0466,75.2582,0.957,306.7312,32.8759,77.7579,1.2556,64.3921,78.7467,28.1235,420.872,24.5356,24.7418,2194449884.16,-0.1132,-0.016,-0.4974,-0.0648,-7.9389,,,,23664116.81,200000000.0,,,,,,,,,,,,,
