日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2015-03-31,0.397,0.4,0.4,,4.4154,4.4153,0.4944,0.815,1.5248,,1.4603,,1.6943,227.5045,,,,39.7002,8.9913,1.4603,67.8866,,36.895,-8.366,,,-362502925.1,8.99,9.44,3254792212.78,,247.2816,69.5336,189.0445,,,,,,,,,,,,,,,,16.2412,,,515.7191,,,,615.7191,0,,,83.7588,222928019340.43,,0.0182,1.2453,0.0217,,,,,1221681484.8,,,,,,,,,,,,,,
2015-06-30,1.1002,1.1,1.1,1.1,5.5458,5.5452,5.123,0.815,2.0275,,2.5921,,3.5421,236.196,,,,117.5938,21.204,2.7705,68.5036,,27.9357,-8.2747,,,-991920587.99,19.84,24.27,9007583521.56,,503.1028,112.6349,316.4118,,,,,,,,,,,,,,,,13.066,,4636.6946,665.3444,,,61.2355,765.3444,0,,0.2818,86.934,348047118670.15,,0.1207,4.6563,0.1388,,,,,1472389511.09,,,,40254795.05,18744497.35,,,,,,,,,
2015-09-30,1.3515,1.35,1.35,,5.6694,5.6688,-0.5262,0.8152,2.2699,,3.8871,,4.9646,212.4706,,,,135.1526,23.839,3.8871,66.5698,,38.336,-9.7138,,,-1428450050.32,23.84,28.5,11058411337.3,,300.421,103.1102,161.233,,,,,,,,,,,,,,,,16.3058,,,513.2801,,,,613.2801,0,,,83.6942,285107620359.5,,-0.0151,-0.3894,-0.0181,,,,,1632942668.68,,,,,,,,,,,,,,
2015-12-31,1.7011,1.7,1.7,1.69,6.0838,6.082,-0.2802,0.8252,2.1175,,5.7085,,6.8763,190.4845,,,,177.8672,29.236,5.9689,,,39.0402,-9.5885,,,-1782926764.91,27.97,33.86,13891820721.04,,182.1797,52.1739,51.4405,,,,,,,,,,,,,,,,20.4162,,4934.4276,389.8078,,,61.3721,489.8078,0,,0.4137,79.5838,244352914320.84,,-0.0094,-0.1647,-0.0118,,,,,1934103532.86,,,,14657491.2,9096519.33,,,,,,,,,
2016-03-31,0.1028,0.1,0.1,,6.0562,,-0.5971,0.8252,2.2115,,0.36,,0.3522,78.512,,,,10.2755,1.6967,0.36,41.917,,42.6594,-18.0264,,,-217850106.49,1.6977,1.69,841731908.89,,-74.1173,37.1607,4.9947,,,,,,,,,,,,,,,,21.2168,,,371.3251,,,,471.3251,0,,,78.7832,234062690157.84,,-0.0209,-5.8114,-0.0266,,,,,2061049628.94,,,,,,,,,,,,,,
2016-06-30,0.2679,0.27,0.27,0.26,5.5822,5.5792,0.6195,0.8252,1.7678,,1.0387,,0.9637,98.3858,,,,35.0368,6.2766,1.3587,47.8738,,46.0072,-10.3448,,,-310625534.98,4.8,4.43,2152300505.97,,-75.6542,0.6548,-39.2442,,,,,,,,,,,,,,,,21.6466,,4311.5811,361.9664,,,61.0761,461.9664,0,,0.5021,78.3534,211458890743.92,,0.024,2.3129,0.0307,,,,,1936088005.34,,,,721626061.05,15087095.73,,,,,,,,,
2016-09-30,0.4518,0.45,0.45,,5.8024,5.7973,-1.884,0.8252,1.9428,,1.961,,1.7102,108.78,,,,45.185,7.7873,1.961,50.6591,,42.0608,-6.7689,,,-335987831.29,7.79,7.56,3658593823.78,,-66.5674,2.3462,-33.7278,,,,,,,,,,,,,,,,25.1815,,,297.1173,,,,397.1173,0,,,74.8185,188947227450.84,,-0.0818,-4.1695,-0.1093,,,,,2055464109.52,,,,,,,,,,,,,,
2016-12-31,0.5556,,,,5.9079,5.9013,-0.8866,0.8258,1.8427,,2.3604,,2.0834,97.5347,,,,55.5636,9.405,2.3604,47.2889,,42.7059,-6.0573,,,-369932152.34,9.4154,,,,-67.3361,-2.8922,-21.0038,,,,,,,,,,,,,,,,25.097,,,298.4536,,,,398.4536,0,,,74.903,193029464345.17,,-0.0377,-1.5957,-0.0503,,,,,2196515880.65,,,,593420275.13,7215456.75,,,,,,,,,
2017-03-31,0.1269,0.13,0.13,,6.0623,6.0557,-0.2925,0.8258,1.9609,,0.5623,,0.5505,109.2356,,,,12.6927,2.0937,0.5623,51.054,,8.8082,-1.5686,,,-21238726.52,2.1,2.12,1022061796.61,,23.5235,0.101,-20.9218,,,,,,,,,,,,,,,,26.8572,,,272.3394,,,,372.3394,0,,,73.1428,185092638864.94,,-0.013,-2.3047,-0.0177,,,,,2299413100.57,,,,,,,,,,,,,,
2017-06-30,0.2455,0.23,0.23,0.24,5.9944,5.9873,0.0578,0.8258,1.8706,,1.1141,,1.0773,106.6311,,,,33.4715,5.5838,1.519,50.8746,,8.2954,-1.8946,,,-50508146.17,4.1,4.23,2119314600.0,,-8.3461,7.3849,-14.5491,,,,,,,,,,,,,,,,27.203,,3622.4801,267.6072,,,64.9719,367.6072,0,,0.7509,72.797,180693608334.3,,0.0026,0.2354,0.0036,,,,,2246113665.94,,,,237406119.49,555509182.67,,,,,,,,,
2017-09-30,0.41,0.38,0.38,,6.2186,6.2112,-0.5053,0.8258,2.026,,1.7058,,1.7235,112.0558,,,,40.9993,6.593,1.7058,51.833,,20.6831,-1.7299,,,-76578456.74,6.6,7.04,3468324300.0,,-9.2635,7.1723,4.3091,,,,,,,,,,,,,,,,25.8727,,,286.5081,,,,386.5081,0,,,74.1273,197089188127.09,,-0.021,-1.2324,-0.0284,,,,,2565785802.36,,,,,,,,,,,,,,
