日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2015-03-31,0.3963,0.37,0.39,,7.6475,7.42,1.9055,1.4733,3.0204,,0.3378,,0.3378,154.5282,,,,39.634,5.1826,0.3378,49.5143,,-0.0671,-13.6786,,,-2446000000,5.26,5.41,13363000000.0,,4.9346,20.1472,22.383,,,,,,,,,,,,,,,,6.5171,,,1434.4135,,,,1534.4135,0,,,93.4829,4016757000000,,0.0162,4.8078,0.0174,,,,,,186296000000.0,,,,,,,,,,,,,
2015-06-30,0.7475,0.74,0.78,0.78,7.9022,7.68,2.1127,1.7748,2.816,,0.6341,,0.6559,136.2726,,,,95.3424,12.0654,0.8088,45.9091,,9.2685,-14.2053,,,-5047000000,9.55,10.49,26686000000.0,,4.5265,25.7367,20.4293,,,,,,,,,,,,,,,,6.7033,,816.45,1391.8068,,,82.455,1491.8068,0,,0.821,93.2967,4301073000000,,0.0179,2.8265,0.0192,,,,,,196118000000.0,,,,,,,,,,,,,
2015-09-30,1.0706,1.06,1.1,,8.2426,8.02,3.356,1.7745,3.1338,,0.8929,,0.9312,127.6789,,,,107.0649,12.9892,0.8929,43.5612,,10.0911,-14.794,,,-7534000000,13.12,14.4675,38245000000.0,,4.3628,24.8884,16.064,,,,,,,,,,,,,,,,6.8742,,,1354.7183,,,,1454.7183,0,,,93.1258,4374847000000,,0.028,3.1346,0.0301,,,,,,233907000000.0,,,,,,,,,,,,,
2015-12-31,1.2888,1.27,1.3,1.29,8.4906,8.26,6.1702,1.7745,3.202,,1.0402,,1.1018,104.4658,,,,151.6252,17.858,1.2237,39.0157,,7.8784,-16.4018,,,-9968000000,15.31,16.98,45848000000.0,,3.1931,25.0355,12.5912,,,,,,,,,,,,,,,,6.8526,,817.5204,1359.308,,,82.0337,1459.308,0,,0.8382,93.1474,4520688000000,,0.0498,4.7876,0.0535,,,,,13000000.0,278364000000.0,,,,,,,,,,,,,
2016-03-31,0.3823,0.38,0.38,,8.7556,,4.8411,1.7745,3.5016,,0.2894,,0.2986,148.3962,,,,38.2318,4.3666,0.2894,44.4536,,25.042,-13.9993,,,-2500000000,4.4092,4.49,13704000000.0,,2.8157,22.0313,20.0172,,,,,,,,,,,,,,,,6.6265,,,1409.0884,,,,1509.0884,0,,,93.3735,4820798000000,,0.0366,12.6624,0.0392,,,,,26000000.0,332961000000.0,,,,,,,,,,,,,
2016-06-30,0.7593,0.75,0.75,0.75,8.9805,8.74,19.9686,1.7745,3.4178,,0.5276,,0.567,164.0446,,,,102.0574,11.3644,0.7092,45.1335,,17.0717,-9.9315,,,-3494000000,8.54,8.745,27247000000.0,,1.5767,13.6456,22.0663,,,,,,,,,,,,,,,,6.2409,,868.0752,1502.3445,,,79.8346,1602.3445,0,,0.7189,93.7591,5250162000000,,0.1388,26.3,0.148,,,,,26000000.0,530691000000.0,,,,,,,,,,,,,
2016-09-30,1.0933,1.07,1.07,,9.2011,8.95,23.4486,1.7745,3.6299,,0.7077,,0.7854,143.2632,,,,109.3288,11.8822,0.7077,42.9503,,13.4747,-7.5951,,,-3794000000,11.99,12.435,39244000000.0,,2.1145,11.6282,28.8406,,,,,,,,,,,,,,,,5.9558,,,1579.0268,,,,1679.0268,0,,,94.0442,5636577000000,,0.1518,21.4477,0.1614,,,,,27000000.0,655932000000.0,,,,,,,,,,,,,
2016-12-31,1.3369,,,,9.6484,9.12,28.1991,1.7745,3.5803,,0.8273,,0.9365,114.9264,,,,133.692,13.8563,0.8273,38.7415,,2.1527,-7.2001,,,-4338000000,13.9651,,,,3.7344,13.6366,30.4199,,,,,,,,,,,,,,,,5.9707,,,1574.8366,,,,1674.8366,0,,,94.0293,5895877000000,,0.1745,21.0926,0.1856,,,,,25000000.0,661362000000.0,,,,,,,,,,,,,
2017-03-31,0.3976,0.39,0.39,,10.0518,9.51,-1.2031,1.7745,3.969,,0.2435,,0.2448,188.7493,,,,39.7584,3.9554,0.2435,48.5133,,6.7114,-2.0077,,,-353000000,3.98,4.18,14198000000.0,,3.9931,14.8041,23.5606,,,,,,,,,,,,,,,,6.1569,,,1524.1911,,,,1624.1911,0,,,93.8431,5956607000000,,-0.0074,-3.0261,-0.0079,,,,,25000000.0,656554000000.0,,,,,,,,,,,,,
2017-06-30,0.7843,0.77,0.77,0.77,10.265,9.71,-10.0866,1.7745,4.1058,,0.4961,,0.4907,188.1129,,,,111.1844,10.8314,0.7034,48.5732,,8.3307,-2.1857,,,-753000000,7.71,8.115,27929000000.0,,3.2922,14.3038,9.8482,,,,,,,,,,,,,,,,6.494,,862.5962,1439.8852,,,78.4143,1539.8852,0,,0.7528,93.506,5767209000000,,-0.0638,-12.8613,-0.0682,,,,,17000000.0,663652000000.0,,,,,,,,,,,,,
