SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,SECURITY_TYPE_CODE,EPSJB,BPS,PER_CAPITAL_RESERVE,PER_UNASSIGN_PROFIT,PER_NETCASH,TOTALOPERATEREVE,GROSS_PROFIT,PARENTNETPROFIT,DEDU_PARENT_PROFIT,TOTALOPERATEREVETZ,PARENTNETPROFITTZ,DPNP_YOY_RATIO,YYZSRGDHBZC,NETPROFITRPHBZC,KFJLRGDHBZC,ROE_DILUTED,JROA,GROSS_PROFIT_RATIO,NET_PROFIT_RATIO,SEASON_LABEL
002625.SZ,002625,光启技术,10184530,2026-03-31 00:00:00,058001001,0.08,4.537910723151,2.353732048371,1.161263604942,0.022944868744,522345952.84,260408048.1,176152449.31,172178993.61,40.2793166828,17.0271317938,19.240164847,16.1765018633,117.1898988986,55.5984865387,1.8156133492,1.4745681232,49.853559060649,33.723329979348,一季度
002625.SZ,002625,光启技术,10184530,2025-12-31 00:00:00,058001001,0.04,4.468071922704,2.352385445825,1.079506693369,0.261608619872,449614116.85,185471019.4,81105267.88,110655956.52,55.8210133238,-29.4231465986,-1.5244399919,-31.1359850027,-63.1483432263,-48.434390812,0.8462016274,0.6973404307,41.251155702008,18.038861512673,四季度
002625.SZ,002625,光启技术,10184530,2025-09-30 00:00:00,058001001,0.102,4.428874875329,2.351040997547,1.04186363907,0.038758523777,652901398.31,298904579.58,220085811.55,214592551.63,56.4991798294,25.2755360179,23.3047276145,14.3748194005,-6.439277171,-7.2584529937,2.3335921201,1.9895611069,45.780967900161,33.708889599514,三季度
002625.SZ,002625,光启技术,10184530,2025-06-30 00:00:00,058001001,0.11,4.325656077979,2.349969722437,0.939716116831,-0.076477746035,570843653.99,316905079.8,235233124.43,231387720.56,7.5186954867,4.2985483469,2.6769947671,53.303681744,56.2774628611,60.2443443573,2.5562178601,2.2495345925,55.515214645016,41.207977488372,二季度
002625.SZ,002625,光启技术,10184530,2025-03-31 00:00:00,058001001,0.07,4.216478295732,2.349969722437,0.830538334584,0.151301284491,372361346.77,200496489.68,150522743.41,144396809.44,15.9635338809,10.816635951,10.1208943064,29.0478216805,30.9831269029,28.5024061983,1.6707092498,1.4987554664,53.84460321115,40.42383687665,一季度
002625.SZ,002625,光启技术,10184530,2024-12-31 00:00:00,058001001,0.05,4.144195761159,2.355592928817,0.760232706157,-0.085621539948,288545239.99,119976308.71,114917659.22,112368953.79,6.8393754462,-15.4704166934,-13.1867252978,-30.8362740239,-34.5874627023,-35.4328790344,1.2966892758,1.1432993051,41.579722027006,39.826565575638,四季度
002625.SZ,002625,光启技术,10184530,2024-09-30 00:00:00,058001001,0.082,4.079912317486,2.344185046866,0.707340570649,-0.102576317651,417191578.27,227364099.47,175681396.82,174034326.0,9.4285286353,19.482804143,24.2271686625,-21.4217519103,-22.1057208491,-22.7732502971,1.9619218124,1.7437970227,54.498727038745,42.110484959575,三季度
002625.SZ,002625,光启技术,10184530,2024-06-30 00:00:00,058001001,0.11,4.232170600834,2.344185046866,0.858253273739,0.178754181764,530925018.58,293784067.01,225538253.56,225354979.55,-0.0842492817,12.9896430791,26.6828665272,65.3446092468,66.0439477223,71.861774375,2.5042890458,2.2940327813,55.334379946108,42.475122791001,二季度
002625.SZ,002625,光启技术,10184530,2024-03-31 00:00:00,058001001,0.06,4.127738323516,2.344430911265,0.753575132022,-0.030428427564,321102103.66,159402924.0,135830457.33,131125714.47,3.0442307747,34.8752406502,37.7157539936,18.8941748292,-0.08766245,1.3042507459,1.5335922552,1.3946168605,49.642441510998,42.288622921568,一季度
002625.SZ,002625,光启技术,10184530,2023-12-31 00:00:00,058001001,0.06,4.093799195853,2.344292704379,0.690532700694,0.056903124919,270073873.78,139481003.82,135949634.11,129437524.59,-18.8985841878,72.1157532914,68.3283361132,-29.1601552621,-7.5391942477,-7.6064040464,1.5532319584,1.4144690557,51.645500495031,50.322836806758,四季度
002625.SZ,002625,光启技术,10184530,2023-09-30 00:00:00,058001001,0.068,4.030904138306,2.344495391189,0.627633872324,-0.033559957074,381245716.7,166643037.29,147034879.27,140093610.66,3.4663089652,25.0231207041,22.3439203105,-28.2526709815,-26.3387994424,-21.2466473295,1.707464602,1.5635653238,43.710140203655,38.556239590665,三季度
002625.SZ,002625,光启技术,10184530,2023-06-30 00:00:00,058001001,0.09,3.962549255334,2.344383201802,0.559391178739,-0.023180149188,531372696.26,261600362.22,199609669.89,177889075.08,54.5753852077,45.3007573813,22.8009620534,70.5217440705,98.2059310682,86.8293202511,2.3656978749,2.1522836336,49.231050835175,37.557224813138,二季度
002625.SZ,002625,光启技术,10184530,2023-03-31 00:00:00,058001001,0.05,3.869728554792,2.344247399738,0.466706430944,-0.007533316536,311615799.59,118094052.11,100708222.41,95214752.61,154.5883993222,135.8133804977,154.2846328454,-6.4238158898,27.484857789,23.8086647017,1.2152362959,1.0952471156,37.897324931977,32.304884284574,一季度
002625.SZ,002625,光启技术,10184530,2022-12-31 00:00:00,058001001,0.03,3.822856255049,2.344075509305,0.420005870951,0.053730801251,333007594.35,127777802.0,78987327.72,76895861.73,-29.8526638338,-47.6038623594,-46.03944834,-9.6250393499,-32.8075990338,-32.8161282302,0.94673636,0.8507258005,38.370837232529,23.659450642195,四季度
002625.SZ,002625,光启技术,10184530,2022-09-30 00:00:00,058001001,0.055,3.922570455611,2.345494785415,0.55697151339,-0.001233197971,368473293.88,125620958.0,117606150.32,114508028.11,232.9018434881,314.7747929547,405.575888112,7.1882348136,-14.408387988,-20.9692013578,1.4009237246,1.2734467079,34.092282964993,31.838340943158,三季度
002625.SZ,002625,光启技术,10184530,2022-06-30 00:00:00,058001001,0.06,3.867429645359,2.344957835918,0.502405533611,0.059772058676,343762815.5,184953358.3,137376895.68,144859675.45,100.9842213999,111.5004582035,152.3441213187,180.8523350221,221.6314247667,286.818891934,1.6621968235,1.5175156392,53.802607484171,40.023711857806,二季度
002625.SZ,002625,光启技术,10184530,2022-03-31 00:00:00,058001001,0.02,3.803328669899,2.344634310699,0.438653983084,-0.046873543178,122399842.42,40573133.27,42706746.41,37444163.08,18.9512970219,56.9118751652,70.7522876939,-74.2167354781,-71.6737271578,-73.7198681687,0.5225172873,0.4743852459,33.14802737309,34.85762399399,一季度
002625.SZ,002625,光启技术,10184530,2021-12-31 00:00:00,058001001,0.07,3.783523283517,2.344634310699,0.418832676576,-0.039117686814,474725930.52,229944695.53,150767263.48,142520331.12,51.9827924581,146.2197358521,154.3959104462,328.8971278152,431.903980977,529.2957036207,1.8677264587,1.6961497008,48.437357377577,31.414981517155,四季度
002625.SZ,002625,光启技术,10184530,2021-09-30 00:00:00,058001001,0.013,3.709542886662,2.34062065662,0.349257715567,0.023965861026,110685266.87,27861311.39,28344827.05,22641324.12,12.195060598,-9.472430489,12.345452264,-35.286798981,-56.3554356089,-60.5539783257,0.3552702444,0.3294784031,25.17165308254,25.497504182871,三季度
002625.SZ,002625,光启技术,10184530,2021-06-30 00:00:00,058001001,0.03,3.696406904561,2.34062065662,0.336102147604,-0.021551035986,171039703.07,77339030.82,64944690.01,57398244.89,24.9448084498,40.5175334031,39.4473980958,66.2207574795,138.6178753507,161.7465799314,0.8187884249,0.759801238,45.217004842641,37.89638758521,二季度
002625.SZ,002625,光启技术,10184530,2021-03-31 00:00:00,058001001,0.01,3.666303866934,2.34062065662,0.305959635825,-0.006348870005,102899123.83,41063163.24,27217026.35,21928937.87,16.1279648157,11.50994989,61.8239421762,-67.0570003116,-55.5515641533,-60.8464509954,0.3451433413,0.3150781267,39.906232153969,26.348180753018,一季度
002625.SZ,002625,光启技术,10184530,2020-12-31 00:00:00,058001001,0.03,3.653626696232,2.34062065662,0.293327509361,0.064494369559,312355052.07,101623025.79,61232810.18,56007535.53,54.4777244085,61.3810901304,151.1784672472,216.6157067341,95.5650486118,177.9074172501,0.7808842363,0.7141144459,32.534458820671,19.564907634759,四季度
002625.SZ,002625,光启技术,10184530,2020-09-30 00:00:00,058001001,0.015,3.625232561818,2.34062065662,0.265472865822,-0.013627638263,98654313.55,41983754.09,31310712.53,20153307.2,22.1252107634,17.5731710915,-14.7823483102,-27.9328478242,-32.2545985956,-51.0381152342,0.4016651941,0.3721403958,42.556430204871,31.678123708358,三季度
