datetime,num_stocks,num_long,num_short,long_return,short_return,long_turnover,short_turnover,daily_return,transaction_cost,net_return,cumulative_pnl,drawdown,factor
2023-09-01,5267,1054,1054,0.021987058,0.0088633895,0.0,0.0,0.013123669,0.0,0.013123668730258942,0.013123668730258942,0.0,intraday_ret
2023-09-04,5268,1054,1054,-0.008844169,-0.0054242867,0.6726755218216318,0.6707779886148008,-0.0034198822,0.0010075901328273243,-0.004427472285056872,0.008638091765620581,-0.00448557696463836,intraday_ret
2023-09-05,5271,1055,1057,0.011685079,0.0011079997,0.8026565464895635,0.7590132827324478,0.010577079,0.0011712523719165085,0.00940582653676536,0.01812516669514208,0.0,intraday_ret
2023-09-06,5272,1055,1055,-0.022599645,-0.015783556,0.6255924170616114,0.6944181646168401,-0.006816089,0.0009900079362588387,-0.007806097089548634,0.010177582794606899,-0.007947583900535182,intraday_ret
2023-09-07,5273,1055,1055,-0.0015591353,0.0075985333,0.7876777251184834,0.8056872037914692,-0.009157669,0.0011950236966824647,-0.010352692495844376,-0.0002804750862610561,-0.018405641781403137,intraday_ret
2023-09-08,5273,1055,1055,0.0021728843,0.008791727,0.7800947867298578,0.7971563981042654,-0.0066188425,0.0011829383886255923,-0.007801780871192426,-0.008080067752290643,-0.026205234447432724,intraday_ret
2023-09-11,5275,1055,1055,0.0028979161,-0.0036965131,0.814218009478673,0.8170616113744076,0.0065944293,0.0012234597156398105,0.00537096954261734,-0.002752496007473071,-0.020877662702615152,intraday_ret
2023-09-12,5276,1056,1056,-0.0140342275,-0.010475624,0.6417061611374408,0.6843601895734597,-0.003558603,0.0009945497630331754,-0.004553152878412986,-0.007293116350766793,-0.025418283045908874,intraday_ret
2023-09-13,5276,1138,1056,-0.0067789857,-0.012549293,0.7642045454545454,0.7585227272727273,0.0057703075,0.0011420454545454546,0.004628262045369907,-0.0026986087589956353,-0.020823775454137716,intraday_ret
2023-09-14,5275,1055,1055,0.0019366902,-0.0019505329,0.656414762741652,0.6429924242424243,0.003887223,0.0009745553902380571,0.0029126676895625484,0.0002061987800279219,-0.01791896791511416,intraday_ret
2023-09-15,5276,1056,1056,0.004202691,0.0062714643,0.7184834123222749,0.6824644549763033,-0.0020687734,0.0010507109004739338,-0.003119484278160673,-0.0029139287319852603,-0.02103909542712734,intraday_ret
2023-09-18,5279,1056,1056,-0.01330621,-0.00854145,0.7689393939393939,0.771780303030303,-0.00476476,0.0011555397727272727,-0.005920299685814164,-0.008816977086443023,-0.026942143781585104,intraday_ret
2023-09-19,5279,1056,1056,-0.00512295,-0.009467269,0.8390151515151515,0.7803030303030303,0.0043443195,0.0012144886363636362,0.003129830822687258,-0.005714741910403887,-0.023839908605545967,intraday_ret
2023-09-20,5280,1056,1056,-0.008346202,-0.006392875,0.6799242424242424,0.7073863636363636,-0.0019533266,0.0010404829545454545,-0.0029938095858828588,-0.008691442647174585,-0.026816609342316666,intraday_ret
2023-09-21,5282,1057,1057,0.018905275,0.017612616,0.7632575757575757,0.7698863636363636,0.001292659,0.0011498579545454546,0.00014280101521448648,-0.00854988277879376,-0.02667504947393584,intraday_ret
2023-09-22,5282,1057,1057,-0.0053382334,-0.0021318644,0.7105014191106906,0.7928098391674551,-0.003206369,0.0011274834437086092,-0.004333852445126961,-0.012846681293534279,-0.03097184798867636,intraday_ret
2023-09-25,5284,1057,1057,-0.0050946143,-0.004303447,0.8088930936613056,0.8580889309366131,-0.0007911674,0.0012502365184484392,-0.002041403893148747,-0.014861859921476372,-0.03298702661661845,intraday_ret
2023-09-26,5284,1058,1057,0.004167619,0.004064173,0.7559129612109745,0.7701040681173131,0.00010344619,0.0011445127719962157,-0.0010410665826820888,-0.015887454318437744,-0.034012621013579825,intraday_ret
2023-09-27,5282,1057,1057,0.0043233386,0.015723974,0.7476370510396975,0.7786187322611163,-0.011400634,0.0011446918374756105,-0.012545326260373904,-0.028233467280940006,-0.046358633976082086,intraday_ret
2023-09-28,5284,1057,1057,0.0043690414,-0.0073694303,0.826868495742668,0.8230842005676443,0.011738472,0.0012374645222327342,0.010501007164607324,-0.01802893995853161,-0.03615410665367369,intraday_ret
2023-10-09,5285,1057,1057,0.00028957165,-0.0031065124,0.6263008514664143,0.8098391674550615,0.003396084,0.001077105014191107,0.0023189790522892915,-0.015751769640341196,-0.033876936335483276,intraday_ret
2023-10-10,5286,1058,1058,0.0026515445,0.005955822,0.6811731315042573,0.8117313150425733,-0.0033042773,0.0011196783349101229,-0.004423955648783295,-0.02010604015884576,-0.03823120685398784,intraday_ret
2023-10-11,5287,1058,1058,0.0006129089,0.008140763,0.7466918714555766,0.8043478260869565,-0.0075278543,0.0011632797731569,-0.008691134066741723,-0.028622429935015625,-0.046747596630157706,intraday_ret
2023-10-12,5288,1058,1058,-0.0037138257,-0.007846574,0.8071833648393194,0.8506616257088847,0.0041327486,0.0012433837429111532,0.0028893648385579056,-0.025815765739106045,-0.043940932434248126,intraday_ret
2023-10-13,5288,1058,1058,0.022659393,0.8789686,0.7457466918714556,0.7296786389413988,-0.8563092,0.0011065689981096408,-0.8574157444894427,-0.8610966662277881,-0.8792218329229302,intraday_ret
2023-10-16,5289,1058,1058,-0.0030982562,-0.0031525653,0.77882797731569,0.782608695652174,5.4309145e-05,0.001171077504725898,-0.001116768360109771,-0.8612517890760587,-0.8793769557712008,intraday_ret
2023-10-17,5290,1058,1058,-0.015840007,-0.016721023,0.7069943289224953,0.7353497164461248,0.00088101625,0.001081758034026465,-0.00020074177960141613,-0.861279641638836,-0.879404808333978,intraday_ret
2023-10-18,5290,1058,1059,-0.017108297,-0.0062696286,0.6994328922495274,0.7136105860113422,-0.010838669,0.0010597826086956523,-0.011898451402135517,-0.8629301990812832,-0.8810553657764253,intraday_ret
2023-10-19,5293,1059,1059,-0.014058845,-0.009149346,0.7939508506616257,0.8035882908404155,-0.0049094995,0.001198154356126531,-0.0061076539045021375,-0.8637673739860536,-0.8818925406811957,intraday_ret
2023-10-20,5294,1059,1059,-0.023654085,-0.024708131,0.7677053824362606,0.7960339943342776,0.0010540467,0.0011728045325779038,-0.00011875785701504524,-0.8637835526807747,-0.8819087193759167,intraday_ret
2023-10-23,5293,1059,1059,0.013851096,0.028975978,0.7620396600566572,0.7384324834749765,-0.015124883,0.0011253541076487253,-0.016250236679047937,-0.8659971021892912,-0.8841222688844332,intraday_ret
2023-10-24,5294,1059,1059,0.013165999,0.013586663,0.8328611898016998,0.8328611898016998,-0.0004206635,0.0012492917847025497,-0.0016699552904951675,-0.8662208810374318,-0.8843460477325739,intraday_ret
2023-10-25,5296,1060,1060,0.0059222123,0.0015683739,0.7629839471199245,0.7346553352219074,0.0043538385,0.001123229461756374,0.0032306090453296647,-0.8657886930056351,-0.8839138597007772,intraday_ret
2023-10-26,5295,1059,1059,0.008693373,0.018113602,0.739622641509434,0.7933962264150943,-0.009420229,0.0011497641509433964,-0.010569993272986052,-0.8672073056177242,-0.8853324723128663,intraday_ret
2023-10-27,5295,1059,1059,0.016899325,0.0137254605,0.8092540132200189,0.8253068932955618,0.0031738644,0.0012259206798866857,0.0019479437666937243,-0.8669486329164398,-0.8850737996115818,intraday_ret
2023-10-30,5297,1060,1060,-0.004908819,-0.004873176,0.7025495750708215,0.7969782813975448,-3.5643112e-05,0.0011246458923512748,-0.001160289004265671,-0.8671030109546694,-0.8852281776498114,intraday_ret
2023-10-31,5300,1060,1060,-0.0011048546,0.00062214996,0.760377358490566,0.7858490566037736,-0.0017270045,0.0011596698113207548,-0.0028866743468169897,-0.8674866412837157,-0.8856118079788577,intraday_ret
