datetime,intraday_ret
2023-09-01,0.013123668730258942
2023-09-04,0.008638091765620581
2023-09-05,0.01812516669514208
2023-09-06,0.010177582794606899
2023-09-07,-0.0002804750862610561
2023-09-08,-0.008080067752290643
2023-09-11,-0.002752496007473071
2023-09-12,-0.007293116350766793
2023-09-13,-0.0026986087589956353
2023-09-14,0.0002061987800279219
2023-09-15,-0.0029139287319852603
2023-09-18,-0.008816977086443023
2023-09-19,-0.005714741910403887
2023-09-20,-0.008691442647174585
2023-09-21,-0.00854988277879376
2023-09-22,-0.012846681293534279
2023-09-25,-0.014861859921476372
2023-09-26,-0.015887454318437744
2023-09-27,-0.028233467280940006
2023-09-28,-0.01802893995853161
2023-10-09,-0.015751769640341196
2023-10-10,-0.02010604015884576
2023-10-11,-0.028622429935015625
2023-10-12,-0.025815765739106045
2023-10-13,-0.8610966662277881
2023-10-16,-0.8612517890760587
2023-10-17,-0.861279641638836
2023-10-18,-0.8629301990812832
2023-10-19,-0.8637673739860536
2023-10-20,-0.8637835526807747
2023-10-23,-0.8659971021892912
2023-10-24,-0.8662208810374318
2023-10-25,-0.8657886930056351
2023-10-26,-0.8672073056177242
2023-10-27,-0.8669486329164398
2023-10-30,-0.8671030109546694
2023-10-31,-0.8674866412837157
2023-11-01,-0.8668779926041585
2023-11-02,-0.8697420843100581
2023-11-03,-0.8681480945537842
2023-11-06,-0.8672505748446
2023-11-07,-0.8672730801534954
2023-11-08,-0.8680070892635694
2023-11-09,-0.8686263572024369
2023-11-10,-0.8692779982177767
2023-11-13,-0.868923465059433
2023-11-14,-0.8697778896360829
2023-11-15,-0.8705847553495242
2023-11-16,-0.8711183057287403
2023-11-17,-0.8707271475759619
2023-11-20,-0.8697436432185053
2023-11-21,-0.8644624077984444
2023-11-22,-0.8667859173622915
2023-11-23,-0.8695563266984978
2023-11-24,-0.866592316556315
2023-11-27,-0.8683364209868321
2023-11-28,-0.8680451044851261
2023-11-29,-0.8678703886835686
2023-11-30,-0.8676859564173528
2023-12-01,-0.86680995817572
2023-12-04,-0.8661933806290236
2023-12-05,-0.8661850573031341
2023-12-06,-0.8668196329462844
2023-12-07,-0.865251600990516
2023-12-08,-0.8663650196329751
2023-12-11,-0.8670784568592671
2023-12-12,-0.8662962298122232
2023-12-13,-0.8653186559817787
2023-12-14,-0.8648250019346793
2023-12-15,-0.8648598827996966
2023-12-18,-0.8659753618170973
2023-12-19,-0.8660026025870748
2023-12-20,-0.8702868175059805
2023-12-21,-0.87132305746762
2023-12-22,-0.8689449623231202
2023-12-25,-0.8680748657767506
2023-12-26,-0.8697517411735277
2023-12-27,-0.872080554324353
