报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,8945169872.83,,,146891704.85,,,9555238301.88,,9555238301.88,399648558.37,311594696.23,,,,,,,,,,,185516155.36,9745305354.44,,,,,1366166134.85,30655530778.81,,,,,,,,124827697.54,141482734.9,338145181.85,443564206.28,,,,,,,3447555504.13,,,,,16462103824.49,,,,,2122766576.2,1263536432.72,47059129.08,4769259362.01,985449143.32,,905697493.0,1338637442.03,32390084727.55,63045615506.36,,8861034376.38,,,,71497183.84,,13788137841.43,915591987.37,12872545854.06,,468039425.95,,,820501694.46,632223582.26,,,,,,259090579.7,,,,,,,,,,,,,,3274772236.99,45041260.95,28220338181.96,,8230896518.92,,,,1794417514.28,138140507.86,,,,250844235.6,935846329.48,582482022.06,,11932627128.2,40152965310.16,,1831607532.0,,,,9334943023.09,125085277.62,-301215059.2,,249150887.74,,,11648298773.99,,,22637699880.0,254950316.2,22892650196.2,63045615506.36,定期报告,未审计,20260428,CNY,合并期末,2026-04-27T19:02:05
20251231,,7650283509.1,,,201553860.61,,,9792745060.06,,9792745060.06,285277607.54,274265688.35,,,,,,,,,,165859090.82,165859090.82,8928944182.01,,,,,1328586793.26,28627515791.75,,,,,,,,126566432.55,142555461.11,356797043.79,442976297.74,,,32608950999.82,15711076152.06,16897874847.76,311112616.61,2345985416.22,2345985416.22,,16586762231.15,,16586762231.15,,,,,2209353814.61,1321067216.43,41694639.16,4769259362.01,990698521.69,,829762594.06,1459542272.71,31623021303.23,60250537094.98,,8011474049.03,,,,46545937.17,,14045949638.02,1002812950.68,13043136687.34,,474660658.17,,,995231432.74,641337262.33,,,,,705336813.22,705336813.22,,,,,,,,,,,,,,3488303627.95,43838129.08,28452677547.71,,6375079464.54,,,,1790064820.73,142470448.33,,,,263756502.85,889843133.49,634806937.54,,10096021307.48,38548698855.19,,1831607532.0,,,,9257892537.77,175076133.79,-240832682.74,,249150887.74,,,10538405831.61,,,21461147972.59,240690267.2,21701838239.79,60250537094.98,定期报告,是,20260428,CNY,合并期末,2026-04-21T19:10:04
20250930,,6675956723.13,,,472402577.43,,,7194036973.73,882009.37,7193154964.36,316271963.88,2771064613.44,,,,,,,,,,,47080114.98,7285677362.44,,,,,1301383118.03,26063873447.06,,,,,,,,120418325.45,590148.8,30000000.0,358526360.0,,,,,,,2543386535.5,,,,,14772733526.13,,,,,1273458905.72,919571880.7,,2116339313.3,1158352824.0,,857700901.13,1679703063.34,25830781784.07,51894655231.13,,6957003726.51,,,,73169508.54,,11158824121.67,904194436.12,10254629685.55,,73005116.84,,,516100913.39,409497907.74,,,,,,240665022.81,,,,,,,,,,,,,,2879116259.0,4334035.53,22311716612.03,,5418373781.83,,,,1403796165.91,,,,,46359847.17,708057647.6,637487972.16,,8214075414.67,30525792026.7,,1831607532.0,,,,9258103158.56,175076133.79,-230632829.99,,232241216.54,,,10392607216.36,,,21308850159.68,60013044.75,21368863204.43,51894655231.13,定期报告,未审计,20251022,CNY,合并期末,2025-10-21T18:20:18
20250630,,8727972410.77,,,99120489.81,,,6020260135.22,17976222.55,6002283912.67,252886223.6,200720870.22,,,,,,,,,,225193916.9,225193916.9,6408328579.03,,,,,1263371376.18,23197854001.73,,,,,,,,123200615.96,653194.76,30000000.0,333657110.0,,,31105657319.83,15573343766.66,15532313553.17,404515852.6,2440814349.98,2440814349.98,,15127797700.57,,15127797700.57,,,,,1291173420.55,933681354.0,,2117430282.36,898166932.32,,831838960.07,560438857.08,24688852777.65,47886706779.38,,5799403308.56,,,,71586000.0,,10016982394.79,934630146.08,9082352248.71,,172934050.12,,,446039909.9,319446877.47,,,,,96940026.12,96940026.12,,,,,,,,,,,,,,2493252418.3,3133052.29,19419718037.55,,4705082312.9,,,,1388052599.32,,27754051.05,27754051.05,,39478887.17,749040476.71,627588885.99,,7536997213.14,26956715250.69,,1831607532.0,,,,9258103158.56,175076133.79,-204407027.2,,232241216.54,,,9927254777.86,,,20869723523.97,60268004.72,20929991528.69,47886706779.38,定期报告,未审计,20250827,CNY,合并期末,2025-08-26T18:56:06
20250331,,7742906407.53,,,86541397.44,,,6769504444.29,17257280.16,6752247164.13,375935062.06,116757326.77,,,,,,,,,,,55682691.13,6274583633.17,,,,,1054868006.75,22476778969.14,,,,,,,,125277018.51,716701.31,30000000.0,333657110.0,,,,,,,3308966077.84,,,,,13354981400.82,,,,,1310309497.86,941973911.75,,2119612220.47,1022090809.94,,834646071.86,610691812.13,23992922632.49,46469701601.63,,5011071751.1,,,,71937448.3,,10112271894.99,1087354950.36,9024916944.63,,138650188.74,,,410979939.72,445895346.75,,,,,,91987735.92,,,,,,,,,,,,,,2953856400.36,3125450.35,19239776156.23,,4956717548.71,,,,1374932544.8,,,27830040.68,,52728225.76,799025509.65,621663362.63,,7832897232.23,27072673388.46,,1705913710.0,,,,7992284435.83,74991696.79,-262705957.77,,232241216.54,,,9743906400.05,,,19336648107.86,60380105.31,19397028213.17,46469701601.63,定期报告,未审计,20250430,CNY,合并期末,2025-04-29T17:02:10
20241231,,7172331252.29,,,78144342.95,,,7672495124.09,9037098.6,7663458025.49,252612009.41,93875465.69,,,,,,,,,,45836662.39,45836662.39,6152655607.85,,,,,1209842283.99,22677792748.66,,,,,,,,155008795.68,781129.1,30000000.0,333657110.0,,,28692407312.26,14688784854.6,14003622457.66,408431225.26,2575154318.35,2575154318.35,,13595191232.4,,13595191232.4,,,,,1313776299.13,962594133.34,,2119612220.47,903599713.89,,834450612.08,512554751.37,23336380315.81,46014173064.47,,4810954130.69,,,,82922390.17,,10594850262.93,935581272.5,9659268990.43,,122562435.14,,,597573087.02,395772127.76,,,,,94163223.9,94163223.9,,,,,,,,,,,,,,2458987301.36,5190838.21,19162975797.18,,5289187891.33,,,,1351518837.18,,49434786.31,49434786.31,,58258872.92,585933889.89,630759756.43,,7965094034.06,27128069831.24,,1705913710.0,,,,7992284435.83,74991696.79,-317104374.08,,232241216.54,,,9288043977.88,,,18826387269.38,59715963.85,18886103233.23,46014173064.47,定期报告,是,20260422,CNY,合并期末,2025-04-24T21:36:13
20240930,,6335304052.22,,,127097195.95,,,7818678098.91,29698586.34,7788979512.57,143552711.3,69796148.17,,,,,,,,,,,93478456.65,6598357373.26,,,,,1048059641.55,22234323678.01,,,,,,,,158460373.53,845556.89,30000000.0,333657110.0,,,,,,,2153946689.08,,,,,13609886204.13,,,,,1242766623.42,986790629.95,,2205652600.95,1031546053.57,,1203077577.03,483396939.47,23440026358.02,45674350036.03,,4660773719.34,,,,70358700.0,,10123184693.13,1174849233.49,8948335459.64,,79124383.69,,,525334698.43,370023035.71,,,,,,101085087.81,,,,,,,,,,,,,,2350236651.37,5993498.38,18286114467.86,,4900636202.59,,,,1847873256.85,,,274358834.77,,66690608.03,619645696.05,817982076.36,,8527186674.65,26813301142.51,,1705913710.0,,,,7992913207.39,74991696.79,-661611124.64,,184866869.73,,,9667130694.85,,,18814221660.54,46827232.98,18861048893.52,45674350036.03,定期报告,未审计,20241029,CNY,合并期末,2024-10-28T18:50:06
20240630,,7954476596.69,,,140916032.21,,,6660085647.97,25236878.62,6634848769.35,199435267.61,68612672.57,,,,,,,,,,98014969.32,98014969.32,6191742129.7,,,,,1086141825.81,22399425141.88,,,,,,,,151095048.38,909984.68,30000000.0,283657110.0,,,26892167202.53,14162982627.81,12729184574.72,17038168.22,2212779454.69,2212779454.69,,12712146406.5,,12712146406.5,,,,,1268794116.83,995721202.51,,2205652600.95,917009459.65,,1128406535.94,1313425496.55,23219597416.68,45619022558.56,,5605192891.45,,,,180575141.54,,9332886931.65,979409601.51,8353477330.14,,47925820.33,,,458029549.03,322276046.63,,,,,81678161.65,81678161.65,,,,,,,,,,,,,,2476592843.67,2348195.83,18507505581.78,,5230423595.11,,,,1880994634.25,,254675989.48,254675989.48,,49855521.53,656700278.49,821262633.39,,8893912652.25,27401418234.03,,1709867327.0,,,,8064875551.23,150907657.63,-797128107.05,,184866869.73,,,9160377413.07,,,18171951396.35,45652928.18,18217604324.53,45619022558.56,定期报告,未审计,20240820,CNY,合并期末,2024-08-19T18:20:12
20240331,,9576910104.49,,,152245731.91,,,5814165224.72,25210385.02,5788954839.7,152757569.67,99280067.53,,,,,,,,,,,76606081.41,6480397115.75,,,,,781711069.91,23134072965.39,,,,,,,,155406879.89,974412.47,30000000.0,283657110.0,,,,,,,1775689973.51,,,,,12626832367.03,,,,,1253757851.97,934346471.48,,2209199500.95,887713854.29,,1104234822.76,1166622300.51,22428435544.86,45562508510.25,,6265314841.7,,,,159387320.86,,8300808008.92,1014330554.16,7286477454.76,,34091670.34,,,407868832.94,516856518.67,,,,,,84018191.98,,,,,,,,,,,,,,2574231466.81,4922375.29,18347499227.51,,5185944723.58,,,,1860785062.02,,,276258365.53,,50692640.34,726513898.19,693794197.94,,8793988887.6,27141488115.11,,1709867327.0,,,,8064875550.95,150907657.63,-749374798.54,,184866869.73,,,9314444016.86,,,18373771308.37,47249086.77,18421020395.14,45562508510.25,定期报告,未审计,20240425,CNY,合并期末,2024-04-24T17:50:13
20231231,,7190036231.06,,,146141371.77,,,7716572395.54,3407623.49,7713164772.05,290477095.22,79782739.11,,,,,,,,,,77134897.39,77134897.39,6293879276.54,,,,,651719745.68,22445743752.31,,,,,,,,155406879.89,1038840.26,30000000.0,278157110.0,,,26034503002.04,13601908898.18,12432594103.86,17342414.06,1842525188.54,1842525188.54,,12415251689.8,,12415251689.8,,,,,1252668050.83,863692421.74,,2209199500.98,866872191.21,,1078140428.38,933022974.34,21925975275.97,44371719028.28,,5156100217.01,,,,104174076.23,,8948278392.45,909171215.93,8039107176.52,,28982676.07,,,553178980.68,475576206.83,,,,,80188628.54,80188628.54,,,,,,,,,,,,,,2496716906.35,6556017.38,17849752101.54,,4706280338.76,,,,1842799193.8,,296995789.48,296995789.48,,60785210.44,733456685.17,691293111.83,,8331610329.48,26181362431.02,,1709867327.0,,,,8063768409.73,125906811.33,-714664578.64,,184866869.73,,,9025095529.05,,,18143026745.54,47329851.72,18190356597.26,44371719028.28,定期报告,是,20250425,CNY,合并期末,2024-04-17T20:35:08
