报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,261503000000.0,,,7881000000.0,,25260000000.0,115653000000.0,,115653000000.0,8404000000.0,19175000000.0,,,,,,,,,,,80597000000.0,169425000000.0,,,,,62948000000.0,750846000000.0,,,,,,,,307149000000.0,,,1312000000.0,,,,,,,216705000000.0,,,,,551373000000.0,,,839313000000.0,,172348000000.0,92482000000.0,,7117000000.0,18108000000.0,,29883000000.0,51913000000.0,2287703000000.0,3038549000000.0,,68032000000.0,,,,995000000.0,38503000000.0,280592000000.0,12783000000.0,267809000000.0,,77631000000.0,,,11875000000.0,59074000000.0,,,,,,61805000000.0,,,,,,,,,,,,,,35040000000.0,28896000000.0,662443000000.0,,161432000000.0,15000000000.0,,,152560000000.0,,,,,174066000000.0,,27341000000.0,9939000000.0,540338000000.0,1202781000000.0,,183021000000.0,,,,117084000000.0,,-36441000000.0,8474000000.0,266528000000.0,,,1085866000000.0,,,1624532000000.0,211236000000.0,1835768000000.0,3038549000000.0,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T17:56:05
20251231,,238909000000.0,,,6175000000.0,,9342000000.0,77929000000.0,,77929000000.0,1864000000.0,14673000000.0,71000000.0,,,,,,,,,25953000000.0,29118000000.0,150598000000.0,,,,,70661000000.0,599269000000.0,,,,,,,,303575000000.0,,,1324000000.0,,,1389837000000.0,796210000000.0,593627000000.0,65538000000.0,217263000000.0,216616000000.0,,528089000000.0,,558554000000.0,,,865782000000.0,,125970000000.0,93465000000.0,,7263000000.0,18270000000.0,,30056000000.0,42667000000.0,2264189000000.0,2863458000000.0,,34513000000.0,,,,4152000000.0,5440000000.0,269686000000.0,13658000000.0,256028000000.0,,84599000000.0,,,7819000000.0,51006000000.0,,,,,,28039000000.0,,,,,,,,,,,,,,39467000000.0,15508000000.0,540229000000.0,,151062000000.0,15000000000.0,,,116365000000.0,,,,,173503000000.0,,26641000000.0,9884000000.0,492455000000.0,1032684000000.0,,183021000000.0,,,,152070000000.0,,-29581000000.0,7049000000.0,266528000000.0,,,1038200000000.0,,,1617287000000.0,213487000000.0,1830774000000.0,2863458000000.0,定期报告,是,20260430,CNY,合并期末,2026-03-29T15:50:13
20250930,,282770000000.0,,,6721000000.0,,9099000000.0,103128000000.0,,103128000000.0,8984000000.0,20769000000.0,,,,,,,,,,,40180000000.0,165149000000.0,,,,,64619000000.0,701419000000.0,,,,,,,,303028000000.0,,,693000000.0,,,,,,,212798000000.0,,,,,484216000000.0,,,822891000000.0,,127698000000.0,91462000000.0,,7372000000.0,14149000000.0,,30740000000.0,53498000000.0,2148545000000.0,2849964000000.0,,43926000000.0,,,,1017000000.0,6439000000.0,255611000000.0,14062000000.0,241549000000.0,,88746000000.0,,,18871000000.0,55816000000.0,,,,,,82392000000.0,,,,,,,,,,,,,,35719000000.0,22585000000.0,611122000000.0,,147153000000.0,15000000000.0,,,117451000000.0,,,,,164990000000.0,,26244000000.0,11794000000.0,482632000000.0,1093754000000.0,,183021000000.0,,,,121380000000.0,,-31168000000.0,10477000000.0,252305000000.0,,,1022462000000.0,,,1558477000000.0,197733000000.0,1756210000000.0,2849964000000.0,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T22:14:06
20250630,,284493000000.0,,,9028000000.0,,7261000000.0,119715000000.0,,119715000000.0,15177000000.0,21047000000.0,239000000.0,,,,,,,,,36552000000.0,36791000000.0,155724000000.0,,,,,61442000000.0,710678000000.0,,,,,,,,295267000000.0,,,690000000.0,,,1317342000000.0,788861000000.0,528481000000.0,66952000000.0,228990000000.0,,,461529000000.0,,461529000000.0,,,827863000000.0,,129576000000.0,91696000000.0,,7424000000.0,13850000000.0,,29818000000.0,52251000000.0,2138954000000.0,2849632000000.0,,46409000000.0,,,,3698000000.0,5099000000.0,270708000000.0,12837000000.0,257871000000.0,,77565000000.0,,,15038000000.0,57151000000.0,,,,,,72676000000.0,,,,,,,,,,,,,,112544000000.0,23382000000.0,684270000000.0,,76905000000.0,15000000000.0,,,118472000000.0,,,,,164521000000.0,,26386000000.0,10936000000.0,412220000000.0,1096490000000.0,,183021000000.0,,,,121729000000.0,,-30932000000.0,9414000000.0,252305000000.0,,,1020356000000.0,,,1555893000000.0,197249000000.0,1753142000000.0,2849632000000.0,定期报告,未审计,20250827,CNY,合并期末,2025-08-26T20:20:06
20250331,,291567000000.0,,,8134000000.0,,8611000000.0,103623000000.0,,103623000000.0,17179000000.0,20725000000.0,,,,,,,,,,,36841000000.0,143148000000.0,,,,,59195000000.0,689023000000.0,,,,,,,,295057000000.0,,,673000000.0,,,,,,,218100000000.0,,,,,471792000000.0,,,848261000000.0,,131050000000.0,92440000000.0,,7425000000.0,13759000000.0,,28237000000.0,45667000000.0,2152461000000.0,2841484000000.0,,41870000000.0,,,,4913000000.0,3534000000.0,272302000000.0,11320000000.0,260982000000.0,,83696000000.0,,,11313000000.0,61658000000.0,,,,,,52186000000.0,,,,,,,,,,,,,,101365000000.0,23059000000.0,655896000000.0,,77785000000.0,24001000000.0,,,120086000000.0,,,,,162912000000.0,,26562000000.0,10186000000.0,421532000000.0,1077428000000.0,,183021000000.0,,,,121805000000.0,,-29756000000.0,8233000000.0,252305000000.0,,,1029035000000.0,,,1564643000000.0,199413000000.0,1764056000000.0,2841484000000.0,定期报告,未审计,20250430,CNY,合并期末,2025-04-29T20:50:14
20241231,,216246000000.0,,,2816000000.0,,9020000000.0,71610000000.0,,71610000000.0,8868000000.0,14192000000.0,1965000000.0,,,,,,,,,32422000000.0,34387000000.0,168338000000.0,,,,,65367000000.0,590844000000.0,,,,,,,,290077000000.0,,,707000000.0,,,1308225000000.0,761341000000.0,546884000000.0,66477000000.0,214967000000.0,,,480407000000.0,,480407000000.0,,,875436000000.0,,120865000000.0,92790000000.0,,7436000000.0,14018000000.0,,26765000000.0,38695000000.0,2162163000000.0,2753007000000.0,,45955000000.0,,,,3808000000.0,7051000000.0,287680000000.0,14895000000.0,272785000000.0,,80266000000.0,,,8095000000.0,60245000000.0,,,,,,24198000000.0,,,,,,,,,,,,,,101757000000.0,18262000000.0,637317000000.0,,74072000000.0,24000000000.0,,,109968000000.0,,,,,162019000000.0,,25688000000.0,10080000000.0,405827000000.0,1043144000000.0,,183021000000.0,,,,121812000000.0,,-30748000000.0,6747000000.0,252305000000.0,,,982234000000.0,,,1515371000000.0,194492000000.0,1709863000000.0,2753007000000.0,定期报告,是,20260330,CNY,合并期末,2025-03-31T08:25:36
20240930,,253596000000.0,,,7582000000.0,,13845000000.0,94615000000.0,,94615000000.0,16001000000.0,23046000000.0,,,,,,,,,,,37801000000.0,172445000000.0,,,,,61048000000.0,679979000000.0,,,,,,,,289600000000.0,,,754000000.0,,,,,,,213317000000.0,,,,,453624000000.0,,,823469000000.0,,121780000000.0,91419000000.0,,7363000000.0,13307000000.0,,26496000000.0,55853000000.0,2096982000000.0,2776961000000.0,,35376000000.0,,,,3929000000.0,6507000000.0,272488000000.0,19182000000.0,253306000000.0,,84494000000.0,,,23560000000.0,80278000000.0,,,,,,85657000000.0,,,,,,,,,,,,,,101110000000.0,21926000000.0,715325000000.0,,64541000000.0,24000000000.0,,,111139000000.0,,,,,147242000000.0,,25155000000.0,10521000000.0,382598000000.0,1097923000000.0,,183021000000.0,,,,123333000000.0,,-28292000000.0,9805000000.0,237802000000.0,,,964337000000.0,,,1490006000000.0,189032000000.0,1679038000000.0,2776961000000.0,定期报告,未审计,20241030,CNY,合并期末,2024-10-29T20:50:04
20240630,,238880000000.0,,,9895000000.0,,11851000000.0,90108000000.0,,90108000000.0,11142000000.0,24847000000.0,210000000.0,,,,,,,,,41419000000.0,41629000000.0,182674000000.0,,,,,61345000000.0,672371000000.0,,,,,,,,292606000000.0,,,693000000.0,,,1255712000000.0,730645000000.0,525067000000.0,66199000000.0,201156000000.0,,,458868000000.0,,458868000000.0,,,831001000000.0,,123479000000.0,91529000000.0,,7476000000.0,13153000000.0,,24707000000.0,51258000000.0,2095926000000.0,2768297000000.0,,40594000000.0,,,,4685000000.0,7139000000.0,285511000000.0,18348000000.0,267163000000.0,,77862000000.0,,,18890000000.0,78287000000.0,,,,,,81875000000.0,,,,,,,,,,,,,,100680000000.0,21118000000.0,716641000000.0,,70126000000.0,11000000000.0,,,112170000000.0,,,,,146864000000.0,,23846000000.0,9497000000.0,373503000000.0,1090144000000.0,,183021000000.0,,,,123092000000.0,,-23938000000.0,9230000000.0,237802000000.0,,,960697000000.0,,,1489904000000.0,188249000000.0,1678153000000.0,2768297000000.0,定期报告,未审计,20240827,CNY,合并期末,2024-08-26T21:40:04
20240331,,260516000000.0,,,6435000000.0,,15901000000.0,93244000000.0,,93244000000.0,11646000000.0,25594000000.0,,,,,,,,,,,31989000000.0,169321000000.0,,,,,56342000000.0,670988000000.0,,,,,,,,289853000000.0,,,774000000.0,,,,,,,191806000000.0,,,,,459827000000.0,,,838093000000.0,,125252000000.0,91720000000.0,,7454000000.0,13419000000.0,,20021000000.0,44976000000.0,2083195000000.0,2754183000000.0,,42548000000.0,,,,1727000000.0,11589000000.0,269543000000.0,18809000000.0,250734000000.0,,78450000000.0,,,14110000000.0,80026000000.0,,,,,,59249000000.0,,,,,,,,,,,,,,46997000000.0,23603000000.0,627842000000.0,,135248000000.0,17041000000.0,,,113504000000.0,,,,,145469000000.0,,24938000000.0,9281000000.0,445481000000.0,1073323000000.0,,183021000000.0,,,,123064000000.0,,-20631000000.0,8256000000.0,237802000000.0,,,959863000000.0,,,1491375000000.0,189485000000.0,1680860000000.0,2754183000000.0,定期报告,未审计,20240430,CNY,合并期末,2024-04-30T01:00:05
20231231,,269873000000.0,,,7404000000.0,,16939000000.0,69006000000.0,,69006000000.0,10661000000.0,13915000000.0,49000000.0,,,,,,,,,32114000000.0,32163000000.0,180639000000.0,,,,,62498000000.0,663098000000.0,,,,,,,,280972000000.0,,,839000000.0,,,1253218000000.0,716326000000.0,536892000000.0,66834000000.0,197488000000.0,,,470058000000.0,,470058000000.0,,,856256000000.0,,125436000000.0,92745000000.0,,7442000000.0,14089000000.0,,18127000000.0,32687000000.0,2096139000000.0,2759237000000.0,,38979000000.0,,,,1727000000.0,10729000000.0,310665000000.0,20731000000.0,289934000000.0,,83940000000.0,,,8592000000.0,73991000000.0,,,,,,28585000000.0,,,,,,,,,,,,,,117823000000.0,15566000000.0,690597000000.0,,126165000000.0,17033000000.0,,,113440000000.0,,,,,144299000000.0,,23144000000.0,9015000000.0,433096000000.0,1123693000000.0,,183021000000.0,,,,127678000000.0,,-18724000000.0,6885000000.0,237802000000.0,,,914671000000.0,,,1451333000000.0,184211000000.0,1635544000000.0,2759237000000.0,定期报告,是,20250331,CNY,合并期末,2024-03-25T22:20:04
20230930,,276590000000.0,,,2558000000.0,,12498000000.0,105739000000.0,,105739000000.0,10039000000.0,29397000000.0,,,,,,,,,,,43907000000.0,186706000000.0,,,,,57367000000.0,724801000000.0,,,,,,,,278924000000.0,,,846000000.0,,,,,,,201904000000.0,,,,,452312000000.0,,,814601000000.0,,126415000000.0,92573000000.0,,7527000000.0,12646000000.0,,18092000000.0,51444000000.0,2057284000000.0,2782085000000.0,,41759000000.0,,,,,8333000000.0,297594000000.0,20473000000.0,277121000000.0,,86334000000.0,,,22562000000.0,49310000000.0,,,,,,105623000000.0,,,,,,,,,,,,,,129389000000.0,13022000000.0,753926000000.0,,117257000000.0,17080000000.0,,,114158000000.0,,,,,147533000000.0,,25583000000.0,8822000000.0,430433000000.0,1184359000000.0,,183021000000.0,,,,122781000000.0,,-20983000000.0,11255000000.0,224570000000.0,,,898195000000.0,,,1418839000000.0,178887000000.0,1597726000000.0,2782085000000.0,定期报告,未审计,20231031,CNY,合并期末,2023-10-30T18:50:11
20230630,,262554000000.0,,,5815000000.0,,15007000000.0,81361000000.0,,81361000000.0,8815000000.0,24237000000.0,282000000.0,468000000.0,,,,,,,,38416000000.0,39166000000.0,168162000000.0,,,,,55306000000.0,660423000000.0,,,,,,,,279101000000.0,,,883000000.0,,,1212634000000.0,690226000000.0,522408000000.0,65945000000.0,199049000000.0,,,456463000000.0,,456463000000.0,,,815212000000.0,,128606000000.0,92999000000.0,,7561000000.0,12563000000.0,,17561000000.0,49120000000.0,2059118000000.0,2719541000000.0,,50543000000.0,,,,4258000000.0,7822000000.0,272504000000.0,17995000000.0,254509000000.0,,75614000000.0,,,18339000000.0,46063000000.0,,,,,,90612000000.0,,,,,,,,,,,,,,119138000000.0,11657000000.0,696550000000.0,,123139000000.0,17101000000.0,,,115813000000.0,,,,,145976000000.0,,24752000000.0,7910000000.0,434691000000.0,1131241000000.0,,183021000000.0,,,,122885000000.0,,-18074000000.0,10470000000.0,224570000000.0,,,890319000000.0,,,1413191000000.0,175109000000.0,1588300000000.0,2719541000000.0,定期报告,未审计,20230831,CNY,合并期末,2023-08-30T21:30:04
20230331,,296060000000.0,,,2684000000.0,,17218000000.0,82578000000.0,,82578000000.0,7749000000.0,30384000000.0,,,,,,,,,,,36911000000.0,155183000000.0,,,,,48521000000.0,677288000000.0,,,,,,,,274070000000.0,,,908000000.0,,,,,,,184649000000.0,,,,,462683000000.0,,,812984000000.0,,130778000000.0,92242000000.0,,7246000000.0,11878000000.0,,16531000000.0,39617000000.0,2033586000000.0,2710874000000.0,,55285000000.0,,,,,9976000000.0,272214000000.0,15747000000.0,256467000000.0,,74249000000.0,,,14289000000.0,53756000000.0,,,,,,68153000000.0,,,,,,,,,,,,,,118994000000.0,11162000000.0,678078000000.0,,132892000000.0,26923000000.0,,,116963000000.0,,,,,143702000000.0,,23174000000.0,8148000000.0,451802000000.0,1129880000000.0,,183021000000.0,,,,123613000000.0,,-21978000000.0,9668000000.0,224957000000.0,,,889481000000.0,,,1408762000000.0,172232000000.0,1580994000000.0,2710874000000.0,定期报告,未审计,20230429,CNY,合并期末,2023-04-28T22:00:04
