报告日,资产,货币资金,客户资金存款,结算备付金,客户备付金,拆出资金,融出资金,融出证券,交易性金融资产,买入返售金融资产,应收票据及应收账款,应收账款,应收票据,应收款项融资,预付账款,应收股利,应收利息,应收保证金,应收投资款项,其他应收款,存货净额,待转承销费用,衍生金融资产,可供出售金融资产,划分为持有待售的资产,长期股权投资,投资性房地产,债权投资,其他债权投资,其他权益工具投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,固定资产净额,在建工程,固定资产清理,固定资产合计,合同资产,使用权资产,无形资产,商誉,开发支出,交易席位费,长期待摊费用,递延税款借项,其他长期资产,资产总计,负债,短期借款,质押借款,应付短期融资款,拆入资金,交易性金融负债,衍生金融负债,卖出回购金融资产款,应付票据及应付账款,应付账款,预收账款,应付职工薪酬,应交税金,应付股利,应付利息,其他应付款,代买卖证券款,代理承销证券款,代兑付证券款,信用交易代理买卖证券款,预提费用,预计负债,划分为持有待售的负债,长期递延收益,长期借款,应付债券款,应付债券：优先股,应付债券：永续债,长期应付职工薪酬,长期应付款,专项应付款,合同负债,租赁负债,递延税款贷项,其他负债,负债合计,股东权益,实收资本净额,其他权益工具,其中：优先股,其中：永续债,资本公积,库存股,其他综合收益,专项储备,盈余公积,一般风险准备,交易风险准备,未分配利润,外币折算差额,归属于母公司的股东权益合计,少数股东权益,所有者权益合计,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,136671253068.92,107612048679.7,34624072314.12,25999787481.26,,40756103045.67,,106994412224.05,3649608090.18,3381951872.63,3381951872.63,,,,,,49930636098.09,,,,,2418289185.89,,,6080747467.85,4353570.95,1090112983.79,89181666913.43,32194915521.7,,,,,,,1717423992.64,763050659.09,,2480474651.73,,902319118.08,216538629.4,32135375.1,,,,1248119687.48,4617389680.11,516475099499.17,,1993209247.58,,12541393572.41,17431763045.01,31877993958.66,2316777255.1,92781468838.64,1594732276.74,1594732276.74,,3317949047.27,741626042.02,,,,177703490232.98,,,,,35035478.31,,,,79323095534.63,,,,,,50663078.42,889136883.73,78521988.64,8972350368.58,431649206848.72,,8496645292.0,3000000000.0,,3000000000.0,39415792235.22,561001970.29,2711264295.19,,5094809697.3,14451886815.36,,12213428742.92,,84822825107.7,3067542.75,84825892650.45,516475099499.17,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T17:16:05
20251231,,111953849015.33,93733353118.3,23461482486.08,13131520202.69,,39042998274.05,,110159868433.15,1338404400.64,2472312092.48,2472312092.48,,,,,,45058043856.42,,,,,7898025870.68,,,6189653955.42,4434758.27,1583742858.92,95979972027.2,32567835522.37,,,3364877093.0,1658946409.91,1705930683.09,,1705930683.09,761638064.26,,2467568747.35,,961071675.58,238634212.79,32135375.1,,,,1433004632.83,4032948653.54,486875986848.2,,1801697674.44,,6520874811.66,24670509223.69,27852339525.29,7286263285.07,102133869632.37,1311346712.96,1311346712.96,,3266700942.66,511249253.29,,,,147190042484.72998,14000000.0,,,,35035478.31,,,,72450028789.6,,,,,,44631027.65,948379015.2,84168377.34,8066026027.7,404187162261.96,,8496645292.0,3000000000.0,,3000000000.0,39421452612.58,561001970.29,2232531868.21,,5094809697.3,14428060911.99,,10573158281.61,,82685656693.4,3167892.84,82688824586.24,486875986848.2,定期报告,是,20260430,CNY,合并期末,2026-03-27T18:24:03
20250930,,109698560614.56,86093552295.94,20715787170.22,13678280723.92,,35645256558.2,,109782460814.03,2065901271.03,2043291044.7,2043291044.7,,,,,,41711742948.53,,,,,1881202246.95,,,6242154421.53,5426001.86,1578171438.81,86311610569.07,27615842659.6,,,,,,,1702501126.79,753715982.26,,2456217109.05,,995700849.68,224797839.26,32135375.1,,,,1074228925.75,3859520432.02,453940008289.95,,1329611106.31,,4036270580.31,27294900002.36,23424082666.84,1644833058.81,96835693663.03,1218806886.73,1218806886.73,,2870940176.52,729194488.12,,,,137443604160.33,20000000.0,,,,12261.26,,,,65611695352.73,,,,,,54220503.47,977779099.02,96149309.99,8425802643.58,372013595959.41,,8496645292.0,3000000000.0,,3000000000.0,39528225243.52,561001970.29,1850848211.82,,5094809697.3,13967925206.67,,10546135931.43,,81923587612.45,2824718.09,81926412330.54,453940008289.95,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T17:14:05
20250630,,96696397859.05,80009411492.79,19845991903.83,12145336042.19,,27765642613.23,,116338016265.62,3015069192.78,1824289442.18,1824289442.18,,,,,,31263449981.92,,,,,3526185322.55,,,6060011943.49,5521261.61,1575495240.66,94429620159.94,26629092329.79,,,3364510513.33,1644446231.16,1720064282.17,,1720064282.17,757595865.45,,2477660147.62,,975137522.73,240894444.53,32135375.1,,,,676589725.97,3980981224.23,437358181956.83,,1282613214.08,,4130894923.98,29327263148.61,20185008786.73,3803743877.6,100150318744.07,1590660951.93,1590660951.93,,2734219962.08,380208123.43,,,,120249507663.36,,,,,12261.26,,,466114383.81,59190631908.58,,,,,,48569291.3,959875645.81,44241107.47,7979307159.28,352523191153.37994,,8496645292.0,5000000000.0,,5000000000.0,39528225243.52,561001970.29,3313268196.77,,5094809697.3,13934109857.45,,10026027086.05,,84832083402.8,2907400.65,84834990803.45,437358181956.83,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T19:08:02
20250331,,87327827781.02,69892290798.98,19388025347.49,11775619935.15,,28150351621.31,,96442732592.84,5601966512.15,1510485095.18,1510485095.18,,,,,,30210180489.57,,,,,1504943409.24,,,6150401843.79,5616521.36,1575131678.53,101664870722.85,24778735669.42,,,,,,,1735581907.24,777777587.28,,2513359494.52,,1035146248.27,249052760.32,32135375.1,,,,1311583014.51,4006383756.42,413458929933.89,,1082237390.94,,4345076095.86,30239366231.34,16828139730.7,1400815881.07,92115033083.84,1664995855.4,1664995855.4,,2590278176.66,210920621.45,,,,108302161180.84,270599997.2,,,,12261.26,,,467420851.37,61098713385.21,,,,,,270404940.0,1016155531.49,12299957.59,8888626440.91,330803257613.13,,8496645292.0,5000000000.0,,5000000000.0,39534520149.13,310897059.17,2066197426.05,,5032048760.86,13281144712.23,,9552993876.98,,82652653158.08,3019162.68,82655672320.76,413458929933.89,定期报告,未审计,20250430,CNY,合并期末,2025-04-29T16:50:11
20241231,,103093100610.36,83965560243.34,15177207415.4,7435891409.44,,28047525312.1,,90189331105.96,3984102625.99,973364018.4,973364018.4,,,,,,27654364855.32,,,,,1965130565.39,,,6128123105.74,30936437.75,1586904844.4,110519911310.69,19634600386.5,,,3293694886.02,1554304901.24,1739389984.78,,1739389984.78,772202112.64,,2511592097.42,,1072422927.97,272391747.44,32135375.1,,,,1490512682.11,3372717989.97,417736375414.01,,1081234015.55,,5678905477.08,39194625271.89,14708500816.21,1092582202.16,85916300208.82,1172254158.48,1172254158.48,,2370666503.67,210935484.76,,,,113637364751.85,385000000.0,,,,21874.26,,,468182998.08,60734317997.07,,,,,,44877175.53,1058950274.07,217640.69,8581623173.97,336336560024.14,,8496645292.0,5000000000.0,,5000000000.0,39534520149.13,310897059.17,2243119809.84,,5032048760.86,13249808173.52,,8151494660.58,,81396739786.76,3075603.11,81399815389.87,417736375414.01,定期报告,是,20260328,CNY,合并期末,2025-03-28T21:02:03
20240930,,100319265978.22,78326265378.8,37234869867.36,32143759679.57,,23527011095.56,,99180971725.88,3793815612.67,1544423579.41,1544423579.41,,,,,,3113526888.07,,,,,2360497574.25,,,6367493779.53,29657255.66,1581253993.67,83042026490.41,16738649467.22,,,,,,,1760348778.02,769021118.82,,2529369896.84,,1147174189.82,241075702.19,32135375.1,,,,1671219810.18,3843746705.98,388298184988.02,,1218058523.03,,917910313.19,24798625726.11,14780780424.29,988106869.51,74424831399.67,2435472300.91,2435472300.91,,1514889202.29,103145743.08,,,,110527721491.33,,,,,21874.26,,,,63373300020.96,,,,,,183927192.43,1128049149.15,18872770.17,10596933833.19,307010646833.57,,8496645292.0,5000000000.0,,5000000000.0,39534520149.13,310897059.17,1299799122.94,,4914809197.73,12874887190.21,,9466904278.37,,81276668171.21,10869983.24,81287538154.45,388298184988.02,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T16:42:02
20240630,,83098152961.4,66411075878.02,33994503910.01,29241222757.64,,23179952799.49,,97278883972.31,3791839736.51,594724503.08,594724503.08,,,,,,2597322913.34,,,,,3622224742.66,,,6327469584.31,29909443.78,1578573405.95,87231255407.23,13924880493.71,,,3293030429.51,1498957150.72,1794073278.79,,1794073278.79,768173286.88,,2562246565.67,,1165938752.86,255493917.69,32135375.1,,,,1740766611.85,4540578509.89,367546853606.84,,1261422444.16,,2481453395.92,25667539161.64,14068207165.17,1544647466.01,76699641976.7,1066409277.51,1066409277.51,,1720477447.74,158986144.88,,,,95590502853.73,83069973.27,,,,21874.26,,,,54905245414.05,,,,,,155447109.52,1154713385.69,539294.85,10566834283.0,287125158668.1,,8496645292.0,5000000000.0,,5000000000.0,39534520149.13,310897059.17,1613101793.52,,4913662246.62,12797388088.47,,8366434584.09,,80410855094.66,10839844.08,80421694938.74,367546853606.84,定期报告,未审计,20240830,CNY,合并期末,2024-08-29T19:02:02
20240331,,84979515374.14,65889815445.82,34087470438.25,28980493660.53,,20788955537.06,,96264056937.79,2871851139.72,544922125.66,544922125.66,,,,,,2180867154.71,,,,,1993156090.59,,,6348842991.66,155809504.04,1574891627.84,82781683698.66,8011158250.77,,,,,,,1820337792.58,771174751.83,,2591512544.41,,1223028226.9,267220423.45,32135375.1,,,,1859521100.73,4722686397.14,353279284938.62006,,1364148613.29,,2954975420.75,15116252577.12,15552149897.56,515891662.42,72779493662.92,1752747639.58,1752747639.58,,1552907067.91,158692600.96,,,,94872193939.9,83069973.27,,,,19345.81,,,,55404619070.55,,,,,,139144195.58,1204245443.45,3201599.35,9697119001.65,273150871712.07,,8496645292.0,5000000000.0,,5000000000.0,39534520149.13,310897059.17,1040939841.68,,4618005520.27,12169128948.17,,9565058014.6,,80113400706.68,15012519.87,80128413226.55,353279284938.62006,定期报告,未审计,20240430,CNY,合并期末,2024-04-29T17:02:04
20231231,,104093141710.46,82977362924.36,35314411448.37,28659551104.66,,21071800818.23,,97069644136.44,5437733089.4,670758503.35,670758503.35,,,,,,3241547340.03,,,,,1877650308.11,,,6253974478.31,165413459.95,1586591484.35,90813712830.62,6298178261.9,,,3260846130.66,1405949920.21,1854896210.45,,1854896210.45,765408192.04,,2620304402.49,,557332391.8,286724404.9,32135375.1,,,,2079574855.64,4219832369.86,383690461669.31,,1700023175.09,,2797700120.6,25670058854.0,15301834497.8,874201950.95,73716143428.89,1544454516.12,1544454516.12,,1704042317.89,199589854.13,,,,111570987021.84,121750173.27,,,,20179.31,,,,60157844891.4,,,,,,147405310.67,547475489.22,35935544.67,8840797590.9,304930264916.75,,8496645292.0,5000000000.0,,,39534520149.13,299780461.97,504203769.36,,4618005520.27,12134541800.75,,8757395576.72,,78745531646.26,14665106.3,78760196752.56,383690461669.31,定期报告,是,20250329,CNY,合并期末,2024-03-27T20:47:02
