报告日,资产,现金及存放中央银行款项,其中:现金,存放中央银行款,结算准备金,贵金属,存放同业款项,专项央行票据,央行专项扶持资金,存出保证金,拆出资金,其中:拆放同业,拆放金融性公司,存放联行款项,存出发钞基金,交易性金融资产,买入返售金融资产,应收账款,应收票据,应收款项融资,预付账款,应收利息,应收股利,应收租赁款,贴现,进出口押汇,发放贷款及垫款净额,发放贷款及垫款,减:贷款损失准备,代理业务资产,委托贷款及委托投资,存货,待处理抵债资产,减:抵债资产减值准备,待处理抵债资产净额,待摊费用,可供出售金融资产,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,长期股权投资,其中:投资子公司,债权投资,其他债权投资,投资性房地产,衍生金融工具资产,其他权益工具投资,长期应收款,固定资产原值,减:累计折旧,固定资产净值,减:固定资产减值准备,在建工程,固定资产净额,固定资产清理,固定资产合计,融资租赁资产,预付租赁资产款,划分为持有待售的资产,减:未确认的收益,应收投资款项,其他应收款,合同资产,使用权资产,无形资产,商誉,长期待摊费用,递延税款借项,其他资产,减:不良资产处置损失专项准备,资产总计,负债,短期借款,向中央银行借款,发行货币债务,同业存入及拆入,其中:同业存放款项,拆入资金,客户存款(吸收存款),联行存放款项,外国政府借款,借入其他资金,央行拨付专项票据资金,保证款项,财政拨款,委托存款,衍生金融工具负债,交易性金融负债,卖出回购金融资产款,票据融资,应解汇款及临时存款,发行存款证,汇出汇款,应付票据,应付账款,预收账款,应付职工薪酬,其中:应付工资,应付福利费,应交税费,应付利息,应付股利,其他应付款,代理业务负债,划分为持有待售的负债,存入保证金,合同负债,贴现负债,预提费用,预计负债,递延收益,长期借款,应付债券,其中:应付次级债券,应付债券：优先股,应付债券：永续债,长期应付款,租赁负债,专项应付款,递延所得税负债,货币兑换,其他负债,负债合计,股东权益,股本,其他权益工具,其中:优先股,其中：永续债,资本公积,其他综合收益,可供出售类投资未实现损益(公允价值变动储备),持有至到期投资未结转损益,减:库藏股,盈余公积,一般风险准备,未确定的投资损失,信托赔偿准备金,未分配利润,其中:拟分配现金股利,外币报表折算差额,其他储备,归属于母公司股东的权益,少数股东权益,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,402855000000.0,,,,28846000000.0,99244000000.0,,,,391110000000.0,,,,,750072000000.0,93186000000.0,,,,,,,,,,5882188000000.0,5999503000000.0,117315000000.0,,,,,,,,,,,9834000000.0,,1292021000000.0,995960000000.0,510000000.0,46748000000.0,8193000000.0,,,,,,1344000000.0,77549000000.0,,78893000000.0,,,,,,,,9507000000.0,2991000000.0,899000000.0,,53503000000.0,94649000000.0,,10241209000000.0,,,228483000000.0,,1279215000000.0,1110814000000.0,168401000000.0,6253842000000.0,,,,,,,,44172000000.0,4190000000.0,349040000000.0,,,,,,,,16974000000.0,,,4993000000.0,,,,,,,,,,10790000000.0,,,1101136000000.0,,,,,10234000000.0,,125000000.0,,71282000000.0,9374476000000.0,,55645000000.0,104948000000.0,34955000000.0,,95566000000.0,1821000000.0,,,,74099000000.0,120413000000.0,,,395233000000.0,,,,847725000000.0,19008000000.0,10241209000000.0,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T19:38:04
20251231,,386916000000.0,,,,28851000000.0,141197000000.0,,,,446098000000.0,,,,,678778000000.0,169640000000.0,,,,,,,,,,5746871000000.0,5862172000000.0,115301000000.0,,,,,,,,,,,8787000000.0,,1312900000000.0,926913000000.0,520000000.0,41026000000.0,8234000000.0,,98175000000.0,24880000000.0,73295000000.0,,1239000000.0,73295000000.0,,74534000000.0,,,,,,,,9565000000.0,3285000000.0,916000000.0,,54670000000.0,91327000000.0,,10131028000000.0,,,204025000000.0,,1095685000000.0,936672000000.0,159013000000.0,6127012000000.0,,,,,,,,44364000000.0,1296000000.0,477502000000.0,,,,,,,,20977000000.0,,,4642000000.0,,,,,,,,,,10218000000.0,,,1214339000000.0,,,,,10249000000.0,,128000000.0,,72961000000.0,9283398000000.0,,55645000000.0,104948000000.0,34955000000.0,,95566000000.0,3007000000.0,,,,74099000000.0,120314000000.0,,,375234000000.0,,,,828813000000.0,18817000000.0,10131028000000.0,定期报告,是,20260430,CNY,合并期末,2026-03-20T19:20:02
20250930,,346142000000.0,,,,47047000000.0,71652000000.0,,,,515934000000.0,,,,,722456000000.0,65350000000.0,,,,,,,,,,5667134000000.0,5782481000000.0,115347000000.0,,,,,,,,,,,7760000000.0,,1189474000000.0,989018000000.0,514000000.0,39124000000.0,4427000000.0,,,,,,1209000000.0,70286000000.0,,71495000000.0,,,,,,,,9958000000.0,3028000000.0,933000000.0,,54874000000.0,91808000000.0,,9898128000000.0,,,177469000000.0,,892421000000.0,769999000000.0,122422000000.0,6150003000000.0,,,,,,,,40857000000.0,4937000000.0,423068000000.0,,,,,,,,19806000000.0,,,4754000000.0,,,,,,,,,,11030000000.0,,,1272691000000.0,,,,,10719000000.0,,132000000.0,,48049000000.0,9055936000000.0,,55645000000.0,104948000000.0,34955000000.0,,95566000000.0,4275000000.0,,,,67629000000.0,111990000000.0,,,383262000000.0,,,,823315000000.0,18877000000.0,9898128000000.0,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T18:28:07
20250630,,385826000000.0,,,,29426000000.0,88304000000.0,,,,469146000000.0,,,,,670434000000.0,115331000000.0,,,,,,,,,,5683258000000.0,5801900000000.0,141747000000.0,,,,,,,,,,,7641000000.0,,1104505000000.0,994849000000.0,513000000.0,52069000000.0,4666000000.0,,85843000000.0,23023000000.0,62820000000.0,,1147000000.0,62820000000.0,,63967000000.0,,,,,,,,10189000000.0,3328000000.0,931000000.0,,54638000000.0,119445000000.0,,9858466000000.0,,,131186000000.0,,816888000000.0,705046000000.0,111842000000.0,6192094000000.0,,,,,,,,53034000000.0,2355000000.0,347163000000.0,,,,,,,,17456000000.0,,,5561000000.0,,,,,,,,,,10679000000.0,,,1376440000000.0,,,,,10980000000.0,,136000000.0,,61529000000.0,9025501000000.0,,55645000000.0,104948000000.0,34955000000.0,,95566000000.0,10432000000.0,,,,67629000000.0,111895000000.0,,,368186000000.0,,,,814301000000.0,18664000000.0,9858466000000.0,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T20:08:06
20250331,,368270000000.0,,,,31371000000.0,122133000000.0,,,,446523000000.0,,,,,653867000000.0,99702000000.0,,,,,,,,,,5747735000000.0,5866027000000.0,118292000000.0,,,,,,,,,,,7518000000.0,,1123392000000.0,956456000000.0,573000000.0,64735000000.0,4727000000.0,,,,,,894000000.0,50983000000.0,,51877000000.0,,,,,,,,10221000000.0,3620000000.0,951000000.0,,56440000000.0,105157000000.0,,9855268000000.0,,,109173000000.0,,926976000000.0,822554000000.0,104422000000.0,6111779000000.0,,,,,,,,66846000000.0,2754000000.0,384067000000.0,,,,,,,,18430000000.0,,,7375000000.0,,,,,,,,,,10174000000.0,,,1333636000000.0,,,,,10931000000.0,,58000000.0,,46228000000.0,9028427000000.0,,55645000000.0,104948000000.0,34955000000.0,,95566000000.0,9544000000.0,,,,67629000000.0,111801000000.0,,,363299000000.0,,,,808432000000.0,18409000000.0,9855268000000.0,定期报告,未审计,20250430,CNY,合并期末,2025-04-29T19:26:06
20241231,,340915000000.0,,,,12387000000.0,128193000000.0,,,,404801000000.0,,,,,647398000000.0,136265000000.0,,,,,,,,,,5601450000000.0,5720128000000.0,140393000000.0,,,,,,,,,,,7349000000.0,,1118989000000.0,849781000000.0,578000000.0,85929000000.0,4702000000.0,,67269000000.0,21526000000.0,45743000000.0,,773000000.0,45743000000.0,,46516000000.0,,,,,,,,10233000000.0,4221000000.0,959000000.0,,54130000000.0,77926000000.0,,9532722000000.0,,,124151000000.0,,1057042000000.0,968492000000.0,88550000000.0,5864311000000.0,,,,,,,,81162000000.0,1719000000.0,278003000000.0,,,,,,,,20318000000.0,,,7645000000.0,,,,,,,,,,9990000000.0,,,1224038000000.0,,,,,10861000000.0,,39000000.0,,46078000000.0,8725357000000.0,,54397000000.0,105499000000.0,34955000000.0,,89286000000.0,16862000000.0,,,,67629000000.0,111723000000.0,,,343868000000.0,,,,789264000000.0,18101000000.0,9532722000000.0,定期报告,是,20260321,CNY,合并期末,2025-03-26T19:05:05
20240930,,357837000000.0,,,,15680000000.0,93683000000.0,,,,336135000000.0,,,,,699563000000.0,81501000000.0,,,,,,,,,,5510658000000.0,5631809000000.0,121151000000.0,,,,,,,,,,,7418000000.0,,1051652000000.0,849659000000.0,518000000.0,49071000000.0,4812000000.0,,,,,,3282000000.0,37892000000.0,,41174000000.0,,,,,,,,9892000000.0,4920000000.0,921000000.0,,51630000000.0,92523000000.0,,9259247000000.0,,,264308000000.0,,954545000000.0,873135000000.0,81410000000.0,5692815000000.0,,,,,,,,45151000000.0,1874000000.0,253356000000.0,,,,,,,,20116000000.0,,,7141000000.0,,,,,,,,,,11178000000.0,,,1125622000000.0,,,,,10557000000.0,,10000000.0,,42622000000.0,8429295000000.0,,53488000000.0,145899000000.0,34955000000.0,,84603000000.0,9781000000.0,,,,60992000000.0,105366000000.0,,,351666000000.0,,,,811795000000.0,18157000000.0,9259247000000.0,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T17:30:05
20240630,,384906000000.0,,,,16947000000.0,88859000000.0,,,,298629000000.0,,,,,631535000000.0,68224000000.0,,,,,,,,,,5475547000000.0,5593671000000.0,138857000000.0,,,,,,,,,,,7315000000.0,,1003520000000.0,869940000000.0,534000000.0,58128000000.0,4810000000.0,,55678000000.0,20172000000.0,35506000000.0,,3242000000.0,35506000000.0,,38748000000.0,,,,,,,,9773000000.0,4935000000.0,949000000.0,,50004000000.0,91320000000.0,,9104623000000.0,,,275603000000.0,,914306000000.0,839999000000.0,74307000000.0,5592100000000.0,,,,,,,,51274000000.0,1556000000.0,180105000000.0,,,,,,,,17378000000.0,,,6995000000.0,,,,,,,,,,11273000000.0,,,1170880000000.0,,,,,10425000000.0,,2000000.0,,56975000000.0,8288872000000.0,,53457000000.0,145913000000.0,34955000000.0,,84440000000.0,11151000000.0,,,,60992000000.0,105280000000.0,,,336844000000.0,,,,798077000000.0,17674000000.0,9104623000000.0,定期报告,未审计,20240829,CNY,合并期末,2024-08-28T20:15:03
20240331,,379719000000.0,,,,8036000000.0,86753000000.0,,,,280307000000.0,,,,,569478000000.0,76641000000.0,,,,,,,,,,5466525000000.0,5582313000000.0,115788000000.0,,,,,,,,,,,7218000000.0,,1055155000000.0,872649000000.0,537000000.0,45963000000.0,4808000000.0,,,,,,3232000000.0,35345000000.0,,38577000000.0,,,,,,,,9782000000.0,4822000000.0,942000000.0,,51158000000.0,111241000000.0,,9070311000000.0,,,277453000000.0,,983297000000.0,906930000000.0,76367000000.0,5488529000000.0,,,,,,,,42722000000.0,1261000000.0,214065000000.0,,,,,,,,17645000000.0,,,4636000000.0,,,,,,,,,,10674000000.0,,,1189387000000.0,,,,,10318000000.0,,2000000.0,,45641000000.0,8285630000000.0,,53293000000.0,115992000000.0,34955000000.0,,83530000000.0,8355000000.0,,,,60992000000.0,105196000000.0,,,339741000000.0,,,,767099000000.0,17582000000.0,9070311000000.0,定期报告,未审计,20240430,CNY,合并期末,2024-04-29T20:15:04
20231231,,416442000000.0,,,,11674000000.0,81075000000.0,,,,237742000000.0,,,,,613824000000.0,104773000000.0,,,,,,,,,,5383750000000.0,5498344000000.0,134542000000.0,,,,,,,,,,,6945000000.0,,1085598000000.0,888677000000.0,528000000.0,44675000000.0,4807000000.0,,54541000000.0,19379000000.0,35162000000.0,,3147000000.0,35162000000.0,,38309000000.0,,,,,,,,9811000000.0,5427000000.0,926000000.0,,52480000000.0,65021000000.0,,9052484000000.0,,,273226000000.0,,1014214000000.0,927887000000.0,86327000000.0,5467657000000.0,,,,,,,,41850000000.0,1588000000.0,463018000000.0,,,,,,,,22420000000.0,,,4536000000.0,,,,,,,,,,10846000000.0,,,965981000000.0,,,,,10245000000.0,,1000000.0,,42227000000.0,8317809000000.0,,48967000000.0,118060000000.0,34955000000.0,,59400000000.0,4057000000.0,,,,60992000000.0,105127000000.0,,,320619000000.0,,,,717222000000.0,17453000000.0,9052484000000.0,定期报告,是,20250327,CNY,合并期末,2024-03-21T19:45:04
20230930,,398053000000.0,,,,9160000000.0,79992000000.0,,,,235748000000.0,,,,,604497000000.0,6889000000.0,,,,,,,,,,5345027000000.0,5465228000000.0,120201000000.0,,,,,,,,,,,6798000000.0,,1177819000000.0,778482000000.0,552000000.0,63144000000.0,4802000000.0,,,,,,3099000000.0,32921000000.0,,36020000000.0,,,,,,,,9807000000.0,4118000000.0,952000000.0,,54598000000.0,105565000000.0,,8922023000000.0,,,168282000000.0,,1060079000000.0,985914000000.0,74165000000.0,5520407000000.0,,,,,,,,60928000000.0,4283000000.0,352614000000.0,,,,,,,,19602000000.0,,,3921000000.0,,,,,,,,,,10905000000.0,,,938474000000.0,,,,,10266000000.0,,1000000.0,,48805000000.0,8198567000000.0,,48967000000.0,118060000000.0,34955000000.0,,59404000000.0,3388000000.0,,,,54727000000.0,100760000000.0,,,317348000000.0,,,,702654000000.0,20802000000.0,8922023000000.0,定期报告,未审计,20231027,CNY,合并期末,2023-10-26T21:20:02
20230630,,440425000000.0,,,,12644000000.0,74942000000.0,,,,207944000000.0,,,,,636463000000.0,60247000000.0,,,,,,,,,,5263735000000.0,5380101000000.0,135224000000.0,,,,,,,,,,,6664000000.0,,1164716000000.0,684340000000.0,549000000.0,70306000000.0,4706000000.0,,49763000000.0,18171000000.0,31592000000.0,,3069000000.0,31592000000.0,,34661000000.0,,,,,,,,9770000000.0,4262000000.0,946000000.0,,53000000000.0,102977000000.0,,8833297000000.0,,,155251000000.0,,1104426000000.0,1030141000000.0,74285000000.0,5591493000000.0,,,,,,,,71230000000.0,5386000000.0,119081000000.0,,,,,,,,18545000000.0,,,4701000000.0,,,,,,,,,,9191000000.0,,,975004000000.0,,,,,10209000000.0,,2000000.0,,57765000000.0,8122284000000.0,,48967000000.0,118060000000.0,34955000000.0,,59404000000.0,5008000000.0,,,,54727000000.0,100696000000.0,,,303474000000.0,,,,690336000000.0,20677000000.0,8833297000000.0,定期报告,未审计,20230825,CNY,合并期末,2023-08-24T22:30:31
