报告日,资产,货币资金,客户资金存款,结算备付金,客户备付金,拆出资金,融出资金,融出证券,交易性金融资产,买入返售金融资产,应收票据及应收账款,应收账款,应收票据,应收款项融资,预付账款,应收股利,应收利息,应收保证金,应收投资款项,其他应收款,存货净额,待转承销费用,衍生金融资产,可供出售金融资产,划分为持有待售的资产,长期股权投资,投资性房地产,债权投资,其他债权投资,其他权益工具投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,固定资产净额,在建工程,固定资产清理,固定资产合计,合同资产,使用权资产,无形资产,商誉,开发支出,交易席位费,长期待摊费用,递延税款借项,其他长期资产,资产总计,负债,短期借款,质押借款,应付短期融资款,拆入资金,交易性金融负债,衍生金融负债,卖出回购金融资产款,应付票据及应付账款,应付账款,预收账款,应付职工薪酬,应交税金,应付股利,应付利息,其他应付款,代买卖证券款,代理承销证券款,代兑付证券款,信用交易代理买卖证券款,预提费用,预计负债,划分为持有待售的负债,长期递延收益,长期借款,应付债券款,应付债券：优先股,应付债券：永续债,长期应付职工薪酬,长期应付款,专项应付款,合同负债,租赁负债,递延税款贷项,其他负债,负债合计,股东权益,实收资本净额,其他权益工具,其中：优先股,其中：永续债,资本公积,库存股,其他综合收益,专项储备,盈余公积,一般风险准备,交易风险准备,未分配利润,外币折算差额,归属于母公司的股东权益合计,少数股东权益,所有者权益合计,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,86406716983.62,72328786183.57,12621906948.44,8584999579.74,,57864276464.06,,89315515255.12,4476522713.15,899661856.69,899661856.69,,,,,,13599807472.34,,,,,448632074.46,,611741079.82,,622489477.63,,26106644196.69,7187542308.35,,,,,,,344121477.63,21852980.18,,365974457.81,,330432391.6,372893908.36,4340207334.43,,,,65966300.67,358096185.91,305995027409.15,,,,25769479750.17,7432252666.56,12027396080.23,212663266.73,64105498931.87,25968553327.41,25968553327.41,,2550345490.37,83433584.28,,,,65971198874.03,,,,,14819533.97,,18132841.8,,45934149436.58,,,,,,,296922849.63,40097673.86,2577032736.68,253001977044.17,,8232101395.0,,,,16396992749.18,,1254170047.97,,2855533759.21,4169013834.42,,19509157969.99,,52416969755.77,576080609.21,52993050364.98,305995027409.15,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T16:14:03
20251231,,76380632750.55,65401448532.66,11409301727.19,7848500027.06,,55705478712.04,,65741777652.14,6550509002.06,1040322553.62,1040322553.62,,,,,,12370035804.46,,,,,78011337.3,,0.0,,1243287574.45,,28840126797.46,6781263781.26,,,1463156121.38,1096553045.66,366603075.72,556156.58,366046919.14,20713062.68,,386759981.82,,354091180.45,412443442.06,4340207334.43,,,,393642059.37,545748078.65,272573639769.31003,,,,22684397806.32,10473593768.79,10889270327.57,277918982.51,42536434064.97,21463935919.3,21463935919.3,,2909598352.43,183525058.85,,,,61427075437.2,,,,,79520320.86,,18194128.54,,45431363316.56,,,,,,,336275178.68,679325.16,2500456580.86,221212238568.6,,8232101395.0,,,,16396992749.18,,1115809756.57,,2855533759.21,4164628454.2,,18028099707.66,,50793165821.82,568235378.89,51361401200.71,272573639769.31003,定期报告,是,20260430,CNY,合并期末,2026-03-30T18:00:13
20250930,,70856331932.66,61892253661.04,12519648542.8,8467853771.87,,51036926392.73,,61406295576.69,7237748244.84,1453887957.3,1453887957.3,,,,,,12006702356.21,,,,,71749009.64,,,0.0,1188018292.54,,29704175372.76,6310288944.03,,,,,,,370512170.22,52788368.97,,423300539.19,,372126110.7,332585602.17,4340207334.43,,,,703176876.41,357360669.39,260320529754.49,,,,19026169876.8,9313607574.9,12955546796.28,719463304.27,34775515979.51,20124215406.71,20124215406.71,,2967755511.97,599997710.86,,,,59909822072.17,,,,,144709791.55,,20671755.7,,45736168574.93,,,,,,,343891007.17,6685686.9,2632683854.91,209276904904.63,,8232101395.0,,,,16396992749.18,,813122456.31,,2408802893.35,4139489227.16,,18405960686.25,,50396469407.25,647155442.61,51043624849.86,260320529754.49,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T17:36:11
20250630,,67476727455.94,57492102166.17,11439222040.55,6694707676.58,,41398602226.73,,75792995985.44,3738573189.86,695348735.2,695348735.2,,,,,,10289173221.82,,,,,180675404.46,,430545556.55,,1187944294.14,,34464689156.25,6750418129.67,,,1442320887.19,1076370935.56,365949951.63,558999.35,365390952.28,37231155.45,,402622107.73,,397171915.23,364812899.78,4340207334.43,,,,481423045.99,462256997.39,260293409697.16,,,,16889279519.81,10429038236.59,12004823112.16,236498525.72,50808766877.13,18734720913.14,18734720913.14,,2564083871.06,307446233.76,,,,54127972716.32,,,,,146551348.87,,20671755.7,,39527331333.48,,,,,,,378061755.13,19918138.86,3482926133.36,209678090471.09,,8232101395.0,,,,16398843392.01,,1260249565.95,,2408802893.35,4133100572.0,,17490008448.4,,49923106266.71,692212959.36,50615319226.07,260293409697.16,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T18:10:03
20250331,,60279047454.48,51014905148.94,12066606465.18,7490062960.22,,43027884737.94,,72300575807.43,5176298933.1,654262568.95,654262568.95,,,,,,10574359406.8,,,,,255624601.96,,430545556.55,0.0,1187944294.14,,34162263557.91,5295569397.59,,,,,,,383019926.36,18206290.47,,401226216.83,,408452791.03,392234748.26,4340207334.43,,,,735402020.28,367224795.43,252055730688.29,,,,16735089901.29,14399100219.33,11633513014.69,202250988.55,48796128851.7,17990660171.32,17990660171.32,,2216755289.34,529747911.68,,,,49167457250.55,,,,,146551348.87,,20671755.7,,36724799066.1,,,,,,,374287725.82,14822046.72,3614779857.57,202566615399.23,,8232101395.0,,,,16398843392.01,,740821076.32,,2408802893.35,4125034641.37,,16804519177.99,,48710122576.04,778992713.02,49489115289.06,252055730688.29,定期报告,未审计,20250430,CNY,合并期末,2025-04-29T15:42:05
20241231,,59728661286.87,52280917277.67,11879107095.14,7809134421.86,,41570076666.41,,59050545009.66,10239623620.99,837681372.78,837681372.78,,,,,,9585007984.73,,,,,284170212.92,,,448211897.16,1187944294.14,,50700023652.7,3629740097.7,,,1452092084.03,1047837614.7,404254469.33,1951789.26,402302680.07,15509068.87,,417811748.94,,407024145.67,423760334.79,4340207334.43,,,,481088895.14,417211811.44,255627897461.61,,,,15796854604.2,18364737408.78,8593532424.71,340618360.44,53149976862.51,16719494626.32,16719494626.32,,2449916317.54,416262107.69,,,,50320183863.85,,,,,146551348.87,,20671755.7,,35454424439.66,,,,,,,388569894.02,11213388.39,4477212127.81,206650219530.49,,8232101395.0,,,,16397305054.58,,1429132258.51,,2408802893.35,4117150441.74,,15595190348.23,,48179682391.41,797995539.71,48977677931.12,255627897461.61,定期报告,是,20260331,CNY,合并期末,2025-03-28T21:02:03
20240930,,63387330672.16,53756445986.33,7048391894.22,4592113361.76,,29956876326.27,,56922738410.61,8573316371.08,601734543.46,601734543.46,,,,,,9723089206.87,,,,,302469291.06,,,482306469.08,1776811600.88,,48900111342.4,3060377178.22,,,,,,,398766989.87,48732990.39,,447499980.26,,354408830.72,368123034.15,4340207334.43,,,,656182050.82,489868505.11,237391843041.8,,,,9974782419.06,19250033602.68,8340630392.71,737944459.53,42961562416.51,18452431507.9,18452431507.9,,2094707537.53,139370501.09,,,,47528398628.5,,,,,107092986.56,,23210669.6,,33780454189.82,,,,,,,316792508.54,57437117.5,5799158234.21,189564007171.74,,8232101395.0,,,,16397305054.58,,516083144.54,,2088088800.12,4091706058.15,,15693895444.3,,47019179896.69,808655973.37,47827835870.06,237391843041.8,定期报告,未审计,20241030,CNY,合并期末,2024-10-29T16:02:03
20240630,,44355398013.22,35806506967.55,7195901003.39,4991533984.29,,30040346591.85,,67268427150.81,8224472546.33,1116854096.76,1116854096.76,,,,,,9967684305.78,,,,,1204587622.37,,,493793745.87,1776811600.88,,43447297794.28,2976320827.86,,,1445925307.54,1030855562.76,415069744.78,1811773.2,413257971.58,29754262.18,,443012233.76,,374915191.81,387124172.08,4340207334.43,,,,561067023.9,755243989.69,224929465245.07,,,,9626079714.52,17568912529.92,7561127354.34,60994225.94,50968215179.83,16472977516.24,16472977516.24,,2054027259.62,112191570.54,,,,32137834790.51,,,,,107092986.56,,23210669.6,,34734197761.91,,,,,,,355439328.06,47729005.4,5512506194.4,177342536087.39,,8232101395.0,,,,16397305054.58,,509309778.88,,2088088800.12,4084377587.58,,15474441937.52,,46785624553.68,801304604.0,47586929157.68,224929465245.07,定期报告,未审计,20240823,CNY,合并期末,2024-08-22T18:12:05
20240331,,50376647823.78,43560256808.16,7907941889.8,5126667939.0,,31165364760.04,,65299896891.67,10729756181.77,806097209.28,806097209.28,,,,,,9765456913.46,,,,,794454897.26,,,510343656.15,1776960580.85,,42727514303.35,2106858043.06,,,,,,,431691950.21,15769956.9,,447461907.11,,388577913.2,413261169.49,4340207334.43,,,,614977568.14,558022346.74,230729801389.58,,,,7715494323.87,19794956727.75,5561261929.33,110541789.92,52614258518.1,20589372304.92,20589372304.92,,2384274786.78,127876953.76,,,,33870866936.96,,,,,107092986.56,,23210669.6,,34475306703.65,,,,,,,348611021.0,96107305.29,5872777430.94,183692010388.43,,8232101395.0,,,,16397305054.58,,300207208.65,,2088088800.12,4077155523.86,,15099359219.19,,46194217201.4,843573799.75,47037791001.15,230729801389.58,定期报告,未审计,20240423,CNY,合并期末,2024-04-22T16:47:02
20231231,,52032362113.56,42224765690.08,6348033713.57,4527397847.51,,32480075192.96,,56075442932.77,12944406691.72,896946859.38,896946859.38,,,,,,9330577854.66,,,,,565364295.55,,,521434942.28,1762851831.2,,41402799806.36,1189294742.09,,,1461076684.31,1005398232.54,455678451.77,1798949.35,453879502.42,13056432.66,,466935935.08,,423497263.4,426789954.96,4340207334.43,,,,753947441.91,480686857.2,222441655763.08,,,,7711090663.23,22779645705.78,2203922556.5,113461179.57,53886675914.14,22118460230.37,22118460230.37,,2230396434.27,171148252.65,,,,29803787620.1,,,,,107092986.56,,23210669.6,,28516663437.09,,,,,,,397216045.56,108477462.22,6179111557.36,176350360715.0,,8232101395.0,,,,16397305054.58,,129984102.36,,2088088800.12,4070346480.76,,14321475418.78,,45239301251.6,851993796.48,46091295048.08,222441655763.08,定期报告,是,20250329,CNY,合并期末,2024-03-19T20:22:03
