报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,13066486154.37,,,2226235765.36,,,9499069577.85,31118888.84,9467950689.01,486911800.54,1222811904.11,4293206.32,61998416.14,,,,,,,,,709605403.67,6031742259.44,,,,,605243703.94,33964684348.73,,,,,,,,27291315924.46,,213550203.12,18196311.97,891303348.93,,,,,,2949004370.54,,,,,18409546932.59,,,,116577779.45,2931880669.82,14098105717.97,7523121687.01,10796766098.11,1635989891.1,,990945818.51,1251976943.24,89001703917.37,122966388266.1,,16355674558.16,,,,,,4994581347.22,376508936.17,4618072411.05,,1127463590.35,,,1821523867.86,550906023.86,,15192956.01,,,,3867943389.06,,,,,,,,,,,,,,7671933753.95,190687711.96,36580714242.42,,10076871310.93,2500000000.0,,,2927493548.12,112470600.46,,446944577.46,,,638638145.7,3326725118.53,2687181667.16,22716324968.36,59297039210.78,,2670429325.0,,,,16303506535.37,607963682.55,-2161111743.04,,3012719177.4,,,29929165138.28,,,49146744750.46,14522604304.86,63669349055.32,122966388266.1,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T16:46:04
20251231,,13104229127.57,,,2253869614.45,,,9426890257.64,62368108.98,9364522148.66,411548144.17,877861097.13,4293206.32,106738571.13,,,,,,,,698786980.63,703080186.95,6252472423.26,,,,,674353460.8,33820671330.27,,,,,,,,26371624822.71,,213538840.62,19218079.2,878423850.04,,31434853563.46,13451882779.71,17982970783.75,5700162.59,3055431191.79,,,17977270621.16,,17977270621.16,,,,116367018.3,3051142409.26,13999154273.18,5944272243.19,10809757475.7,1648230240.12,,985336662.52,1279896886.29,86233297595.78,120053968926.05,,15529939564.82,,,,,,5144014058.61,287969249.24,4856044809.37,,1299979017.8,,,2274748061.66,544690173.6,,22599525.89,,,3807922829.64,3830522355.53,,,,,,,,,,,,,,7649540310.51,150882536.31,36424316078.84,,10361990716.66,1500000000.0,,,3050771401.85,113639028.43,,476361675.65,,,653383367.96,3259805775.15,2373351030.17,21789302995.87,58213619074.71,,2670429325.0,,,,16376932223.95,607963682.55,-1768949595.54,,3012719177.4,,,29058339556.44,,,48741507004.7,13098842846.64,61840349851.34,120053968926.05,定期报告,是,20260429,CNY,合并期末,2026-03-24T18:42:04
20250930,,11478283577.32,,,2028208717.35,,,8217944668.44,21828789.73,8196115878.71,386100375.04,1303127824.54,4293206.32,,,,,,,,,,938841737.48,6835215786.61,45499274.59,,,,803705084.31,32145481005.88,,,,,,,,26375969861.62,,197067000.57,21061763.51,1162532123.98,,,,,,3759277411.47,,,,,17512126141.92,,,,108553960.2,3131352101.24,14139270156.3,5460080638.06,10888042875.71,1292454461.25,,760594766.34,1275428205.16,85975257507.13,118120738513.01,,16446992112.95,,,,,,5348412583.38,255972580.57,5092440002.81,,1173694132.3,,,1811826856.61,473897242.67,,18257186.65,,,,3417064788.75,,,,,,,,,,,,,,6232419454.54,182637841.02,35086945012.22,,9430519739.98,1500000000.0,,,3115940298.44,130912998.45,,632042688.55,,,720089991.41,3309453815.12,3383234076.37,22222193608.32,57309138620.54,,2670429325.0,,,,16335615986.78,607963682.55,-1593369407.63,,2989991402.01,,,28233799277.44,,,48028502901.05,12783096991.42,60811599892.47,118120738513.01,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T16:38:02
20250630,,12958746446.65,,,2679963823.8,,,8565634236.47,84275951.24,8481358285.23,432722205.37,1116584607.86,21176257.91,,,,,,,,,817361529.08,838537786.99,6743728696.74,66178805.58,,,,817745499.68,34342267603.19,,,,,,,,25175232518.1,,208882817.55,18081525.33,1112125123.58,,30437000032.38,12703729893.66,17733270138.72,5570387.27,3482412139.49,3481640294.12,771845.37,17727699751.45,,17727699751.45,,,,122425494.05,2772986049.22,14282313020.69,5282616037.71,10926090942.12,1323709080.25,,747646176.29,1425874270.13,84485669451.91,118827937055.1,,17861510595.07,,,,,,5449859201.19,412700687.42,5037158513.77,,1132812171.23,,,1678024313.76,466937942.84,,863827366.66,,,3655551085.33,4519378451.99,,,,,,,,,,,,,,4783701254.47,131112627.42,36023336557.97,,11094923097.82,500000000.0,,,2754163052.8,126136600.24,629055615.12,629055615.12,,,675082992.27,3388832889.55,3321297871.23,22489492119.03,58512828677.0,,2670429325.0,,,,16287296812.78,607963682.55,-1354648744.74,,2989991402.01,,,27412518550.17,,,47397623662.67,12917484715.43,60315108378.1,118827937055.1,定期报告,未审计,20250827,CNY,合并期末,2025-08-26T18:26:05
20250331,,13715962783.55,,,2353922057.43,,,7889295018.97,31945231.82,7857349787.15,598017849.67,1117987019.49,8852336.96,,,,,,,,,,731448048.83,6823049926.17,354201375.18,,,,723224241.82,34438609708.93,,,,,,,,25018325383.83,,191094757.88,17291880.8,1199916094.54,,,,,,3555113496.42,,,,,17447702895.9,,,,131501387.82,2653976037.24,14371961152.18,5032730916.13,10888057665.05,1342330355.22,,754081171.39,1079297374.58,83551879181.16,117990488890.09,,17874459151.28,,,,14356400.0,,5438826198.49,568967440.67,4869858757.82,,1426224944.81,,,1543012041.86,649016583.47,,10590840.27,,,,4107777411.47,,,,,,,,,,,,125871897.72,,4184384414.37,136607871.78,35500536915.25,,11560443014.28,,,,2629469289.52,117207029.53,,644314233.05,,,649905225.02,3444772345.7,2593938909.66,21640050046.76,57140586962.01,,2671326465.0,,,,16663191198.8,295562216.64,-1425281108.99,,2992140842.96,,,27317816388.82,,,47923631569.95,12926270358.13,60849901928.08,117990488890.09,定期报告,未审计,20250430,CNY,合并期末,2025-04-29T18:40:07
20241231,,13523933130.64,,,2595996903.15,,,8024433379.34,72360821.52,7952072557.82,612972773.36,864975288.07,8852336.96,,,,,,,,,656210422.31,665062759.27,7258648636.81,74968092.56,,,,742516123.81,34491060582.73,,,,,,,,24691500903.85,,199435549.76,16433872.48,1157129201.97,,29270574349.32,11877498389.63,17393075959.69,7881226.14,3435450886.76,3431527969.9,3922916.86,17385194733.55,,17385194733.55,,,,127553495.72,2589903279.92,14468392991.02,4867845013.24,10905083403.95,1382281478.53,,757775922.87,1113079528.64,82969506766.54,117460567349.27,,18711314899.45,,,,,,5997385085.53,619015240.91,5378369844.62,,1232314688.93,,,1978490214.56,560734826.38,,13328198.32,,,4335489323.14,4348817521.46,,,,,,,,,,,,,,4461323175.98,162288840.5,37452669252.79,,10203500106.86,240000000.0,,,2541967607.34,189446448.64,,572090710.24,,,657891060.8,3245158851.91,2424114398.37,20074169184.16,57526838436.95,,2671326465.0,,,,16591495024.23,234375403.49,-1312538706.73,,2992140842.96,,,26553058638.76,,,47261106860.73,12672622051.59,59933728912.32,117460567349.27,定期报告,是,20260325,CNY,合并期末,2025-03-25T21:20:17
20240930,,13507968050.27,,,2122081327.17,,,8455763829.25,39863241.76,8415900587.49,581006972.93,967836158.08,8852336.97,,,,,,,,,,701701033.55,7435227104.84,71975680.09,,,,602024017.39,34527299352.05,,,,,,,,24945672701.77,,89088743.05,13693570.56,929663864.01,,,,,,4666715968.67,,,,,14923836331.96,,,,81715178.48,2270781259.43,13031835137.26,4895929231.72,10800669199.0,1053960382.25,,791144883.76,2324471131.65,80737462405.09,115264761757.14,,18679639582.44,,,,,,6342057150.34,816474047.07,5525583103.27,,1007116288.38,,,1682723247.65,537016754.88,,46955296.32,,,,4140748898.28,,,,,,,,,,,,,,5005300788.55,122979383.85,37517582094.37,,8630183539.06,240000000.0,,,2217236916.94,174091466.87,,615863880.74,,,605077498.44,3464986579.56,2605135611.53,18552575493.14,56070157587.51,,2671326465.0,,,,17524643878.68,206895300.74,-1473923714.2,,2958415025.58,,,25827906740.92,,,47301473095.24,11893131074.39,59194604169.63,115264761757.14,定期报告,未审计,20241030,CNY,合并期末,2024-10-29T17:06:03
20240630,,14080458961.33,,,2020551501.97,,,8246247365.28,83672043.9,8162575321.38,471388670.03,875866512.06,8852336.97,,,,,,,,,658295617.52,667147954.49,7511698994.5,71975680.09,,,,722812258.72,34797913650.75,,,,,,,,25104724418.6,,85574138.62,13514013.21,1029426152.21,,25821499578.15,11203602536.72,14617897041.43,10557235.13,4888480741.46,4887097853.5,1382887.96,14607339806.3,,14607339806.3,,,,129765752.28,2062257039.33,13278386063.18,4506343106.41,10880283288.16,951026523.11,,660090437.27,2672454787.28,80739900515.14,115537814165.89,,17317213155.88,,,,,,6525945343.19,719152245.39,5806793097.8,,1082436920.75,,,1458207171.09,520971887.24,,754473314.08,,,3906372286.22,4660845600.3,,,,,,,,,,,,,,5716663298.63,119578394.36,37401861771.44,,9559300502.32,240000000.0,,,1957876207.33,165207056.25,,564717573.8,,,613685923.67,3406679758.58,2766543747.44,19274010769.39,56675872540.83,,2672398711.0,,,,17568232300.17,74255616.52,-1199677483.78,,2958415025.58,,,25042087067.69,,,46967200004.14,11894741620.92,58861941625.06,115537814165.89,定期报告,未审计,20240828,CNY,合并期末,2024-08-27T19:25:05
20240331,,13004371606.69,,,2016640579.82,,,7455701812.65,17983255.61,7437718557.04,743234084.42,876648800.61,14750826.36,,,,,,,,,,568379396.47,7294692923.03,1123782148.23,,,,608941068.31,33839364765.22,,,,,,,,24107978378.47,,85886799.83,38397040.45,1043832664.14,,,,,,4817616896.23,,,,,14528304044.78,,,,146972344.99,2110000959.97,13309145697.37,4256152567.64,10852998966.77,838390746.04,,621807828.21,3295912070.49,79906424660.39,113745789425.61,,15532615166.17,,,,,,6130804356.39,632313485.34,5498490871.05,,1112904586.03,,,1401326001.11,529598506.65,,13328198.32,,,,3850728902.11,,,,,,,,,,,,753942141.74,,4178619346.91,111553125.63,33602092132.74,,12944955087.04,240000000.0,,,2007283048.96,150078282.5,,429352964.75,,,607822572.79,3420732716.66,2807798547.69,22608023220.39,56210115353.13,,2672398711.0,,,,16829636849.52,41928227.94,-1224590802.82,,2958415919.58,,,25151919719.28,,,46345852168.62,11189821903.86,57535674072.48,113745789425.61,定期报告,未审计,20240430,CNY,合并期末,2024-04-29T17:20:21
20231231,,13693590965.39,,,1888496433.69,,,7668228759.14,24492488.4,7643736270.74,642568580.95,884582172.88,14750826.36,,,,,,,,,611906444.48,626657270.84,7537767765.75,,,,,704789708.23,33792568948.62,,,,,,,,23919398947.82,,85322818.08,52774220.89,1040114413.33,,26460360688.71,11319332975.15,15141027713.56,11656557.27,4938281247.38,4924530348.25,13750899.13,15129371156.29,,15129371156.29,,,,145887291.75,2171744487.74,13482016130.59,3896108184.77,10851999207.39,778805942.86,,624470612.53,2706628495.16,79677035864.83,113469604813.45,,14728454129.15,,,,,,6159618701.32,652252423.59,5507366277.73,,1200496066.44,,,1978115885.93,536965065.37,,17316885.59,,,4184855547.74,4202172433.33,,,,,,,,,,,,,,4826597231.71,125164024.57,33757583537.82,,13504923111.26,,,,2049589366.84,141475527.3,507764019.67,507764019.67,,,639398945.8,3445190578.09,2807419290.39,23095760839.35,56853344377.17,,2672398711.0,,,,16853454175.22,41928227.94,-1300090249.71,,2958415919.58,,,24542511219.9,,,45684761548.05,10931498888.23,56616260436.28,113469604813.45,定期报告,是,20250326,CNY,合并期末,2024-04-29T17:15:04
