报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,4570583560.29,,,,,,1667803657.35,226468963.67,1441334693.68,1527207234.91,313004537.34,11948960.0,,,,,,,,,,31872016.99,2832031026.09,,,,1261671.07,1019091944.55,11981496674.26,,,,,,,,2676348797.96,49934317.04,6509593.19,1055733778.62,,,,,,,9486586536.98,,,,,11002821257.4,,,,18641025.67,152480677.45,1334412302.66,,544279549.67,75910720.95,,149673545.24,1869166188.65,28403857265.81,40385353940.07,,1271883545.44,,,,357910.41,,5725471161.66,1891972914.76,3833498246.9,323930.65,395370552.48,,,89893543.21,455396829.03,,,,,,351310719.88,,,,,,,,,,,,,,747834631.2,45275316.52,9083118140.48,,5360173135.58,,,,152307184.24,,,83480467.58,,,804197786.5,26809208.87,,6426967782.77,15510085923.25,,2699746081.0,,,,4668016187.48,,48500657.65,128885162.36,1280442426.9,,,12787756962.04,,,21613347477.43,3261920539.39,24875268016.82,40385353940.07,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T16:20:03
20251231,,5327267956.37,,,,,,1106909706.3,163107293.59,943802412.71,1409665870.9,144087975.37,11948960.0,,,,,,,,,34821837.49,46770797.49,2470520381.54,,,,1761671.07,850815335.46,11375968838.79,,,,,,,,2651520731.19,50648695.84,7959593.19,1056069778.62,,,23342630254.43,11570446291.24,11772183963.19,532835944.99,8847633639.29,8811236690.89,36396948.4,11239348018.2,5306505.0,11244654523.2,,,,18169144.29,157650349.71,1261224696.12,,544279549.67,64098041.82,,150327467.18,795976768.66,26832043834.49,38208012673.28,,881249720.58,,,,,,6054580316.16,2113227053.99,3941353262.17,338014.6,362873778.97,,,75308166.31,423365846.37,,485954294.58,,,270531748.84,756486043.42,,,,,,,,,,,,,,573514511.29,41089215.63,9168805613.33,,4458863249.48,,,,153632174.88,,85261702.54,85261702.54,,,807696696.28,27451414.41,,5532905237.59,14701710850.92,,2699746081.0,,,,4668016187.48,,54345464.68,115454625.13,1280442426.9,,,11614747017.93,,,20432751803.12,3073550019.24,23506301822.36,38208012673.28,定期报告,是,20260429,CNY,合并期末,2026-04-22T18:10:06
20250930,,4052699135.82,,,,,,1873380921.72,298887041.2,1574493880.52,1529381968.1,383855062.78,,,,,,,,,,,29445017.52,2587444795.8,,,,1742331.88,415572968.32,10884692021.42,,,,,,,,2669810931.03,51362646.4,7646996.81,1067514628.52,,,,,,,4974495810.12,,,,,11208696953.7,,,,11169819.48,161251743.46,1030818056.29,,544279549.67,51543512.24,,136950007.4,1460396377.51,23364767213.15,34249459234.57,,708568844.26,,,,2180345.61,,4056733201.94,1675448172.71,2381285029.23,352098.55,453922898.9,,,76228221.6,346653487.75,,,,,,690518909.7,,,,,,,,,,,,,,374857090.54,36243423.79,6746258522.64,,3513524349.17,,,,177186616.11,,,104669511.37,,,714116788.31,35794211.23,,4545291476.19,11291549998.83,,2699746081.0,,,,4671696671.74,,91971049.07,125177651.81,1020265186.81,,,11825706233.83,,,20434562874.26,2523346361.48,22957909235.74,34249459234.57,定期报告,未审计,20251024,CNY,合并期末,2025-10-23T16:24:18
20250630,,4011079948.86,,,,,,1369497666.6,120216685.53,1249280981.07,1865043834.76,349987240.21,,,,,,,,,,35490503.18,35490503.18,2672123650.2,,,,1655215.29,253790629.23,10568491604.79,,,,,,,,2593690544.59,52076596.95,7484604.21,1068801263.33,,,22650785539.93,11097946964.98,11552838574.95,204474309.4,4303773841.66,4223255982.17,80517859.49,11348364265.54,,11348364265.54,,,,9822916.46,165908722.37,998539407.0,,544279549.67,52941141.0,,135594991.36,594824055.68,21866278983.36,32434770588.15,,477320133.34,,,,3107436.09,,3747758116.64,1094750191.3,2653007925.34,366182.5,436808384.87,,,67980002.8,325610008.4,,,,,637038138.61,637038138.61,,,,,,,,,,,,,,508088080.93,44520011.86,6248596496.04,,3616097120.53,,,,178854438.83,,105260824.8,105260824.8,,,698982157.57,36643833.69,,4635838375.42,10884434871.46,,2699746081.0,,,,4671696671.74,,100088317.14,115291255.18,1020265186.81,,,10630371820.48,,,19237459332.35,2312876384.35,21550335716.69,32434770588.15,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T15:52:08
20250331,,3357092195.38,,,,,,1931998394.23,274627575.88,1657370818.35,738525896.04,251979935.81,,,,,,,,,,,41224494.37,2771945374.3,,,,1349333.23,507047674.89,9614569777.5,,,,,,,,2545809955.38,52790547.52,8601728.0,976970653.31,,,,,,,3209531821.06,,,,,11548592532.46,,,,13406479.25,170243112.38,794213557.79,,544279549.67,69072056.24,,133704562.81,271736865.36,20325546941.98,29940116719.48,,737010994.45,,,,3107436.09,,3105916101.33,656094819.08,2449821282.25,435832.39,333535190.36,,,88668764.26,306480571.85,,15460869.47,,,,515389143.89,,,,,,,,,,,,,,274330348.86,29749178.09,5394623561.57,,3406067380.49,,,,179331477.95,,,105865196.69,,,710418659.37,37655303.86,,4439338018.36,9833961579.93,,2699746081.0,,,,4670751490.71,,98253206.43,107851894.89,1020265186.81,,,10019814684.93,,,18616682544.77,1489472594.78,20106155139.55,29940116719.48,定期报告,未审计,20250429,CNY,合并期末,2025-04-28T16:40:05
20241231,,2663761199.84,,,,,,1022587168.32,206857313.2,815729855.12,1539841784.28,205424864.22,,,,,,,,,,49019523.1,54419523.1,2283118773.97,,,,787600.69,237078041.68,8020836584.79,,,,,,,,2534640570.53,53504498.08,10051728.0,980562475.71,,,22581099843.89,10508804307.06,12072295536.83,257069915.93,2934203452.84,2548754435.71,65786888.49,11815225620.9,,11815225620.9,,,,13817628.69,172771683.14,1018414772.63,,544279549.67,61943197.98,,133694608.07,243507018.65,20502799176.2,28523635760.99,,1212020479.46,,,,1253255.13,,3015679885.5,698420639.56,2317259245.94,435832.39,245258549.01,,,64149111.57,235398703.98,,15460869.47,,,290243746.99,417539828.75,,,,,,,,,,,,,,293296114.84,24986881.79,5510018642.42,,2707555052.76,,,,177232783.05,,105624018.94,105624018.94,,,712510626.11,38631565.86,,3741554046.72,9251572689.14,,2699746081.0,,,,4740751490.71,,98081957.71,91719407.49,1020265186.81,,,9198535508.79,,,17849099632.51,1422963439.34,19272063071.85,28523635760.99,定期报告,是,20260423,CNY,合并期末,2025-04-24T19:00:05
20240930,,1403325203.22,,,,,,2442199206.77,829392953.36,1612806253.41,1202502437.07,327532685.02,,531855.28,,,,,,,,,42665274.96,2639600906.65,,,,1579894.23,133175649.75,8204985940.28,,,,,,,,2503483163.79,55154600.62,9167213.54,997771684.71,,,,,,,2156535936.31,,,,,11648958305.31,,,,12404682.61,187107759.32,810905292.99,,511855814.24,55669523.72,,122940354.22,505988897.39,19565538546.16,27770524486.44,,1276133271.72,,,,1025775.17,,3346715346.47,947404968.39,2399310378.08,,442099800.26,,,72754280.61,115849899.64,,,,,,474136658.9,,,,,,,,,,,,,,203221528.41,37533067.45,5969469628.63,,2632631368.05,,,,198110323.43,,,105187454.76,,,446747941.9,53368667.61,,3436045755.75,9405515384.38,,2699746081.0,,,,4667128305.95,,75127172.17,92530206.73,943530241.52,,,8586182174.41,,,17064244181.78,1300764920.28,18365009102.06,27770524486.44,定期报告,未审计,20241025,CNY,合并期末,2024-10-24T16:30:06
20240630,,1811582593.56,,,,,,1893774146.81,460785532.77,1432988614.04,1497390979.05,201127573.93,,,,,,,,,,37346723.86,37346723.86,2417534662.06,,,,1579894.23,101528383.83,7971723239.62,,,,,,,,2476322170.88,55865853.19,9306850.09,885894414.71,,,21925835762.56,9892234568.11,12033601194.45,274152023.59,1944307248.16,1881010315.84,63296932.32,11759449170.86,,11759449170.86,,,,9858282.29,189958700.86,819657334.09,,511855814.24,67515646.27,,111955829.87,265371727.55,19097460760.77,27069184000.39,,1266270000.01,,,,1626701.0,,3326105108.38,1025712948.33,2300392160.05,,306960697.26,,,64463786.28,141918120.2,,,,,418968393.99,418968393.99,,,,,,,,,,,,,,148195271.5,36970305.6,5711478384.22,,2661607861.49,,,,199653619.11,,124456482.11,124456482.11,,,433770796.24,53368667.59,,3472857426.54,9184335810.76,,2699746081.0,,,,4667128305.95,,77716461.53,99693844.53,943530241.52,,,8162835123.49,,,16650650058.02,1234198131.61,17884848189.63,27069184000.39,定期报告,未审计,20240823,CNY,合并期末,2024-08-22T17:55:05
20240331,,1961306193.14,,,,,,1903884574.7,545207988.91,1358676585.79,495126773.69,493468046.33,,583892.41,,,,,,,,,28782001.45,2557118098.97,,,,1655215.29,183894386.88,7638023724.48,,,,,,,,2449803100.24,56594912.82,9391622.26,885894414.71,,,,,,,2998607591.85,,,,,10559012622.4,,,,12788434.03,194995403.43,821840145.01,,547777650.37,78156901.04,,127315609.74,241992013.02,18971381986.89,26609405711.37,,1086771453.68,,,,1626701.0,,3529953420.14,1369243435.31,2160709984.83,,331003884.74,,,84096144.54,97055104.49,,,,,,501255811.1,,,,,,,,,,,,,,241954740.92,23114298.52,5896831559.13,,2355060000.0,,,,204341783.73,,,109320130.43,,1166171.92,443881687.76,20681807.22,,3134451581.06,9031283140.19,,2699746081.0,,,,4665635332.56,,76348042.17,91121050.48,943530241.52,,,7935905048.17,,,16412285795.9,1165836775.28,17578122571.18,26609405711.37,定期报告,未审计,20240426,CNY,合并期末,2024-04-25T16:40:21
20231231,,1817695053.42,,,1128546.19,,,1612709101.65,692148793.36,920560308.29,582160004.32,113256978.07,,37823.65,,,,,,,,19567033.06,19604856.71,1764164966.99,,,,1655215.29,499620821.22,6420865969.32,,,,,,,,2293228097.41,57306165.4,11841622.26,761500475.71,,,18697492440.49,8870560630.0,9826931810.49,321204556.83,2810869524.93,2745502460.66,65367064.27,9505727253.66,,9505727253.66,,,,8870425.46,173131808.6,675914865.7,,16004611.13,54071031.57,,114118277.29,489227176.41,16962940910.07,23383806879.39,,605047382.13,,,,291719.0,,2903468747.03,1105091374.45,1798377372.58,192068.25,245788326.31,,,49780673.77,73814533.3,,,,,355562738.01,355562738.01,,,,,,,,,,,,,,256991078.06,25408735.42,4516346001.28,,1742522318.37,,,,176233861.34,,108819305.13,108819305.13,,,442729155.68,20474533.32,,2490779173.84,7007125175.12,,2699746081.0,,,,4665635332.56,,72688307.96,67631762.48,943530241.52,,,7625591190.13,,,16074822915.65,301858788.62,16376681704.27,23383806879.39,定期报告,是,20250425,CNY,合并期末,2024-04-17T19:00:04
